Date,ELECTHERM
2015-01-01,21.4
2015-01-02,23.15
2015-01-05,22.0
2015-01-06,22.8
2015-01-07,22.0
2015-01-08,21.95
2015-01-09,21.5
2015-01-12,22.9
2015-01-13,23.1
2015-01-14,22.1
2015-01-15,23.45
2015-01-16,22.2
2015-01-19,21.6
2015-01-20,22.5
2015-01-21,21.8
2015-01-22,22.0
2015-01-23,24.2
2015-01-27,26.6
2015-01-28,29.25
2015-01-29,30.7
2015-01-30,31.35
2015-02-02,29.8
2015-02-03,28.35
2015-02-04,26.95
2015-02-05,25.65
2015-02-06,24.4
2015-02-09,23.65
2015-02-10,22.5
2015-02-11,22.95
2015-02-12,22.7
2015-02-13,21.95
2015-02-16,22.6
2015-02-18,22.2
2015-02-19,21.5
2015-02-20,22.55
2015-02-23,23.65
2015-02-24,24.1
2015-02-25,23.55
2015-02-26,24.0
2015-02-27,23.05
2015-02-28,24.2
2015-03-02,25.4
2015-03-03,26.65
2015-03-04,25.35
2015-03-05,24.1
2015-03-09,22.35
2015-03-10,21.95
2015-03-11,21.8
2015-03-12,21.65
2015-03-13,23.55
2015-03-16,22.25
2015-03-17,23.15
2015-03-18,22.6
2015-03-19,22.15
2015-03-20,22.75
2015-03-23,23.15
2015-03-24,22.25
2015-03-25,22.95
2015-03-26,21.65
2015-03-27,22.7
2015-03-30,23.8
2015-03-31,23.65
2015-04-01,24.0
2015-04-06,25.0
2015-04-07,30.0
2015-04-08,35.45
2015-04-09,33.95
2015-04-10,32.45
2015-04-13,34.8
2015-04-15,32.65
2015-04-16,33.85
2015-04-17,32.6
2015-04-20,32.2
2015-04-21,30.15
2015-04-22,28.7
2015-04-23,29.0
2015-04-24,28.1
2015-04-27,27.25
2015-04-28,26.75
2015-04-29,26.7
2015-04-30,26.1
2015-05-04,25.8
2015-05-05,24.95
2015-05-06,22.65
2015-05-07,22.45
2015-05-08,22.95
2015-05-11,24.95
2015-05-12,24.1
2015-05-13,25.4
2015-05-14,25.55
2015-05-15,25.75
2015-05-18,24.6
2015-05-19,24.5
2015-05-20,25.5
2015-05-21,26.25
2015-05-22,27.15
2015-05-25,25.3
2015-05-26,25.8
2015-05-27,26.05
2015-05-28,25.95
2015-05-29,24.55
2015-06-01,24.25
2015-06-02,24.8
2015-06-03,23.2
2015-06-04,23.25
2015-06-05,23.2
2015-06-08,22.8
2015-06-09,23.0
2015-06-10,22.85
2015-06-11,22.3
2015-06-12,21.9
2015-06-15,22.0
2015-06-16,21.4
2015-06-17,22.45
2015-06-18,23.65
2015-06-19,22.15
2015-06-22,22.95
2015-06-23,21.9
2015-06-24,21.6
2015-06-25,22.0
2015-06-26,21.8
2015-06-29,25.1
2015-06-30,25.9
2015-07-01,25.0
2015-07-02,23.95
2015-07-03,24.2
2015-07-06,23.1
2015-07-07,23.15
2015-07-08,23.4
2015-07-09,23.0
2015-07-10,24.4
2015-07-13,23.65
2015-07-14,23.7
2015-07-15,22.9
2015-07-16,23.35
2015-07-17,23.5
2015-07-20,23.3
2015-07-21,22.75
2015-07-22,23.3
2015-07-23,22.8
2015-07-24,22.85
2015-07-27,25.0
2015-07-28,27.05
2015-07-29,27.1
2015-07-30,26.7
2015-07-31,27.85
2015-08-03,32.6
2015-08-04,39.1
2015-08-05,43.0
2015-08-06,40.6
2015-08-07,37.4
2015-08-10,41.1
2015-08-11,40.8
2015-08-12,40.55
2015-08-13,38.5
2015-08-14,36.8
2015-08-17,38.3
2015-08-18,38.5
2015-08-19,37.45
2015-08-20,36.05
2015-08-21,36.0
2015-08-24,32.5
2015-08-25,31.4
2015-08-26,29.95
2015-08-27,29.9
2015-08-28,30.6
2015-08-31,32.85
2015-09-01,30.1
2015-09-02,30.7
2015-09-03,30.15
2015-09-04,33.15
2015-09-07,34.65
2015-09-08,33.25
2015-09-09,33.95
2015-09-10,33.2
2015-09-11,31.1
2015-09-14,30.6
2015-09-15,30.6
2015-09-16,32.35
2015-09-18,32.65
2015-09-21,35.6
2015-09-22,38.35
2015-09-23,39.15
2015-09-24,41.1
2015-09-28,41.0
2015-09-29,43.05
2015-09-30,45.2
2015-10-01,47.45
2015-10-05,49.8
2015-10-06,52.25
2015-10-07,54.85
2015-10-08,57.55
2015-10-09,60.4
2015-10-12,63.4
2015-10-13,66.55
2015-10-14,63.25
2015-10-15,60.1
2015-10-16,57.1
2015-10-19,54.25
2015-10-20,56.95
2015-10-21,59.75
2015-10-23,58.85
2015-10-26,56.4
2015-10-27,54.0
2015-10-28,52.0
2015-10-29,50.25
2015-10-30,47.75
2015-11-02,45.65
2015-11-03,44.3
2015-11-04,46.5
2015-11-05,44.4
2015-11-06,46.6
2015-11-09,48.9
2015-11-10,51.3
2015-11-11,53.85
2015-11-13,53.15
2015-11-16,50.65
2015-11-17,52.05
2015-11-18,49.6
2015-11-19,48.6
2015-11-20,47.6
2015-11-23,49.95
2015-11-24,52.4
2015-11-26,49.95
2015-11-27,50.25
2015-11-30,50.3
2015-12-01,49.4
2015-12-02,50.9
2015-12-03,49.6
2015-12-04,50.0
2015-12-07,51.05
2015-12-08,53.9
2015-12-09,48.85
2015-12-10,49.85
2015-12-11,49.05
2015-12-14,48.9
2015-12-15,49.05
2015-12-16,48.5
2015-12-17,47.45
2015-12-18,47.2
2015-12-21,47.85
2015-12-22,48.05
2015-12-23,47.9
2015-12-24,50.6
2015-12-28,49.2
2015-12-29,50.0
2015-12-30,49.9
2015-12-31,49.0
