Date,HITECHGEAR
2015-01-01,279.45
2015-01-02,284.85
2015-01-05,290.45
2015-01-06,287.7
2015-01-07,301.15
2015-01-08,319.7
2015-01-09,329.3
2015-01-12,336.15
2015-01-13,320.75
2015-01-14,311.0
2015-01-15,338.6
2015-01-16,327.55
2015-01-19,327.95
2015-01-20,329.7
2015-01-21,327.25
2015-01-22,326.55
2015-01-23,321.05
2015-01-27,320.3
2015-01-28,319.15
2015-01-29,336.6
2015-01-30,339.95
2015-02-02,343.25
2015-02-03,348.7
2015-02-04,346.2
2015-02-05,350.15
2015-02-06,333.15
2015-02-09,328.8
2015-02-10,324.7
2015-02-11,326.4
2015-02-12,344.1
2015-02-13,332.2
2015-02-16,339.9
2015-02-18,348.3
2015-02-19,353.8
2015-02-20,350.35
2015-02-23,337.3
2015-02-24,329.85
2015-02-25,324.45
2015-02-26,315.6
2015-02-27,312.65
2015-02-28,312.45
2015-03-02,315.3
2015-03-03,335.35
2015-03-04,328.05
2015-03-05,321.95
2015-03-09,315.15
2015-03-10,311.05
2015-03-11,309.85
2015-03-12,307.65
2015-03-13,294.8
2015-03-16,289.75
2015-03-17,301.15
2015-03-18,290.85
2015-03-19,297.65
2015-03-20,282.8
2015-03-23,276.4
2015-03-24,277.75
2015-03-25,278.05
2015-03-26,259.05
2015-03-27,273.65
2015-03-30,283.7
2015-03-31,288.0
2015-04-01,301.8
2015-04-06,304.3
2015-04-07,312.8
2015-04-08,312.35
2015-04-09,305.35
2015-04-10,325.45
2015-04-13,315.2
2015-04-15,316.4
2015-04-16,308.7
2015-04-17,306.35
2015-04-20,289.15
2015-04-21,295.5
2015-04-22,288.5
2015-04-23,284.6
2015-04-24,272.2
2015-04-27,260.9
2015-04-28,268.85
2015-04-29,274.7
2015-04-30,272.3
2015-05-04,277.95
2015-05-05,273.95
2015-05-06,256.1
2015-05-07,249.7
2015-05-08,256.15
2015-05-11,268.75
2015-05-12,257.95
2015-05-13,267.2
2015-05-14,283.7
2015-05-15,286.0
2015-05-18,285.45
2015-05-19,292.55
2015-05-20,304.2
2015-05-21,293.55
2015-05-22,289.55
2015-05-25,285.8
2015-05-26,278.5
2015-05-27,270.7
2015-05-28,265.05
2015-05-29,268.9
2015-06-01,269.8
2015-06-02,255.85
2015-06-03,254.15
2015-06-04,257.55
2015-06-05,261.1
2015-06-08,253.7
2015-06-09,251.5
2015-06-10,250.35
2015-06-11,244.6
2015-06-12,241.55
2015-06-15,243.95
2015-06-16,248.45
2015-06-17,251.25
2015-06-18,257.2
2015-06-19,258.25
2015-06-22,262.25
2015-06-23,261.8
2015-06-24,261.05
2015-06-25,259.7
2015-06-26,257.5
2015-06-29,252.2
2015-06-30,252.15
2015-07-01,254.35
2015-07-02,263.65
2015-07-03,261.2
2015-07-06,260.65
2015-07-07,265.65
2015-07-08,257.15
2015-07-09,257.2
2015-07-10,258.9
2015-07-13,266.6
2015-07-14,280.65
2015-07-15,283.4
2015-07-16,304.4
2015-07-17,317.0
2015-07-20,313.0
2015-07-21,299.15
2015-07-22,295.2
2015-07-23,313.85
2015-07-24,304.85
2015-07-27,295.65
2015-07-28,300.35
2015-07-29,315.2
2015-07-30,328.1
2015-07-31,322.5
2015-08-03,333.0
2015-08-04,357.95
2015-08-05,361.95
2015-08-06,352.95
2015-08-07,346.4
2015-08-10,341.7
2015-08-11,334.85
2015-08-12,321.1
2015-08-13,311.75
2015-08-14,317.6
2015-08-17,316.45
2015-08-18,327.45
2015-08-19,326.95
2015-08-20,313.6
2015-08-21,306.25
2015-08-24,278.0
2015-08-25,268.5
2015-08-26,279.95
2015-08-27,285.6
2015-08-28,277.65
2015-08-31,277.05
2015-09-01,270.25
2015-09-02,268.2
2015-09-03,271.2
2015-09-04,271.75
2015-09-07,271.0
2015-09-08,266.45
2015-09-09,276.2
2015-09-10,271.55
2015-09-11,273.05
2015-09-14,291.4
2015-09-15,305.45
2015-09-16,305.35
2015-09-18,307.55
2015-09-21,309.6
2015-09-22,294.95
2015-09-23,299.45
2015-09-24,300.9
2015-09-28,300.65
2015-09-29,298.2
2015-09-30,296.3
2015-10-01,291.0
2015-10-05,294.0
2015-10-06,290.45
2015-10-07,294.4
2015-10-08,290.95
2015-10-09,289.5
2015-10-12,286.65
2015-10-13,287.55
2015-10-14,286.4
2015-10-15,293.25
2015-10-16,293.2
2015-10-19,291.85
2015-10-20,293.4
2015-10-21,292.45
2015-10-23,293.55
2015-10-26,288.45
2015-10-27,285.35
2015-10-28,283.1
2015-10-29,276.4
2015-10-30,276.6
2015-11-02,272.6
2015-11-03,280.2
2015-11-04,281.8
2015-11-05,278.75
2015-11-06,270.65
2015-11-09,284.3
2015-11-10,278.9
2015-11-11,278.4
2015-11-13,275.0
2015-11-16,275.05
2015-11-17,275.65
2015-11-18,267.5
2015-11-19,270.0
2015-11-20,267.15
2015-11-23,271.85
2015-11-24,270.2
2015-11-26,269.9
2015-11-27,268.45
2015-11-30,262.2
2015-12-01,265.55
2015-12-02,264.45
2015-12-03,263.85
2015-12-04,263.1
2015-12-07,282.0
2015-12-08,302.7
2015-12-09,292.65
2015-12-10,302.1
2015-12-11,297.35
2015-12-14,306.8
2015-12-15,303.45
2015-12-16,302.65
2015-12-17,304.7
2015-12-18,299.05
2015-12-21,301.0
2015-12-22,303.7
2015-12-23,302.75
2015-12-24,297.95
2015-12-28,316.55
2015-12-29,315.45
2015-12-30,309.05
2015-12-31,318.25
