Date,NEXTMEDIA
2015-01-01,16.4
2015-01-02,17.5
2015-01-05,17.75
2015-01-06,16.95
2015-01-07,16.35
2015-01-08,17.45
2015-01-09,16.85
2015-01-12,16.75
2015-01-13,16.8
2015-01-14,16.95
2015-01-15,16.65
2015-01-16,18.3
2015-01-19,19.55
2015-01-20,19.3
2015-01-21,18.5
2015-01-22,19.65
2015-01-23,19.3
2015-01-27,20.05
2015-01-28,18.2
2015-01-29,19.1
2015-01-30,19.2
2015-02-02,19.0
2015-02-03,18.85
2015-02-04,18.85
2015-02-05,19.2
2015-02-06,18.1
2015-02-09,17.8
2015-02-10,17.5
2015-02-11,17.0
2015-02-12,15.85
2015-02-13,15.95
2015-02-16,15.15
2015-02-18,14.65
2015-02-19,14.45
2015-02-20,16.5
2015-02-23,16.4
2015-02-24,15.65
2015-02-25,15.25
2015-02-26,15.45
2015-02-27,16.2
2015-02-28,17.15
2015-03-02,16.7
2015-03-03,17.15
2015-03-04,16.6
2015-03-05,16.25
2015-03-09,15.8
2015-03-10,15.6
2015-03-11,15.45
2015-03-12,15.35
2015-03-13,14.5
2015-03-16,14.25
2015-03-17,14.5
2015-03-18,14.75
2015-03-19,15.05
2015-03-20,14.95
2015-03-23,14.5
2015-03-24,12.7
2015-03-25,13.05
2015-03-26,11.95
2015-03-27,11.25
2015-03-30,11.65
2015-03-31,12.85
2015-04-01,13.6
2015-04-06,12.7
2015-04-07,13.2
2015-04-08,13.2
2015-04-09,13.3
2015-04-10,14.8
2015-04-13,15.45
2015-04-15,14.75
2015-04-16,14.5
2015-04-17,14.55
2015-04-20,13.95
2015-04-21,13.9
2015-04-22,13.8
2015-04-23,14.8
2015-04-24,14.25
2015-04-27,13.6
2015-04-28,13.5
2015-04-29,13.8
2015-04-30,13.8
2015-05-04,13.5
2015-05-05,13.5
2015-05-06,12.55
2015-05-07,11.55
2015-05-08,12.2
2015-05-11,13.15
2015-05-12,12.8
2015-05-13,12.9
2015-05-14,12.75
2015-05-15,12.8
2015-05-18,12.85
2015-05-19,12.2
2015-05-20,12.55
2015-05-21,11.9
2015-05-22,9.7
2015-05-25,9.65
2015-05-26,9.55
2015-05-27,9.45
2015-05-28,9.85
2015-05-29,10.05
2015-06-01,10.25
2015-06-02,10.1
2015-06-03,9.45
2015-06-04,9.9
2015-06-05,10.55
2015-06-08,9.95
2015-06-09,9.45
2015-06-10,9.05
2015-06-11,9.0
2015-06-12,8.95
2015-06-15,8.65
2015-06-16,8.65
2015-06-17,9.65
2015-06-18,10.65
2015-06-19,12.75
2015-06-22,12.65
2015-06-23,13.9
2015-06-24,15.25
2015-06-25,16.75
2015-06-26,17.55
2015-06-29,17.75
2015-06-30,16.9
2015-07-01,16.15
2015-07-02,15.55
2015-07-03,15.15
2015-07-06,15.35
2015-07-07,14.6
2015-07-08,13.9
2015-07-09,14.55
2015-07-10,15.25
2015-07-13,15.2
2015-07-14,15.85
2015-07-15,15.3
2015-07-16,15.5
2015-07-17,14.85
2015-07-20,15.45
2015-07-21,15.25
2015-07-22,16.0
2015-07-23,15.5
2015-07-24,16.05
2015-07-27,15.65
2015-07-28,15.2
2015-07-29,15.1
2015-07-30,15.85
2015-07-31,15.9
2015-08-03,15.85
2015-08-04,15.95
2015-08-05,16.1
2015-08-06,15.8
2015-08-07,15.4
2015-08-10,15.0
2015-08-11,14.7
2015-08-12,13.75
2015-08-13,13.55
2015-08-14,13.3
2015-08-17,13.15
2015-08-18,13.5
2015-08-19,13.05
2015-08-20,12.85
2015-08-21,12.6
2015-08-24,11.35
2015-08-25,11.7
2015-08-26,11.7
2015-08-27,12.1
2015-08-28,12.45
2015-08-31,11.9
2015-09-01,11.6
2015-09-02,11.95
2015-09-03,12.1
2015-09-04,11.2
2015-09-07,11.0
2015-09-08,11.4
2015-09-09,11.6
2015-09-10,11.8
2015-09-11,11.45
2015-09-14,11.4
2015-09-15,11.45
2015-09-16,11.4
2015-09-18,11.6
2015-09-21,11.55
2015-09-22,13.85
2015-09-23,14.8
2015-09-24,14.25
2015-09-28,13.8
2015-09-29,14.1
2015-09-30,13.45
2015-10-01,13.25
2015-10-05,13.35
2015-10-06,13.15
2015-10-07,14.35
2015-10-08,13.95
2015-10-09,13.7
2015-10-12,14.0
2015-10-13,13.8
2015-10-14,13.95
2015-10-15,13.75
2015-10-16,14.05
2015-10-19,14.8
2015-10-20,16.1
2015-10-21,15.9
2015-10-23,15.45
2015-10-26,14.6
2015-10-27,14.95
2015-10-28,14.75
2015-10-29,15.2
2015-10-30,14.7
2015-11-02,14.1
2015-11-03,14.1
2015-11-04,14.4
2015-11-05,13.2
2015-11-06,13.25
2015-11-09,13.15
2015-11-10,12.9
2015-11-11,13.55
2015-11-13,13.15
2015-11-16,13.0
2015-11-17,12.85
2015-11-18,12.95
2015-11-19,12.95
2015-11-20,12.85
2015-11-23,13.45
2015-11-24,13.35
2015-11-26,13.65
2015-11-27,16.05
2015-11-30,18.0
2015-12-01,16.7
2015-12-02,18.85
2015-12-03,18.55
2015-12-04,18.7
2015-12-07,18.85
2015-12-08,17.1
2015-12-09,15.65
2015-12-10,16.95
2015-12-11,16.15
2015-12-14,15.9
2015-12-15,17.45
2015-12-16,16.85
2015-12-17,17.25
2015-12-18,17.55
2015-12-21,18.15
2015-12-22,18.0
2015-12-23,17.65
2015-12-24,17.45
2015-12-28,17.4
2015-12-29,17.6
2015-12-30,17.3
2015-12-31,17.35
