Date,GICHSGFIN
2015-01-01,219.45
2015-01-02,234.7
2015-01-05,237.1
2015-01-06,226.15
2015-01-07,228.65
2015-01-08,242.0
2015-01-09,271.2
2015-01-12,280.7
2015-01-13,269.55
2015-01-14,263.35
2015-01-15,271.95
2015-01-16,278.45
2015-01-19,282.5
2015-01-20,276.4
2015-01-21,273.5
2015-01-22,269.6
2015-01-23,269.25
2015-01-27,271.25
2015-01-28,268.6
2015-01-29,266.05
2015-01-30,262.3
2015-02-02,260.8
2015-02-03,259.65
2015-02-04,248.55
2015-02-05,232.65
2015-02-06,227.55
2015-02-09,223.35
2015-02-10,229.65
2015-02-11,237.75
2015-02-12,243.35
2015-02-13,244.05
2015-02-16,237.9
2015-02-18,236.95
2015-02-19,235.05
2015-02-20,241.65
2015-02-23,247.45
2015-02-24,248.95
2015-02-25,250.9
2015-02-26,245.5
2015-02-27,250.75
2015-02-28,244.5
2015-03-02,248.0
2015-03-03,249.7
2015-03-04,245.3
2015-03-05,245.85
2015-03-09,241.4
2015-03-10,243.5
2015-03-11,240.85
2015-03-12,240.1
2015-03-13,233.3
2015-03-16,227.2
2015-03-17,231.8
2015-03-18,230.7
2015-03-19,226.2
2015-03-20,223.8
2015-03-23,217.2
2015-03-24,215.45
2015-03-25,213.95
2015-03-26,210.6
2015-03-27,211.75
2015-03-30,217.15
2015-03-31,222.6
2015-04-01,228.3
2015-04-06,229.85
2015-04-07,227.35
2015-04-08,234.7
2015-04-09,254.55
2015-04-10,248.45
2015-04-13,246.65
2015-04-15,249.85
2015-04-16,245.3
2015-04-17,236.8
2015-04-20,232.0
2015-04-21,235.1
2015-04-22,234.35
2015-04-23,231.75
2015-04-24,224.7
2015-04-27,218.7
2015-04-28,222.45
2015-04-29,223.55
2015-04-30,221.95
2015-05-04,222.6
2015-05-05,221.35
2015-05-06,215.2
2015-05-07,211.25
2015-05-08,214.85
2015-05-11,218.55
2015-05-12,213.1
2015-05-13,214.5
2015-05-14,216.1
2015-05-15,217.5
2015-05-18,220.75
2015-05-19,218.5
2015-05-20,218.2
2015-05-21,224.45
2015-05-22,221.25
2015-05-25,221.45
2015-05-26,225.6
2015-05-27,229.4
2015-05-28,228.65
2015-05-29,227.1
2015-06-01,222.35
2015-06-02,218.7
2015-06-03,213.35
2015-06-04,209.8
2015-06-05,210.1
2015-06-08,202.6
2015-06-09,199.6
2015-06-10,202.95
2015-06-11,196.8
2015-06-12,203.0
2015-06-15,207.15
2015-06-16,208.6
2015-06-17,211.0
2015-06-18,219.65
2015-06-19,219.75
2015-06-22,222.8
2015-06-23,223.7
2015-06-24,218.3
2015-06-25,215.95
2015-06-26,220.1
2015-06-29,216.8
2015-06-30,216.8
2015-07-01,221.35
2015-07-02,222.45
2015-07-03,220.55
2015-07-06,222.05
2015-07-07,222.7
2015-07-08,219.0
2015-07-09,219.2
2015-07-10,218.6
2015-07-13,220.0
2015-07-14,223.15
2015-07-15,223.2
2015-07-16,234.1
2015-07-17,233.6
2015-07-20,231.7
2015-07-21,223.05
2015-07-22,226.15
2015-07-23,224.1
2015-07-24,220.7
2015-07-27,215.15
2015-07-28,215.5
2015-07-29,214.15
2015-07-30,215.75
2015-07-31,214.95
2015-08-03,221.6
2015-08-04,222.55
2015-08-05,222.2
2015-08-06,222.8
2015-08-07,218.55
2015-08-10,211.8
2015-08-11,209.6
2015-08-12,204.5
2015-08-13,201.25
2015-08-14,205.5
2015-08-17,205.2
2015-08-18,205.0
2015-08-19,203.95
2015-08-20,198.8
2015-08-21,195.4
2015-08-24,175.25
2015-08-25,178.65
2015-08-26,179.75
2015-08-27,189.05
2015-08-28,185.4
2015-08-31,185.4
2015-09-01,179.0
2015-09-02,176.95
2015-09-03,178.75
2015-09-04,175.95
2015-09-07,168.65
2015-09-08,170.2
2015-09-09,176.05
2015-09-10,174.55
2015-09-11,173.7
2015-09-14,176.15
2015-09-15,180.65
2015-09-16,180.3
2015-09-18,189.4
2015-09-21,189.85
2015-09-22,183.6
2015-09-23,183.45
2015-09-24,188.9
2015-09-28,182.8
2015-09-29,196.65
2015-09-30,196.3
2015-10-01,190.3
2015-10-05,193.6
2015-10-06,191.15
2015-10-07,190.9
2015-10-08,189.6
2015-10-09,208.45
2015-10-12,206.95
2015-10-13,209.65
2015-10-14,210.3
2015-10-15,210.45
2015-10-16,209.2
2015-10-19,204.35
2015-10-20,200.65
2015-10-21,201.6
2015-10-23,200.0
2015-10-26,198.85
2015-10-27,197.9
2015-10-28,198.2
2015-10-29,197.85
2015-10-30,213.65
2015-11-02,210.25
2015-11-03,213.8
2015-11-04,215.1
2015-11-05,215.2
2015-11-06,211.95
2015-11-09,210.15
2015-11-10,208.9
2015-11-11,213.75
2015-11-13,209.45
2015-11-16,208.3
2015-11-17,209.1
2015-11-18,208.1
2015-11-19,212.25
2015-11-20,212.8
2015-11-23,210.9
2015-11-24,211.55
2015-11-26,210.85
2015-11-27,209.2
2015-11-30,216.8
2015-12-01,214.7
2015-12-02,211.95
2015-12-03,209.0
2015-12-04,204.95
2015-12-07,204.8
2015-12-08,200.75
2015-12-09,197.05
2015-12-10,199.65
2015-12-11,198.2
2015-12-14,197.95
2015-12-15,199.4
2015-12-16,207.3
2015-12-17,215.85
2015-12-18,215.25
2015-12-21,222.55
2015-12-22,221.75
2015-12-23,223.65
2015-12-24,219.1
2015-12-28,219.05
2015-12-29,227.35
2015-12-30,232.3
2015-12-31,236.25
