Date,MONTECARLO
2015-01-01,541.15
2015-01-02,539.25
2015-01-05,526.35
2015-01-06,512.1
2015-01-07,503.95
2015-01-08,511.35
2015-01-09,508.5
2015-01-12,507.2
2015-01-13,504.8
2015-01-14,502.85
2015-01-15,501.95
2015-01-16,483.5
2015-01-19,476.0
2015-01-20,479.25
2015-01-21,481.25
2015-01-22,487.0
2015-01-23,486.2
2015-01-27,498.05
2015-01-28,488.25
2015-01-29,488.45
2015-01-30,480.45
2015-02-02,479.45
2015-02-03,481.2
2015-02-04,531.6
2015-02-05,563.9
2015-02-06,565.3
2015-02-09,552.1
2015-02-10,542.65
2015-02-11,545.25
2015-02-12,532.2
2015-02-13,522.55
2015-02-16,528.45
2015-02-18,567.55
2015-02-19,559.9
2015-02-20,541.7
2015-02-23,534.95
2015-02-24,524.5
2015-02-25,520.75
2015-02-26,511.45
2015-02-27,516.75
2015-02-28,525.55
2015-03-02,521.35
2015-03-03,523.35
2015-03-04,515.1
2015-03-05,521.0
2015-03-09,521.55
2015-03-10,516.85
2015-03-11,519.7
2015-03-12,540.55
2015-03-13,517.5
2015-03-16,513.55
2015-03-17,504.8
2015-03-18,493.0
2015-03-19,488.4
2015-03-20,480.75
2015-03-23,485.35
2015-03-24,465.9
2015-03-25,474.85
2015-03-26,475.25
2015-03-27,475.6
2015-03-30,477.5
2015-03-31,480.3
2015-04-01,507.95
2015-04-06,526.9
2015-04-07,530.85
2015-04-08,530.0
2015-04-09,539.8
2015-04-10,557.6
2015-04-13,553.45
2015-04-15,552.25
2015-04-16,545.75
2015-04-17,545.55
2015-04-20,536.05
2015-04-21,541.65
2015-04-22,554.95
2015-04-23,557.25
2015-04-24,546.3
2015-04-27,534.7
2015-04-28,534.4
2015-04-29,529.8
2015-04-30,535.3
2015-05-04,538.85
2015-05-05,570.25
2015-05-06,542.45
2015-05-07,547.15
2015-05-08,553.8
2015-05-11,574.5
2015-05-12,555.8
2015-05-13,577.65
2015-05-14,574.3
2015-05-15,570.05
2015-05-18,569.35
2015-05-19,574.55
2015-05-20,571.0
2015-05-21,564.4
2015-05-22,567.85
2015-05-25,563.05
2015-05-26,556.65
2015-05-27,552.3
2015-05-28,561.1
2015-05-29,575.3
2015-06-01,559.05
2015-06-02,551.05
2015-06-03,552.1
2015-06-04,537.25
2015-06-05,533.9
2015-06-08,514.7
2015-06-09,526.1
2015-06-10,525.1
2015-06-11,518.65
2015-06-12,513.35
2015-06-15,513.3
2015-06-16,510.35
2015-06-17,514.8
2015-06-18,515.85
2015-06-19,513.8
2015-06-22,517.1
2015-06-23,538.15
2015-06-24,557.3
2015-06-25,540.1
2015-06-26,539.35
2015-06-29,528.0
2015-06-30,533.8
2015-07-01,532.45
2015-07-02,532.1
2015-07-03,531.05
2015-07-06,536.0
2015-07-07,537.2
2015-07-08,526.7
2015-07-09,538.15
2015-07-10,532.1
2015-07-13,558.25
2015-07-14,569.95
2015-07-15,551.55
2015-07-16,545.65
2015-07-17,545.05
2015-07-20,548.9
2015-07-21,545.0
2015-07-22,541.5
2015-07-23,540.3
2015-07-24,541.95
2015-07-27,542.2
2015-07-28,537.95
2015-07-29,538.3
2015-07-30,552.2
2015-07-31,555.7
2015-08-03,565.9
2015-08-04,559.8
2015-08-05,559.2
2015-08-06,559.7
2015-08-07,502.3
2015-08-10,502.95
2015-08-11,495.8
2015-08-12,486.55
2015-08-13,481.55
2015-08-14,477.45
2015-08-17,481.25
2015-08-18,481.5
2015-08-19,479.45
2015-08-20,476.5
2015-08-21,467.7
2015-08-24,442.7
2015-08-25,434.1
2015-08-26,445.05
2015-08-27,440.5
2015-08-28,455.35
2015-08-31,449.7
2015-09-01,444.6
2015-09-02,439.5
2015-09-03,440.1
2015-09-04,429.6
2015-09-07,433.45
2015-09-08,433.6
2015-09-09,443.3
2015-09-10,435.55
2015-09-11,438.7
2015-09-14,436.5
2015-09-15,439.05
2015-09-16,438.9
2015-09-18,444.25
2015-09-21,439.15
2015-09-22,435.7
2015-09-23,438.3
2015-09-24,438.2
2015-09-28,436.85
2015-09-29,437.2
2015-09-30,438.0
2015-10-01,431.65
2015-10-05,437.25
2015-10-06,439.2
2015-10-07,439.35
2015-10-08,434.9
2015-10-09,434.55
2015-10-12,426.95
2015-10-13,423.15
2015-10-14,419.4
2015-10-15,439.3
2015-10-16,435.2
2015-10-19,435.3
2015-10-20,427.4
2015-10-21,436.45
2015-10-23,433.6
2015-10-26,431.0
2015-10-27,434.55
2015-10-28,432.65
2015-10-29,434.2
2015-10-30,439.7
2015-11-02,444.1
2015-11-03,451.1
2015-11-04,449.9
2015-11-05,444.7
2015-11-06,437.95
2015-11-09,459.75
2015-11-10,445.3
2015-11-11,451.05
2015-11-13,447.05
2015-11-16,440.55
2015-11-17,457.05
2015-11-18,453.1
2015-11-19,448.9
2015-11-20,439.6
2015-11-23,443.25
2015-11-24,446.3
2015-11-26,438.3
2015-11-27,439.8
2015-11-30,439.55
2015-12-01,440.0
2015-12-02,439.6
2015-12-03,452.5
2015-12-04,448.8
2015-12-07,449.45
2015-12-08,433.55
2015-12-09,419.4
2015-12-10,426.45
2015-12-11,452.45
2015-12-14,449.35
2015-12-15,443.4
2015-12-16,446.45
2015-12-17,446.7
2015-12-18,457.9
2015-12-21,536.45
2015-12-22,527.1
2015-12-23,530.95
2015-12-24,547.3
2015-12-28,540.4
2015-12-29,540.35
2015-12-30,525.55
2015-12-31,535.3
