Date,LYPSAGEMS
2015-01-01,64.8
2015-01-02,64.1
2015-01-05,63.25
2015-01-06,62.05
2015-01-07,62.15
2015-01-08,62.55
2015-01-09,63.15
2015-01-12,64.1
2015-01-13,64.35
2015-01-14,64.05
2015-01-15,63.5
2015-01-16,63.3
2015-01-19,63.25
2015-01-20,63.0
2015-01-21,62.0
2015-01-22,62.6
2015-01-23,66.8
2015-01-27,68.3
2015-01-28,67.15
2015-01-29,65.6
2015-01-30,65.0
2015-02-02,69.2
2015-02-03,67.4
2015-02-04,67.65
2015-02-05,66.75
2015-02-06,65.1
2015-02-09,66.15
2015-02-10,64.75
2015-02-11,65.45
2015-02-12,65.05
2015-02-13,64.85
2015-02-16,65.5
2015-02-18,63.4
2015-02-19,67.4
2015-02-20,70.1
2015-02-23,69.1
2015-02-24,67.55
2015-02-25,67.3
2015-02-26,66.1
2015-02-27,69.8
2015-02-28,70.5
2015-03-02,69.95
2015-03-03,68.1
2015-03-04,66.6
2015-03-05,67.05
2015-03-09,66.35
2015-03-10,66.8
2015-03-11,65.5
2015-03-12,65.55
2015-03-13,64.2
2015-03-16,65.35
2015-03-17,62.9
2015-03-18,63.3
2015-03-19,63.4
2015-03-20,64.7
2015-03-23,63.85
2015-03-24,62.0
2015-03-25,63.05
2015-03-26,64.0
2015-03-27,62.85
2015-03-30,63.25
2015-03-31,63.05
2015-04-01,64.2
2015-04-06,64.1
2015-04-07,65.25
2015-04-08,64.7
2015-04-09,64.8
2015-04-10,65.8
2015-04-13,63.25
2015-04-15,65.35
2015-04-16,64.8
2015-04-17,64.65
2015-04-20,64.95
2015-04-21,65.0
2015-04-22,64.35
2015-04-23,64.9
2015-04-24,63.35
2015-04-27,65.25
2015-04-28,64.6
2015-04-29,66.15
2015-04-30,66.4
2015-05-04,66.35
2015-05-05,66.35
2015-05-06,63.75
2015-05-07,63.15
2015-05-08,63.15
2015-05-11,64.05
2015-05-12,65.0
2015-05-13,65.95
2015-05-14,65.45
2015-05-15,65.45
2015-05-18,65.1
2015-05-19,64.2
2015-05-20,64.95
2015-05-21,65.05
2015-05-22,64.05
2015-05-25,64.65
2015-05-26,64.6
2015-05-27,64.65
2015-05-28,64.7
2015-05-29,64.15
2015-06-01,64.4
2015-06-02,64.25
2015-06-03,60.8
2015-06-04,61.45
2015-06-05,62.0
2015-06-08,61.6
2015-06-09,63.85
2015-06-10,63.5
2015-06-11,62.15
2015-06-12,62.1
2015-06-15,63.05
2015-06-16,63.3
2015-06-17,62.25
2015-06-18,62.7
2015-06-19,64.0
2015-06-22,65.35
2015-06-23,65.5
2015-06-24,65.5
2015-06-25,66.25
2015-06-26,65.4
2015-06-29,64.8
2015-06-30,64.05
2015-07-01,64.3
2015-07-02,64.35
2015-07-03,65.0
2015-07-06,64.0
2015-07-07,65.3
2015-07-08,63.6
2015-07-09,64.0
2015-07-10,63.5
2015-07-13,62.5
2015-07-14,64.0
2015-07-15,62.05
2015-07-16,63.0
2015-07-17,63.0
2015-07-20,63.6
2015-07-21,63.0
2015-07-22,63.75
2015-07-23,63.8
2015-07-24,63.8
2015-07-27,62.2
2015-07-28,62.7
2015-07-29,61.55
2015-07-30,59.5
2015-07-31,58.85
2015-08-03,61.0
2015-08-04,64.15
2015-08-05,68.05
2015-08-06,77.0
2015-08-07,79.4
2015-08-10,78.2
2015-08-11,78.9
2015-08-12,79.2
2015-08-13,76.9
2015-08-14,76.5
2015-08-17,79.6
2015-08-18,78.8
2015-08-19,85.55
2015-08-20,84.4
2015-08-21,84.5
2015-08-24,79.2
2015-08-25,76.0
2015-08-26,78.0
2015-08-27,77.45
2015-08-28,77.0
2015-08-31,77.5
2015-09-01,76.25
2015-09-02,78.3
2015-09-03,75.2
2015-09-04,76.25
2015-09-07,77.25
2015-09-08,78.0
2015-09-09,77.2
2015-09-10,75.35
2015-09-11,75.75
2015-09-14,77.05
2015-09-15,78.0
2015-09-16,78.7
2015-09-18,78.15
2015-09-21,78.0
2015-09-22,78.8
2015-09-23,79.85
2015-09-24,84.85
2015-09-28,82.3
2015-09-29,81.1
2015-09-30,80.25
2015-10-01,80.3
2015-10-05,78.25
2015-10-06,79.6
2015-10-07,79.0
2015-10-08,79.2
2015-10-09,80.6
2015-10-12,82.55
2015-10-13,82.65
2015-10-14,83.85
2015-10-15,100.6
2015-10-16,109.6
2015-10-19,111.95
2015-10-20,110.9
2015-10-21,114.05
2015-10-23,122.75
2015-10-26,120.9
2015-10-27,116.3
2015-10-28,117.3
2015-10-29,112.2
2015-10-30,108.35
2015-11-02,106.2
2015-11-03,107.4
2015-11-04,103.3
2015-11-05,123.95
2015-11-06,130.05
2015-11-09,131.85
2015-11-10,125.95
2015-11-11,133.7
2015-11-13,124.95
2015-11-16,121.55
2015-11-17,119.95
2015-11-18,113.6
2015-11-19,112.75
2015-11-20,111.9
2015-11-23,111.35
2015-11-24,108.8
2015-11-26,109.1
2015-11-27,124.9
2015-11-30,121.15
2015-12-01,116.4
2015-12-02,116.55
2015-12-03,121.3
2015-12-04,127.2
2015-12-07,129.25
2015-12-08,133.2
2015-12-09,123.0
2015-12-10,128.65
2015-12-11,125.75
2015-12-14,127.4
2015-12-15,122.9
2015-12-16,118.0
2015-12-17,122.6
2015-12-18,128.5
2015-12-21,132.05
2015-12-22,135.05
2015-12-23,131.75
2015-12-24,131.05
2015-12-28,131.85
2015-12-29,128.0
2015-12-30,141.2
2015-12-31,148.05
