Date,WHEELS
2015-01-01,927.3
2015-01-02,928.2
2015-01-05,920.3
2015-01-06,930.6
2015-01-07,950.85
2015-01-08,1141.0
2015-01-09,1111.9
2015-01-12,1121.35
2015-01-13,1123.4
2015-01-14,1130.6
2015-01-15,1129.8
2015-01-16,1123.5
2015-01-19,1123.1
2015-01-20,1093.95
2015-01-21,1087.65
2015-01-22,1081.5
2015-01-23,1136.6
2015-01-27,1141.3
2015-01-28,1123.7
2015-01-29,1131.75
2015-01-30,1120.05
2015-02-02,1144.75
2015-02-03,1373.7
2015-02-04,1325.5
2015-02-05,1511.75
2015-02-06,1446.2
2015-02-09,1394.6
2015-02-10,1517.9
2015-02-11,1510.45
2015-02-12,1551.15
2015-02-13,1543.6
2015-02-16,1532.3
2015-02-18,1536.95
2015-02-19,1525.55
2015-02-20,1500.95
2015-02-23,1497.55
2015-02-24,1472.6
2015-02-25,1474.5
2015-02-26,1465.55
2015-02-27,1472.65
2015-02-28,1470.25
2015-03-02,1474.4
2015-03-03,1467.8
2015-03-04,1478.65
2015-03-05,1478.8
2015-03-09,1434.45
2015-03-10,1421.6
2015-03-11,1385.45
2015-03-12,1388.15
2015-03-13,1326.6
2015-03-16,1257.1
2015-03-17,1269.55
2015-03-18,1264.2
2015-03-19,1236.7
2015-03-20,1205.6
2015-03-23,1179.85
2015-03-24,1161.15
2015-03-25,1105.9
2015-03-26,1143.3
2015-03-27,1246.0
2015-03-30,1283.0
2015-03-31,1275.45
2015-04-01,1266.95
2015-04-06,1273.7
2015-04-07,1266.45
2015-04-08,1258.7
2015-04-09,1320.05
2015-04-10,1334.85
2015-04-13,1307.95
2015-04-15,1269.85
2015-04-16,1239.45
2015-04-17,1280.05
2015-04-20,1283.1
2015-04-21,1285.6
2015-04-22,1281.0
2015-04-23,1287.9
2015-04-24,1182.1
2015-04-27,1206.35
2015-04-28,1255.8
2015-04-29,1254.0
2015-04-30,1266.25
2015-05-04,1269.2
2015-05-05,1261.95
2015-05-06,1248.35
2015-05-07,1221.45
2015-05-08,1270.1
2015-05-11,1260.8
2015-05-12,1223.0
2015-05-13,1243.45
2015-05-14,1245.2
2015-05-15,1250.05
2015-05-18,1292.75
2015-05-19,1265.35
2015-05-20,1252.7
2015-05-21,1255.1
2015-05-22,1241.85
2015-05-25,1225.25
2015-05-26,1220.3
2015-05-27,1233.7
2015-05-28,1213.7
2015-05-29,1220.75
2015-06-01,1217.6
2015-06-02,1196.85
2015-06-03,1150.65
2015-06-04,1143.7
2015-06-05,1138.05
2015-06-08,1098.8
2015-06-09,1032.65
2015-06-10,1056.0
2015-06-11,1208.1
2015-06-12,1189.7
2015-06-15,1193.55
2015-06-16,1186.0
2015-06-17,1199.85
2015-06-18,1192.95
2015-06-19,1189.5
2015-06-22,1193.05
2015-06-23,1194.6
2015-06-24,1175.55
2015-06-25,1205.5
2015-06-26,1317.1
2015-06-29,1261.3
2015-06-30,1256.6
2015-07-01,1261.2
2015-07-02,1259.6
2015-07-03,1262.3
2015-07-06,1246.75
2015-07-07,1244.3
2015-07-08,1231.15
2015-07-09,1223.0
2015-07-10,1218.4
2015-07-13,1231.45
