Date,SICAL
2015-01-01,169.1
2015-01-02,189.45
2015-01-05,189.1
2015-01-06,164.95
2015-01-07,165.95
2015-01-08,173.25
2015-01-09,168.85
2015-01-12,171.2
2015-01-13,169.4
2015-01-14,163.95
2015-01-15,186.95
2015-01-16,170.35
2015-01-19,171.05
2015-01-20,172.8
2015-01-21,168.3
2015-01-22,168.55
2015-01-23,173.1
2015-01-27,166.1
2015-01-28,170.3
2015-01-29,174.6
2015-01-30,175.75
2015-02-02,185.6
2015-02-03,182.5
2015-02-04,177.35
2015-02-05,168.5
2015-02-06,162.85
2015-02-09,160.05
2015-02-10,156.7
2015-02-11,159.7
2015-02-12,171.55
2015-02-13,178.3
2015-02-16,175.85
2015-02-18,172.25
2015-02-19,169.0
2015-02-20,169.15
2015-02-23,169.3
2015-02-24,168.0
2015-02-25,175.1
2015-02-26,174.35
2015-02-27,179.25
2015-02-28,179.05
2015-03-02,184.3
2015-03-03,182.75
2015-03-04,181.45
2015-03-05,177.55
2015-03-09,174.75
2015-03-10,185.8
2015-03-11,184.05
2015-03-12,187.7
2015-03-13,177.6
2015-03-16,172.7
2015-03-17,171.55
2015-03-18,176.9
2015-03-19,171.5
2015-03-20,166.3
2015-03-23,161.5
2015-03-24,159.45
2015-03-25,157.85
2015-03-26,156.3
2015-03-27,153.8
2015-03-30,158.25
2015-03-31,157.95
2015-04-01,165.3
2015-04-06,166.0
2015-04-07,168.2
2015-04-08,170.4
2015-04-09,168.55
2015-04-10,168.5
2015-04-13,167.75
2015-04-15,164.75
2015-04-16,162.45
2015-04-17,160.4
2015-04-20,151.45
2015-04-21,154.0
2015-04-22,151.1
2015-04-23,152.2
2015-04-24,140.8
2015-04-27,132.15
2015-04-28,137.05
2015-04-29,136.25
2015-04-30,138.7
2015-05-04,140.4
2015-05-05,148.15
2015-05-06,138.1
2015-05-07,131.95
2015-05-08,132.85
2015-05-11,132.1
2015-05-12,125.45
2015-05-13,126.5
2015-05-14,125.5
2015-05-15,133.25
2015-05-18,127.35
2015-05-19,125.9
2015-05-20,127.85
2015-05-21,128.7
2015-05-22,126.75
2015-05-25,126.15
2015-05-26,123.9
2015-05-27,125.85
2015-05-28,129.2
2015-05-29,125.75
2015-06-01,126.2
2015-06-02,123.2
2015-06-03,120.3
2015-06-04,120.1
2015-06-05,122.1
2015-06-08,118.45
2015-06-09,116.1
2015-06-10,119.35
2015-06-11,115.05
2015-06-12,116.35
2015-06-15,120.85
2015-06-16,122.9
2015-06-17,124.65
2015-06-18,127.15
2015-06-19,147.7
2015-06-22,149.5
2015-06-23,156.75
2015-06-24,152.7
2015-06-25,152.45
2015-06-26,150.3
2015-06-29,146.4
2015-06-30,144.05
2015-07-01,145.35
2015-07-02,152.4
2015-07-03,150.65
2015-07-06,157.7
2015-07-07,160.95
2015-07-08,152.85
2015-07-09,151.0
2015-07-10,151.1
2015-07-13,169.05
2015-07-14,170.1
2015-07-15,166.95
2015-07-16,164.8
2015-07-17,163.9
2015-07-20,168.45
2015-07-21,165.6
2015-07-22,166.4
2015-07-23,168.1
2015-07-24,185.3
2015-07-27,180.75
2015-07-28,186.3
2015-07-29,187.05
2015-07-30,187.35
2015-07-31,188.05
2015-08-03,181.95
2015-08-04,192.15
2015-08-05,192.8
2015-08-06,188.35
2015-08-07,186.35
2015-08-10,182.75
2015-08-11,173.75
2015-08-12,176.05
2015-08-13,165.8
2015-08-14,171.4
2015-08-17,168.7
2015-08-18,169.9
2015-08-19,178.1
2015-08-20,169.2
2015-08-21,167.35
2015-08-24,151.8
2015-08-25,147.4
2015-08-26,149.6
2015-08-27,155.1
2015-08-28,168.55
2015-08-31,171.9
2015-09-01,163.7
2015-09-02,169.2
2015-09-03,167.15
2015-09-04,155.95
2015-09-07,154.35
2015-09-08,157.4
2015-09-09,156.75
2015-09-10,153.7
2015-09-11,158.8
2015-09-14,157.95
2015-09-15,155.1
2015-09-16,151.7
2015-09-18,154.7
2015-09-21,155.0
2015-09-22,154.4
2015-09-23,156.7
2015-09-24,156.7
2015-09-28,164.75
2015-09-29,160.85
2015-09-30,157.15
2015-10-01,161.7
2015-10-05,158.9
2015-10-06,155.65
2015-10-07,167.85
2015-10-08,169.85
2015-10-09,170.05
2015-10-12,165.5
2015-10-13,165.0
2015-10-14,168.3
2015-10-15,163.6
2015-10-16,159.25
2015-10-19,157.3
2015-10-20,150.25
2015-10-21,147.25
2015-10-23,149.6
2015-10-26,148.55
2015-10-27,149.05
2015-10-28,146.75
2015-10-29,139.3
2015-10-30,132.8
2015-11-02,125.1
2015-11-03,140.4
2015-11-04,148.35
2015-11-05,142.2
2015-11-06,140.45
2015-11-09,139.3
2015-11-10,137.1
2015-11-11,140.8
2015-11-13,134.0
2015-11-16,139.15
2015-11-17,136.5
2015-11-18,136.55
2015-11-19,141.45
2015-11-20,138.95
2015-11-23,136.85
2015-11-24,139.4
2015-11-26,144.65
2015-11-27,145.15
2015-11-30,139.0
2015-12-01,134.6
2015-12-02,136.8
2015-12-03,137.05
2015-12-04,138.65
2015-12-07,138.6
2015-12-08,133.6
2015-12-09,127.35
2015-12-10,132.8
2015-12-11,137.25
2015-12-14,134.6
2015-12-15,134.35
2015-12-16,143.2
2015-12-17,145.0
2015-12-18,145.7
2015-12-21,145.6
2015-12-22,142.65
2015-12-23,146.35
2015-12-24,146.8
2015-12-28,146.3
2015-12-29,142.4
2015-12-30,141.0
2015-12-31,144.9
