Date,SHARONBIO
2015-01-01,37.05
2015-01-02,38.9
2015-01-05,39.95
2015-01-06,38.0
2015-01-07,36.1
2015-01-08,34.65
2015-01-09,32.95
2015-01-12,31.35
2015-01-13,29.8
2015-01-14,30.45
2015-01-15,29.1
2015-01-16,29.0
2015-01-19,29.2
2015-01-20,29.05
2015-01-21,27.85
2015-01-22,26.65
2015-01-23,27.9
2015-01-27,26.75
2015-01-28,26.25
2015-01-29,25.8
2015-01-30,26.55
2015-02-02,25.85
2015-02-03,26.05
2015-02-04,25.45
2015-02-05,24.7
2015-02-06,24.3
2015-02-09,23.15
2015-02-10,23.05
2015-02-11,23.4
2015-02-12,22.65
2015-02-13,22.85
2015-02-16,21.75
2015-02-18,20.7
2015-02-19,19.7
2015-02-20,19.4
2015-02-23,18.75
2015-02-24,17.85
2015-02-25,17.0
2015-02-26,16.15
2015-02-27,16.95
2015-02-28,17.75
2015-03-02,18.6
2015-03-03,19.5
2015-03-04,20.45
2015-03-05,21.45
2015-03-09,19.75
2015-03-10,19.95
2015-03-11,21.9
2015-03-12,24.05
2015-03-13,23.75
2015-03-16,21.4
2015-03-17,19.65
2015-03-18,18.4
2015-03-19,18.0
2015-03-20,18.8
2015-03-23,18.15
2015-03-24,17.6
2015-03-25,17.95
2015-03-26,17.6
2015-03-27,18.25
2015-03-30,18.65
2015-03-31,18.0
2015-04-01,18.3
2015-04-06,18.25
2015-04-07,18.35
2015-04-08,18.5
2015-04-09,19.35
2015-04-10,21.25
2015-04-13,23.35
2015-04-15,24.5
2015-04-16,23.3
2015-04-17,22.15
2015-04-20,21.05
2015-04-21,20.0
2015-04-22,19.0
2015-04-23,19.95
2015-04-24,20.8
2015-04-27,19.8
2015-04-28,18.9
2015-04-29,18.9
2015-04-30,18.7
2015-05-04,18.65
2015-05-05,18.45
2015-05-06,17.7
2015-05-07,17.2
2015-05-08,17.1
2015-05-11,16.95
2015-05-12,16.7
2015-05-13,17.5
2015-05-14,16.75
2015-05-15,16.2
2015-05-18,16.0
2015-05-19,16.8
2015-05-20,17.6
2015-05-21,17.9
2015-05-22,18.7
2015-05-25,17.8
2015-05-26,16.95
2015-05-27,16.35
2015-05-28,16.9
2015-05-29,16.75
2015-06-01,16.3
2015-06-02,16.0
2015-06-03,15.65
2015-06-04,14.9
2015-06-05,14.6
2015-06-08,14.6
2015-06-09,13.95
2015-06-10,15.3
2015-06-11,14.0
2015-06-12,14.0
2015-06-15,14.55
2015-06-16,14.15
2015-06-17,13.85
2015-06-18,13.85
2015-06-19,13.9
2015-06-22,13.75
2015-06-23,13.75
2015-06-24,13.65
2015-06-25,13.55
2015-06-26,13.1
2015-06-29,12.65
2015-06-30,12.6
2015-07-01,13.05
2015-07-02,13.15
2015-07-03,13.15
2015-07-06,14.9
2015-07-07,17.85
2015-07-08,19.65
2015-07-09,20.45
2015-07-10,21.4
2015-07-13,19.3
2015-07-14,17.4
2015-07-15,17.1
2015-07-16,16.95
2015-07-17,17.35
2015-07-20,16.9
2015-07-21,16.55
2015-07-22,16.35
2015-07-23,16.05
2015-07-24,15.8
2015-07-27,15.15
2015-07-28,15.0
2015-07-29,14.8
2015-07-30,16.25
2015-07-31,17.15
2015-08-03,17.1
2015-08-04,16.65
2015-08-05,16.25
2015-08-06,16.35
2015-08-07,16.95
2015-08-10,18.75
2015-08-11,18.6
2015-08-12,17.75
2015-08-13,17.65
2015-08-14,17.75
2015-08-17,17.8
2015-08-18,21.35
2015-08-19,25.25
2015-08-20,22.75
2015-08-21,23.05
2015-08-24,20.75
2015-08-25,19.1
2015-08-26,19.15
2015-08-27,18.45
2015-08-28,17.85
2015-08-31,17.0
2015-09-01,16.65
2015-09-02,16.9
2015-09-03,16.85
2015-09-04,16.15
2015-09-07,15.65
2015-09-08,15.55
2015-09-09,16.15
2015-09-10,16.1
2015-09-11,16.2
2015-09-14,16.35
2015-09-15,17.15
2015-09-16,18.0
2015-09-18,18.1
2015-09-21,17.85
2015-09-22,17.55
2015-09-23,17.5
2015-09-24,17.3
2015-09-28,17.25
2015-09-29,17.3
2015-09-30,17.55
2015-10-01,17.3
2015-10-05,18.0
2015-10-06,17.95
2015-10-07,18.65
2015-10-08,19.0
2015-10-09,18.8
2015-10-12,18.1
2015-10-13,18.05
2015-10-14,18.15
2015-10-15,18.4
2015-10-16,17.95
2015-10-19,18.15
2015-10-20,18.05
2015-10-21,18.1
2015-10-23,17.9
2015-10-26,17.9
2015-10-27,17.6
2015-10-28,19.35
2015-10-29,21.25
2015-10-30,22.05
2015-11-02,21.3
2015-11-03,20.25
2015-11-04,20.35
2015-11-05,20.8
2015-11-06,20.6
2015-11-09,22.0
2015-11-10,20.1
2015-11-11,19.85
2015-11-13,19.75
2015-11-16,19.95
2015-11-17,19.8
2015-11-18,19.6
2015-11-19,20.3
2015-11-20,19.8
2015-11-23,19.6
2015-11-24,21.0
2015-11-26,21.3
2015-11-27,20.7
2015-11-30,20.35
2015-12-01,21.25
2015-12-02,21.2
2015-12-03,21.95
2015-12-04,21.45
2015-12-07,20.95
2015-12-08,24.85
2015-12-09,24.05
2015-12-10,27.65
2015-12-11,31.4
2015-12-14,29.0
2015-12-15,29.7
2015-12-16,29.8
2015-12-17,31.2
2015-12-18,30.0
2015-12-21,30.8
2015-12-22,30.5
2015-12-23,29.95
2015-12-24,29.4
2015-12-28,29.35
2015-12-29,28.45
2015-12-30,28.45
2015-12-31,27.7
