Date,SOBHA
2015-01-01,482.2
2015-01-02,476.4
2015-01-05,476.8
2015-01-06,456.25
2015-01-07,457.6
2015-01-08,464.3
2015-01-09,465.45
2015-01-12,465.8
2015-01-13,469.95
2015-01-14,468.55
2015-01-15,501.85
2015-01-16,500.95
2015-01-19,493.25
2015-01-20,500.9
2015-01-21,500.8
2015-01-22,497.5
2015-01-23,497.05
2015-01-27,497.8
2015-01-28,500.5
2015-01-29,483.65
2015-01-30,471.9
2015-02-02,469.1
2015-02-03,469.75
2015-02-04,469.35
2015-02-05,462.1
2015-02-06,452.2
2015-02-09,472.2
2015-02-10,471.45
2015-02-11,463.45
2015-02-12,464.15
2015-02-13,453.85
2015-02-16,436.1
2015-02-18,435.35
2015-02-19,442.2
2015-02-20,442.1
2015-02-23,469.8
2015-02-24,469.5
2015-02-25,458.95
2015-02-26,460.8
2015-02-27,477.65
2015-02-28,476.7
2015-03-02,497.75
2015-03-03,493.35
2015-03-04,480.9
2015-03-05,463.85
2015-03-09,448.75
2015-03-10,444.55
2015-03-11,438.8
2015-03-12,439.95
2015-03-13,435.5
2015-03-16,406.7
2015-03-17,418.15
2015-03-18,430.65
2015-03-19,433.5
2015-03-20,423.05
2015-03-23,404.4
2015-03-24,406.1
2015-03-25,391.6
2015-03-26,386.5
2015-03-27,380.45
2015-03-30,397.95
2015-03-31,402.05
2015-04-01,399.9
2015-04-06,406.75
2015-04-07,398.75
2015-04-08,412.9
2015-04-09,425.75
2015-04-10,460.65
2015-04-13,442.1
2015-04-15,436.95
2015-04-16,420.95
2015-04-17,413.1
2015-04-20,408.65
2015-04-21,418.75
2015-04-22,409.1
2015-04-23,408.1
2015-04-24,389.45
2015-04-27,390.15
2015-04-28,389.85
2015-04-29,390.5
2015-04-30,391.9
2015-05-04,412.15
2015-05-05,426.35
2015-05-06,421.0
2015-05-07,396.05
2015-05-08,417.05
2015-05-11,417.45
2015-05-12,406.85
2015-05-13,385.15
2015-05-14,384.95
2015-05-15,384.15
2015-05-18,389.3
2015-05-19,388.9
2015-05-20,404.5
2015-05-21,419.0
2015-05-22,428.05
2015-05-25,428.65
2015-05-26,434.95
2015-05-27,435.2
2015-05-28,418.0
2015-05-29,429.2
2015-06-01,433.75
2015-06-02,416.8
2015-06-03,416.0
2015-06-04,402.6
2015-06-05,401.05
2015-06-08,396.35
2015-06-09,389.75
2015-06-10,381.65
2015-06-11,375.55
2015-06-12,369.75
2015-06-15,374.0
2015-06-16,372.9
2015-06-17,375.9
2015-06-18,364.95
2015-06-19,351.75
2015-06-22,359.95
2015-06-23,359.45
2015-06-24,362.45
2015-06-25,354.9
2015-06-26,364.05
2015-06-29,355.15
2015-06-30,356.5
2015-07-01,360.65
2015-07-02,362.35
2015-07-03,361.65
2015-07-06,365.75
2015-07-07,383.1
2015-07-08,369.6
2015-07-09,374.85
2015-07-10,363.4
2015-07-13,364.2
2015-07-14,364.95
2015-07-15,364.4
2015-07-16,364.05
2015-07-17,367.45
2015-07-20,358.95
2015-07-21,355.1
2015-07-22,360.9
2015-07-23,363.35
2015-07-24,358.6
2015-07-27,345.15
2015-07-28,332.7
2015-07-29,324.85
2015-07-30,327.55
2015-07-31,350.6
2015-08-03,353.2
2015-08-04,351.0
2015-08-05,354.0
2015-08-06,360.95
2015-08-07,354.1
2015-08-10,335.4
2015-08-11,333.05
2015-08-12,316.4
2015-08-13,306.75
2015-08-14,315.4
2015-08-17,318.2
2015-08-18,319.2
2015-08-19,320.85
2015-08-20,311.65
2015-08-21,302.4
2015-08-24,290.15
2015-08-25,288.0
2015-08-26,286.5
2015-08-27,293.5
2015-08-28,289.35
2015-08-31,283.0
2015-09-01,284.8
2015-09-02,272.2
2015-09-03,277.8
2015-09-04,276.45
2015-09-07,266.85
2015-09-08,259.15
2015-09-09,258.45
2015-09-10,255.15
2015-09-11,265.1
2015-09-14,273.6
2015-09-15,268.85
2015-09-16,258.55
2015-09-18,252.35
2015-09-21,251.5
2015-09-22,251.95
2015-09-23,251.15
2015-09-24,251.6
2015-09-28,263.05
2015-09-29,273.1
2015-09-30,278.65
2015-10-01,275.05
2015-10-05,279.15
2015-10-06,281.3
2015-10-07,275.15
2015-10-08,281.2
2015-10-09,298.7
2015-10-12,302.8
2015-10-13,306.3
2015-10-14,313.1
2015-10-15,314.3
2015-10-16,312.4
2015-10-19,310.2
2015-10-20,309.85
2015-10-21,308.95
2015-10-23,315.85
2015-10-26,326.05
2015-10-27,325.7
2015-10-28,312.05
2015-10-29,314.5
2015-10-30,324.5
2015-11-02,335.7
2015-11-03,343.1
2015-11-04,331.4
2015-11-05,326.9
2015-11-06,334.2
2015-11-09,327.15
2015-11-10,329.85
2015-11-11,333.35
2015-11-13,329.0
2015-11-16,326.1
2015-11-17,313.0
2015-11-18,300.65
2015-11-19,306.15
2015-11-20,300.25
2015-11-23,301.45
2015-11-24,301.75
2015-11-26,302.3
2015-11-27,308.05
2015-11-30,309.35
2015-12-01,302.0
2015-12-02,301.1
2015-12-03,302.1
2015-12-04,301.1
2015-12-07,319.8
2015-12-08,322.2
2015-12-09,309.2
2015-12-10,311.05
2015-12-11,309.5
2015-12-14,309.05
2015-12-15,310.6
2015-12-16,308.95
2015-12-17,310.6
2015-12-18,322.35
2015-12-21,313.9
2015-12-22,310.25
2015-12-23,312.9
2015-12-24,313.75
2015-12-28,318.65
2015-12-29,315.8
2015-12-30,311.55
2015-12-31,310.35
