Date,GTL
2015-01-01,16.85
2015-01-02,17.0
2015-01-05,18.6
2015-01-06,17.3
2015-01-07,17.1
2015-01-08,17.5
2015-01-09,17.15
2015-01-12,17.45
2015-01-13,17.1
2015-01-14,17.0
2015-01-15,17.3
2015-01-16,17.1
2015-01-19,17.6
2015-01-20,17.15
2015-01-21,17.0
2015-01-22,16.7
2015-01-23,16.1
2015-01-27,16.05
2015-01-28,15.75
2015-01-29,15.7
2015-01-30,16.55
2015-02-02,16.65
2015-02-03,16.55
2015-02-04,16.3
2015-02-05,16.2
2015-02-06,15.75
2015-02-09,15.1
2015-02-10,15.0
2015-02-11,15.15
2015-02-12,15.55
2015-02-13,15.4
2015-02-16,15.8
2015-02-18,15.8
2015-02-19,15.8
2015-02-20,16.5
2015-02-23,16.25
2015-02-24,16.25
2015-02-25,16.0
2015-02-26,15.85
2015-02-27,16.25
2015-02-28,16.15
2015-03-02,15.9
2015-03-03,15.9
2015-03-04,15.35
2015-03-05,15.3
2015-03-09,15.4
2015-03-10,15.15
2015-03-11,14.9
2015-03-12,15.0
2015-03-13,14.5
2015-03-16,14.2
2015-03-17,13.9
2015-03-18,13.75
2015-03-19,13.3
2015-03-20,12.8
2015-03-23,12.2
2015-03-24,11.75
2015-03-25,11.4
2015-03-26,11.35
2015-03-27,11.2
2015-03-30,11.55
2015-03-31,12.25
2015-04-01,14.7
2015-04-06,15.9
2015-04-07,15.6
2015-04-08,15.85
2015-04-09,15.55
2015-04-10,15.5
2015-04-13,15.8
2015-04-15,15.55
2015-04-16,15.0
2015-04-17,14.75
2015-04-20,14.0
2015-04-21,14.0
2015-04-22,14.0
2015-04-23,14.0
2015-04-24,13.4
2015-04-27,13.05
2015-04-28,13.3
2015-04-29,13.05
2015-04-30,13.1
2015-05-04,13.9
2015-05-05,13.9
2015-05-06,13.2
2015-05-07,12.9
2015-05-08,13.25
2015-05-11,13.25
2015-05-12,12.8
2015-05-13,12.95
2015-05-14,12.95
2015-05-15,13.05
2015-05-18,13.15
2015-05-19,13.05
2015-05-20,13.15
2015-05-21,13.0
2015-05-22,13.45
2015-05-25,13.35
2015-05-26,13.15
2015-05-27,12.8
2015-05-28,12.75
2015-05-29,12.7
2015-06-01,13.0
2015-06-02,12.7
2015-06-03,10.7
2015-06-04,11.15
2015-06-05,11.05
2015-06-08,10.85
2015-06-09,10.7
2015-06-10,11.25
2015-06-11,10.95
2015-06-12,10.9
2015-06-15,11.15
2015-06-16,10.9
2015-06-17,11.05
2015-06-18,11.2
2015-06-19,11.15
2015-06-22,11.35
2015-06-23,11.4
2015-06-24,11.15
2015-06-25,11.1
2015-06-26,11.1
2015-06-29,11.0
2015-06-30,11.05
2015-07-01,11.3
2015-07-02,11.2
2015-07-03,11.2
2015-07-06,11.4
2015-07-07,11.95
2015-07-08,11.85
2015-07-09,13.2
2015-07-10,12.8
2015-07-13,13.4
2015-07-14,13.05
2015-07-15,13.15
2015-07-16,13.15
2015-07-17,13.15
2015-07-20,13.0
2015-07-21,12.75
2015-07-22,12.65
2015-07-23,12.8
2015-07-24,12.4
2015-07-27,12.35
2015-07-28,12.05
2015-07-29,11.95
2015-07-30,12.1
2015-07-31,12.25
2015-08-03,12.75
2015-08-04,13.1
2015-08-05,15.55
2015-08-06,15.15
2015-08-07,14.6
2015-08-10,14.15
2015-08-11,13.9
2015-08-12,12.95
2015-08-13,12.5
2015-08-14,12.9
2015-08-17,12.85
2015-08-18,12.75
2015-08-19,12.6
2015-08-20,12.6
2015-08-21,12.2
2015-08-24,11.0
2015-08-25,11.1
2015-08-26,10.95
2015-08-27,11.1
2015-08-28,10.9
2015-08-31,10.8
2015-09-01,10.6
2015-09-02,10.5
2015-09-03,10.65
2015-09-04,10.35
2015-09-07,10.15
2015-09-08,10.15
2015-09-09,10.65
2015-09-10,10.6
2015-09-11,10.55
2015-09-14,10.7
2015-09-15,11.0
2015-09-16,10.75
2015-09-18,10.95
2015-09-21,11.25
2015-09-22,10.95
2015-09-23,11.0
2015-09-24,10.9
2015-09-28,10.95
2015-09-29,11.1
2015-09-30,11.2
2015-10-01,11.6
2015-10-05,11.9
2015-10-06,11.8
2015-10-07,12.25
2015-10-08,12.25
2015-10-09,12.3
2015-10-12,12.5
2015-10-13,13.45
2015-10-14,13.95
2015-10-15,13.75
2015-10-16,13.4
2015-10-19,13.5
2015-10-20,13.7
2015-10-21,13.5
2015-10-23,13.45
2015-10-26,13.3
2015-10-27,13.35
2015-10-28,13.05
2015-10-29,13.0
2015-10-30,12.65
2015-11-02,12.7
2015-11-03,12.45
2015-11-04,12.25
2015-11-05,11.95
2015-11-06,11.8
2015-11-09,11.8
2015-11-10,11.95
2015-11-11,11.95
2015-11-13,11.8
2015-11-16,12.2
2015-11-17,12.35
2015-11-18,12.3
2015-11-19,12.45
2015-11-20,12.3
2015-11-23,12.25
2015-11-24,12.45
2015-11-26,13.1
2015-11-27,12.85
2015-11-30,13.95
2015-12-01,14.1
2015-12-02,13.65
2015-12-03,13.85
2015-12-04,13.55
2015-12-07,14.05
2015-12-08,13.35
2015-12-09,12.75
2015-12-10,12.95
2015-12-11,12.45
2015-12-14,12.5
2015-12-15,12.45
2015-12-16,12.65
2015-12-17,12.8
2015-12-18,13.1
2015-12-21,13.85
2015-12-22,14.9
2015-12-23,15.0
2015-12-24,14.75
2015-12-28,14.7
2015-12-29,16.4
2015-12-30,16.5
2015-12-31,16.2
