Date,SUJANAUNI
2015-01-01,2.1
2015-01-02,2.2
2015-01-05,2.1
2015-01-06,2.05
2015-01-07,2.0
2015-01-08,2.05
2015-01-09,2.1
2015-01-12,2.1
2015-01-13,2.05
2015-01-14,2.1
2015-01-15,2.05
2015-01-16,2.0
2015-01-19,2.0
2015-01-20,1.95
2015-01-21,1.95
2015-01-22,1.95
2015-01-23,1.9
2015-01-27,1.9
2015-01-28,1.85
2015-01-29,1.75
2015-01-30,1.85
2015-02-02,1.75
2015-02-03,1.75
2015-02-04,1.75
2015-02-05,1.7
2015-02-06,1.75
2015-02-09,1.7
2015-02-10,1.7
2015-02-11,1.65
2015-02-12,1.95
2015-02-13,1.8
2015-02-16,1.75
2015-02-18,1.75
2015-02-19,1.7
2015-02-20,1.8
2015-02-23,1.7
2015-02-24,1.7
2015-02-25,1.7
2015-02-26,1.7
2015-02-27,1.75
2015-02-28,1.75
2015-03-02,1.75
2015-03-03,1.7
2015-03-04,1.65
2015-03-05,1.9
2015-03-09,2.15
2015-03-10,2.1
2015-03-11,2.0
2015-03-12,1.95
2015-03-13,1.8
2015-03-16,1.95
2015-03-17,1.75
2015-03-18,1.75
2015-03-19,1.7
2015-03-20,1.55
2015-03-23,1.75
2015-03-24,1.65
2015-03-25,1.65
2015-03-26,1.6
2015-03-27,1.55
2015-03-30,1.6
2015-03-31,1.65
2015-04-01,1.9
2015-04-06,1.85
2015-04-07,1.8
2015-04-08,1.75
2015-04-09,1.75
2015-04-10,1.65
2015-04-13,1.7
2015-04-15,1.75
2015-04-16,1.9
2015-04-17,1.75
2015-04-20,1.75
2015-04-21,1.65
2015-04-22,1.6
2015-04-23,1.55
2015-04-24,1.65
2015-04-27,1.55
2015-04-28,1.5
2015-04-29,1.55
2015-04-30,1.5
2015-05-04,1.5
2015-05-05,1.55
2015-05-06,1.5
2015-05-07,1.55
2015-05-08,1.5
2015-05-11,1.45
2015-05-12,1.5
2015-05-13,1.5
2015-05-14,1.5
2015-05-15,1.5
2015-05-18,1.4
2015-05-19,1.4
2015-05-20,1.45
2015-05-21,1.4
2015-05-22,1.4
2015-05-25,1.4
2015-05-26,1.4
2015-05-27,1.3
2015-05-28,1.35
2015-05-29,1.35
2015-06-01,1.45
2015-06-02,1.5
2015-06-03,1.25
2015-06-04,1.4
2015-06-05,1.35
2015-06-08,1.35
2015-06-09,1.25
2015-06-10,1.25
2015-06-11,1.2
2015-06-12,1.25
2015-06-15,1.25
2015-06-16,1.2
2015-06-17,1.2
2015-06-18,1.3
2015-06-19,1.35
2015-06-22,1.4
2015-06-23,1.4
2015-06-24,1.3
2015-06-25,1.25
2015-06-26,1.2
2015-06-29,1.2
2015-06-30,1.35
2015-07-01,1.25
2015-07-02,1.25
2015-07-03,1.3
2015-07-06,1.3
2015-07-07,1.55
2015-07-08,1.4
2015-07-09,1.4
2015-07-10,1.45
2015-07-13,1.45
2015-07-14,1.4
2015-07-15,1.35
2015-07-16,1.45
2015-07-17,1.4
2015-07-20,1.4
2015-07-21,1.3
2015-07-22,1.3
2015-07-23,1.35
2015-07-24,1.3
2015-07-27,1.35
2015-07-28,1.4
2015-07-29,1.45
2015-07-30,1.45
2015-07-31,1.55
2015-08-03,1.75
2015-08-04,1.7
2015-08-05,1.6
2015-08-06,1.55
2015-08-07,1.55
2015-08-10,1.65
2015-08-11,1.6
2015-08-12,1.55
2015-08-13,1.45
2015-08-14,1.4
2015-08-17,1.45
2015-08-18,1.45
2015-08-19,1.4
2015-08-20,1.3
2015-08-21,1.4
2015-08-24,1.2
2015-08-25,1.2
2015-08-26,1.25
2015-08-27,1.3
2015-08-28,1.35
2015-08-31,1.3
2015-09-01,1.3
2015-09-02,1.2
2015-09-03,1.25
2015-09-04,1.2
2015-09-07,1.2
2015-09-08,1.3
2015-09-09,1.3
2015-09-10,1.25
2015-09-11,1.25
2015-09-14,1.3
2015-09-15,1.25
2015-09-16,1.3
2015-09-18,1.25
2015-09-21,1.25
2015-09-22,1.25
2015-09-23,1.15
2015-09-24,1.25
2015-09-28,1.2
2015-09-29,1.25
2015-09-30,1.2
2015-10-01,1.2
2015-10-05,1.25
2015-10-06,1.3
2015-10-07,1.3
2015-10-08,1.25
2015-10-09,1.35
2015-10-12,1.3
2015-10-13,1.3
2015-10-14,1.25
2015-10-15,1.35
2015-10-16,1.25
2015-10-19,1.2
2015-10-20,1.2
2015-10-21,1.15
2015-10-23,1.2
2015-10-26,1.15
2015-10-27,1.1
2015-10-28,1.1
2015-10-29,1.15
2015-10-30,1.15
2015-11-02,1.1
2015-11-03,1.1
2015-11-04,1.15
2015-11-05,1.1
2015-11-06,1.05
2015-11-09,1.15
2015-11-10,1.15
2015-11-11,1.1
2015-11-13,1.15
2015-11-16,1.15
2015-11-17,1.15
2015-11-18,1.15
2015-11-19,1.2
2015-11-20,1.15
2015-11-23,1.2
2015-11-24,1.15
2015-11-26,1.2
2015-11-27,1.35
2015-11-30,1.6
2015-12-01,1.4
2015-12-02,1.4
2015-12-03,1.4
2015-12-04,1.45
2015-12-07,1.5
2015-12-08,1.45
2015-12-09,1.4
2015-12-10,1.4
2015-12-11,1.35
2015-12-14,1.4
2015-12-15,1.4
2015-12-16,1.35
2015-12-17,1.4
2015-12-18,1.35
2015-12-21,1.5
2015-12-22,1.55
2015-12-23,1.65
2015-12-24,1.7
2015-12-28,1.75
2015-12-29,1.75
2015-12-30,1.75
2015-12-31,1.65
