Date,ARCOTECH
2015-01-01,352.85
2015-01-02,354.0
2015-01-05,354.3
2015-01-06,352.6
2015-01-07,351.75
2015-01-08,353.65
2015-01-09,353.2
2015-01-12,354.4
2015-01-13,354.55
2015-01-14,353.2
2015-01-15,355.3
2015-01-16,355.0
2015-01-19,353.7
2015-01-20,350.25
2015-01-21,339.0
2015-01-22,325.3
2015-01-23,329.2
2015-01-27,330.35
2015-01-28,341.5
2015-01-29,341.75
2015-01-30,340.7
2015-02-02,341.2
2015-02-03,340.75
2015-02-04,341.65
2015-02-05,342.3
2015-02-06,341.5
2015-02-09,341.15
2015-02-10,341.25
2015-02-11,341.9
2015-02-12,341.95
2015-02-13,347.15
2015-02-16,342.8
2015-02-18,344.15
2015-02-19,344.95
2015-02-20,344.9
2015-02-23,343.75
2015-02-24,344.6
2015-02-25,344.25
2015-02-26,342.5
2015-02-27,344.7
2015-02-28,344.25
2015-03-02,344.5
2015-03-03,343.3
2015-03-04,340.75
2015-03-05,340.35
2015-03-09,340.2
2015-03-10,340.35
2015-03-11,340.9
2015-03-12,342.55
2015-03-13,341.95
2015-03-16,340.45
2015-03-17,340.6
2015-03-18,340.5
2015-03-19,341.65
2015-03-20,340.55
2015-03-23,340.6
2015-03-24,341.9
2015-03-25,340.6
2015-03-26,338.55
2015-03-27,339.25
2015-03-30,343.65
2015-03-31,342.25
2015-04-01,345.2
2015-04-06,343.7
2015-04-07,343.1
2015-04-08,354.05
2015-04-09,350.4
2015-04-10,351.6
2015-04-13,352.05
2015-04-15,351.3
2015-04-16,350.65
2015-04-17,347.75
2015-04-20,345.5
2015-04-21,346.75
2015-04-22,351.15
2015-04-23,350.5
2015-04-24,350.45
2015-04-27,349.0
2015-04-28,351.1
2015-04-29,348.55
2015-04-30,346.35
2015-05-04,349.65
2015-05-05,347.75
2015-05-06,345.4
2015-05-07,346.25
2015-05-08,349.05
2015-05-11,349.6
2015-05-12,343.9
2015-05-13,348.6
2015-05-14,348.1
2015-05-15,346.7
2015-05-18,349.05
2015-05-19,347.05
2015-05-20,348.3
2015-05-21,346.45
2015-05-22,348.05
2015-05-25,347.7
2015-05-26,347.8
2015-05-27,346.9
2015-05-28,346.55
2015-05-29,345.1
2015-06-01,346.15
2015-06-02,340.9
2015-06-03,340.55
2015-06-04,341.5
2015-06-05,339.25
2015-06-08,337.1
2015-06-09,343.0
2015-06-10,345.2
2015-06-11,349.05
2015-06-12,348.85
2015-06-15,343.2
2015-06-16,344.0
2015-06-17,346.25
2015-06-18,346.65
2015-06-19,347.25
2015-06-22,349.3
2015-06-23,347.55
2015-06-24,345.4
2015-06-25,345.8
2015-06-26,341.95
2015-06-29,335.45
2015-06-30,333.2
2015-07-01,336.05
2015-07-02,333.95
2015-07-03,349.15
2015-07-06,350.8
2015-07-07,348.65
2015-07-08,348.1
2015-07-09,345.95
2015-07-10,346.1
2015-07-13,346.5
2015-07-14,345.75
2015-07-15,342.4
2015-07-16,344.25
2015-07-17,343.1
2015-07-20,344.3
2015-07-21,352.5
2015-07-22,351.4
2015-07-23,352.45
2015-07-24,345.8
2015-07-27,355.15
2015-07-28,355.3
2015-07-29,345.15
2015-07-30,340.55
2015-07-31,345.3
2015-08-03,347.55
2015-08-04,346.75
2015-08-05,349.6
2015-08-06,348.8
2015-08-07,349.0
2015-08-10,361.25
2015-08-11,361.8
2015-08-12,359.95
2015-08-13,361.7
2015-08-14,364.15
2015-08-17,360.4
2015-08-18,359.95
2015-08-19,359.5
2015-08-20,358.95
2015-08-21,357.5
2015-08-24,342.1
2015-08-25,348.65
2015-08-26,353.1
2015-08-27,356.5
2015-08-28,357.75
2015-08-31,349.95
2015-09-01,345.6
2015-09-02,346.0
2015-09-03,347.45
2015-09-04,342.05
2015-09-07,347.9
2015-09-08,351.1
2015-09-09,357.85
2015-09-10,354.5
2015-09-11,360.6
2015-09-14,367.7
2015-09-15,371.95
2015-09-16,376.4
2015-09-18,384.85
2015-09-21,387.75
2015-09-22,381.45
2015-09-23,377.8
2015-09-24,377.25
2015-09-28,388.8
2015-09-29,369.65
2015-09-30,380.45
2015-10-01,374.1
2015-10-05,385.9
2015-10-06,378.9
2015-10-07,378.95
2015-10-08,380.35
2015-10-09,380.7
2015-10-12,377.1
2015-10-13,377.9
2015-10-14,381.2
2015-10-15,382.5
2015-10-16,381.95
2015-10-19,386.5
2015-10-20,390.4
2015-10-21,395.4
2015-10-23,398.1
2015-10-26,319.55
2015-10-27,380.55
2015-10-28,367.95
2015-10-29,375.75
2015-10-30,364.85
2015-11-02,370.15
2015-11-03,367.05
2015-11-04,369.5
2015-11-05,366.15
2015-11-06,367.8
2015-11-09,366.45
2015-11-10,366.85
2015-11-11,369.05
2015-11-13,370.0
2015-11-16,368.7
2015-11-17,370.6
2015-11-18,372.15
2015-11-19,371.4
2015-11-20,393.55
2015-11-23,368.3
2015-11-24,372.35
2015-11-26,376.15
2015-11-27,374.35
2015-11-30,375.5
2015-12-01,374.1
2015-12-02,374.2
2015-12-03,362.5
2015-12-04,353.1
2015-12-07,379.3
2015-12-08,360.6
2015-12-09,385.55
2015-12-10,372.1
2015-12-11,352.9
2015-12-14,343.05
2015-12-15,346.8
2015-12-16,349.6
2015-12-17,355.95
2015-12-18,352.75
2015-12-21,353.15
2015-12-22,349.8
2015-12-23,349.35
2015-12-24,348.6
2015-12-28,348.7
2015-12-29,346.85
2015-12-30,346.8
2015-12-31,346.4
