Date,MBECL
2015-01-01,83.9
2015-01-02,82.2
2015-01-05,81.2
2015-01-06,77.1
2015-01-07,77.15
2015-01-08,82.5
2015-01-09,79.65
2015-01-12,82.35
2015-01-13,82.15
2015-01-14,80.65
2015-01-15,87.0
2015-01-16,87.1
2015-01-19,84.6
2015-01-20,86.5
2015-01-21,89.9
2015-01-22,87.3
2015-01-23,88.9
2015-01-27,90.2
2015-01-28,94.85
2015-01-29,95.15
2015-01-30,97.95
2015-02-02,111.0
2015-02-03,102.5
2015-02-04,102.4
2015-02-05,100.0
2015-02-06,94.7
2015-02-09,93.2
2015-02-10,89.65
2015-02-11,90.95
2015-02-12,90.3
2015-02-13,90.25
2015-02-16,88.95
2015-02-18,93.5
2015-02-19,92.65
2015-02-20,92.8
2015-02-23,92.65
2015-02-24,90.2
2015-02-25,89.6
2015-02-26,92.0
2015-02-27,93.2
2015-02-28,91.0
2015-03-02,89.95
2015-03-03,90.75
2015-03-04,98.65
2015-03-05,101.3
2015-03-09,96.6
2015-03-10,94.25
2015-03-11,94.0
2015-03-12,94.2
2015-03-13,92.65
2015-03-16,92.95
2015-03-17,91.05
2015-03-18,91.3
2015-03-19,89.65
2015-03-20,86.95
2015-03-23,83.05
2015-03-24,79.6
2015-03-25,82.65
2015-03-26,79.65
2015-03-27,80.6
2015-03-30,83.8
2015-03-31,83.4
2015-04-01,87.35
2015-04-06,91.6
2015-04-07,92.55
2015-04-08,94.6
2015-04-09,95.2
2015-04-10,94.95
2015-04-13,93.2
2015-04-15,90.1
2015-04-16,89.2
2015-04-17,88.1
2015-04-20,85.95
2015-04-21,85.15
2015-04-22,84.55
2015-04-23,84.55
2015-04-24,80.3
2015-04-27,78.45
2015-04-28,79.3
2015-04-29,78.95
2015-04-30,79.5
2015-05-04,80.9
2015-05-05,80.6
2015-05-06,78.95
2015-05-07,73.65
2015-05-08,73.95
2015-05-11,79.4
2015-05-12,76.7
2015-05-13,78.45
2015-05-14,79.35
2015-05-15,77.05
2015-05-18,79.7
2015-05-19,80.9
2015-05-20,80.55
2015-05-21,78.75
2015-05-22,77.65
2015-05-25,77.7
2015-05-26,77.35
2015-05-27,77.7
2015-05-28,76.0
2015-05-29,74.6
2015-06-01,76.05
2015-06-02,77.0
2015-06-03,73.8
2015-06-04,74.4
2015-06-05,74.6
2015-06-08,70.8
2015-06-09,69.1
2015-06-10,69.9
2015-06-11,66.55
2015-06-12,65.9
2015-06-15,66.55
2015-06-16,65.0
2015-06-17,68.45
2015-06-18,73.6
2015-06-19,73.4
2015-06-22,72.1
2015-06-23,75.1
2015-06-24,76.25
2015-06-25,78.1
2015-06-26,76.5
2015-06-29,74.0
2015-06-30,80.25
2015-07-01,96.3
2015-07-02,95.3
2015-07-03,97.6
2015-07-06,100.4
2015-07-07,99.7
2015-07-08,97.65
2015-07-09,98.65
2015-07-10,98.55
2015-07-13,98.4
2015-07-14,98.95
2015-07-15,99.0
2015-07-16,98.15
2015-07-17,98.05
2015-07-20,97.5
2015-07-21,97.2
2015-07-22,96.6
2015-07-23,96.6
2015-07-24,97.5
2015-07-27,98.05
2015-07-28,97.15
2015-07-29,97.0
2015-07-30,97.1
2015-07-31,97.85
2015-08-03,99.25
2015-08-04,98.2
2015-08-05,99.55
2015-08-06,98.6
2015-08-07,98.1
2015-08-10,98.25
2015-08-11,97.4
2015-08-12,97.0
2015-08-13,96.1
2015-08-14,96.1
2015-08-17,96.05
2015-08-18,96.0
2015-08-19,95.65
2015-08-20,94.5
2015-08-21,94.65
2015-08-24,93.45
2015-08-25,93.5
2015-08-26,94.0
2015-08-27,93.95
2015-08-28,94.3
2015-08-31,93.9
2015-09-01,93.05
2015-09-02,93.3
2015-09-03,93.45
2015-09-04,93.2
2015-09-07,93.65
2015-09-08,93.45
2015-09-09,94.05
2015-09-10,93.75
2015-09-11,93.8
2015-09-14,93.5
2015-09-15,93.5
2015-09-16,95.6
2015-09-18,95.85
2015-09-21,95.7
2015-09-22,95.55
2015-09-23,95.2
2015-09-24,95.65
2015-09-28,95.45
2015-09-29,95.45
2015-09-30,95.65
2015-10-01,95.6
2015-10-05,95.75
2015-10-06,96.0
2015-10-07,96.0
2015-10-08,97.0
2015-10-09,97.5
2015-10-12,97.85
2015-10-13,97.9
2015-10-14,97.5
2015-10-15,96.85
2015-10-16,96.5
2015-10-19,96.9
2015-10-20,96.95
2015-10-21,97.0
2015-10-23,97.05
2015-10-26,97.05
2015-10-27,97.25
2015-10-28,97.05
2015-10-29,96.85
2015-10-30,97.0
2015-11-02,97.05
2015-11-03,97.1
2015-11-04,97.1
2015-11-05,97.0
2015-11-06,97.0
2015-11-09,96.55
2015-11-10,96.55
2015-11-11,96.35
2015-11-13,96.55
2015-11-16,95.7
2015-11-17,95.1
2015-11-18,95.0
2015-11-19,95.6
2015-11-20,97.0
2015-11-23,96.15
2015-11-24,95.55
2015-11-26,95.25
2015-11-27,95.3
2015-11-30,95.2
2015-12-01,95.9
2015-12-02,95.1
2015-12-03,96.55
2015-12-04,96.25
2015-12-07,95.55
2015-12-08,95.55
2015-12-09,95.0
2015-12-10,95.3
2015-12-11,95.65
2015-12-14,96.0
2015-12-15,96.05
2015-12-16,97.15
2015-12-17,97.4
2015-12-18,96.8
2015-12-21,96.95
2015-12-22,96.7
2015-12-23,97.5
2015-12-24,97.5
2015-12-28,98.1
2015-12-29,98.2
2015-12-30,98.45
2015-12-31,98.8
