Date,NTL
2015-01-01,17.45
2015-01-02,18.95
2015-01-05,17.55
2015-01-06,16.85
2015-01-07,16.65
2015-01-08,17.05
2015-01-09,17.0
2015-01-12,16.85
2015-01-13,16.4
2015-01-14,16.55
2015-01-15,16.8
2015-01-16,16.45
2015-01-19,16.35
2015-01-20,16.6
2015-01-21,16.35
2015-01-22,17.5
2015-01-23,16.85
2015-01-27,16.35
2015-01-28,15.25
2015-01-29,15.05
2015-01-30,15.1
2015-02-02,15.55
2015-02-03,15.65
2015-02-04,15.95
2015-02-05,16.05
2015-02-06,15.15
2015-02-09,13.9
2015-02-10,13.95
2015-02-11,14.8
2015-02-12,14.45
2015-02-13,14.55
2015-02-16,13.9
2015-02-18,13.9
2015-02-19,14.0
2015-02-20,14.0
2015-02-23,13.9
2015-02-24,13.9
2015-02-25,13.65
2015-02-26,12.9
2015-02-27,12.65
2015-02-28,12.5
2015-03-02,11.65
2015-03-03,12.3
2015-03-04,12.0
2015-03-05,12.0
2015-03-09,12.3
2015-03-10,12.3
2015-03-11,12.0
2015-03-12,11.75
2015-03-13,12.2
2015-03-16,11.95
2015-03-17,11.35
2015-03-18,11.05
2015-03-19,10.9
2015-03-20,11.25
2015-03-23,11.35
2015-03-24,10.95
2015-03-25,10.8
2015-03-26,9.95
2015-03-27,9.8
2015-03-30,10.25
2015-03-31,12.3
2015-04-01,14.75
2015-04-06,15.45
2015-04-07,14.45
2015-04-08,15.15
2015-04-09,15.0
2015-04-10,15.05
2015-04-13,15.85
2015-04-15,15.75
2015-04-16,15.2
2015-04-17,13.8
2015-04-20,13.75
2015-04-21,14.0
2015-04-22,14.25
2015-04-23,13.9
2015-04-24,13.6
2015-04-27,12.95
2015-04-28,12.7
2015-04-29,12.6
2015-04-30,12.25
2015-05-04,13.75
2015-05-05,13.4
2015-05-06,12.75
2015-05-07,12.95
2015-05-08,13.0
2015-05-11,12.8
2015-05-12,12.4
2015-05-13,12.3
2015-05-14,12.1
2015-05-15,12.1
2015-05-18,12.3
2015-05-19,12.05
2015-05-20,12.65
2015-05-21,12.65
2015-05-22,12.0
2015-05-25,11.65
2015-05-26,11.95
2015-05-27,11.6
2015-05-28,11.7
2015-05-29,11.5
2015-06-01,11.3
2015-06-02,11.1
2015-06-03,10.4
2015-06-04,10.95
2015-06-05,10.85
2015-06-08,10.45
2015-06-09,10.1
2015-06-10,10.35
2015-06-11,10.4
2015-06-12,10.15
2015-06-15,10.0
2015-06-16,10.0
2015-06-17,10.3
2015-06-18,10.55
2015-06-19,10.65
2015-06-22,10.45
2015-06-23,10.55
2015-06-24,10.5
2015-06-25,10.45
2015-06-26,10.45
2015-06-29,10.2
2015-06-30,10.15
2015-07-01,10.35
2015-07-02,10.4
2015-07-03,12.45
2015-07-06,13.75
2015-07-07,13.2
2015-07-08,12.85
2015-07-09,12.65
2015-07-10,12.7
2015-07-13,12.8
2015-07-14,12.6
2015-07-15,12.5
2015-07-16,12.45
2015-07-17,12.3
2015-07-20,12.2
2015-07-21,11.8
2015-07-22,12.25
2015-07-23,12.75
2015-07-24,12.65
2015-07-27,12.75
2015-07-28,12.35
2015-07-29,12.1
2015-07-30,12.1
2015-07-31,12.25
2015-08-03,12.45
2015-08-04,12.2
2015-08-05,12.55
2015-08-06,12.4
2015-08-07,12.2
2015-08-10,12.25
2015-08-11,13.35
2015-08-12,12.6
2015-08-13,11.45
2015-08-14,11.25
2015-08-17,11.35
2015-08-18,11.0
2015-08-19,11.05
2015-08-20,11.05
2015-08-21,11.1
2015-08-24,10.15
2015-08-25,10.0
2015-08-26,9.6
2015-08-27,10.0
2015-08-28,10.05
2015-08-31,9.8
2015-09-01,9.4
2015-09-02,9.3
2015-09-03,9.5
2015-09-04,9.05
2015-09-07,8.7
2015-09-08,10.4
2015-09-09,12.3
2015-09-10,12.95
2015-09-11,10.85
2015-09-14,10.75
2015-09-15,10.2
2015-09-16,10.15
2015-09-18,10.15
2015-09-21,10.2
2015-09-22,10.05
2015-09-23,9.9
2015-09-24,9.85
2015-09-28,10.05
2015-09-29,10.0
2015-09-30,10.1
2015-10-01,10.2
2015-10-05,10.1
2015-10-06,10.3
2015-10-07,10.55
2015-10-08,10.3
2015-10-09,10.25
2015-10-12,10.15
2015-10-13,10.0
2015-10-14,10.35
2015-10-15,10.4
2015-10-16,10.5
2015-10-19,10.1
2015-10-20,10.15
2015-10-21,10.15
2015-10-23,10.15
2015-10-26,10.1
2015-10-27,10.0
2015-10-28,9.95
2015-10-29,9.9
2015-10-30,8.8
2015-11-02,9.35
2015-11-03,9.2
2015-11-04,9.05
2015-11-05,9.05
2015-11-06,8.3
2015-11-09,8.2
2015-11-10,8.45
2015-11-11,8.9
2015-11-13,10.0
2015-11-16,9.55
2015-11-17,9.3
2015-11-18,9.05
2015-11-19,8.8
2015-11-20,8.7
2015-11-23,8.95
2015-11-24,9.0
2015-11-26,9.55
2015-11-27,11.45
2015-11-30,13.7
2015-12-01,12.6
2015-12-02,11.9
2015-12-03,12.75
2015-12-04,12.05
2015-12-07,12.25
2015-12-08,11.45
2015-12-09,10.45
2015-12-10,10.7
2015-12-11,10.6
2015-12-14,10.35
2015-12-15,10.45
2015-12-16,10.65
2015-12-17,11.5
2015-12-18,11.0
2015-12-21,12.1
2015-12-22,12.15
2015-12-23,12.05
2015-12-24,12.35
2015-12-28,12.55
2015-12-29,13.05
2015-12-30,13.2
2015-12-31,13.4
