Date,MERCATOR
2015-01-01,25.15
2015-01-02,24.85
2015-01-05,24.9
2015-01-06,24.1
2015-01-07,23.85
2015-01-08,24.05
2015-01-09,23.65
2015-01-12,23.6
2015-01-13,23.05
2015-01-14,22.45
2015-01-15,22.4
2015-01-16,22.45
2015-01-19,22.15
2015-01-20,22.3
2015-01-21,22.45
2015-01-22,22.15
2015-01-23,22.3
2015-01-27,22.9
2015-01-28,21.95
2015-01-29,21.65
2015-01-30,21.7
2015-02-02,21.35
2015-02-03,20.55
2015-02-04,20.85
2015-02-05,20.8
2015-02-06,19.7
2015-02-09,19.55
2015-02-10,18.55
2015-02-11,19.1
2015-02-12,19.35
2015-02-13,18.8
2015-02-16,18.65
2015-02-18,18.55
2015-02-19,18.35
2015-02-20,17.9
2015-02-23,18.3
2015-02-24,18.1
2015-02-25,20.5
2015-02-26,20.0
2015-02-27,19.9
2015-02-28,19.1
2015-03-02,19.05
2015-03-03,19.1
2015-03-04,18.6
2015-03-05,18.5
2015-03-09,18.1
2015-03-10,18.5
2015-03-11,17.7
2015-03-12,17.85
2015-03-13,17.35
2015-03-16,17.0
2015-03-17,17.15
2015-03-18,16.95
2015-03-19,16.9
2015-03-20,16.6
2015-03-23,16.55
2015-03-24,16.55
2015-03-25,16.2
2015-03-26,16.05
2015-03-27,16.05
2015-03-30,17.0
2015-03-31,16.85
2015-04-01,17.35
2015-04-06,17.6
2015-04-07,18.45
2015-04-08,19.45
2015-04-09,20.0
2015-04-10,19.55
2015-04-13,19.45
2015-04-15,18.8
2015-04-16,18.5
2015-04-17,17.95
2015-04-20,17.25
2015-04-21,17.15
2015-04-22,16.7
2015-04-23,17.15
2015-04-24,17.15
2015-04-27,16.55
2015-04-28,16.85
2015-04-29,16.85
2015-04-30,16.75
2015-05-04,17.05
2015-05-05,17.75
2015-05-06,16.85
2015-05-07,16.35
2015-05-08,16.25
2015-05-11,16.7
2015-05-12,16.3
2015-05-13,16.15
2015-05-14,16.35
2015-05-15,16.5
2015-05-18,16.7
2015-05-19,16.6
2015-05-20,16.7
2015-05-21,17.1
2015-05-22,16.75
2015-05-25,16.3
2015-05-26,16.25
2015-05-27,16.2
2015-05-28,16.1
2015-05-29,16.2
2015-06-01,16.2
2015-06-02,17.5
2015-06-03,16.55
2015-06-04,16.8
2015-06-05,16.55
2015-06-08,16.45
2015-06-09,16.15
2015-06-10,16.15
2015-06-11,16.0
2015-06-12,15.75
2015-06-15,16.2
2015-06-16,16.0
2015-06-17,16.3
2015-06-18,16.85
2015-06-19,16.85
2015-06-22,18.0
2015-06-23,19.5
2015-06-24,18.8
2015-06-25,18.3
2015-06-26,17.8
2015-06-29,17.05
2015-06-30,18.6
2015-07-01,18.9
2015-07-02,19.35
2015-07-03,19.55
2015-07-06,19.3
2015-07-07,18.85
2015-07-08,18.45
2015-07-09,18.55
2015-07-10,18.15
2015-07-13,19.05
2015-07-14,19.7
2015-07-15,22.2
2015-07-16,21.85
2015-07-17,22.25
2015-07-20,21.85
2015-07-21,23.2
2015-07-22,22.95
2015-07-23,22.5
2015-07-24,22.25
2015-07-27,21.35
2015-07-28,20.75
2015-07-29,20.8
2015-07-30,21.05
2015-07-31,21.8
2015-08-03,22.35
2015-08-04,23.15
2015-08-05,23.9
2015-08-06,21.45
2015-08-07,21.3
2015-08-10,20.5
2015-08-11,19.85
2015-08-12,18.95
2015-08-13,20.45
2015-08-14,21.15
2015-08-17,20.5
2015-08-18,20.45
2015-08-19,23.25
2015-08-20,24.05
2015-08-21,24.2
2015-08-24,19.95
2015-08-25,19.6
2015-08-26,20.05
2015-08-27,20.8
2015-08-28,21.8
2015-08-31,23.5
2015-09-01,22.15
2015-09-02,23.5
2015-09-03,23.55
2015-09-04,22.15
2015-09-07,20.75
2015-09-08,21.2
2015-09-09,21.8
2015-09-10,21.15
2015-09-11,21.2
2015-09-14,21.15
2015-09-15,20.6
2015-09-16,20.1
2015-09-18,20.75
2015-09-21,21.45
2015-09-22,21.05
2015-09-23,23.3
2015-09-24,22.85
2015-09-28,22.8
2015-09-29,22.55
2015-09-30,22.5
2015-10-01,22.6
2015-10-05,23.25
2015-10-06,22.35
2015-10-07,23.3
2015-10-08,23.4
2015-10-09,22.95
2015-10-12,22.6
2015-10-13,22.85
2015-10-14,24.45
2015-10-15,23.55
2015-10-16,23.35
2015-10-19,23.2
2015-10-20,23.15
2015-10-21,23.4
2015-10-23,23.0
2015-10-26,22.4
2015-10-27,22.5
2015-10-28,22.75
2015-10-29,24.25
2015-10-30,24.2
2015-11-02,23.65
2015-11-03,23.25
2015-11-04,24.15
2015-11-05,23.8
2015-11-06,23.8
2015-11-09,24.3
2015-11-10,23.8
2015-11-11,24.0
2015-11-13,24.1
2015-11-16,24.9
2015-11-17,26.5
2015-11-18,25.6
2015-11-19,26.9
2015-11-20,28.45
2015-11-23,27.9
2015-11-24,27.4
2015-11-26,27.7
2015-11-27,26.85
2015-11-30,26.85
2015-12-01,27.2
2015-12-02,28.75
2015-12-03,28.55
2015-12-04,28.3
2015-12-07,28.0
2015-12-08,27.25
2015-12-09,24.9
2015-12-10,26.25
2015-12-11,26.0
2015-12-14,28.0
2015-12-15,29.95
2015-12-16,29.2
2015-12-17,29.7
2015-12-18,28.8
2015-12-21,29.35
2015-12-22,28.55
2015-12-23,30.6
2015-12-24,30.1
2015-12-28,29.5
2015-12-29,28.3
2015-12-30,28.95
2015-12-31,28.6
