Date,IBULISL
2015-01-01,13.5
2015-01-02,13.8
2015-01-05,13.95
2015-01-06,13.15
2015-01-07,13.0
2015-01-08,13.25
2015-01-09,13.25
2015-01-12,13.5
2015-01-13,13.4
2015-01-14,13.85
2015-01-15,13.65
2015-01-16,13.9
2015-01-19,13.85
2015-01-20,13.7
2015-01-21,13.65
2015-01-22,13.5
2015-01-23,13.3
2015-01-27,14.1
2015-01-28,14.0
2015-01-29,14.1
2015-01-30,14.2
2015-02-02,14.0
2015-02-03,13.5
2015-02-04,13.55
2015-02-05,13.15
2015-02-06,12.95
2015-02-09,12.7
2015-02-10,12.8
2015-02-11,12.85
2015-02-12,13.05
2015-02-13,13.4
2015-02-16,13.1
2015-02-18,13.8
2015-02-19,16.5
2015-02-20,16.4
2015-02-23,16.0
2015-02-24,15.7
2015-02-25,16.35
2015-02-26,15.45
2015-02-27,14.8
2015-02-28,14.6
2015-03-02,14.8
2015-03-03,14.6
2015-03-04,14.65
2015-03-05,14.6
2015-03-09,14.35
2015-03-10,14.6
2015-03-11,14.35
2015-03-12,14.25
2015-03-13,13.9
2015-03-16,13.5
2015-03-17,13.85
2015-03-18,13.65
2015-03-19,13.45
2015-03-20,12.7
2015-03-23,12.3
2015-03-24,11.95
2015-03-25,11.7
2015-03-26,11.45
2015-03-27,11.6
2015-03-30,12.4
2015-03-31,12.35
2015-04-01,13.2
2015-04-06,13.8
2015-04-07,13.5
2015-04-08,15.3
2015-04-09,14.8
2015-04-10,14.7
2015-04-13,14.65
2015-04-15,14.8
2015-04-16,14.25
2015-04-17,14.35
2015-04-20,13.65
2015-04-21,13.65
2015-04-22,13.6
2015-04-23,13.25
2015-04-24,12.85
2015-04-27,12.8
2015-04-28,12.6
2015-04-29,12.95
2015-04-30,12.8
2015-05-04,13.65
2015-05-05,12.5
2015-05-06,12.15
2015-05-07,11.85
2015-05-08,12.5
2015-05-11,12.25
2015-05-12,12.0
2015-05-13,11.95
2015-05-14,11.95
2015-05-15,11.9
2015-05-18,12.1
2015-05-19,12.15
2015-05-20,12.35
2015-05-21,12.25
2015-05-22,12.0
2015-05-25,11.9
2015-05-26,11.7
2015-05-27,11.8
2015-05-28,11.6
2015-05-29,11.75
2015-06-01,11.5
2015-06-02,11.05
2015-06-03,9.85
2015-06-04,10.2
2015-06-05,10.1
2015-06-08,9.8
2015-06-09,10.25
2015-06-10,10.25
2015-06-11,10.0
2015-06-12,9.7
2015-06-15,9.95
2015-06-16,10.05
2015-06-17,10.0
2015-06-18,10.35
2015-06-19,10.3
2015-06-22,10.65
2015-06-23,11.85
2015-06-24,12.6
2015-06-25,12.6
2015-06-26,12.3
2015-06-29,11.9
2015-06-30,12.15
2015-07-01,12.45
2015-07-02,12.45
2015-07-03,12.7
2015-07-06,12.35
2015-07-07,12.7
2015-07-08,13.0
2015-07-09,12.8
2015-07-10,12.45
2015-07-13,12.4
2015-07-14,12.35
2015-07-15,12.65
2015-07-16,12.65
2015-07-17,13.2
2015-07-20,13.5
2015-07-21,13.3
2015-07-22,14.2
2015-07-23,16.35
2015-07-24,15.2
2015-07-27,17.1
2015-07-28,17.75
2015-07-29,16.75
2015-07-30,17.1
2015-07-31,16.45
2015-08-03,15.95
2015-08-04,12.8
2015-08-05,12.85
2015-08-06,12.75
2015-08-07,12.8
2015-08-10,12.65
2015-08-11,12.25
2015-08-12,11.95
2015-08-13,11.45
2015-08-14,11.55
2015-08-17,12.2
2015-08-18,12.2
2015-08-19,12.1
2015-08-20,11.75
2015-08-21,11.0
2015-08-24,10.15
2015-08-25,9.8
2015-08-26,9.7
2015-08-27,9.8
2015-08-28,10.05
2015-08-31,9.95
2015-09-01,9.75
2015-09-02,9.9
2015-09-03,9.75
2015-09-04,9.35
2015-09-07,9.15
2015-09-08,9.5
2015-09-09,9.65
2015-09-10,9.55
2015-09-11,10.15
2015-09-14,10.5
2015-09-15,10.4
2015-09-16,10.25
2015-09-18,10.65
2015-09-21,10.7
2015-09-22,10.8
2015-09-23,10.95
2015-09-24,10.6
2015-09-28,10.45
2015-09-29,10.65
2015-09-30,10.45
2015-10-01,10.6
2015-10-05,11.05
2015-10-06,10.85
2015-10-07,10.85
2015-10-08,10.8
2015-10-09,10.9
2015-10-12,11.15
2015-10-13,11.45
2015-10-14,11.55
2015-10-15,12.05
2015-10-16,12.5
2015-10-19,12.5
2015-10-20,12.0
2015-10-21,11.4
2015-10-23,10.15
2015-10-26,9.95
2015-10-27,10.05
2015-10-28,9.95
2015-10-29,9.95
2015-10-30,9.9
2015-11-02,10.35
2015-11-03,10.3
2015-11-04,10.25
2015-11-05,9.9
2015-11-06,9.75
2015-11-09,9.9
2015-11-10,9.7
2015-11-11,9.8
2015-11-13,9.65
2015-11-16,9.55
2015-11-17,9.65
2015-11-18,9.6
2015-11-19,10.0
2015-11-20,9.95
2015-11-23,9.9
2015-11-24,9.7
2015-11-26,9.9
2015-11-27,9.8
2015-11-30,10.75
2015-12-01,10.95
2015-12-02,10.9
2015-12-03,10.8
2015-12-04,10.55
2015-12-07,10.0
2015-12-08,9.75
2015-12-09,9.5
2015-12-10,9.45
2015-12-11,9.15
2015-12-14,8.95
2015-12-15,9.0
2015-12-16,8.95
2015-12-17,8.9
2015-12-18,8.85
2015-12-21,9.4
2015-12-22,9.15
2015-12-23,9.0
2015-12-24,9.0
2015-12-28,9.1
2015-12-29,8.95
2015-12-30,8.95
2015-12-31,9.0
