Date,FMGOETZE
2015-01-01,404.65
2015-01-02,416.4
2015-01-05,413.35
2015-01-06,404.45
2015-01-07,408.6
2015-01-08,410.35
2015-01-09,410.2
2015-01-12,436.2
2015-01-13,431.3
2015-01-14,429.7
2015-01-15,422.2
2015-01-16,423.3
2015-01-19,424.6
2015-01-20,426.65
2015-01-21,417.8
2015-01-22,413.8
2015-01-23,409.25
2015-01-27,415.0
2015-01-28,414.2
2015-01-29,435.15
2015-01-30,435.15
2015-02-02,447.15
2015-02-03,444.35
2015-02-04,436.15
2015-02-05,436.6
2015-02-06,431.55
2015-02-09,426.35
2015-02-10,439.9
2015-02-11,433.85
2015-02-12,433.1
2015-02-13,435.95
2015-02-16,418.05
2015-02-18,423.5
2015-02-19,422.15
2015-02-20,414.7
2015-02-23,413.75
2015-02-24,419.1
2015-02-25,421.85
2015-02-26,439.15
2015-02-27,446.05
2015-02-28,444.25
2015-03-02,427.75
2015-03-03,427.5
2015-03-04,431.05
2015-03-05,423.0
2015-03-09,423.0
2015-03-10,427.65
2015-03-11,418.2
2015-03-12,423.05
2015-03-13,432.8
2015-03-16,425.55
2015-03-17,432.35
2015-03-18,424.55
2015-03-19,436.95
2015-03-20,431.9
2015-03-23,420.15
2015-03-24,432.8
2015-03-25,433.05
2015-03-26,435.0
2015-03-27,428.85
2015-03-30,436.9
2015-03-31,434.05
2015-04-01,427.8
2015-04-06,426.65
2015-04-07,422.0
2015-04-08,424.6
2015-04-09,425.9
2015-04-10,430.4
2015-04-13,433.35
2015-04-15,431.0
2015-04-16,434.95
2015-04-17,439.2
2015-04-20,425.6
2015-04-21,422.85
2015-04-22,498.55
2015-04-23,480.45
2015-04-24,470.6
2015-04-27,459.65
2015-04-28,466.6
2015-04-29,474.5
2015-04-30,476.6
2015-05-04,465.4
2015-05-05,467.5
2015-05-06,456.5
2015-05-07,450.1
2015-05-08,449.35
2015-05-11,450.65
2015-05-12,441.7
2015-05-13,441.6
2015-05-14,440.9
2015-05-15,464.9
2015-05-18,463.45
2015-05-19,454.15
2015-05-20,461.35
2015-05-21,451.9
2015-05-22,445.75
2015-05-25,426.9
2015-05-26,420.8
2015-05-27,426.2
2015-05-28,420.25
2015-05-29,430.7
2015-06-01,421.1
2015-06-02,414.45
2015-06-03,418.9
2015-06-04,419.35
2015-06-05,417.65
2015-06-08,414.0
2015-06-09,418.4
2015-06-10,421.95
2015-06-11,415.9
2015-06-12,412.5
2015-06-15,407.85
2015-06-16,393.1
2015-06-17,389.5
2015-06-18,386.15
2015-06-19,389.05
2015-06-22,384.95
2015-06-23,381.25
2015-06-24,378.8
2015-06-25,377.35
2015-06-26,374.9
2015-06-29,362.05
2015-06-30,365.0
2015-07-01,370.7
2015-07-02,361.15
2015-07-03,355.3
2015-07-06,346.35
2015-07-07,359.9
2015-07-08,353.35
2015-07-09,394.95
2015-07-10,385.05
2015-07-13,393.05
2015-07-14,388.15
2015-07-15,387.65
2015-07-16,387.0
2015-07-17,384.2
2015-07-20,389.15
2015-07-21,360.2
2015-07-22,362.1
2015-07-23,360.6
2015-07-24,361.6
2015-07-27,352.75
2015-07-28,360.1
2015-07-29,360.65
2015-07-30,363.55
2015-07-31,386.2
2015-08-03,389.6
2015-08-04,414.6
2015-08-05,428.65
2015-08-06,423.6
2015-08-07,410.3
2015-08-10,410.75
2015-08-11,408.35
2015-08-12,392.9
2015-08-13,392.95
2015-08-14,400.8
2015-08-17,405.25
2015-08-18,394.5
2015-08-19,402.65
2015-08-20,396.75
2015-08-21,393.95
2015-08-24,367.95
2015-08-25,382.05
2015-08-26,374.6
2015-08-27,395.55
2015-08-28,400.1
2015-08-31,394.15
2015-09-01,388.15
2015-09-02,384.45
2015-09-03,383.2
2015-09-04,370.6
2015-09-07,373.75
2015-09-08,386.0
2015-09-09,386.75
2015-09-10,395.0
2015-09-11,392.3
2015-09-14,394.35
2015-09-15,386.0
2015-09-16,383.25
2015-09-18,385.0
2015-09-21,380.7
2015-09-22,375.45
2015-09-23,371.3
2015-09-24,365.55
2015-09-28,370.25
2015-09-29,370.65
2015-09-30,369.95
2015-10-01,362.45
2015-10-05,366.3
2015-10-06,367.15
2015-10-07,371.15
2015-10-08,367.75
2015-10-09,367.85
2015-10-12,366.45
2015-10-13,369.65
2015-10-14,368.9
2015-10-15,366.05
2015-10-16,369.8
2015-10-19,369.4
2015-10-20,373.95
2015-10-21,375.9
2015-10-23,370.95
2015-10-26,364.75
2015-10-27,365.1
2015-10-28,367.5
2015-10-29,364.0
2015-10-30,358.9
2015-11-02,351.75
2015-11-03,340.45
2015-11-04,359.25
2015-11-05,344.5
2015-11-06,349.1
2015-11-09,349.8
2015-11-10,351.35
2015-11-11,352.0
2015-11-13,354.35
2015-11-16,348.9
2015-11-17,351.0
2015-11-18,352.9
2015-11-19,348.6
2015-11-20,349.55
2015-11-23,352.0
2015-11-24,354.8
2015-11-26,354.8
2015-11-27,359.25
2015-11-30,375.45
2015-12-01,374.55
2015-12-02,368.5
2015-12-03,365.15
2015-12-04,367.9
2015-12-07,361.25
2015-12-08,361.15
2015-12-09,355.75
2015-12-10,360.0
2015-12-11,367.5
2015-12-14,363.05
2015-12-15,361.5
2015-12-16,361.9
2015-12-17,360.45
2015-12-18,360.55
2015-12-21,356.65
2015-12-22,353.15
2015-12-23,352.7
2015-12-24,352.3
2015-12-28,361.85
2015-12-29,354.25
2015-12-30,347.55
2015-12-31,359.35
