Date,GENUSPOWER
2015-01-01,27.15
2015-01-02,27.85
2015-01-05,27.4
2015-01-06,25.95
2015-01-07,25.45
2015-01-08,26.55
2015-01-09,25.95
2015-01-12,28.0
2015-01-13,27.2
2015-01-14,26.55
2015-01-15,26.95
2015-01-16,26.25
2015-01-19,26.0
2015-01-20,25.4
2015-01-21,26.0
2015-01-22,26.6
2015-01-23,26.5
2015-01-27,26.9
2015-01-28,27.35
2015-01-29,27.85
2015-01-30,27.95
2015-02-02,28.95
2015-02-03,29.0
2015-02-04,27.25
2015-02-05,26.6
2015-02-06,25.8
2015-02-09,25.25
2015-02-10,25.05
2015-02-11,25.2
2015-02-12,25.4
2015-02-13,26.05
2015-02-16,26.7
2015-02-18,27.3
2015-02-19,25.2
2015-02-20,26.85
2015-02-23,25.9
2015-02-24,26.55
2015-02-25,26.35
2015-02-26,25.45
2015-02-27,25.85
2015-02-28,25.3
2015-03-02,25.0
2015-03-03,24.95
2015-03-04,24.95
2015-03-05,24.65
2015-03-09,25.15
2015-03-10,25.3
2015-03-11,24.95
2015-03-12,25.8
2015-03-13,24.7
2015-03-16,24.5
2015-03-17,24.4
2015-03-18,23.8
2015-03-19,23.95
2015-03-20,23.4
2015-03-23,22.9
2015-03-24,22.2
2015-03-25,21.8
2015-03-26,21.45
2015-03-27,21.15
2015-03-30,21.45
2015-03-31,24.35
2015-04-01,24.85
2015-04-06,24.1
2015-04-07,24.15
2015-04-08,23.9
2015-04-09,24.0
2015-04-10,24.65
2015-04-13,24.7
2015-04-15,29.05
2015-04-16,28.75
2015-04-17,28.35
2015-04-20,27.95
2015-04-21,27.65
2015-04-22,27.25
2015-04-23,27.1
2015-04-24,25.8
2015-04-27,24.5
2015-04-28,24.9
2015-04-29,26.45
2015-04-30,27.05
2015-05-04,27.2
2015-05-05,26.7
2015-05-06,25.0
2015-05-07,25.5
2015-05-08,25.9
2015-05-11,26.85
2015-05-12,26.2
2015-05-13,25.65
2015-05-14,25.7
2015-05-15,26.2
2015-05-18,26.25
2015-05-19,25.9
2015-05-20,25.4
2015-05-21,25.05
2015-05-22,24.8
2015-05-25,24.85
2015-05-26,24.6
2015-05-27,24.8
2015-05-28,26.05
2015-05-29,25.6
2015-06-01,25.55
2015-06-02,24.95
2015-06-03,24.15
2015-06-04,23.65
2015-06-05,23.95
2015-06-08,23.65
2015-06-09,23.45
2015-06-10,23.6
2015-06-11,23.3
2015-06-12,22.25
2015-06-15,22.55
2015-06-16,22.2
2015-06-17,22.25
2015-06-18,23.6
2015-06-19,23.7
2015-06-22,24.15
2015-06-23,24.4
2015-06-24,23.85
2015-06-25,23.7
2015-06-26,23.6
2015-06-29,23.1
2015-06-30,23.5
2015-07-01,24.3
2015-07-02,24.3
2015-07-03,24.5
2015-07-06,24.5
2015-07-07,26.2
2015-07-08,25.45
2015-07-09,26.55
2015-07-10,26.05
2015-07-13,25.65
2015-07-14,25.75
2015-07-15,25.35
2015-07-16,26.25
2015-07-17,27.3
2015-07-20,27.0
2015-07-21,27.1
2015-07-22,28.4
2015-07-23,28.1
2015-07-24,27.6
2015-07-27,27.9
2015-07-28,28.0
2015-07-29,27.75
2015-07-30,27.15
2015-07-31,27.0
2015-08-03,28.1
2015-08-04,31.05
2015-08-05,31.75
2015-08-06,30.6
2015-08-07,32.85
2015-08-10,32.2
2015-08-11,31.4
2015-08-12,29.85
2015-08-13,32.3
2015-08-14,33.85
2015-08-17,36.4
2015-08-18,35.0
2015-08-19,34.25
2015-08-20,33.3
2015-08-21,33.65
2015-08-24,27.55
2015-08-25,27.9
2015-08-26,27.75
2015-08-27,29.45
2015-08-28,29.15
2015-08-31,31.35
2015-09-01,30.55
2015-09-02,29.65
2015-09-03,29.95
2015-09-04,29.05
2015-09-07,26.7
2015-09-08,27.45
2015-09-09,28.8
2015-09-10,28.15
2015-09-11,28.4
2015-09-14,29.1
2015-09-15,28.4
2015-09-16,28.45
2015-09-18,28.55
2015-09-21,31.2
2015-09-22,31.25
2015-09-23,32.0
2015-09-24,31.85
2015-09-28,30.15
2015-09-29,29.8
2015-09-30,31.2
2015-10-01,30.7
2015-10-05,30.85
2015-10-06,32.35
2015-10-07,34.0
2015-10-08,34.25
2015-10-09,34.9
2015-10-12,33.9
2015-10-13,34.85
2015-10-14,35.4
2015-10-15,35.7
2015-10-16,35.2
2015-10-19,35.9
2015-10-20,37.15
2015-10-21,36.45
2015-10-23,36.2
2015-10-26,36.75
2015-10-27,36.55
2015-10-28,36.1
2015-10-29,36.85
2015-10-30,35.6
2015-11-02,35.25
2015-11-03,34.65
2015-11-04,34.35
2015-11-05,33.8
2015-11-06,34.15
2015-11-09,34.5
2015-11-10,33.25
2015-11-11,34.15
2015-11-13,33.05
2015-11-16,32.95
2015-11-17,34.05
2015-11-18,33.9
2015-11-19,34.45
2015-11-20,34.05
2015-11-23,34.25
2015-11-24,35.5
2015-11-26,40.45
2015-11-27,44.5
2015-11-30,48.25
2015-12-01,46.6
2015-12-02,48.5
2015-12-03,45.95
2015-12-04,46.7
2015-12-07,48.15
2015-12-08,45.05
2015-12-09,41.85
2015-12-10,43.25
2015-12-11,42.35
2015-12-14,42.9
2015-12-15,43.2
2015-12-16,42.1
2015-12-17,46.0
2015-12-18,45.6
2015-12-21,46.5
2015-12-22,45.95
2015-12-23,45.4
2015-12-24,46.1
2015-12-28,46.8
2015-12-29,47.65
2015-12-30,48.3
2015-12-31,51.7
