Date,ONELIFECAP
2015-01-01,135.45
2015-01-02,135.45
2015-01-05,134.95
2015-01-06,130.55
2015-01-07,128.5
2015-01-08,137.8
2015-01-09,135.5
2015-01-12,142.7
2015-01-13,141.2
2015-01-14,138.75
2015-01-15,138.5
2015-01-16,139.5
2015-01-19,138.2
2015-01-20,138.55
2015-01-21,137.2
2015-01-22,137.55
2015-01-23,135.8
2015-01-27,132.8
2015-01-28,132.5
2015-01-29,131.65
2015-01-30,129.25
2015-02-02,130.05
2015-02-03,129.7
2015-02-04,128.2
2015-02-05,127.3
2015-02-06,122.5
2015-02-09,113.35
2015-02-10,109.8
2015-02-11,110.05
2015-02-12,110.05
2015-02-13,110.1
2015-02-16,110.55
2015-02-18,111.65
2015-02-19,112.1
2015-02-20,109.9
2015-02-23,110.15
2015-02-24,109.95
2015-02-25,111.8
2015-02-26,112.5
2015-02-27,127.75
2015-02-28,112.5
2015-03-02,135.0
2015-03-03,145.8
2015-03-04,144.65
2015-03-05,131.15
2015-03-09,115.15
2015-03-10,114.3
2015-03-11,108.4
2015-03-12,106.65
2015-03-13,101.05
2015-03-16,99.55
2015-03-17,102.0
2015-03-18,105.5
2015-03-19,102.7
2015-03-20,105.9
2015-03-23,102.95
2015-03-24,101.0
2015-03-25,97.85
2015-03-26,93.25
2015-03-27,87.05
2015-03-30,104.45
2015-03-31,124.2
2015-04-01,126.85
2015-04-06,123.5
2015-04-07,121.1
2015-04-08,144.5
2015-04-09,118.55
2015-04-10,106.9
2015-04-13,104.9
2015-04-15,103.8
2015-04-16,106.3
2015-04-17,100.0
2015-04-20,87.1
2015-04-21,85.15
2015-04-22,85.05
2015-04-23,84.5
2015-04-24,80.2
2015-04-27,80.4
2015-04-28,81.0
2015-04-29,78.1
2015-04-30,72.45
2015-05-04,79.65
2015-05-05,81.25
2015-05-06,76.55
2015-05-07,73.4
2015-05-08,73.45
2015-05-11,76.5
2015-05-12,72.1
2015-05-13,72.65
2015-05-14,70.95
2015-05-15,69.15
2015-05-18,67.45
2015-05-19,67.65
2015-05-20,71.3
2015-05-21,72.55
2015-05-22,70.4
2015-05-25,69.3
2015-05-26,67.8
2015-05-27,65.3
2015-05-28,64.9
2015-05-29,62.55
2015-06-01,60.55
2015-06-02,64.3
2015-06-03,60.9
2015-06-04,66.95
2015-06-05,63.05
2015-06-08,60.45
2015-06-09,59.15
2015-06-10,69.45
2015-06-11,63.35
2015-06-12,61.9
2015-06-15,62.1
2015-06-16,59.55
2015-06-17,59.1
2015-06-18,57.65
2015-06-19,58.6
2015-06-22,58.55
2015-06-23,58.85
2015-06-24,70.6
2015-06-25,72.85
2015-06-26,69.35
2015-06-29,70.95
2015-06-30,68.75
2015-07-01,65.95
2015-07-02,66.35
2015-07-03,65.05
2015-07-06,64.7
2015-07-07,64.8
2015-07-08,77.75
2015-07-09,62.65
2015-07-10,58.65
2015-07-13,54.75
2015-07-14,54.0
2015-07-15,56.55
2015-07-16,52.4
2015-07-17,50.9
2015-07-20,51.25
2015-07-21,50.3
2015-07-22,44.95
2015-07-23,42.7
2015-07-24,42.05
2015-07-27,40.7
2015-07-28,38.4
2015-07-29,34.6
2015-07-30,38.05
2015-07-31,34.45
2015-08-03,34.4
2015-08-04,33.9
2015-08-05,31.05
2015-08-06,31.65
2015-08-07,34.8
2015-08-10,35.65
2015-08-11,35.05
2015-08-12,33.05
2015-08-13,31.7
2015-08-14,32.15
2015-08-17,31.9
2015-08-18,31.1
2015-08-19,30.35
2015-08-20,33.35
2015-08-21,33.05
2015-08-24,29.75
2015-08-25,27.05
2015-08-26,25.7
2015-08-27,27.0
2015-08-28,29.65
2015-08-31,31.45
2015-09-01,30.65
2015-09-02,30.75
2015-09-03,32.1
2015-09-04,32.1
2015-09-07,32.75
2015-09-08,33.5
2015-09-09,34.5
2015-09-10,33.95
2015-09-11,38.25
2015-09-14,38.5
2015-09-15,38.6
2015-09-16,40.2
2015-09-18,41.05
2015-09-21,41.25
2015-09-22,40.4
2015-09-23,48.45
2015-09-24,48.65
2015-09-28,50.15
2015-09-29,49.8
2015-09-30,49.55
2015-10-01,52.05
2015-10-05,53.8
2015-10-06,52.1
2015-10-07,53.4
2015-10-08,59.05
2015-10-09,58.5
2015-10-12,58.9
2015-10-13,64.6
2015-10-14,64.35
2015-10-15,63.85
2015-10-16,76.6
2015-10-19,75.55
2015-10-20,76.05
2015-10-21,76.4
2015-10-23,74.3
2015-10-26,69.15
2015-10-27,68.35
2015-10-28,68.45
2015-10-29,68.05
2015-10-30,66.65
2015-11-02,66.9
2015-11-03,66.85
2015-11-04,59.6
2015-11-05,64.35
2015-11-06,63.8
2015-11-09,63.4
2015-11-10,64.45
2015-11-11,67.0
2015-11-13,63.45
2015-11-16,62.2
2015-11-17,62.1
2015-11-18,56.35
2015-11-19,58.3
2015-11-20,57.45
2015-11-23,58.2
2015-11-24,57.25
2015-11-26,57.5
2015-11-27,64.35
2015-11-30,69.3
2015-12-01,68.45
2015-12-02,68.45
2015-12-03,71.1
2015-12-04,70.6
2015-12-07,73.15
2015-12-08,71.25
2015-12-09,65.95
2015-12-10,66.55
2015-12-11,64.1
2015-12-14,64.15
2015-12-15,63.45
2015-12-16,63.3
2015-12-17,61.75
2015-12-18,61.2
2015-12-21,61.65
2015-12-22,62.1
2015-12-23,63.2
2015-12-24,60.6
2015-12-28,58.55
2015-12-29,59.55
2015-12-30,60.45
2015-12-31,60.35
