Date,LITL
2015-01-01,6.25
2015-01-02,6.15
2015-01-05,6.05
2015-01-06,5.85
2015-01-07,5.95
2015-01-08,6.15
2015-01-09,6.15
2015-01-12,6.1
2015-01-13,6.0
2015-01-14,5.95
2015-01-15,6.35
2015-01-16,6.2
2015-01-19,6.15
2015-01-20,6.25
2015-01-21,6.1
2015-01-22,6.0
2015-01-23,6.0
2015-01-27,5.9
2015-01-28,5.95
2015-01-29,5.9
2015-01-30,6.35
2015-02-02,6.35
2015-02-03,6.15
2015-02-04,6.15
2015-02-05,6.05
2015-02-06,6.35
2015-02-09,6.05
2015-02-10,5.95
2015-02-11,6.05
2015-02-12,6.0
2015-02-13,6.0
2015-02-16,5.95
2015-02-18,6.2
2015-02-19,6.25
2015-02-20,6.2
2015-02-23,6.2
2015-02-24,6.15
2015-02-25,6.25
2015-02-26,6.15
2015-02-27,6.7
2015-02-28,6.75
2015-03-02,6.45
2015-03-03,6.35
2015-03-04,6.0
2015-03-05,5.7
2015-03-09,5.7
2015-03-10,5.8
2015-03-11,5.8
2015-03-12,5.75
2015-03-13,5.65
2015-03-16,5.55
2015-03-17,5.5
2015-03-18,5.45
2015-03-19,5.4
2015-03-20,4.95
2015-03-23,4.75
2015-03-24,4.55
2015-03-25,4.55
2015-03-26,4.7
2015-03-27,4.65
2015-03-30,5.15
2015-03-31,5.45
2015-04-01,5.6
2015-04-06,5.8
2015-04-07,5.6
2015-04-08,5.6
2015-04-09,5.6
2015-04-10,5.75
2015-04-13,5.75
2015-04-15,5.7
2015-04-16,5.7
2015-04-17,5.55
2015-04-20,5.3
2015-04-21,5.75
2015-04-22,5.8
2015-04-23,5.6
2015-04-24,5.4
2015-04-27,5.25
2015-04-28,5.5
2015-04-29,5.3
2015-04-30,5.1
2015-05-04,5.25
2015-05-05,5.25
2015-05-06,5.0
2015-05-07,4.8
2015-05-08,4.95
2015-05-11,5.0
2015-05-12,4.85
2015-05-13,5.0
2015-05-14,5.05
2015-05-15,4.95
2015-05-18,4.9
2015-05-19,4.9
2015-05-20,4.85
2015-05-21,4.75
2015-05-22,4.7
2015-05-25,4.7
2015-05-26,4.7
2015-05-27,4.65
2015-05-28,4.9
2015-05-29,4.95
2015-06-01,4.75
2015-06-02,4.65
2015-06-03,4.25
2015-06-04,4.25
2015-06-05,4.2
2015-06-08,4.25
2015-06-09,4.1
2015-06-10,4.1
2015-06-11,4.0
2015-06-12,3.95
2015-06-15,4.05
2015-06-16,4.0
2015-06-17,4.15
2015-06-18,4.15
2015-06-19,4.15
2015-06-22,4.35
2015-06-23,4.15
2015-06-24,4.4
2015-06-25,4.4
2015-06-26,4.35
2015-06-29,4.1
2015-06-30,4.1
2015-07-01,4.05
2015-07-02,4.05
2015-07-03,4.1
2015-07-06,4.05
2015-07-07,4.05
2015-07-08,3.95
2015-07-09,4.05
2015-07-10,3.95
2015-07-13,3.95
2015-07-14,3.95
2015-07-15,4.0
2015-07-16,4.0
2015-07-17,3.95
2015-07-20,3.95
2015-07-21,3.9
2015-07-22,3.9
2015-07-23,3.9
2015-07-24,3.8
2015-07-27,3.6
2015-07-28,3.35
2015-07-29,3.3
2015-07-30,3.7
2015-07-31,3.75
2015-08-03,3.65
2015-08-04,3.55
2015-08-05,3.6
2015-08-06,3.6
2015-08-07,3.55
2015-08-10,3.55
2015-08-11,3.5
2015-08-12,3.35
2015-08-13,3.25
2015-08-14,3.35
2015-08-17,3.3
2015-08-18,3.3
2015-08-19,3.2
2015-08-20,3.1
2015-08-21,3.0
2015-08-24,2.65
2015-08-25,2.8
2015-08-26,2.85
2015-08-27,2.95
2015-08-28,2.85
2015-08-31,2.85
2015-09-01,2.75
2015-09-02,2.75
2015-09-03,2.8
2015-09-04,2.7
2015-09-07,2.75
2015-09-08,2.75
2015-09-09,3.25
2015-09-10,3.15
2015-09-11,3.2
2015-09-14,3.25
2015-09-15,3.25
2015-09-16,3.25
2015-09-18,3.2
2015-09-21,3.2
2015-09-22,3.15
2015-09-23,3.25
2015-09-24,3.2
2015-09-28,3.75
2015-09-29,4.15
2015-09-30,4.95
2015-10-01,5.4
2015-10-05,5.9
2015-10-06,5.35
2015-10-07,4.85
2015-10-08,4.8
2015-10-09,5.05
2015-10-12,4.8
2015-10-13,5.05
2015-10-14,4.95
2015-10-15,4.95
2015-10-16,4.9
2015-10-19,5.15
2015-10-20,5.0
2015-10-21,4.85
2015-10-23,4.85
2015-10-26,4.75
2015-10-27,4.7
2015-10-28,4.7
2015-10-29,4.65
2015-10-30,4.65
2015-11-02,4.3
2015-11-03,4.25
2015-11-04,4.2
2015-11-05,4.25
2015-11-06,4.15
2015-11-09,4.2
2015-11-10,4.2
2015-11-11,4.5
2015-11-13,4.5
2015-11-16,4.5
2015-11-17,4.55
2015-11-18,5.0
2015-11-19,4.95
2015-11-20,5.0
2015-11-23,5.35
2015-11-24,6.4
2015-11-26,7.0
2015-11-27,6.55
2015-11-30,6.35
2015-12-01,6.4
2015-12-02,6.2
2015-12-03,6.25
2015-12-04,6.15
2015-12-07,6.45
2015-12-08,6.15
2015-12-09,6.0
2015-12-10,5.95
2015-12-11,5.9
2015-12-14,5.95
2015-12-15,6.0
2015-12-16,6.05
2015-12-17,6.15
2015-12-18,6.05
2015-12-21,6.1
2015-12-22,6.1
2015-12-23,6.05
2015-12-24,6.0
2015-12-28,6.35
2015-12-29,6.3
2015-12-30,6.15
2015-12-31,6.35
