Date,UCALFUEL
2015-01-01,137.85
2015-01-02,139.25
2015-01-05,140.2
2015-01-06,134.3
2015-01-07,132.35
2015-01-08,135.45
2015-01-09,134.95
2015-01-12,138.85
2015-01-13,137.2
2015-01-14,133.6
2015-01-15,154.6
2015-01-16,158.6
2015-01-19,155.55
2015-01-20,153.35
2015-01-21,151.5
2015-01-22,151.3
2015-01-23,147.25
2015-01-27,142.65
2015-01-28,140.4
2015-01-29,146.9
2015-01-30,149.45
2015-02-02,148.7
2015-02-03,146.35
2015-02-04,146.35
2015-02-05,146.15
2015-02-06,139.4
2015-02-09,138.5
2015-02-10,124.55
2015-02-11,125.05
2015-02-12,126.65
2015-02-13,128.8
2015-02-16,126.0
2015-02-18,125.6
2015-02-19,123.7
2015-02-20,125.4
2015-02-23,124.25
2015-02-24,121.55
2015-02-25,123.3
2015-02-26,123.6
2015-02-27,121.8
2015-02-28,117.35
2015-03-02,121.5
2015-03-03,120.9
2015-03-04,118.75
2015-03-05,118.1
2015-03-09,117.6
2015-03-10,115.95
2015-03-11,117.3
2015-03-12,115.35
2015-03-13,111.45
2015-03-16,104.9
2015-03-17,110.45
2015-03-18,110.9
2015-03-19,107.95
2015-03-20,102.35
2015-03-23,97.0
2015-03-24,98.8
2015-03-25,107.2
2015-03-26,103.85
2015-03-27,104.15
2015-03-30,111.1
2015-03-31,109.8
2015-04-01,113.5
2015-04-06,115.6
2015-04-07,115.0
2015-04-08,113.95
2015-04-09,115.95
2015-04-10,113.7
2015-04-13,116.05
2015-04-15,119.9
2015-04-16,117.6
2015-04-17,115.2
2015-04-20,115.7
2015-04-21,113.85
2015-04-22,114.0
2015-04-23,113.65
2015-04-24,109.05
2015-04-27,103.2
2015-04-28,104.25
2015-04-29,107.35
2015-04-30,108.25
2015-05-04,110.6
2015-05-05,111.6
2015-05-06,105.75
2015-05-07,102.1
2015-05-08,104.0
2015-05-11,106.0
2015-05-12,103.05
2015-05-13,103.3
2015-05-14,104.85
2015-05-15,107.7
2015-05-18,107.0
2015-05-19,110.25
2015-05-20,106.15
2015-05-21,107.75
2015-05-22,106.7
2015-05-25,105.8
2015-05-26,103.55
2015-05-27,103.85
2015-05-28,103.5
2015-05-29,101.3
2015-06-01,100.6
2015-06-02,93.85
2015-06-03,90.6
2015-06-04,90.05
2015-06-05,90.0
2015-06-08,87.1
2015-06-09,86.15
2015-06-10,89.05
2015-06-11,89.35
2015-06-12,87.9
2015-06-15,96.0
2015-06-16,95.0
2015-06-17,94.85
2015-06-18,95.6
2015-06-19,100.15
2015-06-22,102.0
2015-06-23,101.3
2015-06-24,101.85
2015-06-25,99.65
2015-06-26,99.0
2015-06-29,95.75
2015-06-30,97.0
2015-07-01,103.55
2015-07-02,103.35
2015-07-03,101.2
2015-07-06,103.9
2015-07-07,107.25
2015-07-08,105.2
2015-07-09,106.05
2015-07-10,106.75
2015-07-13,109.6
2015-07-14,111.4
2015-07-15,112.3
2015-07-16,113.95
2015-07-17,118.4
2015-07-20,116.05
2015-07-21,115.2
2015-07-22,116.6
2015-07-23,120.2
2015-07-24,130.2
2015-07-27,125.15
2015-07-28,110.95
2015-07-29,116.15
2015-07-30,117.15
2015-07-31,114.0
2015-08-03,115.5
2015-08-04,114.6
2015-08-05,114.5
2015-08-06,111.45
2015-08-07,121.15
2015-08-10,120.45
2015-08-11,116.2
2015-08-12,112.4
2015-08-13,110.45
2015-08-14,111.85
2015-08-17,111.05
2015-08-18,114.05
2015-08-19,113.45
2015-08-20,110.0
2015-08-21,108.45
2015-08-24,88.65
2015-08-25,93.75
2015-08-26,94.35
2015-08-27,99.65
2015-08-28,99.45
2015-08-31,97.55
2015-09-01,96.45
2015-09-02,96.15
2015-09-03,98.8
2015-09-04,92.35
2015-09-07,91.4
2015-09-08,92.75
2015-09-09,96.55
2015-09-10,94.6
2015-09-11,95.5
2015-09-14,95.95
2015-09-15,96.2
2015-09-16,92.8
2015-09-18,95.5
2015-09-21,99.0
2015-09-22,96.25
2015-09-23,96.25
2015-09-24,96.35
2015-09-28,95.3
2015-09-29,94.5
2015-09-30,97.7
2015-10-01,96.8
2015-10-05,98.0
2015-10-06,95.9
2015-10-07,97.15
2015-10-08,97.25
2015-10-09,96.95
2015-10-12,96.6
2015-10-13,98.45
2015-10-14,104.95
2015-10-15,108.5
2015-10-16,104.4
2015-10-19,105.75
2015-10-20,103.65
2015-10-21,106.6
2015-10-23,103.6
2015-10-26,102.25
2015-10-27,100.6
2015-10-28,98.9
2015-10-29,97.65
2015-10-30,97.6
2015-11-02,97.35
2015-11-03,97.7
2015-11-04,97.85
2015-11-05,97.05
2015-11-06,96.1
2015-11-09,97.0
2015-11-10,96.8
2015-11-11,96.7
2015-11-13,103.9
2015-11-16,103.2
2015-11-17,100.3
2015-11-18,99.7
2015-11-19,101.5
2015-11-20,103.2
2015-11-23,106.65
2015-11-24,108.15
2015-11-26,115.25
2015-11-27,113.2
2015-11-30,114.55
2015-12-01,125.0
2015-12-02,124.4
2015-12-03,119.9
2015-12-04,119.2
2015-12-07,117.35
2015-12-08,118.25
2015-12-09,111.5
2015-12-10,114.7
2015-12-11,111.45
2015-12-14,115.1
2015-12-15,116.9
2015-12-16,116.85
2015-12-17,117.95
2015-12-18,128.3
2015-12-21,134.8
2015-12-22,134.8
2015-12-23,132.25
2015-12-24,133.05
2015-12-28,130.8
2015-12-29,131.4
2015-12-30,131.3
2015-12-31,137.45
