Date,GPPL
2015-01-01,198.75
2015-01-02,223.6
2015-01-05,219.85
2015-01-06,220.45
2015-01-07,221.0
2015-01-08,224.95
2015-01-09,221.9
2015-01-12,220.05
2015-01-13,218.7
2015-01-14,211.7
2015-01-15,208.3
2015-01-16,207.8
2015-01-19,206.9
2015-01-20,201.05
2015-01-21,204.9
2015-01-22,205.55
2015-01-23,204.0
2015-01-27,213.65
2015-01-28,224.9
2015-01-29,208.55
2015-01-30,206.2
2015-02-02,211.05
2015-02-03,206.55
2015-02-04,217.65
2015-02-05,207.65
2015-02-06,204.3
2015-02-09,198.45
2015-02-10,212.8
2015-02-11,214.65
2015-02-12,214.2
2015-02-13,210.6
2015-02-16,210.45
2015-02-18,220.4
2015-02-19,217.6
2015-02-20,218.05
2015-02-23,216.4
2015-02-24,215.7
2015-02-25,216.7
2015-02-26,215.25
2015-02-27,223.0
2015-02-28,217.05
2015-03-02,218.6
2015-03-03,230.0
2015-03-04,239.35
2015-03-05,240.8
2015-03-09,240.6
2015-03-10,239.4
2015-03-11,231.65
2015-03-12,241.15
2015-03-13,230.3
2015-03-16,244.25
2015-03-17,242.5
2015-03-18,231.8
2015-03-19,233.85
2015-03-20,235.25
2015-03-23,241.9
2015-03-24,246.95
2015-03-25,244.2
2015-03-26,240.35
2015-03-27,235.85
2015-03-30,241.4
2015-03-31,242.05
2015-04-01,255.6
2015-04-06,254.75
2015-04-07,246.85
2015-04-08,250.45
2015-04-09,249.7
2015-04-10,248.4
2015-04-13,247.1
2015-04-15,239.7
2015-04-16,240.75
2015-04-17,235.05
2015-04-20,226.4
2015-04-21,231.15
2015-04-22,220.8
2015-04-23,211.75
2015-04-24,205.75
2015-04-27,207.65
2015-04-28,207.6
2015-04-29,221.05
2015-04-30,221.6
2015-05-04,222.45
2015-05-05,217.05
2015-05-06,198.65
2015-05-07,202.4
2015-05-08,213.35
2015-05-11,218.2
2015-05-12,213.55
2015-05-13,220.75
2015-05-14,221.55
2015-05-15,225.15
2015-05-18,235.0
2015-05-19,229.95
2015-05-20,229.5
2015-05-21,222.65
2015-05-22,220.85
2015-05-25,226.9
2015-05-26,222.9
2015-05-27,218.35
2015-05-28,215.4
2015-05-29,220.85
2015-06-01,215.85
2015-06-02,214.1
2015-06-03,217.15
2015-06-04,213.1
2015-06-05,209.3
2015-06-08,205.05
2015-06-09,201.8
2015-06-10,209.6
2015-06-11,210.9
2015-06-12,207.15
2015-06-15,207.05
2015-06-16,208.8
2015-06-17,218.25
2015-06-18,223.0
2015-06-19,221.45
2015-06-22,218.9
2015-06-23,221.75
2015-06-24,221.75
2015-06-25,217.75
2015-06-26,217.2
2015-06-29,211.55
2015-06-30,217.9
2015-07-01,218.9
2015-07-02,218.9
2015-07-03,215.55
2015-07-06,218.55
2015-07-07,222.2
2015-07-08,219.95
2015-07-09,215.6
2015-07-10,212.1
2015-07-13,213.4
2015-07-14,215.2
2015-07-15,221.75
2015-07-16,234.6
2015-07-17,234.65
2015-07-20,237.1
2015-07-21,232.3
2015-07-22,228.55
2015-07-23,222.6
2015-07-24,219.75
2015-07-27,221.25
2015-07-28,224.75
2015-07-29,228.8
2015-07-30,232.7
2015-07-31,235.7
2015-08-03,223.6
2015-08-04,220.9
2015-08-05,219.8
2015-08-06,215.8
2015-08-07,214.8
2015-08-10,216.35
2015-08-11,215.7
2015-08-12,209.8
2015-08-13,203.1
2015-08-14,195.95
2015-08-17,193.15
2015-08-18,209.9
2015-08-19,200.25
2015-08-20,187.9
2015-08-21,181.05
2015-08-24,178.6
2015-08-25,195.75
2015-08-26,189.65
2015-08-27,189.55
2015-08-28,184.4
2015-08-31,170.6
2015-09-01,178.0
2015-09-02,177.6
2015-09-03,180.1
2015-09-04,179.7
2015-09-07,182.35
2015-09-08,181.5
2015-09-09,182.0
2015-09-10,175.35
2015-09-11,176.0
2015-09-14,173.55
2015-09-15,174.7
2015-09-16,172.0
2015-09-18,179.2
2015-09-21,177.5
2015-09-22,178.6
2015-09-23,190.0
2015-09-24,184.75
2015-09-28,181.7
2015-09-29,179.7
2015-09-30,185.35
2015-10-01,184.8
2015-10-05,196.5
2015-10-06,200.35
2015-10-07,205.05
2015-10-08,208.5
2015-10-09,199.25
2015-10-12,192.45
2015-10-13,185.85
2015-10-14,189.2
2015-10-15,193.8
2015-10-16,190.05
2015-10-19,190.15
2015-10-20,186.25
2015-10-21,185.95
2015-10-23,181.3
2015-10-26,173.35
2015-10-27,178.6
2015-10-28,180.1
2015-10-29,162.25
2015-10-30,161.35
2015-11-02,159.85
2015-11-03,162.75
2015-11-04,164.9
2015-11-05,164.05
2015-11-06,165.6
2015-11-09,164.4
2015-11-10,162.0
2015-11-11,165.05
2015-11-13,160.1
2015-11-16,160.15
2015-11-17,164.2
2015-11-18,166.3
2015-11-19,166.0
2015-11-20,167.0
2015-11-23,167.0
2015-11-24,167.7
2015-11-26,166.25
2015-11-27,166.45
2015-11-30,161.65
2015-12-01,161.6
2015-12-02,162.95
2015-12-03,157.35
2015-12-04,159.5
2015-12-07,157.85
2015-12-08,155.1
2015-12-09,154.4
2015-12-10,146.3
2015-12-11,148.95
2015-12-14,146.75
2015-12-15,151.1
2015-12-16,153.85
2015-12-17,154.7
2015-12-18,149.6
2015-12-21,149.25
2015-12-22,146.9
2015-12-23,144.05
2015-12-24,146.0
2015-12-28,146.5
2015-12-29,139.05
2015-12-30,142.7
2015-12-31,141.4
