Date,LAOPALA
2015-01-01,448.2
2015-01-02,446.55
2015-01-05,449.2
2015-01-06,436.9
2015-01-07,436.95
2015-01-08,444.25
2015-01-09,438.85
2015-01-12,433.2
2015-01-13,425.4
2015-01-14,423.4
2015-01-15,422.35
2015-01-16,422.05
2015-01-19,425.1
2015-01-20,418.45
2015-01-21,421.8
2015-01-22,431.5
2015-01-23,425.7
2015-01-27,420.45
2015-01-28,411.7
2015-01-29,422.15
2015-01-30,416.3
2015-02-02,429.1
2015-02-03,419.0
2015-02-04,419.5
2015-02-05,412.0
2015-02-06,364.5
2015-02-09,386.5
2015-02-10,380.0
2015-02-11,433.7
2015-02-12,424.4
2015-02-13,414.05
2015-02-16,402.3
2015-02-18,400.45
2015-02-19,396.8
2015-02-20,397.3
2015-02-23,390.65
2015-02-24,383.1
2015-02-25,384.85
2015-02-26,380.0
2015-02-27,381.65
2015-02-28,381.2
2015-03-02,383.45
2015-03-03,382.4
2015-03-04,381.7
2015-03-05,383.25
2015-03-09,378.45
2015-03-10,373.75
2015-03-11,368.7
2015-03-12,371.0
2015-03-13,380.9
2015-03-16,373.15
2015-03-17,383.55
2015-03-18,385.85
2015-03-19,378.9
2015-03-20,370.25
2015-03-23,380.15
2015-03-24,380.4
2015-03-25,380.15
2015-03-26,382.65
2015-03-27,380.6
2015-03-30,379.55
2015-03-31,378.75
2015-04-01,392.7
2015-04-06,422.8
2015-04-07,435.7
2015-04-08,426.5
2015-04-09,423.5
2015-04-10,475.55
2015-04-13,477.15
2015-04-15,479.1
2015-04-16,464.6
2015-04-17,452.6
2015-04-20,427.4
2015-04-21,432.95
2015-04-22,428.95
2015-04-23,434.15
2015-04-24,400.2
2015-04-27,401.35
2015-04-28,395.95
2015-04-29,388.55
2015-04-30,393.1
2015-05-04,397.95
2015-05-05,408.75
2015-05-06,379.5
2015-05-07,380.55
2015-05-08,379.2
2015-05-11,385.85
2015-05-12,381.65
2015-05-13,406.9
2015-05-14,395.25
2015-05-15,392.3
2015-05-18,401.65
2015-05-19,413.25
2015-05-20,415.35
2015-05-21,404.05
2015-05-22,398.9
2015-05-25,396.6
2015-05-26,397.9
2015-05-27,399.3
2015-05-28,390.85
2015-05-29,393.25
2015-06-01,387.1
2015-06-02,375.9
2015-06-03,368.25
2015-06-04,374.0
2015-06-05,375.0
2015-06-08,369.25
2015-06-09,372.5
2015-06-10,363.7
2015-06-11,347.15
2015-06-12,351.6
2015-06-15,346.45
2015-06-16,353.75
2015-06-17,349.15
2015-06-18,344.1
2015-06-19,349.5
2015-06-22,363.75
2015-06-23,359.15
2015-06-24,351.2
2015-06-25,346.75
2015-06-26,347.8
2015-06-29,340.7
2015-06-30,338.2
2015-07-01,339.0
2015-07-02,364.55
2015-07-03,370.1
2015-07-06,377.3
2015-07-07,375.05
2015-07-08,368.7
2015-07-09,439.15
2015-07-10,485.7
2015-07-13,442.0
2015-07-14,446.05
2015-07-15,451.9
2015-07-16,442.9
2015-07-17,441.5
2015-07-20,448.5
2015-07-21,445.65
2015-07-22,441.95
2015-07-23,435.2
2015-07-24,429.55
2015-07-27,410.5
2015-07-28,430.25
2015-07-29,439.7
2015-07-30,432.55
2015-07-31,429.65
2015-08-03,420.35
2015-08-04,480.35
2015-08-05,490.55
2015-08-06,528.5
2015-08-07,519.05
2015-08-10,520.55
2015-08-11,527.45
2015-08-12,533.8
2015-08-13,530.25
2015-08-14,530.25
2015-08-17,559.9
2015-08-18,571.4
2015-08-19,563.95
2015-08-20,560.9
2015-08-21,554.7
2015-08-24,531.3
2015-08-25,555.75
2015-08-26,597.75
2015-08-27,577.1
2015-08-28,578.95
2015-08-31,566.75
2015-09-01,544.6
2015-09-02,558.0
2015-09-03,567.5
2015-09-04,589.7
2015-09-07,582.9
2015-09-08,555.35
2015-09-09,582.35
2015-09-10,588.3
2015-09-11,576.05
2015-09-14,573.25
2015-09-15,576.95
2015-09-16,581.1
2015-09-18,587.8
2015-09-21,582.3
2015-09-22,572.05
2015-09-23,572.75
2015-09-24,572.05
2015-09-28,568.1
2015-09-29,562.75
2015-09-30,554.45
2015-10-01,561.1
2015-10-05,573.95
2015-10-06,567.8
2015-10-07,560.35
2015-10-08,561.0
2015-10-09,562.6
2015-10-12,549.0
2015-10-13,550.1
2015-10-14,554.8
2015-10-15,551.5
2015-10-16,548.4
2015-10-19,542.75
2015-10-20,552.25
2015-10-21,549.1
2015-10-23,548.95
2015-10-26,551.45
2015-10-27,545.15
2015-10-28,551.1
2015-10-29,550.2
2015-10-30,544.8
2015-11-02,547.6
2015-11-03,587.5
2015-11-04,591.6
2015-11-05,571.4
2015-11-06,578.45
2015-11-09,575.75
2015-11-10,572.55
2015-11-11,576.35
2015-11-13,574.25
2015-11-16,584.3
2015-11-17,582.15
2015-11-18,558.2
2015-11-19,548.55
2015-11-20,562.2
2015-11-23,585.35
2015-11-24,584.9
2015-11-26,572.4
2015-11-27,580.55
2015-11-30,598.95
2015-12-01,584.0
2015-12-02,590.9
2015-12-03,582.0
2015-12-04,577.25
2015-12-07,608.2
2015-12-08,601.2
2015-12-09,583.6
2015-12-10,579.55
2015-12-11,581.25
2015-12-14,574.9
2015-12-15,579.35
2015-12-16,576.2
2015-12-17,609.85
2015-12-18,630.8
2015-12-21,623.6
2015-12-22,607.6
2015-12-23,612.4
2015-12-24,612.45
2015-12-28,621.85
2015-12-29,614.0
2015-12-30,619.45
2015-12-31,638.7
