Date,AHLWEST
2015-01-01,113.65
2015-01-02,119.55
2015-01-05,126.5
2015-01-06,122.1
2015-01-07,116.7
2015-01-08,119.0
2015-01-09,126.15
2015-01-12,124.85
2015-01-13,122.6
2015-01-14,122.95
2015-01-15,125.15
2015-01-16,118.2
2015-01-19,116.95
2015-01-20,116.15
2015-01-21,119.8
2015-01-22,121.8
2015-01-23,118.35
2015-01-27,116.55
2015-01-28,117.5
2015-01-29,117.0
2015-01-30,115.95
2015-02-02,121.45
2015-02-03,117.75
2015-02-04,115.25
2015-02-05,114.75
2015-02-06,112.2
2015-02-09,112.2
2015-02-10,112.5
2015-02-11,116.9
2015-02-12,122.1
2015-02-13,120.2
2015-02-16,120.0
2015-02-18,123.5
2015-02-19,123.5
2015-02-20,123.0
2015-02-23,120.0
2015-02-24,122.5
2015-02-25,120.35
2015-02-26,123.05
2015-02-27,125.0
2015-02-28,126.4
2015-03-02,125.0
2015-03-03,123.0
2015-03-04,125.45
2015-03-05,123.15
2015-03-09,126.1
2015-03-10,127.85
2015-03-11,126.0
2015-03-12,130.0
2015-03-13,130.0
2015-03-16,125.05
2015-03-17,125.9
2015-03-18,125.0
2015-03-19,125.0
2015-03-20,125.0
2015-03-23,123.0
2015-03-24,123.0
2015-03-25,128.95
2015-03-26,125.0
2015-03-27,130.55
2015-03-30,123.15
2015-03-31,121.1
2015-04-01,128.35
2015-04-06,123.9
2015-04-07,126.3
2015-04-08,125.6
2015-04-09,125.05
2015-04-10,123.7
2015-04-13,125.2
2015-04-15,126.4
2015-04-16,126.0
2015-04-17,128.1
2015-04-20,125.0
2015-04-21,130.0
2015-04-22,118.65
2015-04-23,134.85
2015-04-24,136.5
2015-04-27,126.5
2015-04-28,123.95
2015-04-29,125.0
2015-04-30,121.3
2015-05-04,118.35
2015-05-05,120.8
2015-05-06,116.95
2015-05-11,116.65
2015-05-12,113.6
2015-05-13,113.9
2015-05-14,116.0
2015-05-18,112.2
2015-05-19,113.1
2015-05-20,114.0
2015-05-21,114.0
2015-05-22,114.0
2015-05-25,114.0
2015-05-26,114.0
2015-05-27,118.0
2015-05-28,117.0
2015-05-29,118.0
2015-06-01,118.0
2015-06-02,118.0
2015-06-03,115.0
2015-06-04,115.0
2015-06-05,115.0
2015-06-08,115.0
2015-06-09,115.0
2015-06-10,114.0
2015-06-11,114.0
2015-06-12,112.15
2015-06-15,114.9
2015-06-16,111.5
2015-06-17,107.0
2015-06-18,111.4
2015-06-19,107.15
2015-06-22,105.3
2015-06-23,106.05
2015-06-24,106.5
2015-06-25,108.9
2015-06-26,107.1
2015-06-29,109.9
2015-06-30,106.6
2015-07-01,106.3
2015-07-02,110.0
2015-07-03,107.0
2015-07-06,110.55
2015-07-07,109.0
2015-07-08,107.0
2015-07-09,112.6
2015-07-10,109.1
2015-07-13,108.6
2015-07-14,108.0
2015-07-15,108.0
2015-07-16,109.5
2015-07-17,109.3
2015-07-20,111.7
2015-07-21,111.0
2015-07-22,111.05
2015-07-23,109.25
2015-07-24,117.75
2015-07-27,115.0
2015-07-28,119.8
2015-07-29,118.05
2015-07-30,120.0
2015-07-31,116.0
2015-08-03,112.6
2015-08-04,112.1
2015-08-05,114.0
2015-08-06,114.0
2015-08-07,117.0
2015-08-10,116.0
2015-08-11,116.0
2015-08-12,116.35
2015-08-13,116.0
2015-08-14,116.0
2015-08-17,116.8
2015-08-18,116.05
2015-08-19,116.0
2015-08-20,119.2
2015-08-21,114.0
2015-08-24,111.0
2015-08-25,114.0
2015-08-26,114.0
2015-08-27,114.0
2015-08-28,114.0
2015-08-31,114.05
2015-09-01,114.0
2015-09-02,114.0
2015-09-03,114.5
2015-09-04,109.15
2015-09-07,108.05
2015-09-08,111.75
2015-09-09,106.55
2015-09-10,109.0
2015-09-11,107.4
2015-09-14,104.0
2015-09-15,110.05
2015-09-16,110.0
2015-09-18,110.0
2015-09-21,110.0
2015-09-22,110.0
2015-09-23,115.5
2015-09-24,111.0
2015-09-28,111.4
2015-09-29,112.45
2015-09-30,111.0
2015-10-01,111.05
2015-10-05,112.55
2015-10-06,120.0
2015-10-07,115.0
2015-10-08,115.0
2015-10-09,117.6
2015-10-12,115.0
2015-10-13,115.0
2015-10-14,120.0
2015-10-15,115.0
2015-10-16,115.0
2015-10-19,115.0
2015-10-20,115.15
2015-10-21,115.05
2015-10-23,115.0
2015-10-26,115.0
2015-10-27,115.0
2015-10-28,115.0
2015-10-29,115.0
2015-10-30,118.9
2015-11-02,116.95
2015-11-03,115.0
2015-11-04,118.95
2015-11-05,121.0
2015-11-06,121.0
2015-11-09,121.0
2015-11-10,114.25
2015-11-11,123.8
2015-11-13,119.5
2015-11-16,118.0
2015-11-17,115.5
2015-11-18,116.3
2015-11-19,115.05
2015-11-23,114.0
2015-11-24,115.0
2015-11-26,110.0
2015-11-27,115.0
2015-11-30,115.0
2015-12-01,117.0
2015-12-02,128.3
2015-12-03,126.95
2015-12-04,120.25
2015-12-07,119.05
2015-12-08,115.0
2015-12-09,115.0
2015-12-10,115.15
2015-12-11,115.1
2015-12-14,138.1
2015-12-15,136.95
2015-12-16,134.7
2015-12-17,132.75
2015-12-18,128.2
2015-12-21,133.75
2015-12-22,128.5
2015-12-23,125.0
2015-12-24,126.5
2015-12-28,122.55
2015-12-29,123.0
2015-12-30,123.0
2015-12-31,123.0
