Date,ALCHEM
2015-01-01,32.45
2015-01-02,31.95
2015-01-05,31.85
2015-01-06,31.45
2015-01-07,31.85
2015-01-08,31.65
2015-01-09,31.5
2015-01-12,31.7
2015-01-13,31.9
2015-01-14,31.45
2015-01-15,32.0
2015-01-16,31.45
2015-01-19,31.75
2015-01-20,31.9
2015-01-21,32.05
2015-01-22,38.45
2015-01-23,41.05
2015-01-27,36.4
2015-01-28,34.45
2015-01-29,35.2
2015-01-30,34.25
2015-02-02,34.0
2015-02-03,33.2
2015-02-04,33.25
2015-02-05,32.6
2015-02-06,31.9
2015-02-09,31.8
2015-02-10,32.15
2015-02-11,32.2
2015-02-12,32.65
2015-02-13,34.0
2015-02-16,33.05
2015-02-18,32.8
2015-02-19,32.55
2015-02-20,33.2
2015-02-23,34.15
2015-02-24,33.4
2015-02-25,33.35
2015-02-26,32.1
2015-02-27,32.55
2015-02-28,32.25
2015-03-02,32.8
2015-03-03,32.6
2015-03-04,32.5
2015-03-05,32.6
2015-03-09,31.95
2015-03-10,31.35
2015-03-11,31.25
2015-03-12,31.95
2015-03-13,31.4
2015-03-16,31.85
2015-03-17,31.95
2015-03-18,31.35
2015-03-19,31.1
2015-03-20,29.45
2015-03-23,30.4
2015-03-24,28.95
2015-03-25,28.1
2015-03-26,27.95
2015-03-27,26.8
2015-03-30,26.85
2015-03-31,27.25
2015-04-01,31.6
2015-04-06,35.95
2015-04-07,36.05
2015-04-08,35.45
2015-04-09,35.0
2015-04-10,29.8
2015-04-13,31.5
2015-04-15,31.0
2015-04-16,31.1
2015-04-17,29.8
2015-04-20,28.55
2015-04-21,28.35
2015-04-22,28.0
2015-04-23,27.2
2015-04-24,26.6
2015-04-27,27.15
2015-04-28,27.5
2015-04-29,27.3
2015-04-30,27.25
2015-05-04,27.6
2015-05-05,28.0
2015-05-06,28.35
2015-05-07,26.85
2015-05-08,27.5
2015-05-11,28.65
2015-05-12,27.65
2015-05-13,27.6
2015-05-14,27.35
2015-05-15,27.7
2015-05-18,27.65
2015-05-19,27.8
2015-05-20,27.65
2015-05-21,27.35
2015-05-22,27.85
2015-05-25,27.6
2015-05-26,27.15
2015-05-27,27.5
2015-05-28,27.2
2015-05-29,26.6
2015-06-01,26.15
2015-06-02,25.1
2015-06-03,24.25
2015-06-04,23.15
2015-06-05,23.15
2015-06-08,21.6
2015-06-09,21.5
2015-06-10,23.05
2015-06-11,20.85
2015-06-12,22.8
2015-06-15,22.7
2015-06-16,21.85
2015-06-17,22.75
2015-06-18,22.55
2015-06-19,22.9
2015-06-22,22.35
2015-06-23,22.35
2015-06-24,22.3
2015-06-25,22.6
2015-06-26,23.0
2015-06-29,22.9
2015-06-30,23.3
2015-07-01,22.7
2015-07-02,23.15
2015-07-03,23.3
2015-07-06,26.35
2015-07-07,25.15
2015-07-08,24.5
2015-07-09,25.1
2015-07-10,25.05
2015-07-13,25.0
2015-07-14,26.35
2015-07-15,26.45
2015-07-16,26.25
2015-07-17,26.65
2015-07-20,27.0
2015-07-21,26.55
2015-07-22,27.1
2015-07-23,26.5
2015-07-24,26.1
2015-07-27,25.6
2015-07-28,25.1
2015-07-29,25.2
2015-07-30,26.15
2015-07-31,25.85
2015-08-03,27.5
2015-08-04,27.45
2015-08-05,27.3
2015-08-06,27.0
2015-08-07,26.85
2015-08-10,26.9
2015-08-11,26.25
2015-08-12,25.55
2015-08-13,25.15
2015-08-14,25.0
2015-08-17,25.5
2015-08-18,23.15
2015-08-19,23.4
2015-08-20,23.45
2015-08-21,23.15
2015-08-24,20.95
2015-08-25,20.55
2015-08-26,22.8
2015-08-27,22.55
2015-08-28,25.8
2015-08-31,25.1
2015-09-01,24.0
2015-09-02,22.15
2015-09-03,22.35
2015-09-04,22.3
2015-09-07,22.0
2015-09-08,22.35
2015-09-09,21.7
2015-09-10,22.05
2015-09-11,22.35
2015-09-14,21.85
2015-09-15,22.4
2015-09-16,22.8
2015-09-18,21.4
2015-09-21,21.2
2015-09-22,21.2
2015-09-23,21.25
2015-09-24,21.55
2015-09-28,21.3
2015-09-29,21.25
2015-09-30,21.1
2015-10-01,20.8
2015-10-05,20.55
2015-10-06,20.75
2015-10-07,22.75
2015-10-08,23.2
2015-10-09,22.9
2015-10-12,22.4
2015-10-13,22.65
2015-10-14,22.7
2015-10-15,22.75
2015-10-16,22.6
2015-10-19,22.25
2015-10-20,22.3
2015-10-21,22.2
2015-10-23,22.25
2015-10-26,21.45
2015-10-27,21.85
2015-10-28,21.35
2015-10-29,21.05
2015-10-30,21.2
2015-11-02,21.25
2015-11-03,20.8
2015-11-04,21.2
2015-11-05,20.9
2015-11-06,21.0
2015-11-09,20.5
2015-11-10,20.25
2015-11-11,21.0
2015-11-13,20.7
2015-11-16,20.5
2015-11-17,20.7
2015-11-18,20.2
2015-11-19,20.5
2015-11-20,20.95
2015-11-23,20.5
2015-11-24,20.5
2015-11-26,21.05
2015-11-27,21.05
2015-11-30,25.05
2015-12-01,27.45
2015-12-02,28.25
2015-12-03,27.05
2015-12-04,25.55
2015-12-07,25.4
2015-12-08,24.85
2015-12-09,23.65
2015-12-10,23.4
2015-12-11,24.15
2015-12-14,23.7
2015-12-15,23.5
2015-12-16,23.65
2015-12-17,24.35
2015-12-18,24.3
2015-12-21,26.35
2015-12-22,31.6
2015-12-23,36.35
2015-12-24,33.75
2015-12-28,32.65
2015-12-29,32.15
2015-12-30,30.95
2015-12-31,30.05
