Date,ARSSINFRA
2015-01-01,38.15
2015-01-02,45.55
2015-01-05,49.0
2015-01-06,49.15
2015-01-07,48.85
2015-01-08,49.05
2015-01-09,47.1
2015-01-12,45.1
2015-01-13,44.55
2015-01-14,46.35
2015-01-15,46.9
2015-01-16,47.45
2015-01-19,46.1
2015-01-20,46.55
2015-01-21,45.15
2015-01-22,45.45
2015-01-23,45.7
2015-01-27,44.0
2015-01-28,42.35
2015-01-29,50.5
2015-01-30,49.75
2015-02-02,50.55
2015-02-03,50.2
2015-02-04,51.9
2015-02-05,48.1
2015-02-06,46.9
2015-02-09,46.05
2015-02-10,45.0
2015-02-11,46.65
2015-02-12,49.35
2015-02-13,45.8
2015-02-16,45.05
2015-02-18,46.0
2015-02-19,45.4
2015-02-20,44.95
2015-02-23,44.75
2015-02-24,43.55
2015-02-25,42.9
2015-02-26,42.8
2015-02-27,48.05
2015-02-28,46.75
2015-03-02,47.4
2015-03-03,48.9
2015-03-04,46.4
2015-03-05,45.6
2015-03-09,43.25
2015-03-10,42.8
2015-03-11,42.5
2015-03-12,42.65
2015-03-13,41.65
2015-03-16,41.3
2015-03-17,40.25
2015-03-18,39.25
2015-03-19,38.95
2015-03-20,37.25
2015-03-23,37.05
2015-03-24,35.55
2015-03-25,33.2
2015-03-26,32.2
2015-03-27,31.1
2015-03-30,35.4
2015-03-31,34.6
2015-04-01,36.3
2015-04-06,37.9
2015-04-07,39.75
2015-04-08,40.05
2015-04-09,39.2
2015-04-10,39.8
2015-04-13,40.2
2015-04-15,40.1
2015-04-16,38.55
2015-04-17,38.1
2015-04-20,37.2
2015-04-21,36.6
2015-04-22,36.95
2015-04-23,37.1
2015-04-24,35.5
2015-04-27,33.45
2015-04-28,34.1
2015-04-29,33.8
2015-04-30,33.15
2015-05-04,34.55
2015-05-05,34.15
2015-05-06,32.6
2015-05-07,32.15
2015-05-08,32.9
2015-05-11,34.5
2015-05-12,33.5
2015-05-13,33.25
2015-05-14,33.3
2015-05-15,32.8
2015-05-18,32.75
2015-05-19,33.2
2015-05-20,32.5
2015-05-21,32.15
2015-05-22,31.45
2015-05-25,30.65
2015-05-26,29.2
2015-05-27,28.15
2015-05-28,27.45
2015-05-29,32.9
2015-06-01,30.8
2015-06-02,29.25
2015-06-03,26.0
2015-06-04,27.75
2015-06-05,28.9
2015-06-08,27.85
2015-06-09,27.45
2015-06-10,27.3
2015-06-11,27.45
2015-06-12,27.1
2015-06-15,27.6
2015-06-16,27.3
2015-06-17,28.2
2015-06-18,28.7
2015-06-19,28.15
2015-06-22,28.5
2015-06-23,28.3
2015-06-24,27.75
2015-06-25,27.5
2015-06-26,27.4
2015-06-29,26.15
2015-06-30,26.45
2015-07-01,26.7
2015-07-02,26.6
2015-07-03,27.0
2015-07-06,28.25
2015-07-07,29.85
2015-07-08,29.2
2015-07-09,33.6
2015-07-10,31.5
2015-07-13,30.65
2015-07-14,31.65
2015-07-15,31.5
2015-07-16,31.4
2015-07-17,32.0
2015-07-20,32.0
2015-07-21,30.6
2015-07-22,30.6
2015-07-23,30.75
2015-07-24,30.55
2015-07-27,29.65
2015-07-28,29.65
2015-07-29,29.6
2015-07-30,30.75
2015-07-31,30.4
2015-08-03,30.85
2015-08-04,30.65
2015-08-05,32.8
2015-08-06,33.6
2015-08-07,32.4
2015-08-10,30.45
2015-08-11,30.3
2015-08-12,28.3
2015-08-13,28.15
2015-08-14,28.85
2015-08-17,28.8
2015-08-18,28.8
2015-08-19,28.85
2015-08-20,27.05
2015-08-21,26.5
2015-08-24,23.1
2015-08-25,22.95
2015-08-26,24.25
2015-08-27,26.45
2015-08-28,26.0
2015-08-31,26.4
2015-09-01,25.0
2015-09-02,25.2
2015-09-03,25.8
2015-09-04,24.7
2015-09-07,24.35
2015-09-08,24.55
2015-09-09,26.45
2015-09-10,26.35
2015-09-11,26.55
2015-09-14,28.85
2015-09-15,28.8
2015-09-16,32.15
2015-09-18,32.35
2015-09-21,32.55
2015-09-22,33.0
2015-09-23,33.05
2015-09-24,33.5
2015-09-28,32.4
2015-09-29,32.45
2015-09-30,32.55
2015-10-01,32.45
2015-10-05,32.35
2015-10-06,33.5
2015-10-07,34.8
2015-10-08,34.0
2015-10-09,36.45
2015-10-12,38.5
2015-10-13,37.85
2015-10-14,37.45
2015-10-15,38.25
2015-10-16,38.35
2015-10-19,36.5
2015-10-20,36.85
2015-10-21,35.7
2015-10-23,36.05
2015-10-26,36.65
2015-10-27,36.7
2015-10-28,35.75
2015-10-29,33.8
2015-10-30,33.4
2015-11-02,33.5
2015-11-03,33.4
2015-11-04,33.2
2015-11-05,32.05
2015-11-06,31.8
2015-11-09,31.0
2015-11-10,30.6
2015-11-11,31.35
2015-11-13,30.65
2015-11-16,31.45
2015-11-17,31.7
2015-11-18,31.7
2015-11-19,32.25
2015-11-20,31.45
2015-11-23,32.1
2015-11-24,32.0
2015-11-26,32.25
2015-11-27,33.7
2015-11-30,40.4
2015-12-01,39.3
2015-12-02,40.15
2015-12-03,43.0
2015-12-04,41.5
2015-12-07,40.45
2015-12-08,43.5
2015-12-09,41.9
2015-12-10,43.5
2015-12-11,41.85
2015-12-14,41.25
2015-12-15,41.5
2015-12-16,41.75
2015-12-17,42.6
2015-12-18,41.85
2015-12-21,42.1
2015-12-22,42.15
2015-12-23,42.05
2015-12-24,50.45
2015-12-28,49.5
2015-12-29,47.75
2015-12-30,47.95
2015-12-31,47.8
