Date,FCONSUMER
2015-01-01,12.6
2015-01-02,12.65
2015-01-05,12.25
2015-01-06,11.7
2015-01-07,12.1
2015-01-08,12.2
2015-01-09,12.25
2015-01-12,12.75
2015-01-13,12.75
2015-01-14,12.45
2015-01-15,12.55
2015-01-16,12.25
2015-01-19,11.95
2015-01-20,11.4
2015-01-21,12.25
2015-01-22,12.25
2015-01-23,12.1
2015-01-27,12.95
2015-01-28,13.5
2015-01-29,13.1
2015-01-30,13.35
2015-02-02,14.05
2015-02-03,14.3
2015-02-04,13.7
2015-02-05,13.45
2015-02-06,13.65
2015-02-09,13.2
2015-02-10,13.05
2015-02-11,13.4
2015-02-12,13.35
2015-02-13,13.45
2015-02-16,13.7
2015-02-18,14.0
2015-02-19,15.15
2015-02-20,15.2
2015-02-23,14.65
2015-02-24,14.85
2015-02-25,14.25
2015-02-26,14.45
2015-02-27,14.05
2015-02-28,14.3
2015-03-02,14.3
2015-03-03,14.75
2015-03-04,14.35
2015-03-05,14.35
2015-03-09,14.15
2015-03-10,14.05
2015-03-11,14.15
2015-03-12,14.05
2015-03-13,13.35
2015-03-16,13.15
2015-03-17,13.2
2015-03-18,12.8
2015-03-19,11.9
2015-03-20,11.85
2015-03-23,11.65
2015-03-24,11.15
2015-03-25,10.75
2015-03-26,10.8
2015-03-27,11.1
2015-03-30,12.05
2015-03-31,12.1
2015-04-01,12.1
2015-04-06,12.2
2015-04-07,12.25
2015-04-08,12.9
2015-04-09,13.2
2015-04-10,13.25
2015-04-13,13.3
2015-04-15,13.2
2015-04-16,13.15
2015-04-17,13.1
2015-04-20,12.5
2015-04-21,12.5
2015-04-22,12.35
2015-04-23,12.4
2015-04-24,11.75
2015-04-27,11.35
2015-04-28,11.55
2015-04-29,11.25
2015-04-30,11.3
2015-05-04,12.7
2015-05-05,12.2
2015-05-06,11.55
2015-05-07,11.15
2015-05-08,11.4
2015-05-11,11.45
2015-05-12,10.95
2015-05-13,11.1
2015-05-14,11.05
2015-05-15,11.2
2015-05-18,11.05
2015-05-19,11.4
2015-05-20,11.6
2015-05-21,11.55
2015-05-22,12.6
2015-05-25,12.85
2015-05-26,12.3
2015-05-27,12.25
2015-05-28,11.95
2015-05-29,12.3
2015-06-01,12.3
2015-06-02,12.1
2015-06-03,11.4
2015-06-04,11.3
2015-06-05,11.2
2015-06-08,11.2
2015-06-09,11.25
2015-06-10,11.3
2015-06-11,11.15
2015-06-12,11.05
2015-06-15,11.0
2015-06-16,10.95
2015-06-17,10.95
2015-06-18,11.25
2015-06-19,11.8
2015-06-22,12.05
2015-06-23,13.25
2015-06-24,12.75
2015-06-25,12.8
2015-06-26,13.55
2015-06-29,13.5
2015-06-30,13.7
2015-07-01,13.95
2015-07-02,14.05
2015-07-03,13.75
2015-07-06,15.35
2015-07-07,15.25
2015-07-08,15.0
2015-07-09,16.15
2015-07-10,16.2
2015-07-13,16.3
2015-07-14,16.2
2015-07-15,15.7
2015-07-16,15.4
2015-07-17,16.85
2015-07-20,16.8
2015-07-21,15.95
2015-07-22,16.25
2015-07-23,16.1
2015-07-24,16.25
2015-07-27,16.1
2015-07-28,16.4
2015-07-29,17.2
2015-07-30,16.9
2015-07-31,16.8
2015-08-03,17.15
2015-08-04,16.85
2015-08-05,17.15
2015-08-06,16.95
2015-08-07,16.9
2015-08-10,16.7
2015-08-11,16.65
2015-08-12,15.8
2015-08-13,15.15
2015-08-14,15.5
2015-08-17,15.75
2015-08-18,16.7
2015-08-19,16.45
2015-08-20,16.6
2015-08-21,16.35
2015-08-24,14.4
2015-08-25,13.95
2015-08-26,14.25
2015-08-27,14.5
2015-08-28,16.25
2015-08-31,16.05
2015-09-01,15.6
2015-09-02,15.0
2015-09-03,15.6
2015-09-04,15.0
2015-09-07,14.4
2015-09-08,15.0
2015-09-09,15.05
2015-09-10,15.1
2015-09-11,15.2
2015-09-14,15.65
2015-09-15,15.45
2015-09-16,15.25
2015-09-18,15.85
2015-09-21,16.15
2015-09-22,15.55
2015-09-23,15.8
2015-09-24,15.75
2015-09-28,15.4
2015-09-29,15.25
2015-09-30,15.15
2015-10-01,15.2
2015-10-05,15.25
2015-10-06,15.15
2015-10-07,15.1
2015-10-08,16.3
2015-10-09,17.75
2015-10-12,17.9
2015-10-13,20.15
2015-10-14,19.4
2015-10-15,19.65
2015-10-16,19.85
2015-10-19,19.8
2015-10-20,19.3
2015-10-21,19.0
2015-10-23,18.5
2015-10-26,19.0
2015-10-27,19.15
2015-10-28,19.1
2015-10-29,19.0
2015-10-30,18.6
2015-11-02,18.8
2015-11-03,18.5
2015-11-04,18.1
2015-11-05,17.75
2015-11-06,17.65
2015-11-09,18.8
2015-11-10,18.8
2015-11-11,19.35
2015-11-13,21.95
2015-11-16,22.0
2015-11-17,22.6
2015-11-18,21.4
2015-11-19,21.85
2015-11-20,21.9
2015-11-23,21.6
2015-11-24,23.05
2015-11-26,23.15
2015-11-27,22.65
2015-11-30,22.35
2015-12-01,22.45
2015-12-02,23.1
2015-12-03,22.85
2015-12-04,22.5
2015-12-07,23.05
2015-12-08,22.3
2015-12-09,21.0
2015-12-10,22.75
2015-12-11,22.5
2015-12-14,22.7
2015-12-15,22.55
2015-12-16,22.5
2015-12-17,23.55
2015-12-18,24.0
2015-12-21,25.5
2015-12-22,26.3
2015-12-23,25.9
2015-12-24,26.15
2015-12-28,25.25
2015-12-29,24.8
2015-12-30,24.65
2015-12-31,26.05
