Date,RCF
2015-01-01,68.85
2015-01-02,68.45
2015-01-05,67.2
2015-01-06,65.85
2015-01-07,67.15
2015-01-08,66.5
2015-01-09,65.7
2015-01-12,65.75
2015-01-13,66.2
2015-01-14,63.95
2015-01-15,64.0
2015-01-16,63.85
2015-01-19,69.0
2015-01-20,67.3
2015-01-21,64.85
2015-01-22,66.15
2015-01-23,67.05
2015-01-27,65.1
2015-01-28,65.95
2015-01-29,65.2
2015-01-30,64.95
2015-02-02,67.75
2015-02-03,68.35
2015-02-04,67.25
2015-02-05,66.65
2015-02-06,67.25
2015-02-09,65.15
2015-02-10,65.45
2015-02-11,66.1
2015-02-12,65.2
2015-02-13,65.25
2015-02-16,65.0
2015-02-18,70.3
2015-02-19,73.25
2015-02-20,70.5
2015-02-23,71.5
2015-02-24,69.05
2015-02-25,69.85
2015-02-26,68.0
2015-02-27,68.55
2015-02-28,66.3
2015-03-02,64.8
2015-03-03,65.0
2015-03-04,64.5
2015-03-05,63.25
2015-03-09,61.85
2015-03-10,62.35
2015-03-11,61.85
2015-03-12,61.95
2015-03-13,60.15
2015-03-16,59.2
2015-03-17,59.05
2015-03-18,58.8
2015-03-19,57.9
2015-03-20,55.15
2015-03-23,54.35
2015-03-24,53.0
2015-03-25,51.9
2015-03-26,52.8
2015-03-27,52.7
2015-03-30,54.75
2015-03-31,56.45
2015-04-01,59.7
2015-04-06,58.0
2015-04-07,69.6
2015-04-08,67.85
2015-04-09,69.65
2015-04-10,68.75
2015-04-13,67.35
2015-04-15,65.7
2015-04-16,67.85
2015-04-17,67.45
2015-04-20,65.5
2015-04-21,64.85
2015-04-22,66.45
2015-04-23,65.55
2015-04-24,63.95
2015-04-27,62.15
2015-04-28,59.85
2015-04-29,58.7
2015-04-30,58.95
2015-05-04,60.15
2015-05-05,60.2
2015-05-06,58.7
2015-05-07,56.6
2015-05-08,58.75
2015-05-11,59.25
2015-05-12,57.85
2015-05-13,60.3
2015-05-14,60.1
2015-05-15,59.95
2015-05-18,60.3
2015-05-19,60.1
2015-05-20,60.0
2015-05-21,61.1
2015-05-22,57.45
2015-05-25,56.25
2015-05-26,56.45
2015-05-27,55.55
2015-05-28,55.85
2015-05-29,55.85
2015-06-01,55.8
2015-06-02,55.2
2015-06-03,53.5
2015-06-04,52.9
2015-06-05,53.65
2015-06-08,52.75
2015-06-09,54.6
2015-06-10,54.65
2015-06-11,53.3
2015-06-12,53.15
2015-06-15,53.45
2015-06-16,54.8
2015-06-17,54.6
2015-06-18,55.05
2015-06-19,56.55
2015-06-22,56.7
2015-06-23,56.35
2015-06-24,55.4
2015-06-25,55.95
2015-06-26,55.65
2015-06-29,53.65
2015-06-30,54.65
2015-07-01,55.8
2015-07-02,59.15
2015-07-03,58.3
2015-07-06,58.45
2015-07-07,58.35
2015-07-08,56.75
2015-07-09,55.9
2015-07-10,55.15
2015-07-13,55.75
2015-07-14,55.9
2015-07-15,56.15
2015-07-16,56.25
2015-07-17,56.6
2015-07-20,56.3
2015-07-21,55.75
2015-07-22,55.7
2015-07-23,56.35
2015-07-24,55.3
2015-07-27,54.7
2015-07-28,53.2
2015-07-29,54.25
2015-07-30,54.1
2015-07-31,54.3
2015-08-03,55.05
2015-08-04,56.0
2015-08-05,56.2
2015-08-06,57.45
2015-08-07,57.05
2015-08-10,57.05
2015-08-11,55.2
2015-08-12,54.05
2015-08-13,52.75
2015-08-14,53.6
2015-08-17,53.9
2015-08-18,54.85
2015-08-19,54.7
2015-08-20,53.0
2015-08-21,51.6
2015-08-24,45.8
2015-08-25,43.6
2015-08-26,44.8
2015-08-27,45.4
2015-08-28,45.6
2015-08-31,44.4
2015-09-01,43.15
2015-09-02,42.3
2015-09-03,42.95
2015-09-04,40.95
2015-09-07,40.0
2015-09-08,40.75
2015-09-09,42.0
2015-09-10,41.85
2015-09-11,43.5
2015-09-14,44.5
2015-09-15,43.8
2015-09-16,42.65
2015-09-18,44.45
2015-09-21,45.5
2015-09-22,44.3
2015-09-23,44.55
2015-09-24,44.5
2015-09-28,47.15
2015-09-29,50.7
2015-09-30,47.8
2015-10-01,49.3
2015-10-05,49.7
2015-10-06,49.45
2015-10-07,49.55
2015-10-08,49.6
2015-10-09,49.6
2015-10-12,49.55
2015-10-13,51.1
2015-10-14,51.4
2015-10-15,51.7
2015-10-16,51.55
2015-10-19,51.45
2015-10-20,50.85
2015-10-21,50.85
2015-10-23,50.5
2015-10-26,50.6
2015-10-27,50.15
2015-10-28,49.95
2015-10-29,49.25
2015-10-30,47.75
2015-11-02,46.95
2015-11-03,46.85
2015-11-04,47.4
2015-11-05,46.85
2015-11-06,46.9
2015-11-09,48.75
2015-11-10,47.45
2015-11-11,48.1
2015-11-13,46.6
2015-11-16,47.05
2015-11-17,47.15
2015-11-18,47.4
2015-11-19,48.3
2015-11-20,48.0
2015-11-23,49.65
2015-11-24,49.55
2015-11-26,50.0
2015-11-27,49.95
2015-11-30,49.65
2015-12-01,52.1
2015-12-02,51.05
2015-12-03,50.2
2015-12-04,49.0
2015-12-07,48.65
2015-12-08,47.3
2015-12-09,44.75
2015-12-10,45.4
2015-12-11,45.0
2015-12-14,50.1
2015-12-15,52.45
2015-12-16,48.25
2015-12-17,49.2
2015-12-18,48.2
2015-12-21,48.55
2015-12-22,48.5
2015-12-23,48.95
2015-12-24,49.1
2015-12-28,49.1
2015-12-29,49.1
2015-12-30,48.55
2015-12-31,49.4
