Date,ARCHIDPLY
2015-01-01,43.5
2015-01-02,43.75
2015-01-05,43.1
2015-01-06,41.45
2015-01-07,41.0
2015-01-08,42.65
2015-01-09,41.9
2015-01-12,42.7
2015-01-13,41.3
2015-01-14,40.85
2015-01-15,41.95
2015-01-16,41.75
2015-01-19,41.1
2015-01-20,45.3
2015-01-21,44.75
2015-01-22,43.95
2015-01-23,42.85
2015-01-27,42.95
2015-01-28,42.5
2015-01-29,42.35
2015-01-30,41.75
2015-02-02,40.9
2015-02-03,40.85
2015-02-04,41.5
2015-02-05,41.3
2015-02-06,40.55
2015-02-09,38.7
2015-02-10,38.65
2015-02-11,39.25
2015-02-12,40.8
2015-02-13,39.35
2015-02-16,37.3
2015-02-18,36.75
2015-02-19,34.9
2015-02-20,37.15
2015-02-23,36.45
2015-02-24,35.75
2015-02-25,34.05
2015-02-26,33.65
2015-02-27,34.95
2015-02-28,33.9
2015-03-02,33.65
2015-03-03,33.85
2015-03-04,32.65
2015-03-05,33.0
2015-03-09,32.05
2015-03-10,31.8
2015-03-11,31.05
2015-03-12,32.95
2015-03-13,31.15
2015-03-16,30.4
2015-03-17,30.35
2015-03-18,28.8
2015-03-19,29.2
2015-03-20,28.2
2015-03-23,26.35
2015-03-24,24.85
2015-03-25,23.05
2015-03-26,26.8
2015-03-27,28.4
2015-03-30,32.9
2015-03-31,32.2
2015-04-01,35.35
2015-04-06,37.3
2015-04-07,36.2
2015-04-08,35.7
2015-04-09,35.4
2015-04-10,35.6
2015-04-13,39.15
2015-04-15,38.0
2015-04-16,37.2
2015-04-17,36.55
2015-04-20,35.55
2015-04-21,37.3
2015-04-22,35.55
2015-04-23,36.4
2015-04-24,34.95
2015-04-27,33.3
2015-04-28,33.45
2015-04-29,35.1
2015-04-30,34.85
2015-05-04,35.0
2015-05-05,34.7
2015-05-06,32.85
2015-05-07,31.35
2015-05-08,32.7
2015-05-11,32.7
2015-05-12,31.0
2015-05-13,31.55
2015-05-14,31.85
2015-05-15,32.35
2015-05-18,33.45
2015-05-19,34.0
2015-05-20,37.55
2015-05-21,36.7
2015-05-22,34.65
2015-05-25,35.35
2015-05-26,36.7
2015-05-27,35.35
2015-05-28,36.9
2015-05-29,40.15
2015-06-01,39.95
2015-06-02,37.3
2015-06-03,34.0
2015-06-04,33.65
2015-06-05,33.9
2015-06-08,32.75
2015-06-09,31.65
2015-06-10,31.85
2015-06-11,33.2
2015-06-12,32.4
2015-06-15,31.6
2015-06-16,33.1
2015-06-17,32.95
2015-06-18,34.7
2015-06-19,35.4
2015-06-22,35.0
2015-06-23,33.95
2015-06-24,34.3
2015-06-25,34.45
2015-06-26,34.5
2015-06-29,33.75
2015-06-30,34.35
2015-07-01,34.6
2015-07-02,36.95
2015-07-03,35.8
2015-07-06,37.8
2015-07-07,38.15
2015-07-08,37.5
2015-07-09,37.25
2015-07-10,42.5
2015-07-13,41.85
2015-07-14,42.1
2015-07-15,40.75
2015-07-16,41.15
2015-07-17,40.0
2015-07-20,40.75
2015-07-21,39.8
2015-07-22,39.45
2015-07-23,41.15
2015-07-24,45.75
2015-07-27,46.15
2015-07-28,45.1
2015-07-29,54.1
2015-07-30,56.3
2015-07-31,55.7
2015-08-03,58.1
2015-08-04,58.45
2015-08-05,57.7
2015-08-06,55.1
2015-08-07,55.55
2015-08-10,54.1
2015-08-11,51.8
2015-08-12,50.95
2015-08-13,47.5
2015-08-14,47.0
2015-08-17,46.0
2015-08-18,45.45
2015-08-19,47.1
2015-08-20,51.6
2015-08-21,50.5
2015-08-24,42.9
2015-08-25,42.05
2015-08-26,42.1
2015-08-27,44.25
2015-08-28,45.95
2015-08-31,45.65
2015-09-01,44.2
2015-09-02,42.8
2015-09-03,42.8
2015-09-04,40.75
2015-09-07,38.6
2015-09-08,38.5
2015-09-09,40.9
2015-09-10,39.45
2015-09-11,41.0
2015-09-14,41.4
2015-09-15,41.45
2015-09-16,41.25
2015-09-18,42.65
2015-09-21,42.25
2015-09-22,41.65
2015-09-23,41.5
2015-09-24,41.4
2015-09-28,40.9
2015-09-29,40.8
2015-09-30,40.6
2015-10-01,41.0
2015-10-05,43.9
2015-10-06,43.85
2015-10-07,44.1
2015-10-08,47.05
2015-10-09,45.55
2015-10-12,44.25
2015-10-13,46.65
2015-10-14,51.45
2015-10-15,50.75
2015-10-16,50.25
2015-10-19,51.95
2015-10-20,50.65
2015-10-21,50.25
2015-10-23,49.05
2015-10-26,47.85
2015-10-27,54.15
2015-10-28,51.4
2015-10-29,50.85
2015-10-30,50.15
2015-11-02,51.4
2015-11-03,54.55
2015-11-04,53.05
2015-11-05,51.25
2015-11-06,49.85
2015-11-09,51.5
2015-11-10,50.05
2015-11-11,51.0
2015-11-13,49.6
2015-11-16,51.9
2015-11-17,51.45
2015-11-18,49.55
2015-11-19,50.55
2015-11-20,50.5
2015-11-23,50.15
2015-11-24,53.05
2015-11-26,52.1
2015-11-27,52.95
2015-11-30,59.45
2015-12-01,58.0
2015-12-02,56.5
2015-12-03,56.9
2015-12-04,55.45
2015-12-07,54.35
2015-12-08,51.95
2015-12-09,48.7
2015-12-10,50.5
2015-12-11,48.8
2015-12-14,54.2
2015-12-15,52.85
2015-12-16,51.95
2015-12-17,53.2
2015-12-18,53.45
2015-12-21,53.25
2015-12-22,53.2
2015-12-23,57.0
2015-12-24,62.15
2015-12-28,63.6
2015-12-29,60.85
2015-12-30,59.8
2015-12-31,59.9
