Date,TATACHEM
2015-01-01,434.5
2015-01-02,438.15
2015-01-05,435.75
2015-01-06,422.6
2015-01-07,432.6
2015-01-08,440.4
2015-01-09,442.05
2015-01-12,439.8
2015-01-13,447.85
2015-01-14,443.05
2015-01-15,445.8
2015-01-16,444.05
2015-01-19,444.7
2015-01-20,444.75
2015-01-21,438.8
2015-01-22,441.6
2015-01-23,440.65
2015-01-27,440.15
2015-01-28,440.85
2015-01-29,450.25
2015-01-30,456.65
2015-02-02,463.4
2015-02-03,460.25
2015-02-04,468.95
2015-02-05,462.45
2015-02-06,448.75
2015-02-09,452.5
2015-02-10,458.1
2015-02-11,470.25
2015-02-12,471.8
2015-02-13,466.55
2015-02-16,458.55
2015-02-18,463.35
2015-02-19,461.75
2015-02-20,466.5
2015-02-23,459.7
2015-02-24,463.55
2015-02-25,451.35
2015-02-26,442.25
2015-02-27,459.25
2015-02-28,453.65
2015-03-02,465.4
2015-03-03,479.1
2015-03-04,464.85
2015-03-05,466.45
2015-03-09,454.15
2015-03-10,449.75
2015-03-11,449.85
2015-03-12,449.5
2015-03-13,437.7
2015-03-16,428.95
2015-03-17,430.7
2015-03-18,436.3
2015-03-19,433.15
2015-03-20,425.1
2015-03-23,419.3
2015-03-24,417.95
2015-03-25,418.7
2015-03-26,421.45
2015-03-27,426.75
2015-03-30,441.0
2015-03-31,443.55
2015-04-01,441.1
2015-04-06,437.4
2015-04-07,456.8
2015-04-08,449.05
2015-04-09,448.35
2015-04-10,450.35
2015-04-13,452.2
2015-04-15,441.6
2015-04-16,447.7
2015-04-17,442.5
2015-04-20,430.2
2015-04-21,430.4
2015-04-22,433.25
2015-04-23,432.2
2015-04-24,424.75
2015-04-27,412.35
2015-04-28,428.7
2015-04-29,431.6
2015-04-30,426.95
2015-05-04,441.55
2015-05-05,439.9
2015-05-06,428.05
2015-05-07,419.65
2015-05-08,436.1
2015-05-11,445.75
2015-05-12,436.1
2015-05-13,444.9
2015-05-14,443.2
2015-05-15,444.1
2015-05-18,444.8
2015-05-19,445.7
2015-05-20,442.25
2015-05-21,437.75
2015-05-22,434.95
2015-05-25,439.65
2015-05-26,444.55
2015-05-27,428.35
2015-05-28,434.95
2015-05-29,432.25
2015-06-01,428.5
2015-06-02,419.4
2015-06-03,416.75
2015-06-04,421.45
2015-06-05,425.25
2015-06-08,412.0
2015-06-09,420.2
2015-06-10,415.65
2015-06-11,408.65
2015-06-12,411.2
2015-06-15,410.2
2015-06-16,410.35
2015-06-17,408.0
2015-06-18,409.95
2015-06-19,417.95
2015-06-22,417.55
2015-06-23,419.1
2015-06-24,414.05
2015-06-25,412.15
2015-06-26,414.05
2015-06-29,411.5
2015-06-30,420.9
2015-07-01,437.1
2015-07-02,434.0
2015-07-03,434.6
2015-07-06,441.3
2015-07-07,449.25
2015-07-08,437.95
2015-07-09,442.55
2015-07-10,442.05
2015-07-13,444.0
2015-07-14,449.25
2015-07-15,460.2
2015-07-16,487.6
2015-07-17,484.7
2015-07-20,502.15
2015-07-21,495.55
2015-07-22,518.95
2015-07-23,512.75
2015-07-24,501.65
2015-07-27,500.55
2015-07-28,487.2
2015-07-29,499.9
2015-07-30,506.35
2015-07-31,490.0
2015-08-03,484.3
2015-08-04,491.7
2015-08-05,483.75
2015-08-06,483.0
2015-08-07,473.05
2015-08-10,469.6
2015-08-11,469.95
2015-08-12,457.2
2015-08-13,458.85
2015-08-14,469.75
2015-08-17,464.45
2015-08-18,468.9
2015-08-19,461.25
2015-08-20,447.6
2015-08-21,445.35
2015-08-24,394.8
2015-08-25,415.35
2015-08-26,398.2
2015-08-27,402.95
2015-08-28,409.0
2015-08-31,399.8
2015-09-01,396.45
2015-09-02,388.6
2015-09-03,394.35
2015-09-04,382.8
2015-09-07,379.5
2015-09-08,383.8
2015-09-09,391.8
2015-09-10,388.35
2015-09-11,387.05
2015-09-14,383.7
2015-09-15,383.15
2015-09-16,383.65
2015-09-18,396.15
2015-09-21,393.9
2015-09-22,382.2
2015-09-23,375.9
2015-09-24,380.25
2015-09-28,372.4
2015-09-29,370.2
2015-09-30,381.75
2015-10-01,382.0
2015-10-05,398.9
2015-10-06,407.1
2015-10-07,405.6
2015-10-08,400.15
2015-10-09,407.35
2015-10-12,407.75
2015-10-13,414.3
2015-10-14,410.2
2015-10-15,411.3
2015-10-16,416.8
2015-10-19,415.1
2015-10-20,417.8
2015-10-21,412.7
2015-10-23,415.65
2015-10-26,421.05
2015-10-27,420.55
2015-10-28,416.35
2015-10-29,413.75
2015-10-30,408.45
2015-11-02,409.1
2015-11-03,416.9
2015-11-04,419.05
2015-11-05,415.4
2015-11-06,409.8
2015-11-09,419.35
2015-11-10,414.45
2015-11-11,416.65
2015-11-13,419.1
2015-11-16,418.3
2015-11-17,420.5
2015-11-18,419.1
2015-11-19,429.7
2015-11-20,431.4
2015-11-23,430.3
2015-11-24,428.55
2015-11-26,431.0
2015-11-27,425.35
2015-11-30,418.85
2015-12-01,427.6
2015-12-02,437.05
2015-12-03,425.95
2015-12-04,419.0
2015-12-07,416.35
2015-12-08,410.9
2015-12-09,395.85
2015-12-10,392.3
2015-12-11,388.25
2015-12-14,394.15
2015-12-15,395.9
2015-12-16,396.35
2015-12-17,395.65
2015-12-18,391.65
2015-12-21,394.2
2015-12-22,391.25
2015-12-23,402.7
2015-12-24,408.15
2015-12-28,405.1
2015-12-29,410.35
2015-12-30,407.7
2015-12-31,401.45
