Date,OISL
2015-01-01,20.6
2015-01-02,20.0
2015-01-05,19.85
2015-01-06,19.05
2015-01-07,18.95
2015-01-08,19.9
2015-01-09,18.9
2015-01-12,19.7
2015-01-13,19.0
2015-01-14,18.95
2015-01-15,19.65
2015-01-16,18.8
2015-01-19,18.95
2015-01-20,19.25
2015-01-21,18.8
2015-01-22,18.8
2015-01-23,18.65
2015-01-27,18.4
2015-01-28,18.25
2015-01-29,18.1
2015-01-30,18.05
2015-02-02,21.4
2015-02-03,24.1
2015-02-04,23.75
2015-02-05,21.0
2015-02-06,19.9
2015-02-09,20.55
2015-02-10,19.8
2015-02-11,19.35
2015-02-12,19.7
2015-02-13,19.95
2015-02-16,21.75
2015-02-18,26.1
2015-02-19,27.8
2015-02-20,27.5
2015-02-23,26.3
2015-02-24,25.4
2015-02-25,23.75
2015-02-26,23.0
2015-02-27,24.75
2015-02-28,23.85
2015-03-02,23.8
2015-03-03,22.9
2015-03-04,22.2
2015-03-05,21.95
2015-03-09,22.25
2015-03-10,21.4
2015-03-11,21.0
2015-03-12,20.9
2015-03-13,20.55
2015-03-16,20.2
2015-03-17,20.85
2015-03-18,19.85
2015-03-19,20.0
2015-03-20,19.55
2015-03-23,19.3
2015-03-24,19.6
2015-03-25,19.45
2015-03-26,19.8
2015-03-27,19.75
2015-03-30,19.85
2015-03-31,19.55
2015-04-01,20.5
2015-04-06,23.5
2015-04-07,22.85
2015-04-08,21.2
2015-04-09,21.7
2015-04-10,22.2
2015-04-13,22.55
2015-04-15,22.05
2015-04-16,22.2
2015-04-17,22.0
2015-04-20,21.55
2015-04-21,21.5
2015-04-22,21.5
2015-04-23,21.65
2015-04-24,21.5
2015-04-27,21.95
2015-04-28,21.95
2015-04-29,21.75
2015-04-30,22.0
2015-05-04,21.75
2015-05-05,22.05
2015-05-06,21.65
2015-05-07,22.0
2015-05-08,22.35
2015-05-11,22.9
2015-05-12,22.6
2015-05-13,22.8
2015-05-14,24.7
2015-05-15,25.0
2015-05-18,28.15
2015-05-19,29.2
2015-05-20,28.5
2015-05-21,28.05
2015-05-22,27.95
2015-05-25,26.8
2015-05-26,26.05
2015-05-27,26.65
2015-05-28,26.2
2015-05-29,26.5
2015-06-01,24.4
2015-06-02,24.9
2015-06-03,23.95
2015-06-04,23.15
2015-06-05,23.0
2015-06-08,23.75
2015-06-09,24.1
2015-06-10,24.7
2015-06-11,24.2
2015-06-12,24.95
2015-06-15,24.5
2015-06-16,24.1
2015-06-17,25.0
2015-06-18,24.5
2015-06-19,23.75
2015-06-22,24.0
2015-06-23,25.0
2015-06-24,25.0
2015-06-25,24.95
2015-06-26,24.75
2015-06-29,24.75
2015-06-30,25.15
2015-07-01,25.45
2015-07-02,25.05
2015-07-03,24.5
2015-07-06,25.4
2015-07-07,24.5
2015-07-08,25.4
2015-07-09,25.8
2015-07-10,29.4
2015-07-13,30.9
2015-07-14,35.5
2015-07-15,38.85
2015-07-16,39.5
2015-07-17,37.4
2015-07-20,35.05
2015-07-21,32.0
2015-07-22,32.6
2015-07-23,34.0
2015-07-24,34.9
2015-07-27,33.85
2015-07-28,33.4
2015-07-29,32.6
2015-07-30,33.5
2015-07-31,33.05
2015-08-03,30.65
2015-08-04,31.4
2015-08-05,31.45
2015-08-06,30.55
2015-08-07,30.9
2015-08-10,31.4
2015-08-11,29.5
2015-08-12,26.15
2015-08-13,25.9
2015-08-14,24.75
2015-08-17,22.5
2015-08-18,24.75
2015-08-19,26.2
2015-08-20,23.6
2015-08-21,22.45
2015-08-24,20.25
2015-08-25,19.95
2015-08-26,19.05
2015-08-27,19.1
2015-08-28,20.05
2015-08-31,19.55
2015-09-01,18.6
2015-09-02,17.7
2015-09-03,16.85
2015-09-04,16.05
2015-09-07,15.25
2015-09-08,14.5
2015-09-09,13.8
2015-09-10,14.1
2015-09-11,14.8
2015-09-14,15.5
2015-09-15,16.25
2015-09-16,17.05
2015-09-18,16.95
2015-09-21,17.1
2015-09-22,16.45
2015-09-23,16.6
2015-09-24,16.1
2015-09-28,15.8
2015-09-29,15.95
2015-09-30,15.8
2015-10-01,15.6
2015-10-05,15.95
2015-10-06,17.0
2015-10-07,16.55
2015-10-08,16.0
2015-10-09,15.55
2015-10-12,15.25
2015-10-13,15.4
2015-10-14,15.7
2015-10-15,15.2
2015-10-16,15.05
2015-10-19,15.1
2015-10-20,14.45
2015-10-21,14.6
2015-10-23,14.95
2015-10-26,14.55
2015-10-27,14.6
2015-10-28,14.85
2015-10-29,14.15
2015-10-30,14.7
2015-11-02,14.0
2015-11-03,13.95
2015-11-04,13.95
2015-11-05,13.6
2015-11-06,13.45
2015-11-09,13.95
2015-11-10,13.9
2015-11-11,14.0
2015-11-13,13.85
2015-11-16,13.8
2015-11-17,13.6
2015-11-18,13.5
2015-11-19,13.5
2015-11-20,13.85
2015-11-23,13.6
2015-11-24,13.7
2015-11-26,13.7
2015-11-27,13.6
2015-11-30,13.45
2015-12-01,13.3
2015-12-02,13.65
2015-12-03,14.05
2015-12-04,14.05
2015-12-07,14.15
2015-12-08,14.2
2015-12-09,13.75
2015-12-10,13.4
2015-12-11,13.35
2015-12-14,13.45
2015-12-15,13.25
2015-12-16,13.25
2015-12-17,13.8
2015-12-18,13.0
2015-12-21,12.6
2015-12-22,12.55
2015-12-23,12.6
2015-12-24,12.85
2015-12-28,12.9
2015-12-29,12.85
2015-12-30,12.55
2015-12-31,12.55
