Date,RAMANEWS
2015-01-01,7.35
2015-01-02,7.5
2015-01-05,7.5
2015-01-06,7.15
2015-01-07,7.1
2015-01-08,7.3
2015-01-09,7.35
2015-01-12,7.25
2015-01-13,7.2
2015-01-14,7.55
2015-01-15,7.55
2015-01-16,7.3
2015-01-19,7.4
2015-01-20,7.4
2015-01-21,7.6
2015-01-22,7.5
2015-01-23,7.3
2015-01-27,7.25
2015-01-28,7.15
2015-01-29,7.0
2015-01-30,7.0
2015-02-02,7.05
2015-02-03,7.15
2015-02-04,6.95
2015-02-05,6.75
2015-02-06,6.6
2015-02-09,6.4
2015-02-10,6.35
2015-02-11,6.45
2015-02-12,6.6
2015-02-13,6.65
2015-02-16,6.7
2015-02-18,6.7
2015-02-19,6.8
2015-02-20,6.8
2015-02-23,6.75
2015-02-24,6.65
2015-02-25,6.5
2015-02-26,6.35
2015-02-27,6.55
2015-02-28,6.3
2015-03-02,7.2
2015-03-03,7.1
2015-03-04,7.1
2015-03-05,6.95
2015-03-09,6.75
2015-03-10,6.85
2015-03-11,6.7
2015-03-12,6.35
2015-03-13,6.35
2015-03-16,6.25
2015-03-17,5.95
2015-03-18,6.0
2015-03-19,6.15
2015-03-20,6.0
2015-03-23,5.8
2015-03-24,5.9
2015-03-25,6.0
2015-03-26,5.7
2015-03-27,5.75
2015-03-30,5.95
2015-03-31,5.9
2015-04-01,6.15
2015-04-06,6.75
2015-04-07,6.8
2015-04-08,6.7
2015-04-09,6.6
2015-04-10,6.85
2015-04-13,7.2
2015-04-15,7.35
2015-04-16,8.3
2015-04-17,8.15
2015-04-20,7.9
2015-04-21,8.0
2015-04-22,7.95
2015-04-23,7.95
2015-04-24,7.6
2015-04-27,7.8
2015-04-28,8.25
2015-04-29,8.45
2015-04-30,8.5
2015-05-04,8.6
2015-05-05,8.7
2015-05-06,8.4
2015-05-07,7.9
2015-05-08,7.5
2015-05-11,7.6
2015-05-12,7.6
2015-05-13,7.55
2015-05-14,7.55
2015-05-15,7.65
2015-05-18,8.35
2015-05-19,8.65
2015-05-20,8.65
2015-05-21,9.45
2015-05-22,9.5
2015-05-25,9.6
2015-05-26,9.6
2015-05-27,9.55
2015-05-28,9.75
2015-05-29,9.6
2015-06-01,10.15
2015-06-02,10.05
2015-06-03,9.7
2015-06-04,10.0
2015-06-05,9.75
2015-06-08,9.65
2015-06-09,9.7
2015-06-10,9.8
2015-06-11,9.7
2015-06-12,9.65
2015-06-15,9.7
2015-06-16,9.65
2015-06-17,9.7
2015-06-18,9.65
2015-06-19,9.65
2015-06-22,9.75
2015-06-23,9.7
2015-06-24,9.65
2015-06-25,9.7
2015-06-26,9.7
2015-06-29,9.7
2015-06-30,9.7
2015-07-01,9.75
2015-07-02,9.8
2015-07-03,9.7
2015-07-06,10.15
2015-07-07,10.05
2015-07-08,10.55
2015-07-09,12.5
2015-07-10,12.0
2015-07-13,12.1
2015-07-14,11.35
2015-07-15,10.7
2015-07-16,10.55
2015-07-17,11.0
2015-07-20,11.15
2015-07-21,11.0
2015-07-22,10.8
2015-07-23,11.2
2015-07-24,12.3
2015-07-27,12.0
2015-07-28,12.05
2015-07-29,13.0
2015-07-30,14.55
2015-07-31,13.7
2015-08-03,13.9
2015-08-04,13.95
2015-08-05,13.85
2015-08-06,13.9
2015-08-07,13.65
2015-08-10,13.4
2015-08-11,12.4
2015-08-12,12.9
2015-08-13,12.55
2015-08-14,12.65
2015-08-17,12.95
2015-08-18,13.05
2015-08-19,12.85
2015-08-20,12.4
2015-08-21,12.3
2015-08-24,11.45
2015-08-25,11.65
2015-08-26,11.5
2015-08-27,11.8
2015-08-28,12.75
2015-08-31,12.75
2015-09-01,12.4
2015-09-02,11.75
2015-09-03,11.65
2015-09-04,11.1
2015-09-07,10.2
2015-09-08,10.2
2015-09-09,10.35
2015-09-10,10.75
2015-09-11,10.6
2015-09-14,10.65
2015-09-15,10.35
2015-09-16,10.45
2015-09-18,10.4
2015-09-21,10.35
2015-09-22,10.5
2015-09-23,10.55
2015-09-24,10.55
2015-09-28,11.05
2015-09-29,10.95
2015-09-30,10.65
2015-10-01,10.75
2015-10-05,11.25
2015-10-06,10.95
2015-10-07,11.05
2015-10-08,11.25
2015-10-09,11.15
2015-10-12,11.4
2015-10-13,11.65
2015-10-14,11.5
2015-10-15,11.45
2015-10-16,11.9
2015-10-19,14.25
2015-10-20,14.95
2015-10-21,14.3
2015-10-23,13.7
2015-10-26,13.3
2015-10-27,13.15
2015-10-28,12.85
2015-10-29,13.2
2015-10-30,12.85
2015-11-02,12.4
2015-11-03,12.25
2015-11-04,12.05
2015-11-05,12.6
2015-11-06,12.85
2015-11-09,12.55
2015-11-10,12.2
2015-11-11,12.75
2015-11-13,12.7
2015-11-16,14.2
2015-11-17,13.95
2015-11-18,13.3
2015-11-19,13.55
2015-11-20,14.15
2015-11-23,14.15
2015-11-24,14.35
2015-11-26,14.15
2015-11-27,14.5
2015-11-30,14.3
2015-12-01,16.7
2015-12-02,15.8
2015-12-03,17.25
2015-12-04,18.35
2015-12-07,18.65
2015-12-08,18.9
2015-12-09,18.25
2015-12-10,19.5
2015-12-11,20.65
2015-12-14,21.45
2015-12-15,21.8
2015-12-16,26.15
2015-12-17,28.75
2015-12-18,31.6
2015-12-21,33.0
2015-12-22,31.35
2015-12-23,29.8
2015-12-24,28.35
2015-12-28,26.95
2015-12-29,25.65
2015-12-30,24.7
2015-12-31,25.9
