Date,PRESSMN
2015-01-01,33.5
2015-01-02,36.7
2015-01-05,36.45
2015-01-06,34.9
2015-01-07,34.25
2015-01-08,35.25
2015-01-09,34.5
2015-01-12,34.2
2015-01-13,34.0
2015-01-14,34.05
2015-01-15,33.75
2015-01-16,33.8
2015-01-19,34.85
2015-01-20,35.3
2015-01-21,35.35
2015-01-22,35.5
2015-01-23,34.25
2015-01-27,33.9
2015-01-28,35.9
2015-01-29,34.85
2015-01-30,34.35
2015-02-02,34.55
2015-02-03,34.0
2015-02-04,33.65
2015-02-05,35.1
2015-02-06,34.8
2015-02-09,32.8
2015-02-10,32.1
2015-02-11,33.05
2015-02-12,33.6
2015-02-13,34.0
2015-02-16,32.1
2015-02-18,31.35
2015-02-19,30.7
2015-02-20,31.45
2015-02-23,31.8
2015-02-24,31.5
2015-02-25,30.45
2015-02-26,29.5
2015-02-27,30.75
2015-02-28,30.75
2015-03-02,30.15
2015-03-03,30.1
2015-03-04,29.05
2015-03-05,30.3
2015-03-09,30.1
2015-03-10,29.95
2015-03-11,30.0
2015-03-12,31.65
2015-03-13,31.2
2015-03-16,30.4
2015-03-17,30.85
2015-03-18,34.85
2015-03-19,34.3
2015-03-20,33.0
2015-03-23,32.85
2015-03-24,30.75
2015-03-25,30.65
2015-03-26,29.4
2015-03-27,31.15
2015-03-30,37.35
2015-03-31,38.15
2015-04-01,45.75
2015-04-06,43.6
2015-04-07,45.25
2015-04-08,49.6
2015-04-09,47.75
2015-04-10,52.0
2015-04-13,49.15
2015-04-15,46.65
2015-04-16,43.8
2015-04-17,43.45
2015-04-20,40.05
2015-04-21,40.05
2015-04-22,39.3
2015-04-23,41.25
2015-04-24,42.85
2015-04-27,40.75
2015-04-28,39.7
2015-04-29,39.45
2015-04-30,39.2
2015-05-04,41.15
2015-05-05,42.95
2015-05-06,40.85
2015-05-07,38.85
2015-05-08,39.05
2015-05-11,40.7
2015-05-12,38.9
2015-05-13,38.65
2015-05-14,38.45
2015-05-15,37.9
2015-05-18,37.85
2015-05-19,39.0
2015-05-20,38.25
2015-05-21,38.2
2015-05-22,37.9
2015-05-25,37.75
2015-05-26,38.8
2015-05-27,38.35
2015-05-28,37.3
2015-05-29,37.5
2015-06-01,37.75
2015-06-02,37.15
2015-06-03,35.85
2015-06-04,36.7
2015-06-05,37.35
2015-06-08,36.05
2015-06-09,36.5
2015-06-10,35.9
2015-06-11,34.05
2015-06-12,33.15
2015-06-15,33.8
2015-06-16,33.3
2015-06-17,33.8
2015-06-18,33.45
2015-06-19,34.1
2015-06-22,34.95
2015-06-23,35.15
2015-06-24,34.55
2015-06-25,33.35
2015-06-26,33.2
2015-06-29,34.2
2015-06-30,32.9
2015-07-01,33.3
2015-07-02,34.0
2015-07-03,35.0
2015-07-06,35.2
2015-07-07,35.15
2015-07-08,33.4
2015-07-09,34.55
2015-07-10,35.95
2015-07-13,38.5
2015-07-14,37.75
2015-07-15,36.2
2015-07-16,36.5
2015-07-17,36.2
2015-07-20,38.25
2015-07-21,36.7
2015-07-22,39.55
2015-07-23,40.25
2015-07-24,40.6
2015-07-27,44.05
2015-07-28,43.2
2015-07-29,42.85
2015-07-30,42.0
2015-07-31,41.15
2015-08-03,42.9
2015-08-04,45.9
2015-08-05,44.25
2015-08-06,44.3
2015-08-07,43.95
2015-08-10,41.85
2015-08-11,39.55
2015-08-12,38.3
2015-08-13,37.75
2015-08-14,38.3
2015-08-17,37.7
2015-08-18,38.95
2015-08-19,38.0
2015-08-20,35.5
2015-08-21,36.35
2015-08-24,30.95
2015-08-25,31.7
2015-08-26,32.1
2015-08-27,33.0
2015-08-28,32.1
2015-08-31,31.1
2015-09-01,30.05
2015-09-02,29.2
2015-09-03,30.6
2015-09-04,29.75
2015-09-07,29.35
2015-09-08,28.7
2015-09-09,30.3
2015-09-10,29.3
2015-09-11,30.3
2015-09-14,31.2
2015-09-15,31.1
2015-09-16,31.55
2015-09-18,32.25
2015-09-21,31.8
2015-09-22,31.65
2015-09-23,31.3
2015-09-24,31.9
2015-09-28,31.8
2015-09-29,32.0
2015-09-30,32.6
2015-10-01,32.6
2015-10-05,32.6
2015-10-06,33.9
2015-10-07,34.05
2015-10-08,34.8
2015-10-09,36.35
2015-10-12,35.95
2015-10-13,39.45
2015-10-14,40.65
2015-10-15,39.45
2015-10-16,38.0
2015-10-19,38.0
2015-10-20,37.9
2015-10-21,37.65
2015-10-23,36.6
2015-10-26,35.15
2015-10-27,35.4
2015-10-28,36.6
2015-10-29,36.95
2015-10-30,35.3
2015-11-02,35.1
2015-11-03,34.95
2015-11-04,34.6
2015-11-05,34.35
2015-11-06,34.6
2015-11-09,34.05
2015-11-10,34.1
2015-11-11,35.0
2015-11-13,34.8
2015-11-16,35.4
2015-11-17,33.8
2015-11-18,34.0
2015-11-19,34.0
2015-11-20,34.2
2015-11-23,35.05
2015-11-24,36.05
2015-11-26,35.35
2015-11-27,35.35
2015-11-30,42.4
2015-12-01,46.8
2015-12-02,56.0
2015-12-03,56.25
2015-12-04,56.05
2015-12-07,55.05
2015-12-08,53.25
2015-12-09,50.15
2015-12-10,51.6
2015-12-11,51.0
2015-12-14,50.15
2015-12-15,55.15
2015-12-16,59.1
2015-12-17,60.25
2015-12-18,57.3
2015-12-21,59.0
2015-12-22,57.95
2015-12-23,56.85
2015-12-24,56.45
2015-12-28,62.05
2015-12-29,61.85
2015-12-30,62.8
2015-12-31,61.05
