Date,TATACOFFEE
2015-01-01,957.9
2015-01-02,954.6
2015-01-05,948.6
2015-01-06,933.9
2015-01-07,926.85
2015-01-08,942.3
2015-01-09,946.0
2015-01-12,946.4
2015-01-13,948.55
2015-01-14,989.55
2015-01-15,992.95
2015-01-16,995.1
2015-01-19,997.15
2015-01-20,1009.75
2015-01-21,1010.55
2015-01-22,1004.9
2015-01-23,102.3
2015-01-27,102.05
2015-01-28,99.2
2015-01-29,98.75
2015-01-30,97.85
2015-02-02,98.3
2015-02-03,96.3
2015-02-04,94.35
2015-02-05,92.55
2015-02-06,90.5
2015-02-09,87.25
2015-02-10,86.55
2015-02-11,88.3
2015-02-12,95.9
2015-02-13,94.0
2015-02-16,92.75
2015-02-18,92.1
2015-02-19,92.6
2015-02-20,94.7
2015-02-23,95.45
2015-02-24,93.8
2015-02-25,92.85
2015-02-26,90.9
2015-02-27,94.75
2015-02-28,94.1
2015-03-02,94.05
2015-03-03,101.65
2015-03-04,96.2
2015-03-05,98.75
2015-03-09,98.15
2015-03-10,96.95
2015-03-11,96.0
2015-03-12,97.65
2015-03-13,95.4
2015-03-16,94.8
2015-03-17,94.35
2015-03-18,93.95
2015-03-19,93.3
2015-03-20,91.3
2015-03-23,90.15
2015-03-24,92.15
2015-03-25,89.65
2015-03-26,89.55
2015-03-27,90.0
2015-03-30,90.95
2015-03-31,90.6
2015-04-01,93.0
2015-04-06,92.05
2015-04-07,92.1
2015-04-08,92.6
2015-04-09,93.15
2015-04-10,95.75
2015-04-13,96.3
2015-04-15,93.6
2015-04-16,93.25
2015-04-17,92.5
2015-04-20,90.45
2015-04-21,90.05
2015-04-22,89.6
2015-04-23,89.65
2015-04-24,88.1
2015-04-27,86.8
2015-04-28,87.85
2015-04-29,88.05
2015-04-30,87.85
2015-05-04,89.05
2015-05-05,89.45
2015-05-06,87.7
2015-05-07,86.65
2015-05-08,87.25
2015-05-11,87.6
2015-05-12,87.15
2015-05-13,88.6
2015-05-14,90.15
2015-05-15,90.4
2015-05-18,96.25
2015-05-19,94.4
2015-05-20,92.75
2015-05-21,92.3
2015-05-22,90.85
2015-05-25,90.65
2015-05-26,89.85
2015-05-27,89.25
2015-05-28,89.55
2015-05-29,89.35
2015-06-01,89.5
2015-06-02,87.95
2015-06-03,85.8
2015-06-04,86.3
2015-06-05,86.45
2015-06-08,85.6
2015-06-09,85.65
2015-06-10,86.4
2015-06-11,85.35
2015-06-12,84.95
2015-06-15,85.4
2015-06-16,85.1
2015-06-17,86.1
2015-06-18,86.05
2015-06-19,89.65
2015-06-22,88.7
2015-06-23,89.6
2015-06-24,88.4
2015-06-25,88.3
2015-06-26,88.0
2015-06-29,86.1
2015-06-30,87.95
2015-07-01,87.85
2015-07-02,87.8
2015-07-03,87.75
2015-07-06,89.2
2015-07-07,90.7
2015-07-08,89.4
2015-07-09,89.5
2015-07-10,88.35
2015-07-13,89.35
2015-07-14,90.75
2015-07-15,90.2
2015-07-16,91.85
2015-07-17,91.8
2015-07-20,92.35
2015-07-21,88.1
2015-07-22,88.3
2015-07-23,88.7
2015-07-24,88.9
2015-07-27,87.2
2015-07-28,87.3
2015-07-29,86.55
2015-07-30,86.65
2015-07-31,87.55
2015-08-03,87.9
2015-08-04,94.1
2015-08-05,93.5
2015-08-06,93.05
2015-08-07,96.5
2015-08-10,97.0
2015-08-11,96.65
2015-08-12,95.25
2015-08-13,94.4
2015-08-14,94.35
2015-08-17,95.7
2015-08-18,102.1
2015-08-19,100.05
2015-08-20,97.55
2015-08-21,95.1
2015-08-24,88.6
2015-08-25,89.05
2015-08-26,88.85
2015-08-27,89.45
2015-08-28,89.7
2015-08-31,89.7
2015-09-01,88.9
2015-09-02,89.05
2015-09-03,90.8
2015-09-04,89.0
2015-09-07,88.95
2015-09-08,89.2
2015-09-09,92.6
2015-09-10,90.9
2015-09-11,90.85
2015-09-14,90.7
2015-09-15,90.25
2015-09-16,90.6
2015-09-18,90.9
2015-09-21,92.0
2015-09-22,93.15
2015-09-23,91.05
2015-09-24,91.15
2015-09-28,90.75
2015-09-29,91.15
2015-09-30,92.05
2015-10-01,92.25
2015-10-05,92.1
2015-10-06,92.15
2015-10-07,93.1
2015-10-08,92.35
2015-10-09,92.9
2015-10-12,92.0
2015-10-13,94.5
2015-10-14,95.05
2015-10-15,93.3
2015-10-16,92.7
2015-10-19,93.0
2015-10-20,92.95
2015-10-21,92.6
2015-10-23,90.5
2015-10-26,89.15
2015-10-27,88.95
2015-10-28,88.6
2015-10-29,88.9
2015-10-30,88.25
2015-11-02,88.35
2015-11-03,88.5
2015-11-04,87.95
2015-11-05,87.2
2015-11-06,87.4
2015-11-09,86.7
2015-11-10,88.1
2015-11-11,91.55
2015-11-13,92.05
2015-11-16,90.05
2015-11-17,91.65
2015-11-18,91.8
2015-11-19,92.2
2015-11-20,92.05
2015-11-23,91.0
2015-11-24,89.7
2015-11-26,90.05
2015-11-27,89.6
2015-11-30,89.85
2015-12-01,90.45
2015-12-02,89.85
2015-12-03,89.1
2015-12-04,88.6
2015-12-07,88.55
2015-12-08,88.85
2015-12-09,86.95
2015-12-10,87.6
2015-12-11,88.45
2015-12-14,87.5
2015-12-15,88.1
2015-12-16,88.4
2015-12-17,89.45
2015-12-18,88.75
2015-12-21,88.6
2015-12-22,88.35
2015-12-23,89.4
2015-12-24,90.65
2015-12-28,93.65
2015-12-29,96.5
2015-12-30,97.3
2015-12-31,97.65
