Date,SURANASOL
2015-01-01,58.8
2015-01-02,61.4
2015-01-05,60.35
2015-01-06,59.85
2015-01-07,60.05
2015-01-08,59.9
2015-01-09,59.4
2015-01-12,60.15
2015-01-13,59.8
2015-01-14,60.15
2015-01-15,60.05
2015-01-16,60.4
2015-01-19,60.05
2015-01-20,63.75
2015-01-21,69.35
2015-01-22,68.5
2015-01-23,66.4
2015-01-27,65.05
2015-01-28,64.9
2015-01-29,64.2
2015-01-30,65.4
2015-02-02,65.25
2015-02-03,65.2
2015-02-04,65.0
2015-02-05,69.0
2015-02-06,68.45
2015-02-09,68.45
2015-02-10,76.2
2015-02-11,74.5
2015-02-12,73.2
2015-02-13,73.75
2015-02-16,72.95
2015-02-18,73.6
2015-02-19,71.35
2015-02-20,71.2
2015-02-23,68.8
2015-02-24,67.4
2015-02-25,68.6
2015-02-26,68.35
2015-02-27,69.65
2015-02-28,69.15
2015-03-02,67.15
2015-03-03,66.6
2015-03-04,68.75
2015-03-05,67.25
2015-03-09,68.25
2015-03-10,66.6
2015-03-11,69.95
2015-03-12,71.0
2015-03-13,68.95
2015-03-16,69.05
2015-03-17,69.4
2015-03-18,69.15
2015-03-19,69.0
2015-03-20,68.85
2015-03-23,67.9
2015-03-24,67.85
2015-03-25,67.6
2015-03-26,67.9
2015-03-27,68.45
2015-03-30,68.55
2015-03-31,66.15
2015-04-01,67.15
2015-04-06,70.55
2015-04-07,69.25
2015-04-08,68.1
2015-04-09,68.3
2015-04-10,70.0
2015-04-13,69.5
2015-04-15,68.8
2015-04-16,68.85
2015-04-17,68.2
2015-04-20,68.25
2015-04-21,68.45
2015-04-22,68.45
2015-04-23,68.45
2015-04-24,68.05
2015-04-27,67.05
2015-04-28,65.45
2015-04-29,64.65
2015-04-30,64.85
2015-05-04,63.5
2015-05-05,62.25
2015-05-06,61.25
2015-05-07,60.0
2015-05-08,60.9
2015-05-11,60.65
2015-05-12,60.75
2015-05-13,61.1
2015-05-14,61.2
2015-05-15,61.25
2015-05-18,61.4
2015-05-19,60.55
2015-05-20,59.55
2015-05-21,59.45
2015-05-22,58.7
2015-05-25,57.7
2015-05-26,57.8
2015-05-27,57.1
2015-05-28,54.2
2015-05-29,53.45
2015-06-01,53.05
2015-06-02,51.7
2015-06-03,57.55
2015-06-04,56.15
2015-06-05,55.6
2015-06-08,55.4
2015-06-09,53.15
2015-06-10,45.95
2015-06-11,36.8
2015-06-12,33.15
2015-06-15,29.85
2015-06-16,26.9
2015-06-17,26.4
2015-06-18,27.7
2015-06-19,29.0
2015-06-22,29.1
2015-06-23,27.75
2015-06-24,27.35
2015-06-25,26.0
2015-06-26,24.7
2015-06-29,23.5
2015-06-30,22.35
2015-07-01,21.25
2015-07-02,20.45
2015-07-03,20.9
2015-07-06,21.9
2015-07-07,22.95
2015-07-08,24.05
2015-07-09,25.25
2015-07-10,25.5
2015-07-13,24.45
2015-07-14,24.5
2015-07-15,23.75
2015-07-16,23.55
2015-07-17,23.7
2015-07-20,23.85
2015-07-21,23.6
2015-07-22,23.0
2015-07-23,23.4
2015-07-24,24.55
2015-07-27,25.6
2015-07-28,26.05
2015-07-29,25.15
2015-07-30,24.85
2015-07-31,24.45
2015-08-03,24.35
2015-08-04,24.35
2015-08-05,23.95
2015-08-06,23.25
2015-08-07,22.6
2015-08-10,22.8
2015-08-11,22.6
2015-08-12,21.15
2015-08-13,20.75
2015-08-14,20.3
2015-08-17,20.9
2015-08-18,20.15
2015-08-19,20.2
2015-08-20,19.35
2015-08-21,18.75
2015-08-24,17.05
2015-08-25,16.2
2015-08-26,17.4
2015-08-27,18.1
2015-08-28,18.1
2015-08-31,17.65
2015-09-01,16.5
2015-09-02,16.9
2015-09-03,17.0
2015-09-04,16.25
2015-09-07,15.65
2015-09-08,16.15
2015-09-09,15.6
2015-09-10,15.95
2015-09-11,16.4
2015-09-14,16.1
2015-09-15,16.5
2015-09-16,16.05
2015-09-18,16.3
2015-09-21,16.2
2015-09-22,16.55
2015-09-23,16.4
2015-09-24,16.2
2015-09-28,16.45
2015-09-29,16.45
2015-09-30,16.7
2015-10-01,17.9
2015-10-05,18.55
2015-10-06,19.4
2015-10-07,18.75
2015-10-08,18.3
2015-10-09,17.5
2015-10-12,17.6
2015-10-13,17.7
2015-10-14,17.95
2015-10-15,17.65
2015-10-16,17.8
2015-10-19,17.7
2015-10-20,17.9
2015-10-21,17.65
2015-10-23,17.6
2015-10-26,17.15
2015-10-27,17.15
2015-10-28,16.9
2015-10-29,16.95
2015-10-30,16.8
2015-11-02,17.15
2015-11-03,17.3
2015-11-04,16.95
2015-11-05,16.65
2015-11-06,16.7
2015-11-09,16.25
2015-11-10,16.3
2015-11-11,16.65
2015-11-13,16.65
2015-11-16,16.95
2015-11-17,16.4
2015-11-18,16.95
2015-11-19,16.65
2015-11-20,16.8
2015-11-23,17.6
2015-11-24,18.45
2015-11-26,21.3
2015-11-27,20.8
2015-11-30,20.75
2015-12-01,21.2
2015-12-02,21.25
2015-12-03,20.2
2015-12-04,20.85
2015-12-07,21.4
2015-12-08,20.5
2015-12-09,19.7
2015-12-10,20.8
2015-12-11,20.3
2015-12-14,20.25
2015-12-15,20.55
2015-12-16,20.25
2015-12-17,20.4
2015-12-18,20.55
2015-12-21,20.6
2015-12-22,20.8
2015-12-23,20.8
2015-12-24,20.6
2015-12-28,20.85
2015-12-29,20.8
2015-12-30,21.0
2015-12-31,21.45
