Date,ICICINIFTY
2015-01-01,85.24
2015-01-02,86.15
2015-01-05,86.84
2015-01-06,86.84
2015-01-07,85.46
2015-01-08,84.2
2015-01-09,85.35
2015-01-12,86.0
2015-01-13,85.92
2015-01-14,85.6
2015-01-15,86.58
2015-01-16,88.0
2015-01-19,87.0
2015-01-20,87.5
2015-01-21,87.5
2015-01-22,87.53
2015-01-23,88.55
2015-01-27,89.28
2015-01-28,92.0
2015-01-29,88.6
2015-01-30,93.38
2015-02-02,90.95
2015-02-03,90.9
2015-02-04,88.85
2015-02-05,90.5
2015-02-06,89.0
2015-02-09,89.75
2015-02-10,88.5
2015-02-11,86.72
2015-02-12,87.6
2015-02-13,89.01
2015-02-16,89.4
2015-02-18,92.75
2015-02-19,91.01
2015-02-20,92.15
2015-02-23,91.3
2015-02-24,90.75
2015-02-25,89.5
2015-02-26,90.4
2015-02-27,90.5
2015-02-28,90.5
2015-03-02,92.55
2015-03-03,91.5
2015-03-04,93.0
2015-03-05,90.55
2015-03-09,90.9
2015-03-10,90.7
2015-03-11,90.48
2015-03-12,89.75
2015-03-13,90.25
2015-03-16,88.58
2015-03-17,88.25
2015-03-18,88.72
2015-03-19,88.46
2015-03-20,89.45
2015-03-23,89.0
2015-03-24,89.2
2015-03-25,88.69
2015-03-26,89.49
2015-03-27,87.9
2015-03-30,86.78
2015-03-31,88.53
2015-04-01,88.0
2015-04-06,90.5
2015-04-07,89.45
2015-04-08,90.1
2015-04-09,90.53
2015-04-10,90.75
2015-04-13,91.25
2015-04-15,89.95
2015-04-16,90.6
2015-04-17,90.54
2015-04-20,87.04
2015-04-21,87.3
2015-04-22,86.56
2015-04-23,87.15
2015-04-24,87.46
2015-04-27,86.6
2015-04-28,85.71
2015-04-29,86.48
2015-04-30,85.25
2015-05-04,84.94
2015-05-05,95.0
2015-05-06,92.5
2015-05-07,101.18
2015-05-08,86.16
2015-05-11,87.15
2015-05-12,84.95
2015-05-13,85.67
2015-05-14,86.88
2015-05-15,86.99
2015-05-18,84.09
2015-05-19,85.01
2015-05-20,85.69
2015-05-21,85.92
2015-05-22,85.86
2015-05-25,86.58
2015-05-26,86.5
2015-05-27,86.0
2015-05-28,88.85
2015-05-29,88.0
2015-06-01,88.0
2015-06-02,87.5
2015-06-03,84.42
2015-06-04,86.0
2015-06-05,86.34
2015-06-08,84.1
2015-06-09,83.99
2015-06-10,84.89
2015-06-11,83.0
2015-06-12,83.01
2015-06-15,82.59
2015-06-16,83.5
2015-06-17,84.0
2015-06-18,84.75
2015-06-19,85.0
2015-06-22,85.97
2015-06-23,85.01
2015-06-24,85.84
2015-06-25,84.89
2015-06-26,84.95
2015-06-29,85.14
2015-06-30,85.97
2015-07-01,85.77
2015-07-02,86.11
2015-07-03,85.99
2015-07-06,86.7
2015-07-07,85.99
2015-07-08,84.7
2015-07-09,85.95
2015-07-10,85.7
2015-07-13,86.54
2015-07-14,87.0
2015-07-15,88.0
2015-07-16,87.9
2015-07-17,87.0
2015-07-20,88.95
2015-07-21,88.79
2015-07-22,88.7
2015-07-23,88.5
2015-07-24,88.4
2015-07-27,89.08
2015-07-28,86.17
2015-07-29,86.12
2015-07-30,87.0
2015-07-31,86.67
2015-08-03,87.4
2015-08-04,85.65
2015-08-05,85.86
2015-08-06,86.49
2015-08-07,86.5
2015-08-10,86.5
2015-08-11,86.02
2015-08-12,85.2
2015-08-13,85.35
2015-08-14,86.78
2015-08-17,86.5
2015-08-18,86.7
2015-08-19,86.3
2015-08-20,86.0
2015-08-21,86.0
2015-08-24,84.86
2015-08-25,85.0
2015-08-26,83.5
2015-08-27,82.7
2015-08-28,83.0
2015-08-31,83.66
2015-09-01,83.5
2015-09-02,85.4
2015-09-03,83.27
2015-09-04,84.0
2015-09-07,85.0
2015-09-08,85.81
2015-09-09,87.09
2015-09-10,86.26
2015-09-11,86.99
2015-09-14,86.92
2015-09-15,86.05
2015-09-16,89.5
2015-09-18,83.55
2015-09-21,82.97
2015-09-22,81.15
2015-09-23,81.21
2015-09-24,81.4
2015-09-28,81.0
2015-09-29,84.7
2015-09-30,85.0
2015-10-01,84.01
2015-10-05,85.02
2015-10-06,85.48
2015-10-07,85.4
2015-10-08,84.67
2015-10-09,84.13
2015-10-12,83.6
2015-10-13,83.85
2015-10-14,83.74
2015-10-15,83.55
2015-10-16,84.0
2015-10-19,85.12
2015-10-20,84.94
2015-10-21,84.3
2015-10-23,83.46
2015-10-26,83.62
2015-10-27,82.97
2015-10-28,83.15
2015-10-29,83.4
2015-10-30,83.0
2015-11-02,83.0
2015-11-03,83.89
2015-11-04,82.32
2015-11-05,82.2
2015-11-06,82.0
2015-11-09,81.7
2015-11-10,80.6
2015-11-11,80.76
2015-11-13,80.3
2015-11-16,80.99
2015-11-17,80.75
2015-11-18,79.62
2015-11-19,82.35
2015-11-20,81.01
2015-11-23,81.85
2015-11-24,79.61
2015-11-26,81.48
2015-11-27,81.11
2015-11-30,83.22
2015-12-01,82.0
2015-12-02,82.55
2015-12-03,82.99
2015-12-04,84.89
2015-12-07,80.18
2015-12-08,80.16
2015-12-09,79.0
2015-12-10,80.0
2015-12-11,80.0
2015-12-14,79.0
2015-12-15,79.0
2015-12-16,79.12
2015-12-17,79.55
2015-12-18,81.5
2015-12-21,79.57
2015-12-22,81.4
2015-12-23,82.65
2015-12-24,82.48
2015-12-28,83.88
2015-12-29,84.5
2015-12-30,81.62
2015-12-31,82.01
