Date,MANDHANA
2015-01-01,307.8
2015-01-02,305.85
2015-01-05,303.15
2015-01-06,287.2
2015-01-07,284.8
2015-01-08,291.5
2015-01-09,290.0
2015-01-12,288.55
2015-01-13,283.65
2015-01-14,280.65
2015-01-15,282.05
2015-01-16,279.4
2015-01-19,278.95
2015-01-20,278.7
2015-01-21,277.65
2015-01-22,280.35
2015-01-23,280.3
2015-01-27,281.65
2015-01-28,279.6
2015-01-29,280.6
2015-01-30,280.6
2015-02-02,277.15
2015-02-03,276.85
2015-02-04,277.0
2015-02-05,276.55
2015-02-06,276.15
2015-02-09,275.5
2015-02-10,274.4
2015-02-11,274.5
2015-02-12,278.5
2015-02-13,274.75
2015-02-16,275.65
2015-02-18,274.55
2015-02-19,273.15
2015-02-20,272.95
2015-02-23,275.55
2015-02-24,273.1
2015-02-25,269.9
2015-02-26,264.5
2015-02-27,262.0
2015-02-28,261.25
2015-03-02,262.15
2015-03-03,269.0
2015-03-04,275.85
2015-03-05,271.1
2015-03-09,271.7
2015-03-10,271.4
2015-03-11,266.65
2015-03-12,276.8
2015-03-13,272.8
2015-03-16,267.1
2015-03-17,267.95
2015-03-18,265.0
2015-03-19,265.85
2015-03-20,264.95
2015-03-23,263.5
2015-03-24,262.05
2015-03-25,261.0
2015-03-26,263.0
2015-03-27,270.85
2015-03-30,266.05
2015-03-31,270.25
2015-04-01,277.55
2015-04-06,282.1
2015-04-07,282.0
2015-04-08,279.15
2015-04-09,283.6
2015-04-10,285.25
2015-04-13,284.75
2015-04-15,285.95
2015-04-16,290.55
2015-04-17,295.25
2015-04-20,287.75
2015-04-21,290.1
2015-04-22,285.2
2015-04-23,289.8
2015-04-24,281.45
2015-04-27,269.55
2015-04-28,274.65
2015-04-29,266.1
2015-04-30,268.9
2015-05-04,271.15
2015-05-05,274.3
2015-05-06,264.6
2015-05-07,255.25
2015-05-08,253.95
2015-05-11,248.65
2015-05-12,247.75
2015-05-13,245.7
2015-05-14,244.4
2015-05-15,250.85
2015-05-18,250.9
2015-05-19,253.1
2015-05-20,258.25
2015-05-21,258.25
2015-05-22,261.15
2015-05-25,256.55
2015-05-26,250.3
2015-05-27,247.4
2015-05-28,246.3
2015-05-29,252.9
2015-06-01,247.75
2015-06-02,245.55
2015-06-03,247.8
2015-06-04,247.0
2015-06-05,251.6
2015-06-08,250.7
2015-06-09,250.65
2015-06-10,248.85
2015-06-11,246.1
2015-06-12,253.6
2015-06-15,255.85
2015-06-16,248.9
2015-06-17,248.45
2015-06-18,262.6
2015-06-19,258.65
2015-06-22,258.1
2015-06-23,262.35
2015-06-24,263.0
2015-06-25,261.85
2015-06-26,263.8
2015-06-29,258.0
2015-06-30,257.75
2015-07-01,257.65
2015-07-02,254.8
2015-07-03,256.55
2015-07-06,262.1
2015-07-07,258.4
2015-07-08,255.75
2015-07-09,259.5
2015-07-10,258.15
2015-07-13,256.1
2015-07-14,253.75
2015-07-15,265.25
2015-07-16,259.9
2015-07-17,255.6
2015-07-20,255.0
2015-07-21,252.5
2015-07-22,254.95
2015-07-23,256.4
2015-07-24,258.2
2015-07-27,252.75
2015-07-28,252.35
2015-07-29,257.3
2015-07-30,253.3
2015-07-31,260.65
2015-08-03,258.8
2015-08-04,267.4
2015-08-05,270.55
2015-08-06,269.85
2015-08-07,266.3
2015-08-10,261.35
2015-08-11,262.15
2015-08-12,259.4
2015-08-13,250.1
2015-08-14,259.25
2015-08-17,256.25
2015-08-18,255.85
2015-08-19,256.8
2015-08-20,252.55
2015-08-21,251.1
2015-08-24,244.45
2015-08-25,247.55
2015-08-26,246.45
2015-08-27,253.1
2015-08-28,259.15
2015-08-31,259.5
2015-09-01,254.55
2015-09-02,257.75
2015-09-03,258.0
2015-09-04,256.85
2015-09-07,251.15
2015-09-08,250.35
2015-09-09,251.45
2015-09-10,252.0
2015-09-11,251.05
2015-09-14,252.75
2015-09-15,269.4
2015-09-16,267.25
2015-09-18,277.45
2015-09-21,274.0
2015-09-22,272.3
2015-09-23,275.05
2015-09-24,273.1
2015-09-28,273.35
2015-09-29,270.6
2015-09-30,273.45
2015-10-01,270.15
2015-10-05,270.75
2015-10-06,270.55
2015-10-07,269.95
2015-10-08,270.35
2015-10-09,271.05
2015-10-12,270.15
2015-10-13,269.7
2015-10-14,269.45
2015-10-15,267.8
2015-10-16,268.8
2015-10-19,267.9
2015-10-20,267.5
2015-10-21,268.45
2015-10-23,266.5
2015-10-26,265.1
2015-10-27,270.45
2015-10-28,269.3
2015-10-29,271.55
2015-10-30,268.55
2015-11-02,265.0
2015-11-03,264.9
2015-11-04,265.95
2015-11-05,269.05
2015-11-06,266.9
2015-11-09,263.3
2015-11-10,264.45
2015-11-11,272.7
2015-11-13,272.1
2015-11-16,269.8
2015-11-17,267.0
2015-11-18,266.55
2015-11-19,267.45
2015-11-20,267.05
2015-11-23,266.5
2015-11-24,267.5
2015-11-26,267.6
2015-11-27,264.7
2015-11-30,261.95
2015-12-01,262.25
2015-12-02,264.8
2015-12-03,275.65
2015-12-04,271.8
2015-12-07,276.25
2015-12-08,271.35
2015-12-09,265.8
2015-12-10,272.75
2015-12-11,280.25
2015-12-14,280.95
2015-12-15,276.05
2015-12-16,275.1
2015-12-17,275.9
2015-12-18,273.3
2015-12-21,272.85
2015-12-22,272.85
2015-12-23,275.45
2015-12-24,274.75
2015-12-28,290.5
2015-12-29,292.1
2015-12-30,288.8
2015-12-31,308.45
