Date,RANEHOLDIN
2015-01-01,681.55
2015-01-02,663.15
2015-01-05,662.95
2015-01-06,637.05
2015-01-07,638.65
2015-01-08,638.45
2015-01-09,646.2
2015-01-12,634.6
2015-01-13,650.15
2015-01-14,655.55
2015-01-15,654.1
2015-01-16,680.4
2015-01-19,660.5
2015-01-20,646.7
2015-01-21,652.75
2015-01-22,684.0
2015-01-23,677.85
2015-01-27,680.0
2015-01-28,670.35
2015-01-29,663.0
2015-01-30,664.35
2015-02-02,674.75
2015-02-03,667.75
2015-02-04,662.9
2015-02-05,660.25
2015-02-06,635.8
2015-02-09,613.95
2015-02-10,584.3
2015-02-11,609.45
2015-02-12,622.15
2015-02-13,623.1
2015-02-16,630.2
2015-02-18,630.65
2015-02-19,620.9
2015-02-20,609.05
2015-02-23,610.45
2015-02-24,621.25
2015-02-25,614.8
2015-02-26,616.25
2015-02-27,616.4
2015-02-28,605.15
2015-03-02,615.95
2015-03-03,608.8
2015-03-04,622.85
2015-03-05,604.0
2015-03-09,599.2
2015-03-10,601.0
2015-03-11,603.8
2015-03-12,604.8
2015-03-13,605.5
2015-03-16,605.15
2015-03-17,603.4
2015-03-18,605.7
2015-03-19,605.1
2015-03-20,609.0
2015-03-23,605.0
2015-03-24,606.05
2015-03-25,602.0
2015-03-26,587.9
2015-03-27,585.2
2015-03-30,585.55
2015-03-31,589.25
2015-04-01,590.0
2015-04-06,586.4
2015-04-07,580.2
2015-04-08,696.2
2015-04-09,681.2
2015-04-10,662.95
2015-04-13,660.1
2015-04-15,649.1
2015-04-16,621.45
2015-04-17,609.35
2015-04-20,608.2
2015-04-21,602.45
2015-04-22,594.55
2015-04-23,606.85
2015-04-24,595.65
2015-04-27,573.9
2015-04-28,576.3
2015-04-29,596.0
2015-04-30,605.35
2015-05-04,592.85
2015-05-05,578.35
2015-05-06,572.25
2015-05-07,574.25
2015-05-08,589.4
2015-05-11,595.7
2015-05-12,601.5
2015-05-13,594.0
2015-05-14,588.05
2015-05-15,581.9
2015-05-18,591.4
2015-05-19,604.45
2015-05-20,600.0
2015-05-21,600.0
2015-05-22,600.0
2015-05-25,588.7
2015-05-26,585.2
2015-05-27,591.0
2015-05-28,580.6
2015-05-29,587.7
2015-06-01,580.45
2015-06-02,571.8
2015-06-03,565.35
2015-06-04,573.3
2015-06-05,571.85
2015-06-08,584.5
2015-06-09,589.45
2015-06-10,598.1
2015-06-11,585.05
2015-06-12,595.0
2015-06-15,592.85
2015-06-16,594.7
2015-06-17,595.3
2015-06-18,595.05
2015-06-19,595.65
2015-06-22,596.0
2015-06-23,589.35
2015-06-24,585.0
2015-06-25,601.55
2015-06-26,596.0
2015-06-29,581.9
2015-06-30,583.0
2015-07-01,586.95
2015-07-02,594.15
2015-07-03,603.65
2015-07-06,603.1
2015-07-07,626.15
2015-07-08,611.85
2015-07-09,615.1
2015-07-10,615.0
2015-07-13,615.0
2015-07-14,615.2
2015-07-15,615.3
2015-07-16,626.0
2015-07-17,632.3
2015-07-20,642.5
2015-07-21,635.1
2015-07-22,641.7
2015-07-23,636.65
2015-07-24,620.0
2015-07-27,607.5
2015-07-28,619.0
2015-07-29,608.8
2015-07-30,628.6
2015-07-31,626.05
2015-08-03,668.95
2015-08-04,636.75
2015-08-05,669.75
2015-08-06,688.95
2015-08-07,720.1
2015-08-10,742.45
2015-08-11,739.9
2015-08-12,694.3
2015-08-13,722.5
2015-08-14,718.6
2015-08-17,705.15
2015-08-18,700.0
2015-08-19,694.75
2015-08-20,667.55
2015-08-21,663.75
2015-08-24,600.05
2015-08-25,647.05
2015-08-26,610.1
2015-08-27,614.3
2015-08-28,636.9
2015-08-31,616.2
2015-09-01,590.25
2015-09-02,599.05
2015-09-03,601.8
2015-09-04,609.8
2015-09-07,595.15
2015-09-08,570.25
2015-09-09,599.3
2015-09-10,590.0
2015-09-11,605.0
2015-09-14,633.95
2015-09-15,648.1
2015-09-16,631.55
2015-09-18,640.0
2015-09-21,631.95
2015-09-22,618.5
2015-09-23,608.4
2015-09-24,615.5
2015-09-28,606.65
2015-09-29,606.8
2015-09-30,601.55
2015-10-01,607.0
2015-10-05,613.55
2015-10-06,601.55
2015-10-07,620.2
2015-10-08,622.0
2015-10-09,617.0
2015-10-12,612.95
2015-10-13,635.5
2015-10-14,630.0
2015-10-15,630.05
2015-10-16,630.35
2015-10-19,625.0
2015-10-20,628.15
2015-10-21,618.1
2015-10-23,626.0
2015-10-26,626.35
2015-10-27,630.9
2015-10-28,633.1
2015-10-29,653.55
2015-10-30,654.75
2015-11-02,647.75
2015-11-03,648.0
2015-11-04,632.25
2015-11-05,627.55
2015-11-06,647.75
2015-11-09,614.85
2015-11-10,620.5
2015-11-11,625.15
2015-11-13,609.5
2015-11-16,595.4
2015-11-17,605.0
2015-11-18,614.0
2015-11-19,610.85
2015-11-20,639.45
2015-11-23,613.9
2015-11-24,616.25
2015-11-26,608.95
2015-11-27,612.7
2015-11-30,628.95
2015-12-01,610.4
2015-12-02,596.05
2015-12-03,605.2
2015-12-04,610.0
2015-12-07,598.5
2015-12-08,603.5
2015-12-09,601.2
2015-12-10,605.0
2015-12-11,604.0
2015-12-14,594.55
2015-12-15,605.0
2015-12-16,605.0
2015-12-17,618.45
2015-12-18,608.15
2015-12-21,620.25
2015-12-22,625.2
2015-12-23,621.65
2015-12-24,620.3
2015-12-28,623.9
2015-12-29,615.05
2015-12-30,616.15
2015-12-31,624.15
