Date,CYIENT
2015-01-01,512.45
2015-01-02,512.1
2015-01-05,519.55
2015-01-06,519.35
2015-01-07,518.0
2015-01-08,519.3
2015-01-09,527.6
2015-01-12,534.55
2015-01-13,539.5
2015-01-14,539.85
2015-01-15,574.9
2015-01-16,575.55
2015-01-19,564.5
2015-01-20,545.8
2015-01-21,547.45
2015-01-22,561.45
2015-01-23,551.2
2015-01-27,552.45
2015-01-28,547.6
2015-01-29,537.25
2015-01-30,532.5
2015-02-02,537.75
2015-02-03,540.8
2015-02-04,533.2
2015-02-05,531.95
2015-02-06,533.7
2015-02-09,529.8
2015-02-10,531.35
2015-02-11,533.05
2015-02-12,534.85
2015-02-13,539.2
2015-02-16,541.3
2015-02-18,548.35
2015-02-19,542.6
2015-02-20,548.6
2015-02-23,551.3
2015-02-24,554.8
2015-02-25,546.1
2015-02-26,546.7
2015-02-27,549.95
2015-02-28,550.55
2015-03-02,549.1
2015-03-03,563.45
2015-03-04,562.0
2015-03-05,552.65
2015-03-09,550.25
2015-03-10,545.45
2015-03-11,546.2
2015-03-12,543.2
2015-03-13,545.0
2015-03-16,532.25
2015-03-17,548.55
2015-03-18,547.15
2015-03-19,544.85
2015-03-20,536.35
2015-03-23,532.95
2015-03-24,533.3
2015-03-25,531.0
2015-03-26,518.6
2015-03-27,494.4
2015-03-30,503.7
2015-03-31,501.9
2015-04-01,514.1
2015-04-06,510.75
2015-04-07,506.25
2015-04-08,515.1
2015-04-09,509.5
2015-04-10,514.45
2015-04-13,508.9
2015-04-15,505.6
2015-04-16,510.1
2015-04-17,496.95
2015-04-20,484.75
2015-04-21,496.9
2015-04-22,478.4
2015-04-23,491.55
2015-04-24,497.7
2015-04-27,487.9
2015-04-28,485.3
2015-04-29,494.2
2015-04-30,481.2
2015-05-04,480.4
2015-05-05,477.45
2015-05-06,463.65
2015-05-07,475.2
2015-05-08,490.35
2015-05-11,508.05
2015-05-12,511.2
2015-05-13,503.75
2015-05-14,514.1
2015-05-15,511.55
2015-05-18,521.75
2015-05-19,519.65
2015-05-20,535.55
2015-05-21,550.1
2015-05-22,549.3
2015-05-25,549.45
2015-05-26,550.15
2015-05-27,556.2
2015-05-28,549.6
2015-05-29,558.45
2015-06-01,552.8
2015-06-02,533.95
2015-06-03,536.4
2015-06-04,531.4
2015-06-05,531.5
2015-06-08,526.55
2015-06-09,526.2
2015-06-10,527.7
2015-06-11,529.0
2015-06-12,537.0
2015-06-15,536.85
2015-06-16,536.2
2015-06-17,549.75
2015-06-18,576.1
2015-06-19,577.25
2015-06-22,590.65
2015-06-23,604.85
2015-06-24,599.9
2015-06-25,579.95
2015-06-26,595.25
2015-06-29,579.85
2015-06-30,578.1
2015-07-01,557.95
2015-07-02,556.45
2015-07-03,553.95
2015-07-06,559.15
2015-07-07,552.85
2015-07-08,548.25
2015-07-09,554.7
2015-07-10,561.1
2015-07-13,564.15
2015-07-14,562.3
2015-07-15,558.4
2015-07-16,531.95
2015-07-17,533.15
2015-07-20,534.85
2015-07-21,540.4
2015-07-22,531.7
2015-07-23,523.25
2015-07-24,527.35
2015-07-27,524.85
2015-07-28,515.1
2015-07-29,541.6
2015-07-30,535.2
2015-07-31,545.1
2015-08-03,545.5
2015-08-04,541.8
2015-08-05,545.05
2015-08-06,542.4
2015-08-07,541.3
2015-08-10,547.05
2015-08-11,549.85
2015-08-12,528.95
2015-08-13,539.05
2015-08-14,532.2
2015-08-17,536.55
2015-08-18,538.65
2015-08-19,561.2
2015-08-20,567.85
2015-08-21,563.15
2015-08-24,559.45
2015-08-25,556.1
2015-08-26,565.2
2015-08-27,560.7
2015-08-28,553.1
2015-08-31,581.95
2015-09-01,581.7
2015-09-02,594.85
2015-09-03,598.95
2015-09-04,588.55
2015-09-07,594.05
2015-09-08,593.0
2015-09-09,591.05
2015-09-10,594.6
2015-09-11,588.15
2015-09-14,593.95
2015-09-15,583.35
2015-09-16,584.15
2015-09-18,588.95
2015-09-21,571.95
2015-09-22,558.1
2015-09-23,565.35
2015-09-24,580.85
2015-09-28,570.8
2015-09-29,565.9
2015-09-30,558.65
2015-10-01,548.25
2015-10-05,548.7
2015-10-06,554.25
2015-10-07,559.65
2015-10-08,569.85
2015-10-09,592.55
2015-10-12,591.65
2015-10-13,588.9
2015-10-14,584.95
2015-10-15,625.65
2015-10-16,552.75
2015-10-19,548.5
2015-10-20,550.0
2015-10-21,545.55
2015-10-23,543.0
2015-10-26,537.1
2015-10-27,543.05
2015-10-28,536.6
2015-10-29,529.0
2015-10-30,536.95
2015-11-02,528.1
2015-11-03,524.45
2015-11-04,518.4
2015-11-05,517.25
2015-11-06,524.9
2015-11-09,516.85
2015-11-10,508.65
2015-11-11,513.1
2015-11-13,505.25
2015-11-16,508.1
2015-11-17,503.75
2015-11-18,489.8
2015-11-19,493.45
2015-11-20,493.55
2015-11-23,491.45
2015-11-24,498.75
2015-11-26,492.55
2015-11-27,491.45
2015-11-30,484.0
2015-12-01,492.55
2015-12-02,498.75
2015-12-03,488.25
2015-12-04,481.9
2015-12-07,470.55
2015-12-08,467.3
2015-12-09,479.45
2015-12-10,493.9
2015-12-11,484.85
2015-12-14,489.45
2015-12-15,485.85
2015-12-16,477.55
2015-12-17,477.4
2015-12-18,474.7
2015-12-21,475.75
2015-12-22,469.0
2015-12-23,469.6
2015-12-24,469.3
2015-12-28,467.8
2015-12-29,467.35
2015-12-30,472.25
2015-12-31,479.75
