Date,DPL
2015-01-01,75.85
2015-01-02,75.85
2015-01-05,77.25
2015-01-06,74.7
2015-01-07,74.65
2015-01-08,76.05
2015-01-09,87.6
2015-01-12,84.55
2015-01-13,87.45
2015-01-14,85.8
2015-01-15,83.2
2015-01-16,80.05
2015-01-19,80.1
2015-01-20,79.95
2015-01-21,78.0
2015-01-22,75.15
2015-01-23,74.45
2015-01-27,73.7
2015-01-28,70.65
2015-01-29,68.8
2015-01-30,68.2
2015-02-02,67.3
2015-02-03,68.45
2015-02-04,221.9
2015-02-04,64.55
2015-02-05,64.25
2015-02-05,221.55
2015-02-06,209.5
2015-02-06,62.3
2015-02-09,61.4
2015-02-09,251.4
2015-02-10,62.8
2015-02-10,256.45
2015-02-11,61.6
2015-02-11,261.25
2015-02-12,61.55
2015-02-12,272.55
2015-02-13,267.45
2015-02-13,61.5
2015-02-16,266.6
2015-02-16,58.05
2015-02-18,57.4
2015-02-18,259.95
2015-02-19,58.4
2015-02-19,256.6
2015-02-20,58.3
2015-02-20,254.35
2015-02-23,57.75
2015-02-23,253.1
2015-02-24,250.15
2015-02-24,54.9
2015-02-25,50.25
2015-02-25,248.45
2015-02-26,52.75
2015-02-26,244.55
2015-02-27,58.15
2015-02-27,251.95
2015-02-28,248.2
2015-02-28,56.5
2015-03-02,236.4
2015-03-02,57.5
2015-03-03,231.1
2015-03-03,57.65
2015-03-04,57.0
2015-03-04,230.35
2015-03-05,56.2
2015-03-05,233.05
2015-03-09,55.9
2015-03-09,235.15
2015-03-10,241.05
2015-03-10,55.15
2015-03-11,55.1
2015-03-11,235.05
2015-03-12,54.25
2015-03-12,235.35
2015-03-13,53.95
2015-03-13,230.6
2015-03-16,53.05
2015-03-16,223.95
2015-03-17,53.55
2015-03-17,224.85
2015-03-18,51.3
2015-03-18,222.5
2015-03-19,51.3
2015-03-19,224.95
2015-03-20,50.0
2015-03-20,228.8
2015-03-23,50.25
2015-03-23,220.5
2015-03-24,49.1
2015-03-24,216.95
2015-03-25,45.9
2015-03-25,210.45
2015-03-26,204.25
2015-03-26,44.35
2015-03-27,195.2
2015-03-27,43.6
2015-03-30,47.25
2015-03-30,202.35
2015-03-31,210.7
2015-05-12,50.0
2015-05-12,209.4
2015-05-13,52.2
2015-05-13,213.35
2015-05-14,207.45
2015-05-14,54.45
2015-05-15,65.3
2015-05-15,222.1
2015-05-18,78.1
2015-05-18,224.95
2015-05-19,77.4
2015-05-19,223.45
2015-05-20,226.35
2015-05-20,77.05
2015-05-21,76.55
2015-05-21,230.0
2015-05-22,76.35
2015-05-22,237.5
2015-05-25,75.9
2015-05-25,232.1
2015-05-26,232.85
2015-05-26,75.2
2015-05-27,74.65
2015-05-27,236.95
2015-05-28,240.45
2015-05-28,72.55
2015-05-29,241.5
2015-05-29,75.0
2015-06-01,218.95
2015-06-01,73.35
2015-06-02,71.25
2015-06-02,211.55
2015-06-03,69.6
2015-06-03,212.5
2015-06-04,70.6
2015-06-04,215.0
2015-06-05,215.2
2015-06-05,71.9
2015-06-08,72.0
2015-06-08,212.0
2015-06-09,75.3
2015-06-09,209.65
2015-06-10,77.95
2015-06-10,210.75
2015-06-11,73.7
2015-06-11,209.45
2015-06-12,74.7
2015-06-12,211.8
2015-06-15,211.2
2015-06-15,72.15
2015-06-16,73.6
2015-06-16,211.85
2015-06-17,212.3
2015-06-17,73.3
2015-06-18,73.55
2015-06-18,213.9
2015-06-19,213.8
2015-06-19,72.4
2015-06-22,214.3
2015-06-22,72.75
2015-06-23,72.8
2015-06-23,213.8
2015-06-24,214.95
2015-06-24,72.7
2015-06-25,214.0
2015-06-25,72.9
2015-06-26,72.9
2015-06-26,211.35
2015-06-29,214.3
2015-06-29,71.9
2015-06-30,223.4
2015-06-30,82.45
2015-07-01,84.45
2015-07-01,220.8
2015-07-02,78.75
2015-07-02,217.8
2015-07-03,78.35
2015-07-03,212.55
2015-07-06,218.0
2015-07-06,76.85
2015-07-07,229.7
2015-07-07,76.8
2015-07-08,76.4
2015-07-08,225.65
2015-07-09,227.4
2015-07-09,79.15
2015-07-10,79.45
2015-07-10,227.65
2015-07-13,81.35
2015-07-13,231.6
2015-07-14,82.4
2015-07-14,230.25
2015-07-15,234.5
