Date,BOMDYEING
2015-01-01,67.0
2015-01-02,67.8
2015-01-05,66.85
2015-01-06,64.3
2015-01-07,63.75
2015-01-08,64.95
2015-01-09,64.4
2015-01-12,66.25
2015-01-13,65.3
2015-01-14,64.45
2015-01-15,65.2
2015-01-16,65.8
2015-01-19,66.45
2015-01-20,71.65
2015-01-21,80.35
2015-01-22,79.0
2015-01-23,77.75
2015-01-27,75.45
2015-01-28,78.45
2015-01-29,83.7
2015-01-30,81.1
2015-02-02,85.1
2015-02-03,83.05
2015-02-04,82.35
2015-02-05,76.0
2015-02-06,73.75
2015-02-09,74.0
2015-02-10,75.05
2015-02-11,77.65
2015-02-12,82.0
2015-02-13,79.4
2015-02-16,78.55
2015-02-18,81.15
2015-02-19,79.9
2015-02-20,79.85
2015-02-23,77.9
2015-02-24,75.7
2015-02-25,73.9
2015-02-26,72.7
2015-02-27,74.45
2015-02-28,72.6
2015-03-02,81.1
2015-03-03,79.3
2015-03-04,76.75
2015-03-05,77.7
2015-03-09,75.1
2015-03-10,76.7
2015-03-11,76.45
2015-03-12,75.85
2015-03-13,72.55
2015-03-16,71.1
2015-03-17,70.7
2015-03-18,71.25
2015-03-19,69.6
2015-03-20,66.55
2015-03-23,65.45
2015-03-24,64.55
2015-03-25,63.9
2015-03-26,63.2
2015-03-27,61.1
2015-03-30,64.2
2015-03-31,63.9
2015-04-01,65.95
2015-04-06,67.55
2015-04-07,69.55
2015-04-08,70.85
2015-04-09,71.6
2015-04-10,72.4
2015-04-13,73.05
2015-04-15,71.6
2015-04-16,74.1
2015-04-17,72.0
2015-04-20,69.85
2015-04-21,69.65
2015-04-22,68.65
2015-04-23,68.55
2015-04-24,65.65
2015-04-27,63.15
2015-04-28,64.1
2015-04-29,65.1
2015-04-30,64.45
2015-05-04,66.35
2015-05-05,67.2
2015-05-06,65.2
2015-05-07,65.1
2015-05-08,65.8
2015-05-11,66.3
2015-05-12,63.6
2015-05-13,64.85
2015-05-14,65.05
2015-05-15,65.1
2015-05-18,66.95
2015-05-19,69.0
2015-05-20,70.15
2015-05-21,71.05
2015-05-22,71.1
2015-05-25,71.3
2015-05-26,71.2
2015-05-27,67.35
2015-05-28,67.85
2015-05-29,67.25
2015-06-01,67.6
2015-06-02,66.9
2015-06-03,62.75
2015-06-04,62.25
2015-06-05,62.35
2015-06-08,62.45
2015-06-09,61.45
2015-06-10,62.3
2015-06-11,60.3
2015-06-12,59.1
2015-06-15,60.65
2015-06-16,61.35
2015-06-17,62.05
2015-06-18,62.55
2015-06-19,62.95
2015-06-22,65.55
2015-06-23,67.25
2015-06-24,70.3
2015-06-25,71.9
2015-06-26,70.45
2015-06-29,70.0
2015-06-30,73.5
2015-07-01,73.0
2015-07-02,75.35
2015-07-03,74.15
2015-07-06,80.8
2015-07-07,78.8
2015-07-08,75.4
2015-07-09,75.7
2015-07-10,77.55
2015-07-13,77.25
2015-07-14,75.95
2015-07-15,75.8
2015-07-16,76.75
2015-07-17,76.5
2015-07-20,75.6
2015-07-21,72.9
2015-07-22,73.85
2015-07-23,73.0
2015-07-24,76.6
2015-07-27,74.35
2015-07-28,73.0
2015-07-29,77.8
2015-07-30,83.75
2015-07-31,87.5
2015-08-03,86.75
2015-08-04,91.65
2015-08-05,91.1
2015-08-06,86.7
2015-08-07,80.75
2015-08-10,79.8
2015-08-11,77.5
2015-08-12,74.1
2015-08-13,72.3
2015-08-14,74.15
2015-08-17,77.15
2015-08-18,78.3
2015-08-19,76.6
2015-08-20,74.2
2015-08-21,70.65
2015-08-24,60.0
2015-08-25,62.15
2015-08-26,61.5
2015-08-27,64.55
2015-08-28,63.5
2015-08-31,63.1
2015-09-01,61.05
2015-09-02,60.7
2015-09-03,61.75
2015-09-04,59.85
2015-09-07,59.75
2015-09-08,60.15
2015-09-09,60.95
2015-09-10,60.5
2015-09-11,61.5
2015-09-14,63.2
2015-09-15,61.95
2015-09-16,61.25
2015-09-18,62.25
2015-09-21,64.1
2015-09-22,62.95
2015-09-23,62.7
2015-09-24,62.65
2015-09-28,62.35
2015-09-29,62.3
2015-09-30,63.25
2015-10-01,64.4
2015-10-05,65.6
2015-10-06,68.35
2015-10-07,69.75
2015-10-08,68.2
2015-10-09,68.7
2015-10-12,68.3
2015-10-13,68.4
2015-10-14,70.8
2015-10-15,71.1
2015-10-16,69.3
2015-10-19,69.25
2015-10-20,69.25
2015-10-21,69.35
2015-10-23,68.4
2015-10-26,69.05
2015-10-27,67.95
2015-10-28,67.6
2015-10-29,66.7
2015-10-30,66.05
2015-11-02,64.95
2015-11-03,64.6
2015-11-04,62.9
2015-11-05,61.2
2015-11-06,60.8
2015-11-09,63.4
2015-11-10,62.0
2015-11-11,62.9
2015-11-13,62.25
2015-11-16,62.85
2015-11-17,63.1
2015-11-18,61.55
2015-11-19,66.8
2015-11-20,65.2
2015-11-23,64.5
2015-11-24,63.85
2015-11-26,65.4
2015-11-27,65.95
2015-11-30,66.75
2015-12-01,65.8
2015-12-02,64.95
2015-12-03,64.95
2015-12-04,63.65
2015-12-07,64.2
2015-12-08,62.4
2015-12-09,60.7
2015-12-10,61.55
2015-12-11,60.7
2015-12-14,61.75
2015-12-15,62.05
2015-12-16,63.5
2015-12-17,64.8
2015-12-18,63.65
2015-12-21,63.5
2015-12-22,65.3
2015-12-23,64.5
2015-12-24,65.0
2015-12-28,66.95
2015-12-29,64.4
2015-12-30,63.95
2015-12-31,64.15
