Date,LOTUSEYE
2015-01-01,10.8
2015-01-02,11.5
2015-01-05,12.1
2015-01-06,11.25
2015-01-07,10.9
2015-01-08,11.1
2015-01-09,11.0
2015-01-12,11.0
2015-01-13,11.0
2015-01-14,11.25
2015-01-15,11.15
2015-01-16,11.1
2015-01-19,10.95
2015-01-20,10.85
2015-01-21,10.65
2015-01-22,10.9
2015-01-23,11.0
2015-01-27,11.1
2015-01-28,10.9
2015-01-29,10.9
2015-01-30,11.55
2015-02-02,11.1
2015-02-03,11.25
2015-02-04,11.75
2015-02-05,11.1
2015-02-06,11.05
2015-02-09,10.95
2015-02-10,11.2
2015-02-11,11.1
2015-02-12,10.9
2015-02-13,10.8
2015-02-16,10.5
2015-02-18,10.8
2015-02-19,10.5
2015-02-20,10.7
2015-02-23,10.6
2015-02-24,11.75
2015-02-25,11.3
2015-02-26,11.15
2015-02-27,12.15
2015-02-28,11.9
2015-03-02,12.3
2015-03-03,12.95
2015-03-04,13.3
2015-03-05,13.65
2015-03-09,14.65
2015-03-10,15.7
2015-03-11,16.65
2015-03-12,16.15
2015-03-13,16.55
2015-03-16,16.3
2015-03-17,16.0
2015-03-18,15.5
2015-03-19,14.55
2015-03-20,14.1
2015-03-23,13.55
2015-03-24,13.25
2015-03-25,12.6
2015-03-26,12.0
2015-03-27,11.45
2015-03-30,12.0
2015-03-31,12.55
2015-04-01,13.15
2015-04-06,13.55
2015-04-07,13.35
2015-04-08,13.15
2015-04-09,13.8
2015-04-10,14.0
2015-04-13,13.9
2015-04-15,13.55
2015-04-16,13.5
2015-04-17,13.3
2015-04-20,12.95
2015-04-21,12.85
2015-04-22,12.85
2015-04-23,12.7
2015-04-24,12.75
2015-04-27,12.3
2015-04-28,12.35
2015-04-29,12.05
2015-04-30,12.25
2015-05-04,12.9
2015-05-05,12.5
2015-05-06,12.25
2015-05-07,12.45
2015-05-08,12.7
2015-05-11,12.65
2015-05-12,12.1
2015-05-13,12.1
2015-05-14,12.15
2015-05-15,12.7
2015-05-18,12.2
2015-05-19,12.5
2015-05-20,12.3
2015-05-21,12.2
2015-05-22,12.2
2015-05-25,12.25
2015-05-26,12.15
2015-05-27,11.8
2015-05-28,11.8
2015-05-29,11.8
2015-06-01,10.8
2015-06-02,11.25
2015-06-03,10.8
2015-06-04,10.3
2015-06-05,10.35
2015-06-08,10.05
2015-06-09,10.25
2015-06-10,10.45
2015-06-11,11.45
2015-06-12,11.0
2015-06-15,11.35
2015-06-16,11.85
2015-06-17,11.95
2015-06-18,12.2
2015-06-19,12.65
2015-06-22,12.85
2015-06-23,11.85
2015-06-24,12.0
2015-06-25,11.9
2015-06-26,11.5
2015-06-29,11.1
2015-06-30,11.15
2015-07-01,11.45
2015-07-02,11.3
2015-07-03,11.05
2015-07-06,12.55
2015-07-07,12.85
2015-07-08,11.7
2015-07-09,12.7
2015-07-10,12.55
2015-07-13,12.85
2015-07-14,12.75
2015-07-15,13.05
2015-07-16,12.85
2015-07-17,12.45
2015-07-20,12.0
2015-07-21,11.55
2015-07-22,11.9
2015-07-23,12.0
2015-07-24,12.2
2015-07-27,11.9
2015-07-28,12.0
2015-07-29,12.05
2015-07-30,11.75
2015-07-31,13.0
2015-08-03,13.9
2015-08-04,13.5
2015-08-05,15.9
2015-08-06,15.35
2015-08-07,14.55
2015-08-10,14.8
2015-08-11,14.1
2015-08-12,14.15
2015-08-13,13.85
2015-08-14,14.1
2015-08-17,14.45
2015-08-18,14.6
2015-08-19,14.6
2015-08-20,14.0
2015-08-21,14.05
2015-08-24,11.55
2015-08-25,12.4
2015-08-26,12.95
2015-08-27,13.85
2015-08-28,13.3
2015-08-31,13.15
2015-09-01,12.45
2015-09-02,12.15
2015-09-03,12.3
2015-09-04,12.6
2015-09-07,12.6
2015-09-08,12.75
2015-09-09,13.2
2015-09-10,12.45
2015-09-11,12.9
2015-09-14,12.75
2015-09-15,13.0
2015-09-16,13.1
2015-09-18,13.05
2015-09-21,13.1
2015-09-22,13.1
2015-09-23,13.1
2015-09-24,13.05
2015-09-28,13.05
2015-09-29,12.9
2015-09-30,12.9
2015-10-01,13.75
2015-10-05,13.9
2015-10-06,14.0
2015-10-07,13.8
2015-10-08,14.0
2015-10-09,13.8
2015-10-12,14.0
2015-10-13,14.75
2015-10-14,14.6
2015-10-15,13.7
2015-10-16,13.85
2015-10-19,13.5
2015-10-20,14.0
2015-10-21,14.0
2015-10-23,14.0
2015-10-26,14.15
2015-10-27,14.45
2015-10-28,13.85
2015-10-29,14.1
2015-10-30,13.7
2015-11-02,13.65
2015-11-03,14.0
2015-11-04,13.7
2015-11-05,15.45
2015-11-06,15.0
2015-11-09,14.8
2015-11-10,14.5
2015-11-11,14.7
2015-11-13,15.25
2015-11-16,14.4
2015-11-17,14.0
2015-11-18,13.85
2015-11-19,13.75
2015-11-20,13.6
2015-11-23,13.75
2015-11-24,13.9
2015-11-26,14.1
2015-11-27,13.8
2015-11-30,13.95
2015-12-01,14.5
2015-12-02,14.45
2015-12-03,14.3
2015-12-04,14.65
2015-12-07,15.3
2015-12-08,15.95
2015-12-09,15.5
2015-12-10,17.65
2015-12-11,19.65
2015-12-14,21.75
2015-12-15,20.8
2015-12-16,19.85
2015-12-17,20.35
2015-12-18,20.1
2015-12-21,20.2
2015-12-22,20.5
2015-12-23,22.55
2015-12-24,23.6
2015-12-28,25.95
2015-12-29,25.7
2015-12-30,24.45
2015-12-31,23.8
