Date,TNPL
2015-01-01,132.45
2015-01-02,135.5
2015-01-05,135.85
2015-01-06,133.2
2015-01-07,130.45
2015-01-08,132.0
2015-01-09,129.7
2015-01-12,131.7
2015-01-13,128.75
2015-01-14,129.0
2015-01-15,130.2
2015-01-16,131.0
2015-01-19,131.35
2015-01-20,134.25
2015-01-21,137.55
2015-01-22,138.65
2015-01-23,137.45
2015-01-27,137.75
2015-01-28,136.3
2015-01-29,134.55
2015-01-30,133.8
2015-02-02,138.05
2015-02-03,137.2
2015-02-04,135.75
2015-02-05,138.3
2015-02-06,135.95
2015-02-09,136.35
2015-02-10,136.45
2015-02-11,139.65
2015-02-12,139.95
2015-02-13,143.0
2015-02-16,140.25
2015-02-18,138.0
2015-02-19,138.6
2015-02-20,139.5
2015-02-23,138.95
2015-02-24,137.7
2015-02-25,136.85
2015-02-26,134.75
2015-02-27,135.65
2015-02-28,136.7
2015-03-02,133.05
2015-03-03,134.1
2015-03-04,133.1
2015-03-05,133.25
2015-03-09,130.45
2015-03-10,130.8
2015-03-11,130.5
2015-03-12,131.95
2015-03-13,131.15
2015-03-16,130.95
2015-03-17,128.8
2015-03-18,130.25
2015-03-19,129.3
2015-03-20,127.3
2015-03-23,125.9
2015-03-24,122.75
2015-03-25,120.75
2015-03-26,118.0
2015-03-27,118.45
2015-03-30,121.05
2015-03-31,126.15
2015-04-01,124.0
2015-04-06,128.25
2015-04-07,131.4
2015-04-08,130.95
2015-04-09,129.5
2015-04-10,132.15
2015-04-13,134.75
2015-04-15,136.5
2015-04-16,134.2
2015-04-17,133.65
2015-04-20,129.75
2015-04-21,130.35
2015-04-22,129.3
2015-04-23,127.9
2015-04-24,127.0
2015-04-27,125.4
2015-04-28,126.1
2015-04-29,128.05
2015-04-30,130.85
2015-05-04,131.95
2015-05-05,131.7
2015-05-06,128.95
2015-05-07,127.65
2015-05-08,128.45
2015-05-11,130.2
2015-05-12,129.0
2015-05-13,130.1
2015-05-14,131.3
2015-05-15,131.75
2015-05-18,133.7
2015-05-19,135.25
2015-05-20,135.0
2015-05-21,134.45
2015-05-22,134.25
2015-05-25,134.6
2015-05-26,135.1
2015-05-27,135.1
2015-05-28,137.0
2015-05-29,149.0
2015-06-01,156.7
2015-06-02,155.45
2015-06-03,148.7
2015-06-04,148.7
2015-06-05,148.1
2015-06-08,145.85
2015-06-09,145.75
2015-06-10,150.0
2015-06-11,147.65
2015-06-12,147.85
2015-06-15,148.7
2015-06-16,149.25
2015-06-17,150.4
2015-06-18,152.7
2015-06-19,158.55
2015-06-22,160.3
2015-06-23,158.55
2015-06-24,156.2
2015-06-25,156.35
2015-06-26,156.15
2015-06-29,150.15
2015-06-30,156.25
2015-07-01,159.15
2015-07-02,158.25
2015-07-03,160.7
2015-07-06,162.0
2015-07-07,161.15
2015-07-08,158.2
2015-07-09,158.0
2015-07-10,158.6
2015-07-13,162.7
2015-07-14,166.25
2015-07-15,178.0
2015-07-16,186.35
2015-07-17,192.95
2015-07-20,195.8
2015-07-21,191.25
2015-07-22,188.8
2015-07-23,195.45
2015-07-24,202.55
2015-07-27,193.55
2015-07-28,197.0
2015-07-29,202.1
2015-07-30,200.45
2015-07-31,200.0
2015-08-03,197.55
2015-08-04,207.6
2015-08-05,208.15
2015-08-06,208.7
2015-08-07,204.2
2015-08-10,200.15
2015-08-11,199.8
2015-08-12,193.75
2015-08-13,191.05
2015-08-14,197.45
2015-08-17,203.5
2015-08-18,208.4
2015-08-19,216.4
2015-08-20,209.4
2015-08-21,206.8
2015-08-24,184.3
2015-08-25,189.85
2015-08-26,186.2
2015-08-27,193.15
2015-08-28,191.8
2015-08-31,191.9
2015-09-01,186.55
2015-09-02,185.8
2015-09-03,191.8
2015-09-04,186.1
2015-09-07,178.85
2015-09-08,183.85
2015-09-09,186.85
2015-09-10,179.1
2015-09-11,178.8
2015-09-14,178.6
2015-09-15,175.75
2015-09-16,175.35
2015-09-18,178.4
2015-09-21,183.5
2015-09-22,181.75
2015-09-23,181.45
2015-09-24,180.85
2015-09-28,178.4
2015-09-29,177.2
2015-09-30,182.25
2015-10-01,183.4
2015-10-05,186.6
2015-10-06,189.5
2015-10-07,188.7
2015-10-08,185.35
2015-10-09,187.45
2015-10-12,192.2
2015-10-13,189.3
2015-10-14,187.65
2015-10-15,196.45
2015-10-16,202.85
2015-10-19,207.6
2015-10-20,208.35
2015-10-21,216.45
2015-10-23,214.8
2015-10-26,211.4
2015-10-27,208.65
2015-10-28,206.65
2015-10-29,207.5
2015-10-30,205.4
2015-11-02,204.75
2015-11-03,205.95
2015-11-04,217.0
2015-11-05,227.55
2015-11-06,224.95
2015-11-09,235.9
2015-11-10,228.3
2015-11-11,235.5
2015-11-13,248.35
2015-11-16,244.75
2015-11-17,235.1
2015-11-18,229.65
2015-11-19,234.35
2015-11-20,238.6
2015-11-23,234.75
2015-11-24,236.0
2015-11-26,235.8
2015-11-27,232.05
2015-11-30,227.6
2015-12-01,236.4
2015-12-02,233.35
2015-12-03,229.65
2015-12-04,226.3
2015-12-07,228.1
2015-12-08,227.55
2015-12-09,223.45
2015-12-10,229.7
2015-12-11,229.7
2015-12-14,234.4
2015-12-15,238.6
2015-12-16,239.9
2015-12-17,241.9
2015-12-18,245.0
2015-12-21,261.9
2015-12-22,263.85
2015-12-23,265.45
2015-12-24,265.8
2015-12-28,265.5
2015-12-29,259.6
2015-12-30,266.9
2015-12-31,268.9
