Date,SUNDRMBRAK
2015-01-01,341.65
2015-01-02,349.9
2015-01-05,350.85
2015-01-06,346.05
2015-01-07,340.75
2015-01-08,361.15
2015-01-09,372.8
2015-01-12,384.8
2015-01-13,385.55
2015-01-14,375.2
2015-01-15,366.85
2015-01-16,371.9
2015-01-19,414.5
2015-01-20,413.45
2015-01-21,413.0
2015-01-22,431.05
2015-01-23,435.7
2015-01-27,469.55
2015-01-28,481.35
2015-01-29,494.0
2015-01-30,491.95
2015-02-02,500.85
2015-02-03,459.3
2015-02-04,457.75
2015-02-05,430.9
2015-02-06,412.1
2015-02-09,395.65
2015-02-10,395.5
2015-02-11,399.45
2015-02-12,398.55
2015-02-13,401.0
2015-02-16,393.8
2015-02-18,420.75
2015-02-19,421.4
2015-02-20,408.85
2015-02-23,395.25
2015-02-24,395.15
2015-02-25,389.65
2015-02-26,372.0
2015-02-27,368.7
2015-02-28,371.05
2015-03-02,380.5
2015-03-03,388.55
2015-03-04,375.65
2015-03-05,378.45
2015-03-09,367.35
2015-03-10,365.05
2015-03-11,346.05
2015-03-12,341.6
2015-03-13,331.6
2015-03-16,329.65
2015-03-17,315.5
2015-03-18,315.45
2015-03-19,311.0
2015-03-20,305.6
2015-03-23,282.6
2015-03-24,286.1
2015-03-25,272.4
2015-03-26,267.7
2015-03-27,272.4
2015-03-30,283.35
2015-03-31,311.5
2015-04-01,339.45
2015-04-06,345.2
2015-04-07,343.8
2015-04-08,336.55
2015-04-09,329.2
2015-04-10,330.15
2015-04-13,339.25
2015-04-15,359.0
2015-04-16,360.75
2015-04-17,352.6
2015-04-20,335.4
2015-04-21,328.7
2015-04-22,324.65
2015-04-23,332.0
2015-04-24,309.85
2015-04-27,292.6
2015-04-28,307.55
2015-04-29,305.35
2015-04-30,312.25
2015-05-04,317.6
2015-05-05,311.6
2015-05-06,295.85
2015-05-07,296.2
2015-05-08,305.7
2015-05-11,307.95
2015-05-12,303.75
2015-05-13,301.1
2015-05-14,304.6
2015-05-15,321.1
2015-05-18,319.35
2015-05-19,310.55
2015-05-20,316.85
2015-05-21,314.45
2015-05-22,311.55
2015-05-25,297.1
2015-05-26,292.7
2015-05-27,291.05
2015-05-28,287.85
2015-05-29,291.8
2015-06-01,290.4
2015-06-02,285.8
2015-06-03,273.65
2015-06-04,278.8
2015-06-05,278.3
2015-06-08,279.6
2015-06-09,270.45
2015-06-10,267.55
2015-06-11,259.65
2015-06-12,267.15
2015-06-15,267.7
2015-06-16,273.45
2015-06-17,270.7
2015-06-18,274.65
2015-06-19,267.7
2015-06-22,270.8
2015-06-23,267.75
2015-06-24,269.9
2015-06-25,274.9
2015-06-26,273.85
2015-06-29,267.6
2015-06-30,269.75
2015-07-01,276.4
2015-07-02,269.75
2015-07-03,272.4
2015-07-06,280.0
2015-07-07,276.75
2015-07-08,269.0
2015-07-09,278.4
2015-07-10,276.55
2015-07-13,276.1
2015-07-14,277.5
2015-07-15,280.0
2015-07-16,289.05
2015-07-17,291.1
2015-07-20,288.9
2015-07-21,278.2
2015-07-22,282.15
2015-07-23,276.7
2015-07-24,281.4
2015-07-27,278.15
2015-07-28,270.0
2015-07-29,273.5
2015-07-30,281.15
2015-07-31,285.3
2015-08-03,279.1
2015-08-04,286.45
2015-08-05,298.95
2015-08-06,287.8
2015-08-07,277.5
2015-08-10,270.45
2015-08-11,271.6
2015-08-12,266.2
2015-08-13,261.75
2015-08-14,257.35
2015-08-17,261.1
2015-08-18,260.4
2015-08-19,259.5
2015-08-20,253.45
2015-08-21,253.85
2015-08-24,234.45
2015-08-25,228.9
2015-08-26,227.7
2015-08-27,235.05
2015-08-28,235.9
2015-08-31,240.7
2015-09-01,232.85
2015-09-02,229.25
2015-09-03,237.15
2015-09-04,220.4
2015-09-07,215.4
2015-09-08,218.25
2015-09-09,230.05
2015-09-10,220.95
2015-09-11,221.05
2015-09-14,220.95
2015-09-15,220.85
2015-09-16,222.5
2015-09-18,226.1
2015-09-21,222.7
2015-09-22,231.35
2015-09-23,234.95
2015-09-24,235.2
2015-09-28,239.1
2015-09-29,234.15
2015-09-30,237.05
2015-10-01,232.7
2015-10-05,229.7
2015-10-06,230.25
2015-10-07,228.75
2015-10-08,228.5
2015-10-09,232.6
2015-10-12,230.3
2015-10-13,229.4
2015-10-14,233.25
2015-10-15,233.45
2015-10-16,234.9
2015-10-19,236.45
2015-10-20,233.3
2015-10-21,236.7
2015-10-23,235.75
2015-10-26,229.85
2015-10-27,232.25
2015-10-28,233.6
2015-10-29,232.6
2015-10-30,228.5
2015-11-02,249.65
2015-11-03,259.6
2015-11-04,260.25
2015-11-05,250.4
2015-11-06,260.0
2015-11-09,254.0
2015-11-10,242.75
2015-11-11,244.45
2015-11-13,253.9
2015-11-16,254.6
2015-11-17,261.1
2015-11-18,258.6
2015-11-19,257.8
2015-11-20,256.35
2015-11-23,259.85
2015-11-24,275.6
2015-11-26,283.6
2015-11-27,272.55
2015-11-30,296.3
2015-12-01,288.6
2015-12-02,317.25
2015-12-03,308.75
2015-12-04,315.2
2015-12-07,307.5
2015-12-08,305.2
2015-12-09,286.8
2015-12-10,290.45
2015-12-11,292.15
2015-12-14,290.45
2015-12-15,292.65
2015-12-16,296.95
2015-12-17,293.75
2015-12-18,293.1
2015-12-21,293.75
2015-12-22,291.35
2015-12-23,298.9
2015-12-24,293.95
2015-12-28,291.2
2015-12-29,289.8
2015-12-30,289.05
2015-12-31,301.3
