Date,ELGIRUBCO
2015-01-01,31.95
2015-01-02,32.3
2015-01-05,31.95
2015-01-06,30.8
2015-01-07,30.9
2015-01-08,34.8
2015-01-09,34.95
2015-01-12,34.8
2015-01-13,32.9
2015-01-14,33.05
2015-01-15,33.1
2015-01-16,32.65
2015-01-19,32.9
2015-01-20,33.35
2015-01-21,33.45
2015-01-22,33.0
2015-01-23,32.95
2015-01-27,32.4
2015-01-28,31.9
2015-01-29,31.8
2015-01-30,31.55
2015-02-02,31.95
2015-02-03,30.8
2015-02-04,30.1
2015-02-05,29.6
2015-02-06,28.55
2015-02-09,27.2
2015-02-10,27.85
2015-02-11,28.15
2015-02-12,28.1
2015-02-13,27.9
2015-02-16,28.2
2015-02-18,29.8
2015-02-19,29.65
2015-02-20,28.8
2015-02-23,28.65
2015-02-24,28.0
2015-02-25,27.8
2015-02-26,27.35
2015-02-27,27.65
2015-02-28,27.8
2015-03-02,27.5
2015-03-03,30.55
2015-03-04,29.05
2015-03-05,29.05
2015-03-09,28.8
2015-03-10,28.6
2015-03-11,28.2
2015-03-12,29.05
2015-03-13,28.1
2015-03-16,27.25
2015-03-17,27.25
2015-03-18,27.05
2015-03-19,27.2
2015-03-20,28.1
2015-03-23,26.6
2015-03-24,26.55
2015-03-25,26.8
2015-03-26,27.15
2015-03-27,26.65
2015-03-30,26.9
2015-03-31,27.65
2015-04-01,28.05
2015-04-06,28.0
2015-04-07,28.2
2015-04-08,29.0
2015-04-09,28.9
2015-04-10,29.2
2015-04-13,28.35
2015-04-15,28.45
2015-04-16,28.45
2015-04-17,28.1
2015-04-20,27.75
2015-04-21,28.5
2015-04-22,28.1
2015-04-23,27.75
2015-04-24,26.65
2015-04-27,25.45
2015-04-28,26.3
2015-04-29,25.95
2015-04-30,26.05
2015-05-04,27.2
2015-05-05,26.8
2015-05-06,26.3
2015-05-07,26.5
2015-05-08,25.95
2015-05-11,26.05
2015-05-12,25.9
2015-05-13,25.5
2015-05-14,25.7
2015-05-15,25.45
2015-05-18,25.85
2015-05-19,25.7
2015-05-20,25.55
2015-05-21,25.15
2015-05-22,24.85
2015-05-25,24.2
2015-05-26,24.9
2015-05-27,24.45
2015-05-28,24.5
2015-05-29,24.55
2015-06-01,23.55
2015-06-02,23.2
2015-06-03,22.5
2015-06-04,22.95
2015-06-05,22.7
2015-06-08,25.0
2015-06-09,24.15
2015-06-10,24.2
2015-06-11,23.25
2015-06-12,24.05
2015-06-15,24.0
2015-06-16,23.45
2015-06-17,24.65
2015-06-18,24.9
2015-06-19,24.95
2015-06-22,24.9
2015-06-23,24.45
2015-06-24,24.05
2015-06-25,24.5
2015-06-26,24.3
2015-06-29,24.65
2015-06-30,24.85
2015-07-01,25.8
2015-07-02,25.6
2015-07-03,25.1
2015-07-06,26.2
2015-07-07,28.8
2015-07-08,27.95
2015-07-09,26.9
2015-07-10,26.9
2015-07-13,26.75
2015-07-14,26.8
2015-07-15,27.8
2015-07-16,28.0
2015-07-17,27.25
2015-07-20,25.85
2015-07-21,25.45
2015-07-22,25.7
2015-07-23,26.4
2015-07-24,26.1
2015-07-27,25.85
2015-07-28,26.4
2015-07-29,27.0
2015-07-30,26.75
2015-07-31,25.85
2015-08-03,26.2
2015-08-04,27.85
2015-08-05,27.05
2015-08-06,26.15
2015-08-07,26.3
2015-08-10,26.05
2015-08-11,25.4
2015-08-12,24.05
2015-08-13,24.25
2015-08-14,24.3
2015-08-17,24.2
2015-08-18,25.9
2015-08-19,24.95
2015-08-20,24.05
2015-08-21,24.6
2015-08-24,22.85
2015-08-25,23.05
2015-08-26,23.95
2015-08-27,23.45
2015-08-28,23.4
2015-08-31,23.4
2015-09-01,24.05
2015-09-02,23.6
2015-09-03,24.45
2015-09-04,24.2
2015-09-07,24.15
2015-09-08,23.55
2015-09-09,23.5
2015-09-10,24.45
2015-09-11,24.6
2015-09-14,23.85
2015-09-15,24.15
2015-09-16,24.0
2015-09-18,24.5
2015-09-21,24.05
2015-09-22,23.65
2015-09-23,23.45
2015-09-24,24.0
2015-09-28,23.6
2015-09-29,24.05
2015-09-30,23.35
2015-10-01,24.5
2015-10-05,24.5
2015-10-06,24.25
2015-10-07,24.05
2015-10-08,24.25
2015-10-09,25.25
2015-10-12,24.5
2015-10-13,25.15
2015-10-14,25.1
2015-10-15,24.85
2015-10-16,24.3
2015-10-19,24.5
2015-10-20,25.65
2015-10-21,26.7
2015-10-23,28.2
2015-10-26,28.6
2015-10-27,28.65
2015-10-28,28.0
2015-10-29,30.8
2015-10-30,30.25
2015-11-02,28.3
2015-11-03,29.15
2015-11-04,28.25
2015-11-05,28.2
2015-11-06,28.0
2015-11-09,27.9
2015-11-10,28.1
2015-11-11,28.15
2015-11-13,28.65
2015-11-16,27.2
2015-11-17,28.15
2015-11-18,27.25
2015-11-19,26.8
2015-11-20,26.85
2015-11-23,26.25
2015-11-24,26.9
2015-11-26,26.05
2015-11-27,25.75
2015-11-30,26.0
2015-12-01,25.9
2015-12-02,26.0
2015-12-03,26.4
2015-12-04,26.25
2015-12-07,25.7
2015-12-08,25.0
2015-12-09,24.0
2015-12-10,25.0
2015-12-11,24.15
2015-12-14,24.9
2015-12-15,24.55
2015-12-16,24.4
2015-12-17,24.25
2015-12-18,24.35
2015-12-21,24.8
2015-12-22,25.0
2015-12-23,24.7
2015-12-24,25.0
2015-12-28,24.95
2015-12-29,24.6
2015-12-30,24.75
2015-12-31,25.1
