Date,ALMONDZ
2015-01-01,13.6
2015-01-02,14.0
2015-01-05,14.05
2015-01-06,13.3
2015-01-07,13.25
2015-01-08,13.7
2015-01-09,13.1
2015-01-12,13.75
2015-01-13,13.8
2015-01-14,13.65
2015-01-15,13.7
2015-01-16,13.45
2015-01-19,14.1
2015-01-20,14.45
2015-01-21,13.9
2015-01-22,14.0
2015-01-23,13.4
2015-01-27,13.55
2015-01-28,14.3
2015-01-29,14.75
2015-01-30,14.95
2015-02-02,14.65
2015-02-03,14.55
2015-02-04,14.95
2015-02-05,14.7
2015-02-06,15.75
2015-02-09,14.9
2015-02-10,15.95
2015-02-11,16.4
2015-02-12,15.35
2015-02-13,12.3
2015-02-16,10.1
2015-02-18,10.4
2015-02-19,10.3
2015-02-20,11.3
2015-02-23,11.6
2015-02-24,12.7
2015-02-25,12.1
2015-02-26,11.5
2015-02-27,11.75
2015-02-28,11.35
2015-03-02,11.3
2015-03-03,10.75
2015-03-04,10.7
2015-03-05,10.85
2015-03-09,11.2
2015-03-10,11.4
2015-03-11,10.85
2015-03-12,10.5
2015-03-13,10.7
2015-03-16,10.9
2015-03-17,10.4
2015-03-18,10.6
2015-03-19,10.65
2015-03-20,10.5
2015-03-23,10.5
2015-03-24,10.4
2015-03-25,10.0
2015-03-26,10.0
2015-03-27,10.0
2015-03-30,10.45
2015-03-31,10.6
2015-04-01,10.75
2015-04-06,10.75
2015-04-07,11.0
2015-04-08,11.45
2015-04-09,11.2
2015-04-10,11.4
2015-04-13,11.1
2015-04-15,10.8
2015-04-16,11.25
2015-04-17,10.75
2015-04-20,10.95
2015-04-21,10.15
2015-04-22,10.25
2015-04-23,10.45
2015-04-24,10.75
2015-04-27,10.55
2015-04-28,10.85
2015-04-29,10.5
2015-04-30,10.15
2015-05-04,10.05
2015-05-05,10.2
2015-05-06,10.0
2015-05-07,10.0
2015-05-08,10.5
2015-05-11,10.55
2015-05-12,10.05
2015-05-13,10.2
2015-05-14,10.0
2015-05-15,10.0
2015-05-18,10.0
2015-05-19,10.0
2015-05-20,10.0
2015-05-21,10.35
2015-05-22,10.0
2015-05-25,10.05
2015-05-26,10.5
2015-05-27,11.1
2015-05-28,10.3
2015-05-29,10.8
2015-06-01,10.5
2015-06-02,10.6
2015-06-03,10.3
2015-06-04,10.25
2015-06-05,10.1
2015-06-08,10.45
2015-06-09,10.1
2015-06-10,10.3
2015-06-11,10.0
2015-06-12,10.0
2015-06-15,10.0
2015-06-16,10.0
2015-06-17,10.0
2015-06-18,10.35
2015-06-19,10.1
2015-06-22,10.45
2015-06-23,10.25
2015-06-24,10.35
2015-06-25,10.05
2015-06-26,10.0
2015-06-29,10.45
2015-06-30,10.1
2015-07-01,10.1
2015-07-02,10.05
2015-07-03,10.35
2015-07-06,10.4
2015-07-07,10.3
2015-07-08,10.2
2015-07-09,10.0
2015-07-10,10.5
2015-07-13,10.35
2015-07-14,10.05
2015-07-15,10.0
2015-07-16,10.25
2015-07-17,10.1
2015-07-20,10.0
2015-07-21,10.0
2015-07-22,10.0
2015-07-23,10.2
2015-07-24,10.0
2015-07-27,10.0
2015-07-28,10.0
2015-07-29,10.0
2015-07-30,9.9
2015-08-03,9.8
2015-08-04,9.5
2015-08-05,9.15
2015-08-06,9.2
2015-08-07,8.95
2015-08-10,9.05
2015-08-11,8.35
2015-08-12,7.3
2015-08-13,8.75
2015-08-14,8.55
2015-08-17,9.0
2015-08-18,9.8
2015-08-19,9.75
2015-08-20,9.05
2015-08-21,9.85
2015-08-24,8.9
2015-08-25,9.0
2015-08-26,9.25
2015-08-27,9.0
2015-08-28,9.55
2015-08-31,9.5
2015-09-01,9.15
2015-09-02,9.2
2015-09-03,9.95
2015-09-04,9.0
2015-09-07,9.0
2015-09-08,8.85
2015-09-09,8.9
2015-09-11,8.85
2015-09-14,9.0
2015-09-15,8.85
2015-09-16,8.85
2015-09-18,9.5
2015-09-21,8.85
2015-09-22,9.0
2015-09-23,8.85
2015-09-24,9.7
2015-09-28,9.5
2015-09-29,9.35
2015-09-30,9.8
2015-10-01,9.9
2015-10-05,9.5
2015-10-06,9.5
2015-10-07,9.5
2015-10-08,9.5
2015-10-09,10.0
2015-10-12,9.5
2015-10-13,9.5
2015-10-14,10.05
2015-10-15,9.85
2015-10-16,9.35
2015-10-19,10.1
2015-10-20,9.8
2015-10-21,9.75
2015-10-23,10.2
2015-10-26,9.55
2015-10-27,10.15
2015-10-28,9.7
2015-10-29,9.55
2015-10-30,9.7
2015-11-02,9.8
2015-11-03,9.75
2015-11-04,10.0
2015-11-05,10.4
2015-11-06,10.35
2015-11-09,10.0
2015-11-10,10.0
2015-11-13,10.0
2015-11-16,9.7
2015-11-17,9.7
2015-11-18,10.4
2015-11-19,10.0
2015-11-20,10.0
2015-11-23,10.1
2015-11-24,10.2
2015-11-26,10.1
2015-11-27,10.05
2015-11-30,10.1
2015-12-01,10.35
2015-12-02,10.3
2015-12-03,10.6
2015-12-04,10.2
2015-12-07,10.2
2015-12-08,10.45
2015-12-09,9.85
2015-12-10,10.0
2015-12-11,10.1
2015-12-14,10.05
2015-12-15,10.05
2015-12-16,9.9
2015-12-17,10.25
2015-12-18,10.1
2015-12-21,10.2
2015-12-22,10.1
2015-12-23,10.05
2015-12-24,10.2
2015-12-28,10.1
2015-12-29,12.1
2015-12-30,14.5
2015-12-31,15.1
