Date,KANORICHEM
2015-01-01,34.8
2015-01-02,36.65
2015-01-05,37.2
2015-01-06,34.95
2015-01-07,34.3
2015-01-08,35.2
2015-01-09,35.4
2015-01-12,35.1
2015-01-13,37.0
2015-01-14,38.65
2015-01-15,39.0
2015-01-16,38.5
2015-01-19,38.1
2015-01-20,38.45
2015-01-21,37.95
2015-01-22,36.85
2015-01-23,35.85
2015-01-27,36.1
2015-01-28,35.85
2015-01-29,35.95
2015-01-30,35.9
2015-02-02,37.25
2015-02-03,38.1
2015-02-04,37.85
2015-02-05,42.65
2015-02-06,42.5
2015-02-09,39.85
2015-02-10,39.5
2015-02-11,39.25
2015-02-12,38.5
2015-02-13,38.05
2015-02-16,36.6
2015-02-18,37.0
2015-02-19,37.4
2015-02-20,40.2
2015-02-23,38.65
2015-02-24,38.9
2015-02-25,39.55
2015-02-26,38.7
2015-02-27,38.65
2015-02-28,37.65
2015-03-02,38.0
2015-03-03,38.7
2015-03-04,38.05
2015-03-05,37.9
2015-03-09,37.9
2015-03-10,38.35
2015-03-11,38.25
2015-03-12,37.75
2015-03-13,37.15
2015-03-16,36.7
2015-03-17,36.2
2015-03-18,36.85
2015-03-19,35.7
2015-03-20,35.8
2015-03-23,38.75
2015-03-24,39.8
2015-03-25,39.25
2015-03-26,38.1
2015-03-27,38.15
2015-03-30,40.45
2015-03-31,41.05
2015-04-01,41.55
2015-04-06,45.25
2015-04-07,44.4
2015-04-08,44.5
2015-04-09,44.2
2015-04-10,44.55
2015-04-13,46.5
2015-04-15,47.5
2015-04-16,45.75
2015-04-17,46.15
2015-04-20,44.35
2015-04-21,45.0
2015-04-22,45.35
2015-04-23,46.6
2015-04-24,45.2
2015-04-27,42.6
2015-04-28,41.7
2015-04-29,43.4
2015-04-30,43.45
2015-05-04,43.55
2015-05-05,43.7
2015-05-06,42.25
2015-05-07,42.1
2015-05-08,42.3
2015-05-11,42.2
2015-05-12,41.4
2015-05-13,41.95
2015-05-14,41.8
2015-05-15,41.7
2015-05-18,40.15
2015-05-19,40.6
2015-05-20,41.35
2015-05-21,42.4
2015-05-22,41.55
2015-05-25,42.25
2015-05-26,42.5
2015-05-27,42.55
2015-05-28,39.05
2015-05-29,39.15
2015-06-01,39.3
2015-06-02,38.35
2015-06-03,37.8
2015-06-04,37.2
2015-06-05,37.35
2015-06-08,37.15
2015-06-09,36.35
2015-06-10,36.8
2015-06-11,36.4
2015-06-12,36.45
2015-06-15,36.2
2015-06-16,35.4
2015-06-17,36.15
2015-06-18,37.1
2015-06-19,36.95
2015-06-22,38.45
2015-06-23,38.95
2015-06-24,39.4
2015-06-25,38.55
2015-06-26,38.25
2015-06-29,37.85
2015-06-30,38.95
2015-07-01,39.55
2015-07-02,39.65
2015-07-03,39.8
2015-07-06,39.85
2015-07-07,40.6
2015-07-08,39.7
2015-07-09,41.4
2015-07-10,40.75
2015-07-13,41.45
2015-07-14,41.5
2015-07-15,42.35
2015-07-16,43.25
2015-07-17,42.3
2015-07-20,46.45
2015-07-21,44.2
2015-07-22,46.45
2015-07-23,46.95
2015-07-24,49.45
2015-07-27,49.95
2015-07-28,51.65
2015-07-29,50.5
2015-07-30,51.15
2015-07-31,51.95
2015-08-03,52.35
2015-08-04,50.55
2015-08-05,52.95
2015-08-06,50.9
2015-08-07,50.85
2015-08-10,50.35
2015-08-11,49.55
2015-08-12,47.2
2015-08-13,46.2
2015-08-14,48.25
2015-08-17,52.3
2015-08-18,59.45
2015-08-19,59.35
2015-08-20,55.75
2015-08-21,55.8
2015-08-24,46.8
2015-08-25,48.45
2015-08-26,47.65
2015-08-27,49.5
2015-08-28,48.2
2015-08-31,46.85
2015-09-01,46.0
2015-09-02,46.65
2015-09-03,47.85
2015-09-04,44.55
2015-09-07,42.8
2015-09-08,45.1
2015-09-09,46.1
2015-09-10,45.95
2015-09-11,45.65
2015-09-14,46.3
2015-09-15,45.15
2015-09-16,44.15
2015-09-18,44.85
2015-09-21,45.75
2015-09-22,45.0
2015-09-23,46.05
2015-09-24,46.55
2015-09-28,45.4
2015-09-29,45.5
2015-09-30,45.0
2015-10-01,45.6
2015-10-05,46.45
2015-10-06,46.6
2015-10-07,49.2
2015-10-08,50.45
2015-10-09,49.25
2015-10-12,48.95
2015-10-13,49.1
2015-10-14,52.4
2015-10-15,53.05
2015-10-16,53.95
2015-10-19,57.9
2015-10-20,58.6
2015-10-21,58.75
2015-10-23,62.9
2015-10-26,66.2
2015-10-27,65.9
2015-10-28,66.2
2015-10-29,70.85
2015-10-30,66.75
2015-11-02,63.6
2015-11-03,63.95
2015-11-04,62.1
2015-11-05,59.05
2015-11-06,59.25
2015-11-09,61.05
2015-11-10,63.7
2015-11-11,64.95
2015-11-13,62.7
2015-11-16,63.85
2015-11-17,62.35
2015-11-18,61.3
2015-11-19,62.1
2015-11-20,61.65
2015-11-23,67.7
2015-11-24,67.45
2015-11-26,67.55
2015-11-27,66.7
2015-11-30,67.1
2015-12-01,71.75
2015-12-02,72.85
2015-12-03,71.1
2015-12-04,69.25
2015-12-07,79.9
2015-12-08,78.0
2015-12-09,70.2
2015-12-10,75.6
2015-12-11,75.7
2015-12-14,76.55
2015-12-15,77.2
2015-12-16,76.5
2015-12-17,76.95
2015-12-18,80.9
2015-12-21,81.65
2015-12-22,80.75
2015-12-23,82.95
2015-12-24,80.35
2015-12-28,80.05
2015-12-29,77.65
2015-12-30,77.35
2015-12-31,76.05
