Date,BEDMUTHA
2015-01-01,18.0
2015-01-02,17.8
2015-01-05,18.7
2015-01-06,18.5
2015-01-07,17.7
2015-01-08,18.5
2015-01-09,17.95
2015-01-12,17.55
2015-01-13,20.35
2015-01-14,20.95
2015-01-15,18.65
2015-01-16,19.7
2015-01-19,19.45
2015-01-20,18.5
2015-01-21,18.6
2015-01-22,18.4
2015-01-23,17.9
2015-01-27,18.25
2015-01-28,17.9
2015-01-29,18.0
2015-01-30,17.55
2015-02-02,18.05
2015-02-03,18.2
2015-02-04,18.1
2015-02-05,18.05
2015-02-06,17.65
2015-02-09,17.05
2015-02-10,17.65
2015-02-11,17.6
2015-02-12,17.65
2015-02-13,17.0
2015-02-16,16.4
2015-02-18,16.35
2015-02-19,16.6
2015-02-20,17.35
2015-02-23,16.7
2015-02-24,16.8
2015-02-25,16.9
2015-02-26,16.75
2015-02-27,16.65
2015-02-28,16.95
2015-03-02,16.85
2015-03-03,16.75
2015-03-04,16.25
2015-03-05,16.6
2015-03-09,16.3
2015-03-10,16.6
2015-03-11,16.6
2015-03-12,17.65
2015-03-13,17.25
2015-03-16,16.85
2015-03-17,16.9
2015-03-18,16.4
2015-03-19,16.25
2015-03-20,16.0
2015-03-23,16.8
2015-03-24,16.05
2015-03-25,15.75
2015-03-26,15.85
2015-03-27,15.25
2015-03-30,15.55
2015-03-31,16.0
2015-04-01,17.95
2015-04-06,17.75
2015-04-07,19.45
2015-04-08,18.95
2015-04-09,18.2
2015-04-10,19.3
2015-04-13,19.4
2015-04-15,18.9
2015-04-16,18.8
2015-04-17,17.95
2015-04-20,16.25
2015-04-21,16.95
2015-04-22,17.6
2015-04-23,17.15
2015-04-24,16.7
2015-04-27,16.45
2015-04-28,16.2
2015-04-29,16.5
2015-04-30,16.3
2015-05-04,17.0
2015-05-05,17.25
2015-05-06,16.2
2015-05-07,15.35
2015-05-08,15.9
2015-05-11,16.6
2015-05-12,15.75
2015-05-13,15.9
2015-05-14,16.25
2015-05-15,15.7
2015-05-18,15.85
2015-05-19,15.7
2015-05-20,16.25
2015-05-21,15.75
2015-05-22,16.35
2015-05-25,13.9
2015-05-26,14.15
2015-05-27,13.95
2015-05-28,14.45
2015-05-29,13.4
2015-06-01,13.2
2015-06-02,13.25
2015-06-03,12.1
2015-06-04,11.55
2015-06-05,12.05
2015-06-08,11.75
2015-06-09,11.85
2015-06-10,12.35
2015-06-11,12.25
2015-06-12,12.25
2015-06-15,12.75
2015-06-16,12.45
2015-06-17,12.5
2015-06-18,12.5
2015-06-19,13.55
2015-06-22,13.9
2015-06-23,13.5
2015-06-24,13.9
2015-06-25,13.45
2015-06-26,13.8
2015-06-29,13.25
2015-06-30,13.6
2015-07-01,13.25
2015-07-02,13.15
2015-07-03,13.1
2015-07-06,13.4
2015-07-07,13.3
2015-07-08,13.35
2015-07-09,13.65
2015-07-10,13.25
2015-07-13,13.1
2015-07-14,13.35
2015-07-15,13.4
2015-07-16,13.4
2015-07-17,13.4
2015-07-20,13.2
2015-07-21,13.45
2015-07-22,13.05
2015-07-23,13.0
2015-07-24,13.3
2015-07-27,12.7
2015-07-28,13.35
2015-07-29,12.9
2015-07-30,14.9
2015-07-31,14.6
2015-08-03,14.6
2015-08-04,14.8
2015-08-05,16.2
2015-08-06,17.45
2015-08-07,17.1
2015-08-10,16.55
2015-08-11,15.55
2015-08-12,13.95
2015-08-13,13.6
2015-08-14,13.8
2015-08-17,13.6
2015-08-18,13.65
2015-08-19,13.9
2015-08-20,13.5
2015-08-21,13.05
2015-08-24,12.8
2015-08-25,12.5
2015-08-26,12.55
2015-08-27,12.2
2015-08-28,12.5
2015-08-31,12.65
2015-09-01,12.0
2015-09-02,12.05
2015-09-03,12.1
2015-09-04,11.7
2015-09-07,11.8
2015-09-08,11.4
2015-09-09,11.7
2015-09-10,11.8
2015-09-11,11.9
2015-09-14,12.0
2015-09-15,12.1
2015-09-16,12.35
2015-09-18,11.8
2015-09-21,12.15
2015-09-22,12.5
2015-09-23,12.0
2015-09-24,12.35
2015-09-28,12.8
2015-09-29,12.6
2015-09-30,12.4
2015-10-01,11.95
2015-10-05,12.65
2015-10-06,13.0
2015-10-07,12.95
2015-10-08,12.55
2015-10-09,12.65
2015-10-12,12.75
2015-10-13,13.1
2015-10-14,13.0
2015-10-15,12.8
2015-10-16,12.8
2015-10-19,13.5
2015-10-20,12.8
2015-10-21,13.1
2015-10-23,13.3
2015-10-26,13.45
2015-10-27,13.5
2015-10-28,13.5
2015-10-29,13.65
2015-10-30,13.65
2015-11-02,13.5
2015-11-03,12.6
2015-11-04,12.75
2015-11-05,12.75
2015-11-06,12.5
2015-11-09,12.85
2015-11-10,13.0
2015-11-11,12.9
2015-11-13,12.9
2015-11-16,12.95
2015-11-17,12.9
2015-11-18,13.1
2015-11-19,12.85
2015-11-20,13.3
2015-11-23,12.95
2015-11-24,13.4
2015-11-26,13.5
2015-11-27,13.8
2015-11-30,13.55
2015-12-01,14.15
2015-12-02,15.05
2015-12-03,15.75
2015-12-04,14.95
2015-12-07,15.0
2015-12-08,14.05
2015-12-09,13.7
2015-12-10,14.5
2015-12-11,14.15
2015-12-14,14.8
2015-12-15,13.8
2015-12-16,14.2
2015-12-17,15.25
2015-12-18,14.95
2015-12-21,15.3
2015-12-22,15.75
2015-12-23,16.1
2015-12-24,15.55
2015-12-28,16.4
2015-12-29,16.4
2015-12-30,16.85
2015-12-31,17.0
