Date,A2ZINFRA
2015-01-01,18.0
2015-01-02,19.05
2015-01-05,20.95
2015-01-06,20.95
2015-01-07,21.95
2015-01-08,21.8
2015-01-09,21.1
2015-01-12,20.05
2015-01-13,20.15
2015-01-14,20.15
2015-01-15,20.1
2015-01-16,19.7
2015-01-19,19.4
2015-01-20,18.95
2015-01-21,18.0
2015-01-22,18.45
2015-01-23,18.1
2015-01-27,17.75
2015-01-28,16.65
2015-01-29,16.0
2015-01-30,16.05
2015-02-02,15.95
2015-02-03,15.95
2015-02-04,15.8
2015-02-05,15.75
2015-02-06,15.15
2015-02-09,15.05
2015-02-10,14.85
2015-02-11,13.9
2015-02-12,14.5
2015-02-13,13.95
2015-02-16,14.0
2015-02-18,14.35
2015-02-19,17.2
2015-02-20,18.0
2015-02-23,17.1
2015-02-24,16.35
2015-02-25,17.4
2015-02-26,19.05
2015-02-27,20.5
2015-02-28,19.6
2015-03-02,18.4
2015-03-03,19.75
2015-03-04,18.6
2015-03-05,19.35
2015-03-09,18.6
2015-03-10,18.25
2015-03-11,17.55
2015-03-12,17.95
2015-03-13,17.45
2015-03-16,16.95
2015-03-17,16.6
2015-03-18,17.05
2015-03-19,16.5
2015-03-20,15.95
2015-03-23,16.3
2015-03-24,15.75
2015-03-25,15.4
2015-03-26,15.2
2015-03-27,14.6
2015-03-30,15.25
2015-03-31,15.3
2015-04-01,16.0
2015-04-06,16.5
2015-04-07,16.75
2015-04-08,17.0
2015-04-09,18.55
2015-04-10,18.3
2015-04-13,18.6
2015-04-15,18.35
2015-04-16,17.95
2015-04-17,17.1
2015-04-20,16.9
2015-04-21,16.4
2015-04-22,16.6
2015-04-23,16.6
2015-04-24,15.55
2015-04-27,14.8
2015-04-28,15.5
2015-04-29,15.55
2015-04-30,15.65
2015-05-04,16.95
2015-05-05,16.3
2015-05-06,15.6
2015-05-07,15.15
2015-05-08,15.8
2015-05-11,15.6
2015-05-12,15.05
2015-05-13,15.85
2015-05-14,15.95
2015-05-15,15.65
2015-05-18,15.9
2015-05-19,17.25
2015-05-20,16.5
2015-05-21,16.3
2015-05-22,16.15
2015-05-25,15.6
2015-05-26,16.0
2015-05-27,15.0
2015-05-28,14.65
2015-05-29,15.0
2015-06-01,14.6
2015-06-02,14.35
2015-06-03,13.55
2015-06-04,13.75
2015-06-05,13.55
2015-06-08,13.2
2015-06-09,12.9
2015-06-10,13.05
2015-06-11,12.65
2015-06-12,12.45
2015-06-15,12.7
2015-06-16,12.95
2015-06-17,13.15
2015-06-18,13.85
2015-06-19,13.9
2015-06-22,14.3
2015-06-23,15.8
2015-06-24,16.35
2015-06-25,16.4
2015-06-26,16.05
2015-06-29,15.05
2015-06-30,14.95
2015-07-01,15.25
2015-07-02,15.35
2015-07-03,15.5
2015-07-06,18.2
2015-07-07,21.55
2015-07-08,20.6
2015-07-09,22.65
2015-07-10,22.75
2015-07-13,25.0
2015-07-14,24.9
2015-07-15,25.3
2015-07-16,25.2
2015-07-17,27.7
2015-07-20,30.45
2015-07-21,29.45
2015-07-22,30.95
2015-07-23,31.4
2015-07-24,29.85
2015-07-27,28.4
2015-07-28,28.0
2015-07-29,28.2
2015-07-30,28.65
2015-07-31,29.0
2015-08-03,29.05
2015-08-04,29.35
2015-08-05,30.8
2015-08-06,29.7
2015-08-07,27.4
2015-08-10,27.55
2015-08-11,27.15
2015-08-12,25.3
2015-08-13,24.45
2015-08-14,26.5
2015-08-17,27.35
2015-08-18,26.9
2015-08-19,26.7
2015-08-20,25.05
2015-08-21,24.9
2015-08-24,22.45
2015-08-25,23.15
2015-08-26,22.45
2015-08-27,23.2
2015-08-28,23.0
2015-08-31,22.9
2015-09-01,21.75
2015-09-02,21.8
2015-09-03,22.0
2015-09-04,20.4
2015-09-07,19.35
2015-09-08,20.1
2015-09-09,21.65
2015-09-10,21.55
2015-09-11,21.8
2015-09-14,21.9
2015-09-15,21.65
2015-09-16,21.5
2015-09-18,22.05
2015-09-21,22.9
2015-09-22,21.9
2015-09-23,24.35
2015-09-24,24.75
2015-09-28,23.9
2015-09-29,24.7
2015-09-30,24.3
2015-10-01,23.95
2015-10-05,24.15
2015-10-06,24.45
2015-10-07,24.9
2015-10-08,25.45
2015-10-09,26.6
2015-10-12,25.55
2015-10-13,25.45
2015-10-14,25.2
2015-10-15,25.0
2015-10-16,25.0
2015-10-19,26.1
2015-10-20,25.65
2015-10-21,26.15
2015-10-23,25.6
2015-10-26,25.0
2015-10-27,24.6
2015-10-28,24.65
2015-10-29,24.7
2015-10-30,24.75
2015-11-02,24.3
2015-11-03,24.15
2015-11-04,24.05
2015-11-05,23.25
2015-11-06,23.3
2015-11-09,24.3
2015-11-10,24.45
2015-11-11,25.85
2015-11-13,25.45
2015-11-16,25.0
2015-11-17,24.95
2015-11-18,25.45
2015-11-19,25.85
2015-11-20,25.7
2015-11-23,27.45
2015-11-24,27.4
2015-11-26,27.2
2015-11-27,27.0
2015-11-30,27.45
2015-12-01,27.5
2015-12-02,26.45
2015-12-03,25.55
2015-12-04,25.2
2015-12-07,25.0
2015-12-08,24.9
2015-12-09,24.3
2015-12-10,24.2
2015-12-11,23.3
2015-12-14,22.9
2015-12-15,23.3
2015-12-16,23.1
2015-12-17,24.4
2015-12-18,24.25
2015-12-21,24.65
2015-12-22,25.6
2015-12-23,25.85
2015-12-24,28.3
2015-12-28,27.25
2015-12-29,27.2
2015-12-30,26.5
2015-12-31,26.8
