Date,BURNPUR
2015-01-01,9.65
2015-01-02,9.45
2015-01-05,9.25
2015-01-06,8.8
2015-01-07,8.65
2015-01-08,9.2
2015-01-09,9.65
2015-01-12,10.95
2015-01-13,11.95
2015-01-14,11.55
2015-01-15,11.5
2015-01-16,11.2
2015-01-19,11.3
2015-01-20,11.55
2015-01-21,11.1
2015-01-22,10.8
2015-01-23,10.35
2015-01-27,10.2
2015-01-28,10.15
2015-01-29,10.1
2015-01-30,10.45
2015-02-02,10.25
2015-02-03,10.2
2015-02-04,10.3
2015-02-05,9.95
2015-02-06,9.95
2015-02-09,9.6
2015-02-10,9.7
2015-02-11,9.8
2015-02-12,9.9
2015-02-13,9.9
2015-02-16,9.85
2015-02-18,9.75
2015-02-19,9.85
2015-02-20,9.9
2015-02-23,9.9
2015-02-24,9.75
2015-02-25,9.65
2015-02-26,9.4
2015-02-27,9.65
2015-02-28,9.9
2015-03-02,9.9
2015-03-03,9.75
2015-03-04,9.7
2015-03-05,9.4
2015-03-09,9.1
2015-03-10,9.05
2015-03-11,8.2
2015-03-12,8.8
2015-03-13,9.15
2015-03-16,9.1
2015-03-17,8.95
2015-03-18,8.9
2015-03-19,9.1
2015-03-20,8.75
2015-03-23,8.55
2015-03-24,8.5
2015-03-25,8.4
2015-03-26,8.1
2015-03-27,7.6
2015-03-30,8.55
2015-03-31,9.2
2015-04-01,9.15
2015-04-06,9.6
2015-04-07,9.5
2015-04-08,9.3
2015-04-09,9.05
2015-04-10,9.35
2015-04-13,9.05
2015-04-15,8.85
2015-04-16,8.95
2015-04-17,8.8
2015-04-20,8.7
2015-04-21,8.55
2015-04-22,8.55
2015-04-23,8.5
2015-04-24,8.35
2015-04-27,8.3
2015-04-28,8.0
2015-04-29,8.0
2015-04-30,7.9
2015-05-04,8.55
2015-05-05,8.55
2015-05-06,8.25
2015-05-07,8.05
2015-05-08,7.9
2015-05-11,8.1
2015-05-12,8.0
2015-05-13,8.15
2015-05-14,7.95
2015-05-15,7.95
2015-05-18,8.05
2015-05-19,7.95
2015-05-20,8.0
2015-05-21,8.0
2015-05-22,7.85
2015-05-25,7.8
2015-05-26,7.9
2015-05-27,7.75
2015-05-28,7.9
2015-05-29,7.85
2015-06-01,7.85
2015-06-02,7.8
2015-06-03,7.4
2015-06-04,7.65
2015-06-05,7.6
2015-06-08,7.6
2015-06-09,7.4
2015-06-10,7.9
2015-06-11,7.6
2015-06-12,7.4
2015-06-15,7.35
2015-06-16,7.45
2015-06-17,7.55
2015-06-18,7.8
2015-06-19,7.85
2015-06-22,7.9
2015-06-23,7.85
2015-06-24,7.9
2015-06-25,7.85
2015-06-26,7.8
2015-06-29,7.55
2015-06-30,7.7
2015-07-01,7.65
2015-07-02,7.65
2015-07-03,7.65
2015-07-06,7.6
2015-07-07,7.9
2015-07-08,7.7
2015-07-09,7.95
2015-07-10,8.25
2015-07-13,8.75
2015-07-14,8.75
2015-07-15,8.4
2015-07-16,8.35
2015-07-17,8.4
2015-07-20,8.3
2015-07-21,8.35
2015-07-22,8.15
2015-07-23,8.75
2015-07-24,8.65
2015-07-27,8.45
2015-07-28,8.9
2015-07-29,9.05
2015-07-30,8.95
2015-07-31,9.35
2015-08-03,11.2
2015-08-04,11.35
2015-08-05,10.95
2015-08-06,10.6
2015-08-07,10.35
2015-08-10,10.15
2015-08-11,9.7
2015-08-12,9.95
2015-08-13,9.25
2015-08-14,9.75
2015-08-17,9.8
2015-08-18,9.35
2015-08-19,9.25
2015-08-20,8.9
2015-08-21,8.75
2015-08-24,8.1
2015-08-25,7.75
2015-08-26,8.05
2015-08-27,8.45
2015-08-28,8.65
2015-08-31,8.8
2015-09-01,8.4
2015-09-02,8.2
2015-09-03,8.2
2015-09-04,8.0
2015-09-07,7.95
2015-09-08,8.0
2015-09-09,8.15
2015-09-10,9.15
2015-09-11,8.75
2015-09-14,8.9
2015-09-15,8.9
2015-09-16,8.8
2015-09-18,8.85
2015-09-21,9.05
2015-09-22,8.8
2015-09-23,8.65
2015-09-24,8.85
2015-09-28,8.7
2015-09-29,8.75
2015-09-30,8.6
2015-10-01,8.5
2015-10-05,8.65
2015-10-06,8.65
2015-10-07,9.35
2015-10-08,9.2
2015-10-09,9.25
2015-10-12,8.95
2015-10-13,8.85
2015-10-14,8.85
2015-10-15,9.35
2015-10-16,9.3
2015-10-19,9.0
2015-10-20,8.95
2015-10-21,8.95
2015-10-23,8.95
2015-10-26,9.0
2015-10-27,8.95
2015-10-28,8.85
2015-10-29,8.9
2015-10-30,8.75
2015-11-02,8.7
2015-11-03,8.75
2015-11-04,8.75
2015-11-05,8.65
2015-11-06,8.6
2015-11-09,8.55
2015-11-10,8.5
2015-11-11,8.55
2015-11-13,8.45
2015-11-16,8.5
2015-11-17,8.3
2015-11-18,8.3
2015-11-19,8.2
2015-11-20,8.25
2015-11-23,8.4
2015-11-24,8.5
2015-11-26,8.7
2015-11-27,8.6
2015-11-30,8.65
2015-12-01,8.75
2015-12-02,8.8
2015-12-03,8.55
2015-12-04,8.8
2015-12-07,9.2
2015-12-08,8.85
2015-12-09,8.7
2015-12-10,8.6
2015-12-11,8.7
2015-12-14,8.55
2015-12-15,8.5
2015-12-16,8.45
2015-12-17,9.0
2015-12-18,9.05
2015-12-21,9.05
2015-12-22,9.45
2015-12-23,9.1
2015-12-24,9.2
2015-12-28,9.3
2015-12-29,9.2
2015-12-30,9.4
2015-12-31,9.3
