Date,KSBPUMPS
2015-01-01,644.3
2015-01-02,641.95
2015-01-05,629.0
2015-01-06,608.9
2015-01-07,602.9
2015-01-08,625.3
2015-01-09,626.15
2015-01-12,624.8
2015-01-13,611.65
2015-01-14,605.75
2015-01-15,615.55
2015-01-16,619.55
2015-01-19,624.7
2015-01-20,641.45
2015-01-21,642.5
2015-01-22,639.0
2015-01-23,638.95
2015-01-27,679.5
2015-01-28,692.45
2015-01-29,696.1
2015-01-30,690.15
2015-02-02,693.2
2015-02-03,724.5
2015-02-04,736.75
2015-02-05,721.75
2015-02-06,711.6
2015-02-09,693.9
2015-02-10,691.25
2015-02-11,707.3
2015-02-12,732.45
2015-02-13,711.3
2015-02-16,716.9
2015-02-18,727.15
2015-02-19,721.7
2015-02-20,722.15
2015-02-23,702.0
2015-02-24,701.3
2015-02-25,689.3
2015-02-26,679.4
2015-02-27,689.6
2015-02-28,687.1
2015-03-02,695.15
2015-03-03,679.65
2015-03-04,678.6
2015-03-05,694.65
2015-03-09,706.4
2015-03-10,708.0
2015-03-11,689.65
2015-03-12,689.9
2015-03-13,691.05
2015-03-16,682.7
2015-03-17,680.0
2015-03-18,700.35
2015-03-19,689.6
2015-03-20,679.4
2015-03-23,682.05
2015-03-24,661.85
2015-03-25,663.9
2015-03-26,649.2
2015-03-27,695.45
2015-03-30,720.75
2015-03-31,747.9
2015-04-01,733.3
2015-04-06,697.25
2015-04-07,687.0
2015-04-08,692.1
2015-04-09,689.4
2015-04-10,692.15
2015-04-13,695.05
2015-04-15,688.0
2015-04-16,686.85
2015-04-17,676.9
2015-04-20,654.8
2015-04-21,656.25
2015-04-22,646.9
2015-04-23,617.15
2015-04-24,601.6
2015-04-27,577.2
2015-04-28,584.1
2015-04-29,585.5
2015-04-30,568.55
2015-05-04,574.75
2015-05-05,573.3
2015-05-06,566.7
2015-05-07,557.35
2015-05-08,568.4
2015-05-11,570.15
2015-05-12,565.25
2015-05-13,576.45
2015-05-14,581.15
2015-05-15,579.0
2015-05-18,560.2
2015-05-19,565.0
2015-05-20,570.75
2015-05-21,570.05
2015-05-22,586.05
2015-05-25,596.6
2015-05-26,592.3
2015-05-27,577.65
2015-05-28,573.1
2015-05-29,574.75
2015-06-01,573.5
2015-06-02,570.7
2015-06-03,565.5
2015-06-04,551.3
2015-06-05,581.8
2015-06-08,574.9
2015-06-09,563.9
2015-06-10,566.65
2015-06-11,557.4
2015-06-12,551.75
2015-06-15,554.9
2015-06-16,555.6
2015-06-17,557.1
2015-06-18,559.8
2015-06-19,568.0
2015-06-22,570.05
2015-06-23,582.8
2015-06-24,582.85
2015-06-25,580.6
2015-06-26,580.2
2015-06-29,588.15
2015-06-30,619.65
2015-07-01,623.35
2015-07-02,611.0
2015-07-03,606.45
2015-07-06,601.1
2015-07-07,609.95
2015-07-08,600.25
2015-07-09,603.25
2015-07-10,600.05
2015-07-13,604.85
2015-07-14,605.15
2015-07-15,598.25
2015-07-16,604.5
2015-07-17,604.3
2015-07-20,600.8
2015-07-21,590.95
2015-07-22,599.1
2015-07-23,608.55
2015-07-24,607.4
2015-07-27,607.85
2015-07-28,603.1
2015-07-29,607.75
2015-07-30,624.6
2015-07-31,623.05
2015-08-03,609.95
2015-08-04,632.2
2015-08-05,642.65
2015-08-06,627.9
2015-08-07,621.85
2015-08-10,628.35
2015-08-11,611.05
2015-08-12,596.0
2015-08-13,606.15
2015-08-14,616.85
2015-08-17,609.0
2015-08-18,603.65
2015-08-19,620.35
2015-08-20,609.85
2015-08-21,618.5
2015-08-24,588.5
2015-08-25,580.9
2015-08-26,576.15
2015-08-27,602.8
2015-08-28,604.0
2015-08-31,596.85
2015-09-01,575.8
2015-09-02,561.8
2015-09-03,564.2
2015-09-04,559.35
2015-09-07,555.25
2015-09-08,547.25
2015-09-09,560.5
2015-09-10,552.35
2015-09-11,590.25
2015-09-14,590.8
2015-09-15,574.6
2015-09-16,591.0
2015-09-18,582.9
2015-09-21,572.65
2015-09-22,572.65
2015-09-23,567.55
2015-09-24,569.95
2015-09-28,580.8
2015-09-29,582.5
2015-09-30,591.6
2015-10-01,591.0
2015-10-05,598.05
2015-10-06,585.6
2015-10-07,582.4
2015-10-08,585.4
2015-10-09,575.1
2015-10-12,583.15
2015-10-13,589.55
2015-10-14,591.05
2015-10-15,594.5
2015-10-16,594.55
2015-10-19,599.3
2015-10-20,599.4
2015-10-21,600.1
2015-10-23,596.75
2015-10-26,600.3
2015-10-27,600.7
2015-10-28,600.15
2015-10-29,600.0
2015-10-30,607.2
2015-11-02,600.35
2015-11-03,602.25
2015-11-04,602.3
2015-11-05,588.55
2015-11-06,587.75
2015-11-09,600.2
2015-11-10,585.7
2015-11-11,592.85
2015-11-13,579.35
2015-11-16,567.85
2015-11-17,567.1
2015-11-18,558.3
2015-11-19,583.55
2015-11-20,582.4
2015-11-23,574.0
2015-11-24,586.5
2015-11-26,588.25
2015-11-27,576.15
2015-11-30,574.95
2015-12-01,569.0
2015-12-02,567.15
2015-12-03,565.4
2015-12-04,594.15
2015-12-07,583.15
2015-12-08,587.85
2015-12-09,565.05
2015-12-10,572.15
2015-12-11,574.5
2015-12-14,575.5
2015-12-15,577.85
2015-12-16,582.05
2015-12-17,579.55
2015-12-18,576.15
2015-12-21,582.4
2015-12-22,576.0
2015-12-23,575.85
2015-12-24,577.35
2015-12-28,576.35
2015-12-29,576.5
2015-12-30,596.55
2015-12-31,622.25
