Date,METALFORGE
2015-01-01,341.4
2015-01-02,355.4
2015-01-05,364.15
2015-01-06,329.95
2015-01-07,321.7
2015-01-08,334.45
2015-01-09,337.65
2015-01-12,346.9
2015-01-13,338.15
2015-01-14,335.15
2015-01-15,340.25
2015-01-16,339.85
2015-01-19,340.95
2015-01-20,347.1
2015-01-21,346.45
2015-01-22,341.4
2015-01-23,337.3
2015-01-27,329.35
2015-01-28,337.1
2015-01-29,331.2
2015-01-30,323.6
2015-02-02,322.85
2015-02-03,316.75
2015-02-04,318.95
2015-02-05,314.15
2015-02-06,295.15
2015-02-09,279.8
2015-02-10,295.2
2015-02-11,308.45
2015-02-12,311.4
2015-02-13,296.05
2015-02-16,293.35
2015-02-18,286.25
2015-02-19,299.9
2015-02-20,296.25
2015-02-23,288.75
2015-02-24,284.85
2015-02-25,277.1
2015-02-26,275.35
2015-02-27,276.5
2015-02-28,272.55
2015-03-02,273.25
2015-03-03,280.0
2015-03-04,273.8
2015-03-05,266.5
2015-03-09,269.65
2015-03-10,267.6
2015-03-11,260.0
2015-03-12,262.4
2015-03-13,268.15
2015-03-16,274.9
2015-03-17,270.3
2015-03-18,262.6
2015-03-19,256.9
2015-03-20,252.45
2015-03-23,222.6
2015-03-24,214.75
2015-03-25,213.05
2015-03-26,205.45
2015-03-27,203.55
2015-03-30,206.7
2015-03-31,227.8
2015-04-01,231.45
2015-04-06,236.85
2015-04-07,243.25
2015-04-08,240.05
2015-04-09,242.1
2015-04-10,259.05
2015-04-13,297.95
2015-04-15,316.95
2015-04-16,298.55
2015-04-17,282.85
2015-04-20,262.0
2015-04-21,259.85
2015-04-22,261.3
2015-04-23,252.55
2015-04-24,241.4
2015-04-27,223.85
2015-04-28,234.4
2015-04-29,229.05
2015-04-30,229.1
2015-05-04,238.05
2015-05-05,238.2
2015-05-06,229.65
2015-05-07,218.95
2015-05-08,222.15
2015-05-11,224.2
2015-05-12,216.65
2015-05-13,217.9
2015-05-14,221.5
2015-05-15,185.15
2015-05-18,184.1
2015-05-19,186.9
2015-05-20,184.35
2015-05-21,182.05
2015-05-22,178.95
2015-05-25,181.35
2015-05-26,178.95
2015-05-27,177.45
2015-05-28,180.1
2015-05-29,182.4
2015-06-01,179.55
2015-06-02,173.5
2015-06-03,162.05
2015-06-04,156.2
2015-06-05,153.25
2015-06-08,145.2
2015-06-09,138.15
2015-06-10,155.55
2015-06-11,152.15
2015-06-12,144.55
2015-06-15,146.75
2015-06-16,147.45
2015-06-17,144.9
2015-06-18,137.55
2015-06-19,137.4
2015-06-22,141.05
2015-06-23,139.4
2015-06-24,137.35
2015-06-25,130.1
2015-06-26,130.25
2015-06-29,124.9
2015-06-30,125.3
2015-07-01,137.15
2015-07-02,140.4
2015-07-03,138.8
2015-07-06,140.9
2015-07-07,139.5
2015-07-08,135.55
2015-07-09,131.3
2015-07-10,132.3
2015-07-13,133.55
2015-07-14,140.45
2015-07-15,146.05
2015-07-16,146.4
2015-07-17,149.35
2015-07-20,146.55
2015-07-21,139.2
2015-07-22,140.1
2015-07-23,139.75
2015-07-24,135.15
2015-07-27,128.1
2015-07-28,127.55
2015-07-29,126.75
2015-07-30,124.8
2015-07-31,123.95
2015-08-03,125.0
2015-08-04,124.0
2015-08-05,128.5
2015-08-06,130.5
2015-08-07,127.7
2015-08-10,128.35
2015-08-11,123.45
2015-08-12,117.8
2015-08-13,104.35
2015-08-14,104.9
2015-08-17,89.3
2015-08-18,90.2
2015-08-19,82.4
2015-08-20,74.2
2015-08-21,68.9
2015-08-24,65.5
2015-08-25,62.25
2015-08-26,59.15
2015-08-27,57.1
2015-08-28,56.5
2015-08-31,53.7
2015-09-01,51.05
2015-09-02,48.5
2015-09-03,46.1
2015-09-04,43.8
2015-09-07,41.65
2015-09-08,39.6
2015-09-09,37.65
2015-09-10,35.8
2015-09-11,37.55
2015-09-14,39.4
2015-09-15,41.35
2015-09-16,43.4
2015-09-18,45.4
2015-09-21,47.65
2015-09-22,50.0
2015-09-23,52.5
2015-09-24,55.1
2015-09-28,57.85
2015-09-29,60.7
2015-09-30,63.7
2015-10-01,66.85
2015-10-05,70.15
2015-10-06,73.65
2015-10-07,75.2
2015-10-08,71.45
2015-10-09,67.9
2015-10-12,64.55
2015-10-13,61.35
2015-10-14,64.4
2015-10-15,67.6
2015-10-16,65.3
2015-10-19,68.55
2015-10-20,68.2
2015-10-21,66.0
2015-10-23,64.0
2015-10-26,61.0
2015-10-27,62.45
2015-10-28,60.95
2015-10-29,59.2
2015-10-30,57.8
2015-11-02,56.5
2015-11-03,59.3
2015-11-04,59.4
2015-11-05,57.4
2015-11-06,56.8
2015-11-09,56.35
2015-11-10,56.1
2015-11-11,57.85
2015-11-13,55.55
2015-11-16,54.85
2015-11-17,54.15
2015-11-18,53.75
2015-11-19,53.95
2015-11-20,53.9
2015-11-23,54.3
2015-11-24,52.45
2015-11-26,57.65
2015-11-27,59.75
2015-11-30,57.15
2015-12-01,59.05
2015-12-02,61.25
2015-12-03,66.35
2015-12-04,77.2
2015-12-07,91.2
2015-12-08,98.45
2015-12-09,88.65
2015-12-10,83.55
2015-12-11,77.95
2015-12-14,77.8
2015-12-15,77.85
2015-12-16,76.5
2015-12-17,78.0
2015-12-18,75.95
2015-12-21,76.3
2015-12-22,75.75
2015-12-23,75.55
2015-12-24,78.15
2015-12-28,80.0
2015-12-29,79.3
2015-12-30,77.85
2015-12-31,76.55
