Date,NOCIL
2015-01-01,36.25
2015-01-02,36.25
2015-01-05,35.9
2015-01-06,34.35
2015-01-07,34.0
2015-01-08,35.5
2015-01-09,39.85
2015-01-12,38.15
2015-01-13,38.6
2015-01-14,38.0
2015-01-15,38.95
2015-01-16,37.8
2015-01-19,37.85
2015-01-20,38.4
2015-01-21,38.95
2015-01-22,41.8
2015-01-23,40.8
2015-01-27,42.15
2015-01-28,41.0
2015-01-29,41.25
2015-01-30,40.2
2015-02-02,39.4
2015-02-03,38.05
2015-02-04,38.1
2015-02-05,37.75
2015-02-06,36.6
2015-02-09,35.55
2015-02-10,35.6
2015-02-11,36.55
2015-02-12,38.25
2015-02-13,39.2
2015-02-16,37.8
2015-02-18,38.4
2015-02-19,37.65
2015-02-20,37.15
2015-02-23,36.25
2015-02-24,36.1
2015-02-25,35.35
2015-02-26,34.6
2015-02-27,35.45
2015-02-28,35.3
2015-03-02,35.95
2015-03-03,38.8
2015-03-04,36.4
2015-03-05,36.95
2015-03-09,36.4
2015-03-10,38.0
2015-03-11,36.95
2015-03-12,36.9
2015-03-13,35.9
2015-03-16,35.3
2015-03-17,36.55
2015-03-18,36.5
2015-03-19,36.25
2015-03-20,35.3
2015-03-23,35.25
2015-03-24,36.1
2015-03-25,35.6
2015-03-26,35.0
2015-03-27,35.8
2015-03-30,37.9
2015-03-31,37.5
2015-04-01,39.85
2015-04-06,39.85
2015-04-07,41.55
2015-04-08,41.55
2015-04-09,43.2
2015-04-10,42.55
2015-04-13,44.55
2015-04-15,43.3
2015-04-16,42.05
2015-04-17,41.7
2015-04-20,40.2
2015-04-21,39.65
2015-04-22,39.65
2015-04-23,40.6
2015-04-24,39.7
2015-04-27,38.55
2015-04-28,39.85
2015-04-29,41.05
2015-04-30,39.8
2015-05-04,40.8
2015-05-05,40.05
2015-05-06,38.35
2015-05-07,37.45
2015-05-08,41.05
2015-05-11,40.5
2015-05-12,39.2
2015-05-13,39.85
2015-05-14,40.25
2015-05-15,40.95
2015-05-18,43.6
2015-05-19,42.8
2015-05-20,42.25
2015-05-21,41.5
2015-05-22,42.0
2015-05-25,40.95
2015-05-26,40.8
2015-05-27,40.4
2015-05-28,41.35
2015-05-29,40.75
2015-06-01,41.85
2015-06-02,41.85
2015-06-03,39.75
2015-06-04,39.5
2015-06-05,39.65
2015-06-08,39.25
2015-06-09,39.3
2015-06-10,40.2
2015-06-11,39.4
2015-06-12,39.4
2015-06-15,39.6
2015-06-16,40.5
2015-06-17,40.9
2015-06-18,42.65
2015-06-19,48.0
2015-06-22,46.6
2015-06-23,50.4
2015-06-24,48.6
2015-06-25,48.55
2015-06-26,48.45
2015-06-29,47.45
2015-06-30,51.8
2015-07-01,52.75
2015-07-02,51.85
2015-07-03,50.75
2015-07-06,49.9
2015-07-07,50.0
2015-07-08,49.1
2015-07-09,49.05
2015-07-10,49.0
2015-07-13,51.05
2015-07-14,52.15
2015-07-15,52.8
2015-07-16,54.65
2015-07-17,53.3
2015-07-20,53.85
2015-07-21,51.85
2015-07-22,53.85
2015-07-23,50.95
2015-07-24,48.6
2015-07-27,48.6
2015-07-28,47.85
2015-07-29,49.2
2015-07-30,49.15
2015-07-31,48.25
2015-08-03,48.45
2015-08-04,51.4
2015-08-05,51.05
2015-08-06,49.9
2015-08-07,49.35
2015-08-10,49.0
2015-08-11,47.75
2015-08-12,45.9
2015-08-13,44.0
2015-08-14,45.45
2015-08-17,47.85
2015-08-18,48.3
2015-08-19,47.35
2015-08-20,45.9
2015-08-21,44.95
2015-08-24,39.0
2015-08-25,40.65
2015-08-26,40.3
2015-08-27,41.9
2015-08-28,40.45
2015-08-31,40.85
2015-09-01,38.55
2015-09-02,39.8
2015-09-03,40.55
2015-09-04,38.95
2015-09-07,37.9
2015-09-08,37.85
2015-09-09,39.3
2015-09-10,38.05
2015-09-11,41.3
2015-09-14,42.9
2015-09-15,42.85
2015-09-16,41.4
2015-09-18,42.8
2015-09-21,43.3
2015-09-22,41.85
2015-09-23,44.2
2015-09-24,43.55
2015-09-28,42.75
2015-09-29,44.2
2015-09-30,44.9
2015-10-01,44.0
2015-10-05,46.25
2015-10-06,45.6
2015-10-07,46.1
2015-10-08,47.6
2015-10-09,46.95
2015-10-12,45.85
2015-10-13,46.5
2015-10-14,46.05
2015-10-15,46.15
2015-10-16,46.6
2015-10-19,45.95
2015-10-20,45.9
2015-10-21,49.15
2015-10-23,48.15
2015-10-26,46.9
2015-10-27,47.4
2015-10-28,50.65
2015-10-29,48.8
2015-10-30,46.85
2015-11-02,46.45
2015-11-03,48.05
2015-11-04,48.15
2015-11-05,46.55
2015-11-06,46.25
2015-11-09,47.8
2015-11-10,47.4
2015-11-11,48.4
2015-11-13,47.35
2015-11-16,47.6
2015-11-17,47.5
2015-11-18,46.85
2015-11-19,47.65
2015-11-20,49.9
2015-11-23,51.05
2015-11-24,51.95
2015-11-26,54.0
2015-11-27,53.35
2015-11-30,54.05
2015-12-01,56.6
2015-12-02,56.45
2015-12-03,55.55
2015-12-04,55.35
2015-12-07,60.35
2015-12-08,57.5
2015-12-09,55.2
2015-12-10,57.75
2015-12-11,58.0
2015-12-14,60.8
2015-12-15,62.3
2015-12-16,61.35
2015-12-17,61.05
2015-12-18,60.55
2015-12-21,61.05
2015-12-22,61.5
2015-12-23,60.75
2015-12-24,60.2
2015-12-28,60.1
2015-12-29,57.7
2015-12-30,57.35
2015-12-31,57.9
