Date,ALKALI
2015-01-01,19.65
2015-01-02,20.25
2015-01-05,21.4
2015-01-06,20.2
2015-01-07,21.45
2015-01-08,22.7
2015-01-09,23.1
2015-01-12,27.7
2015-01-13,30.2
2015-01-14,30.65
2015-01-15,30.1
2015-01-16,29.35
2015-01-19,31.2
2015-01-20,34.3
2015-01-21,37.7
2015-01-22,37.15
2015-01-23,35.05
2015-01-27,33.45
2015-01-28,36.75
2015-01-29,40.4
2015-01-30,39.4
2015-02-02,43.3
2015-02-03,45.45
2015-02-04,43.95
2015-02-05,41.8
2015-02-06,39.85
2015-02-09,37.95
2015-02-10,39.8
2015-02-11,41.5
2015-02-12,39.6
2015-02-13,38.65
2015-02-16,40.55
2015-02-18,39.5
2015-02-19,39.45
2015-02-20,39.95
2015-02-23,39.05
2015-02-24,38.85
2015-02-25,38.45
2015-02-26,40.0
2015-02-27,39.35
2015-02-28,37.95
2015-03-02,38.5
2015-03-03,38.0
2015-03-04,37.55
2015-03-05,37.35
2015-03-09,36.1
2015-03-10,36.05
2015-03-11,35.3
2015-03-12,35.2
2015-03-13,35.5
2015-03-16,34.35
2015-03-17,34.55
2015-03-18,35.6
2015-03-19,34.45
2015-03-20,34.05
2015-03-23,31.6
2015-03-24,31.8
2015-03-25,31.35
2015-03-26,32.45
2015-03-27,31.4
2015-03-30,32.35
2015-03-31,32.75
2015-04-01,33.95
2015-04-06,37.05
2015-04-07,39.85
2015-04-08,41.45
2015-04-09,47.2
2015-04-10,56.6
2015-04-13,54.0
2015-04-15,58.55
2015-04-16,56.0
2015-04-17,54.15
2015-04-20,53.2
2015-04-21,50.5
2015-04-22,49.35
2015-04-23,51.35
2015-04-24,50.9
2015-04-27,46.7
2015-04-28,50.95
2015-04-29,49.6
2015-04-30,48.6
2015-05-04,58.05
2015-05-05,63.25
2015-05-06,58.15
2015-05-07,56.35
2015-05-08,57.6
2015-05-11,49.85
2015-05-12,45.45
2015-05-13,46.05
2015-05-14,45.95
2015-05-15,46.8
2015-05-18,48.3
2015-05-19,49.75
2015-05-20,48.2
2015-05-21,49.2
2015-05-22,49.4
2015-05-25,48.75
2015-05-26,48.35
2015-05-27,47.25
2015-05-28,47.25
2015-05-29,46.85
2015-06-01,43.6
2015-06-02,42.6
2015-06-03,40.75
2015-06-04,39.6
2015-06-05,38.85
2015-06-08,39.3
2015-06-09,39.8
2015-06-10,38.65
2015-06-11,38.55
2015-06-12,36.5
2015-06-15,36.05
2015-06-16,43.1
2015-06-17,47.95
2015-06-18,52.25
2015-06-19,48.95
2015-06-22,48.2
2015-06-23,48.3
2015-06-24,47.45
2015-06-25,46.65
2015-06-26,45.9
2015-06-29,44.35
2015-06-30,45.05
2015-07-01,46.85
2015-07-02,46.9
2015-07-03,47.45
2015-07-06,47.6
2015-07-07,44.9
2015-07-08,45.3
2015-07-09,45.65
2015-07-10,44.55
2015-07-13,44.65
2015-07-14,45.65
2015-07-15,45.75
2015-07-16,46.15
2015-07-17,45.7
2015-07-20,44.6
2015-07-21,44.1
2015-07-22,45.0
2015-07-23,54.0
2015-07-24,54.9
2015-07-27,53.3
2015-07-28,50.05
2015-07-29,50.45
2015-07-30,53.25
2015-07-31,53.2
2015-08-03,53.2
2015-08-04,54.2
2015-08-05,52.75
2015-08-06,51.8
2015-08-07,50.5
2015-08-10,53.55
2015-08-11,49.4
2015-08-12,48.05
2015-08-13,46.95
2015-08-14,46.9
2015-08-17,45.8
2015-08-18,46.85
2015-08-19,46.05
2015-08-20,45.6
2015-08-21,44.1
2015-08-24,40.05
2015-08-25,38.85
2015-08-26,39.7
2015-08-27,41.25
2015-08-28,40.8
2015-08-31,39.25
2015-09-01,37.05
2015-09-02,37.2
2015-09-03,37.35
2015-09-04,37.65
2015-09-07,37.0
2015-09-08,37.0
2015-09-09,38.8
2015-09-10,39.2
2015-09-11,37.65
2015-09-14,38.65
2015-09-15,38.5
2015-09-16,38.1
2015-09-18,40.45
2015-09-21,40.6
2015-09-22,40.9
2015-09-23,39.6
2015-09-24,40.0
2015-09-28,39.75
2015-09-29,39.25
2015-09-30,38.6
2015-10-01,38.0
2015-10-05,40.0
2015-10-06,39.8
2015-10-07,39.5
2015-10-08,39.5
2015-10-09,41.4
2015-10-12,41.0
2015-10-13,42.2
2015-10-14,41.05
2015-10-15,41.4
2015-10-16,41.85
2015-10-19,40.8
2015-10-20,41.4
2015-10-21,42.35
2015-10-23,41.1
2015-10-26,40.05
2015-10-27,41.45
2015-10-28,41.35
2015-10-29,41.05
2015-10-30,41.55
2015-11-02,41.8
2015-11-03,40.15
2015-11-04,43.95
2015-11-05,42.2
2015-11-06,42.7
2015-11-09,41.5
2015-11-10,41.95
2015-11-11,43.0
2015-11-13,41.5
2015-11-16,49.8
2015-11-17,48.75
2015-11-18,48.75
2015-11-19,50.05
2015-11-20,58.55
2015-11-23,55.05
2015-11-24,56.05
2015-11-26,55.0
2015-11-27,54.9
2015-11-30,54.15
2015-12-01,54.25
2015-12-02,54.3
2015-12-03,56.2
2015-12-04,54.2
2015-12-07,55.85
2015-12-08,55.7
2015-12-09,53.8
2015-12-10,55.75
2015-12-11,54.85
2015-12-14,53.7
2015-12-15,53.3
2015-12-16,58.3
2015-12-17,61.9
2015-12-18,60.4
2015-12-21,66.4
2015-12-22,67.3
2015-12-23,68.2
2015-12-24,64.95
2015-12-28,63.7
2015-12-29,63.75
2015-12-30,64.6
2015-12-31,63.2
