Date,NMDC
2015-01-01,148.25
2015-01-02,146.95
2015-01-05,146.2
2015-01-06,139.95
2015-01-07,135.85
2015-01-08,137.55
2015-01-09,135.35
2015-01-12,133.7
2015-01-13,135.0
2015-01-14,132.7
2015-01-15,133.75
2015-01-16,135.4
2015-01-19,137.15
2015-01-20,140.7
2015-01-21,138.2
2015-01-22,137.0
2015-01-23,139.3
2015-01-27,141.15
2015-01-28,140.95
2015-01-29,140.15
2015-01-30,141.5
2015-02-02,141.35
2015-02-03,141.45
2015-02-04,140.0
2015-02-05,138.25
2015-02-06,141.05
2015-02-09,140.25
2015-02-10,139.9
2015-02-11,139.4
2015-02-12,140.25
2015-02-13,142.35
2015-02-16,146.0
2015-02-18,139.65
2015-02-19,141.6
2015-02-20,142.45
2015-02-23,137.55
2015-02-24,137.65
2015-02-25,135.95
2015-02-26,137.35
2015-02-27,143.0
2015-02-28,139.1
2015-03-02,138.2
2015-03-03,138.3
2015-03-04,132.6
2015-03-05,127.35
2015-03-09,127.7
2015-03-10,129.75
2015-03-11,128.8
2015-03-12,131.7
2015-03-13,131.2
2015-03-16,128.45
2015-03-17,129.55
2015-03-18,132.05
2015-03-19,132.85
2015-03-20,131.35
2015-03-23,128.05
2015-03-24,127.35
2015-03-25,124.3
2015-03-26,125.3
2015-03-27,125.2
2015-03-30,129.4
2015-03-31,128.75
2015-04-01,128.65
2015-04-06,128.05
2015-04-07,130.0
2015-04-08,130.25
2015-04-09,132.2
2015-04-10,135.2
2015-04-13,134.95
2015-04-15,135.05
2015-04-16,134.95
2015-04-17,133.55
2015-04-20,126.75
2015-04-21,127.25
2015-04-22,126.95
2015-04-23,124.6
2015-04-24,128.8
2015-04-27,127.0
2015-04-28,128.35
2015-04-29,127.75
2015-04-30,128.25
2015-05-04,129.95
2015-05-05,135.25
2015-05-06,130.8
2015-05-07,127.65
2015-05-08,131.0
2015-05-11,131.95
2015-05-12,129.85
2015-05-13,131.85
2015-05-14,132.95
2015-05-15,131.85
2015-05-18,133.45
2015-05-19,132.5
2015-05-20,132.25
2015-05-21,130.7
2015-05-22,129.6
2015-05-25,130.45
2015-05-26,129.5
2015-05-27,132.45
2015-05-28,131.35
2015-05-29,129.05
2015-06-01,128.7
2015-06-02,126.85
2015-06-03,122.85
2015-06-04,117.35
2015-06-05,120.1
2015-06-08,121.65
2015-06-09,121.85
2015-06-10,120.65
2015-06-11,118.15
2015-06-12,115.1
2015-06-15,115.9
2015-06-16,118.65
2015-06-17,117.95
2015-06-18,117.65
2015-06-19,119.15
2015-06-22,119.6
2015-06-23,118.55
2015-06-24,117.7
2015-06-25,117.8
2015-06-26,118.0
2015-06-29,117.6
2015-06-30,118.7
2015-07-01,118.2
2015-07-02,117.65
2015-07-03,117.75
2015-07-06,115.55
2015-07-07,115.65
2015-07-08,112.7
2015-07-09,113.95
2015-07-10,114.2
2015-07-13,115.05
2015-07-14,114.9
2015-07-15,114.9
2015-07-16,113.45
2015-07-17,113.7
2015-07-20,113.65
2015-07-21,113.65
2015-07-22,114.5
2015-07-23,114.5
2015-07-24,113.45
2015-07-27,110.65
2015-07-28,105.25
2015-07-29,104.5
2015-07-30,102.3
2015-07-31,101.9
2015-08-03,101.15
2015-08-04,101.7
2015-08-05,101.75
2015-08-06,102.65
2015-08-07,104.0
2015-08-10,104.4
2015-08-11,102.95
2015-08-12,99.85
2015-08-13,97.05
2015-08-14,97.25
2015-08-17,99.05
2015-08-18,95.4
2015-08-19,95.95
2015-08-20,93.9
2015-08-21,93.05
2015-08-24,93.35
2015-08-25,92.95
2015-08-26,92.35
2015-08-27,96.75
2015-08-28,100.0
2015-08-31,101.0
2015-09-01,99.7
2015-09-02,100.05
2015-09-03,102.85
2015-09-04,98.25
2015-09-07,93.85
2015-09-08,95.6
2015-09-09,104.2
2015-09-10,101.15
2015-09-11,100.2
2015-09-14,103.0
2015-09-15,102.15
2015-09-16,100.35
2015-09-18,103.1
2015-09-21,103.75
2015-09-22,102.35
2015-09-23,98.25
2015-09-24,94.75
2015-09-28,93.45
2015-09-29,91.3
2015-09-30,93.1
2015-10-01,93.9
2015-10-05,95.2
2015-10-06,95.05
2015-10-07,95.8
2015-10-08,95.55
2015-10-09,96.15
2015-10-12,99.1
2015-10-13,99.1
2015-10-14,98.55
2015-10-15,100.55
2015-10-16,104.9
2015-10-19,103.75
2015-10-20,101.65
2015-10-21,101.2
2015-10-23,100.5
2015-10-26,97.7
2015-10-27,98.3
2015-10-28,100.65
2015-10-29,101.65
2015-10-30,100.25
2015-11-02,95.9
2015-11-03,94.85
2015-11-04,94.7
2015-11-05,94.0
2015-11-06,92.7
2015-11-09,92.95
2015-11-10,90.75
2015-11-11,92.2
2015-11-13,91.15
2015-11-16,91.3
2015-11-17,93.5
2015-11-18,91.65
2015-11-19,91.95
2015-11-20,91.8
2015-11-23,92.4
2015-11-24,91.85
2015-11-26,91.45
2015-11-27,92.75
2015-11-30,94.95
2015-12-01,95.4
2015-12-02,94.15
2015-12-03,92.3
2015-12-04,91.75
2015-12-07,90.15
2015-12-08,88.35
2015-12-09,86.9
2015-12-10,88.5
2015-12-11,87.9
2015-12-14,87.95
2015-12-15,89.0
2015-12-16,88.85
2015-12-17,92.35
2015-12-18,90.3
2015-12-21,91.2
2015-12-22,88.95
2015-12-23,89.9
2015-12-24,90.95
2015-12-28,91.2
2015-12-29,90.95
2015-12-30,90.2
2015-12-31,89.85
