Date,TI
2015-01-01,27.05
2015-01-02,27.25
2015-01-05,29.15
2015-01-06,30.3
2015-01-07,31.05
2015-01-08,32.9
2015-01-09,31.6
2015-01-12,30.65
2015-01-13,31.05
2015-01-14,30.8
2015-01-15,30.95
2015-01-16,30.95
2015-01-19,32.3
2015-01-20,32.0
2015-01-21,31.5
2015-01-22,30.95
2015-01-23,30.45
2015-01-27,29.85
2015-01-28,28.55
2015-01-29,28.4
2015-01-30,28.65
2015-02-02,28.4
2015-02-03,27.95
2015-02-04,27.3
2015-02-05,26.7
2015-02-06,26.75
2015-02-09,26.75
2015-02-10,26.6
2015-02-11,27.3
2015-02-12,26.95
2015-02-13,26.6
2015-02-16,26.25
2015-02-18,26.35
2015-02-19,26.1
2015-02-20,25.7
2015-02-23,26.0
2015-02-24,25.45
2015-02-25,25.25
2015-02-26,24.95
2015-02-27,24.9
2015-02-28,24.8
2015-03-02,24.8
2015-03-03,25.8
2015-03-04,25.9
2015-03-05,26.8
2015-03-09,26.15
2015-03-10,25.75
2015-03-11,25.0
2015-03-12,25.05
2015-03-13,24.75
2015-03-16,22.85
2015-03-17,22.9
2015-03-18,22.5
2015-03-19,22.5
2015-03-20,21.2
2015-03-23,19.95
2015-03-24,22.1
2015-03-25,21.4
2015-03-26,20.9
2015-03-27,19.65
2015-03-30,19.75
2015-03-31,19.8
2015-04-01,20.95
2015-04-06,23.7
2015-04-07,25.3
2015-04-08,25.0
2015-04-09,25.3
2015-04-10,26.15
2015-04-13,25.4
2015-04-15,24.8
2015-04-16,24.6
2015-04-17,24.45
2015-04-20,23.5
2015-04-21,23.5
2015-04-22,23.55
2015-04-23,23.9
2015-04-24,23.45
2015-04-27,23.9
2015-04-28,23.75
2015-04-29,24.65
2015-04-30,23.9
2015-05-04,24.35
2015-05-05,25.15
2015-05-06,26.1
2015-05-07,25.8
2015-05-08,26.2
2015-05-11,26.6
2015-05-12,26.3
2015-05-13,26.1
2015-05-14,26.3
2015-05-15,26.3
2015-05-18,26.0
2015-05-19,25.75
2015-05-20,25.65
2015-05-21,25.7
2015-05-22,25.1
2015-05-25,24.3
2015-05-26,24.55
2015-05-27,24.15
2015-05-28,24.15
2015-05-29,24.2
2015-06-01,22.0
2015-06-02,22.05
2015-06-03,20.4
2015-06-04,20.9
2015-06-05,20.2
2015-06-08,19.9
2015-06-09,19.9
2015-06-10,19.9
2015-06-11,19.9
2015-06-12,19.65
2015-06-15,19.75
2015-06-16,19.75
2015-06-17,19.85
2015-06-18,19.7
2015-06-19,19.65
2015-06-22,19.8
2015-06-23,19.75
2015-06-24,19.3
2015-06-25,19.3
2015-06-26,18.85
2015-06-29,18.05
2015-06-30,18.6
2015-07-01,18.3
2015-07-02,18.1
2015-07-03,17.7
2015-07-06,21.2
2015-07-07,25.4
2015-07-08,30.4
2015-07-09,28.85
2015-07-10,28.05
2015-07-13,29.25
2015-07-14,32.15
2015-07-15,35.2
2015-07-16,35.4
2015-07-17,31.9
2015-07-20,28.75
2015-07-21,27.2
2015-07-22,29.9
2015-07-23,31.05
2015-07-24,29.95
2015-07-27,27.6
2015-07-28,27.4
2015-07-29,28.2
2015-07-30,28.4
2015-07-31,27.35
2015-08-03,27.15
2015-08-04,26.95
2015-08-05,26.15
2015-08-06,26.25
2015-08-07,26.4
2015-08-10,26.2
2015-08-11,23.95
2015-08-12,23.25
2015-08-13,22.7
2015-08-14,22.9
2015-08-17,22.25
2015-08-18,23.05
2015-08-19,22.9
2015-08-20,22.05
2015-08-21,21.6
2015-08-24,18.1
2015-08-25,17.35
2015-08-26,18.55
2015-08-27,19.05
2015-08-28,18.7
2015-08-31,18.65
2015-09-01,18.25
2015-09-02,18.1
2015-09-03,18.7
2015-09-04,18.25
2015-09-07,17.8
2015-09-08,18.95
2015-09-09,19.2
2015-09-10,19.0
2015-09-11,22.6
2015-09-14,24.1
2015-09-15,22.6
2015-09-16,23.45
2015-09-18,23.35
2015-09-21,24.95
2015-09-22,23.95
2015-09-23,23.8
2015-09-24,24.1
2015-09-28,23.9
2015-09-29,23.9
2015-09-30,23.95
2015-10-01,23.95
2015-10-05,24.6
2015-10-06,26.75
2015-10-07,28.25
2015-10-08,28.1
2015-10-09,28.55
2015-10-12,28.15
2015-10-13,28.9
2015-10-14,28.8
2015-10-15,28.6
2015-10-16,28.15
2015-10-19,26.6
2015-10-20,27.0
2015-10-21,27.3
2015-10-23,26.9
2015-10-26,26.55
2015-10-27,26.05
2015-10-28,25.0
2015-10-29,24.5
2015-10-30,24.15
2015-11-02,23.2
2015-11-03,27.15
2015-11-04,26.45
2015-11-05,25.5
2015-11-06,24.95
2015-11-09,25.65
2015-11-10,25.25
2015-11-11,25.4
2015-11-13,24.65
2015-11-16,24.1
2015-11-17,23.85
2015-11-18,23.3
2015-11-19,23.45
2015-11-20,23.3
2015-11-23,23.0
2015-11-24,22.85
2015-11-26,23.85
2015-11-27,23.6
2015-11-30,23.45
2015-12-01,23.8
2015-12-02,23.95
2015-12-03,23.65
2015-12-04,23.25
2015-12-07,23.4
2015-12-08,22.8
2015-12-09,22.2
2015-12-10,23.1
2015-12-11,22.7
2015-12-14,22.25
2015-12-15,22.35
2015-12-16,22.25
2015-12-17,22.5
2015-12-18,23.7
2015-12-21,23.95
2015-12-22,23.2
2015-12-23,22.9
2015-12-24,22.8
2015-12-28,23.55
2015-12-29,23.1
2015-12-30,22.65
2015-12-31,22.2
