Date,JBCHEPHARM
2015-01-01,206.1
2015-01-02,204.65
2015-01-05,204.15
2015-01-06,199.55
2015-01-07,197.7
2015-01-08,202.05
2015-01-09,200.1
2015-01-12,200.3
2015-01-13,201.5
2015-01-14,200.05
2015-01-15,201.65
2015-01-16,199.2
2015-01-19,196.4
2015-01-20,202.25
2015-01-21,197.45
2015-01-22,196.8
2015-01-23,195.2
2015-01-27,193.0
2015-01-28,187.35
2015-01-29,181.5
2015-01-30,190.85
2015-02-02,194.05
2015-02-03,188.9
2015-02-04,191.15
2015-02-05,193.75
2015-02-06,189.7
2015-02-09,181.75
2015-02-10,182.1
2015-02-11,184.15
2015-02-12,199.0
2015-02-13,193.95
2015-02-16,190.7
2015-02-18,194.95
2015-02-19,191.7
2015-02-20,191.8
2015-02-23,190.65
2015-02-24,189.9
2015-02-25,187.75
2015-02-26,191.55
2015-02-27,191.2
2015-02-28,188.35
2015-03-02,188.6
2015-03-03,190.7
2015-03-04,186.4
2015-03-05,197.35
2015-03-09,190.6
2015-03-10,187.7
2015-03-11,189.0
2015-03-12,192.3
2015-03-13,189.25
2015-03-16,207.15
2015-03-17,216.65
2015-03-18,203.55
2015-03-19,208.4
2015-03-20,202.55
2015-03-23,193.15
2015-03-24,191.55
2015-03-25,195.6
2015-03-26,195.25
2015-03-27,197.1
2015-03-30,198.3
2015-03-31,199.45
2015-04-01,206.75
2015-04-06,214.55
2015-04-07,216.45
2015-04-08,217.7
2015-04-09,218.15
2015-04-10,223.9
2015-04-13,226.6
2015-04-15,260.0
2015-04-16,250.95
2015-04-17,241.1
2015-04-20,229.55
2015-04-21,225.65
2015-04-22,234.35
2015-04-23,237.05
2015-04-24,226.95
2015-04-27,212.5
2015-04-28,216.5
2015-04-29,216.05
2015-04-30,216.8
2015-05-04,221.35
2015-05-05,220.4
2015-05-06,215.25
2015-05-07,215.35
2015-05-08,216.1
2015-05-11,217.25
2015-05-12,215.4
2015-05-13,215.25
2015-05-14,218.8
2015-05-15,230.75
2015-05-18,251.15
2015-05-19,242.9
2015-05-20,239.65
2015-05-21,245.5
2015-05-22,239.2
2015-05-25,234.15
2015-05-26,234.15
2015-05-27,239.4
2015-05-28,239.7
2015-05-29,239.5
2015-06-01,239.35
2015-06-02,236.9
2015-06-03,227.55
2015-06-04,231.15
2015-06-05,231.25
2015-06-08,226.5
2015-06-09,223.8
2015-06-10,235.65
2015-06-11,226.75
2015-06-12,224.9
2015-06-15,225.25
2015-06-16,224.35
2015-06-17,224.95
2015-06-18,225.7
2015-06-19,227.25
2015-06-22,227.4
2015-06-23,226.25
2015-06-24,240.1
2015-06-25,241.5
2015-06-26,242.85
2015-06-29,234.85
2015-06-30,237.25
2015-07-01,239.45
2015-07-02,239.5
2015-07-03,237.5
2015-07-06,244.3
2015-07-07,245.95
2015-07-08,241.8
2015-07-09,240.25
2015-07-10,247.85
2015-07-13,257.95
2015-07-14,258.85
2015-07-15,260.7
2015-07-16,264.65
2015-07-17,269.55
2015-07-20,271.0
2015-07-21,266.3
2015-07-22,269.05
2015-07-23,270.35
2015-07-24,266.25
2015-07-27,264.6
2015-07-28,264.75
2015-07-29,279.8
2015-07-30,284.25
2015-07-31,282.85
2015-08-03,291.0
2015-08-04,292.65
2015-08-05,288.65
2015-08-06,263.85
2015-08-07,253.3
2015-08-10,258.3
2015-08-11,252.1
2015-08-12,257.9
2015-08-13,260.25
2015-08-14,263.75
2015-08-17,266.65
2015-08-18,274.5
2015-08-19,273.45
2015-08-20,266.4
2015-08-21,276.7
2015-08-24,242.0
2015-08-25,264.25
2015-08-26,267.3
2015-08-27,271.7
2015-08-28,265.55
2015-08-31,270.2
2015-09-01,264.9
2015-09-02,260.9
2015-09-03,286.0
2015-09-04,275.4
2015-09-07,262.3
2015-09-08,259.9
2015-09-09,265.1
2015-09-10,270.3
2015-09-11,270.8
2015-09-14,268.4
2015-09-15,266.15
2015-09-16,265.1
2015-09-18,265.8
2015-09-21,264.55
2015-09-22,262.6
2015-09-23,266.3
2015-09-24,267.05
2015-09-28,263.9
2015-09-29,266.9
2015-09-30,277.45
2015-10-01,280.05
2015-10-05,286.45
2015-10-06,288.35
2015-10-07,287.9
2015-10-08,289.25
2015-10-09,288.85
2015-10-12,283.05
2015-10-13,286.4
2015-10-14,284.35
2015-10-15,301.7
2015-10-16,301.35
2015-10-19,297.5
2015-10-20,307.15
2015-10-21,300.4
2015-10-23,297.55
2015-10-26,297.5
2015-10-27,299.35
2015-10-28,291.85
2015-10-29,289.6
2015-10-30,285.25
2015-11-02,281.25
2015-11-03,289.8
2015-11-04,282.35
2015-11-05,271.05
2015-11-06,272.4
2015-11-09,271.85
2015-11-10,269.95
2015-11-11,268.35
2015-11-13,267.55
2015-11-16,274.55
2015-11-17,272.45
2015-11-18,267.05
2015-11-19,278.05
2015-11-20,274.25
2015-11-23,273.45
2015-11-24,274.0
2015-11-26,282.3
2015-11-27,287.9
2015-11-30,279.9
2015-12-01,277.95
2015-12-02,274.75
2015-12-03,273.65
2015-12-04,271.2
2015-12-07,270.8
2015-12-08,268.4
2015-12-09,257.2
2015-12-10,259.05
2015-12-11,256.1
2015-12-14,271.6
2015-12-15,269.55
2015-12-16,266.95
2015-12-17,270.1
2015-12-18,278.65
2015-12-21,275.15
2015-12-22,275.85
2015-12-23,277.5
2015-12-24,277.95
2015-12-28,276.15
2015-12-29,279.0
2015-12-30,279.0
2015-12-31,278.65
