Date,XPROINDIA
2015-01-01,37.1
2015-01-02,37.65
2015-01-05,38.0
2015-01-06,38.3
2015-01-07,38.45
2015-01-08,39.4
2015-01-09,39.45
2015-01-12,38.6
2015-01-13,41.05
2015-01-14,40.35
2015-01-15,39.65
2015-01-16,39.5
2015-01-19,40.15
2015-01-20,40.05
2015-01-21,38.55
2015-01-22,38.65
2015-01-23,37.7
2015-01-27,37.4
2015-01-28,36.7
2015-01-29,37.85
2015-01-30,36.35
2015-02-02,35.9
2015-02-03,35.1
2015-02-04,36.15
2015-02-05,36.45
2015-02-06,35.0
2015-02-09,35.1
2015-02-10,36.4
2015-02-11,36.5
2015-02-12,36.9
2015-02-13,37.85
2015-02-16,36.35
2015-02-18,37.1
2015-02-19,37.05
2015-02-20,37.15
2015-02-23,35.95
2015-02-24,35.25
2015-02-25,35.9
2015-02-26,34.6
2015-02-27,36.75
2015-02-28,35.4
2015-03-02,35.75
2015-03-03,35.4
2015-03-04,34.45
2015-03-05,33.55
2015-03-09,34.0
2015-03-10,34.45
2015-03-11,34.8
2015-03-12,33.65
2015-03-13,35.25
2015-03-16,33.9
2015-03-17,34.7
2015-03-18,33.0
2015-03-19,33.0
2015-03-20,31.05
2015-03-23,29.55
2015-03-24,28.85
2015-03-25,28.05
2015-03-26,29.05
2015-03-27,27.5
2015-03-30,29.95
2015-03-31,29.2
2015-04-01,30.0
2015-04-06,30.85
2015-04-07,31.85
2015-04-08,32.5
2015-04-09,31.4
2015-04-10,31.75
2015-04-13,32.0
2015-04-15,31.55
2015-04-16,31.75
2015-04-17,30.95
2015-04-20,30.75
2015-04-21,32.0
2015-04-22,32.0
2015-04-23,31.0
2015-04-24,30.2
2015-04-27,30.1
2015-04-28,30.05
2015-04-29,29.8
2015-04-30,29.5
2015-05-04,30.5
2015-05-05,30.05
2015-05-06,29.2
2015-05-07,29.0
2015-05-08,28.85
2015-05-11,29.0
2015-05-12,29.25
2015-05-13,28.2
2015-05-14,28.05
2015-05-15,29.5
2015-05-18,28.65
2015-05-19,29.05
2015-05-20,29.0
2015-05-21,30.75
2015-05-22,29.9
2015-05-25,29.95
2015-05-26,28.8
2015-05-27,29.9
2015-05-28,30.85
2015-05-29,28.5
2015-06-01,34.2
2015-06-02,35.55
2015-06-03,30.2
2015-06-04,31.35
2015-06-05,32.35
2015-06-08,33.5
2015-06-09,32.85
2015-06-10,33.3
2015-06-11,33.3
2015-06-12,33.0
2015-06-15,32.3
2015-06-16,32.5
2015-06-17,32.4
2015-06-18,32.05
2015-06-19,33.6
2015-06-22,33.7
2015-06-23,32.75
2015-06-24,33.0
2015-06-25,33.0
2015-06-26,32.0
2015-06-29,32.15
2015-06-30,33.8
2015-07-01,32.95
2015-07-02,34.35
2015-07-03,34.15
2015-07-06,34.3
2015-07-07,36.8
2015-07-08,37.95
2015-07-09,43.3
2015-07-10,48.2
2015-07-13,50.0
2015-07-14,49.95
2015-07-15,49.7
2015-07-16,49.75
2015-07-17,49.85
2015-07-20,51.85
2015-07-21,51.3
2015-07-22,49.85
2015-07-23,51.85
2015-07-24,57.0
2015-07-27,62.65
2015-07-28,61.8
2015-07-29,59.9
2015-07-30,60.0
2015-07-31,59.05
2015-08-03,60.2
2015-08-04,59.45
2015-08-05,59.65
2015-08-06,56.4
2015-08-07,57.2
2015-08-10,62.3
2015-08-11,67.4
2015-08-12,68.75
2015-08-13,57.6
2015-08-14,46.7
2015-08-17,43.2
2015-08-18,47.5
2015-08-19,48.3
2015-08-20,45.45
2015-08-21,46.7
2015-08-24,42.1
2015-08-25,40.05
2015-08-26,40.15
2015-08-27,41.3
2015-08-28,41.1
2015-08-31,41.0
2015-09-01,39.55
2015-09-02,38.9
2015-09-03,40.0
2015-09-04,39.65
2015-09-07,39.65
2015-09-08,39.5
2015-09-09,42.25
2015-09-10,42.25
2015-09-11,41.25
2015-09-14,48.8
2015-09-15,53.6
2015-09-16,47.15
2015-09-18,46.75
2015-09-21,48.2
2015-09-22,47.05
2015-09-23,47.6
2015-09-24,46.45
2015-09-28,46.2
2015-09-29,46.2
2015-09-30,46.55
2015-10-01,46.55
2015-10-05,46.9
2015-10-06,46.75
2015-10-07,46.9
2015-10-08,46.25
2015-10-09,47.2
2015-10-12,46.75
2015-10-13,46.9
2015-10-14,56.25
2015-10-15,59.95
2015-10-16,57.5
2015-10-19,57.6
2015-10-20,53.55
2015-10-21,52.2
2015-10-23,51.65
2015-10-26,51.4
2015-10-27,52.05
2015-10-28,52.85
2015-10-29,52.6
2015-10-30,51.6
2015-11-02,50.75
2015-11-03,50.55
2015-11-04,45.25
2015-11-05,44.05
2015-11-06,44.45
2015-11-09,46.2
2015-11-10,45.0
2015-11-11,46.0
2015-11-13,45.55
2015-11-16,45.5
2015-11-17,46.25
2015-11-18,45.6
2015-11-19,46.4
2015-11-20,45.4
2015-11-23,46.25
2015-11-24,45.85
2015-11-26,46.45
2015-11-27,50.2
2015-11-30,48.95
2015-12-01,48.7
2015-12-02,51.7
2015-12-03,55.85
2015-12-04,56.3
2015-12-07,55.7
2015-12-08,52.1
2015-12-09,47.85
2015-12-10,47.7
2015-12-11,46.8
2015-12-14,49.65
2015-12-15,48.75
2015-12-16,48.75
2015-12-17,48.65
2015-12-18,48.85
2015-12-21,50.85
2015-12-22,55.25
2015-12-23,56.15
2015-12-24,54.4
2015-12-28,59.95
2015-12-29,62.35
2015-12-30,61.9
2015-12-31,62.05
