Date,MORARJEE
2015-01-01,43.1
2015-01-02,45.25
2015-01-05,45.1
2015-01-06,43.8
2015-01-07,42.7
2015-01-08,42.25
2015-01-09,42.7
2015-01-12,42.55
2015-01-13,42.75
2015-01-14,42.45
2015-01-15,41.4
2015-01-16,44.35
2015-01-19,44.95
2015-01-20,44.1
2015-01-21,43.95
2015-01-22,44.25
2015-01-23,43.55
2015-01-27,46.75
2015-01-28,48.15
2015-01-29,48.0
2015-01-30,48.05
2015-02-02,49.8
2015-02-03,48.65
2015-02-04,48.05
2015-02-05,46.55
2015-02-06,43.85
2015-02-09,43.45
2015-02-10,43.35
2015-02-11,42.85
2015-02-12,40.45
2015-02-13,41.35
2015-02-16,41.0
2015-02-18,43.85
2015-02-19,44.35
2015-02-20,44.05
2015-02-23,45.0
2015-02-24,44.9
2015-02-25,42.75
2015-02-26,43.8
2015-02-27,42.05
2015-02-28,43.0
2015-03-02,43.3
2015-03-03,42.75
2015-03-04,42.7
2015-03-05,43.6
2015-03-09,40.0
2015-03-10,41.75
2015-03-11,42.0
2015-03-12,40.7
2015-03-13,39.8
2015-03-16,38.25
2015-03-17,38.65
2015-03-18,38.6
2015-03-19,38.8
2015-03-20,38.9
2015-03-23,37.35
2015-03-24,37.35
2015-03-25,37.6
2015-03-26,37.3
2015-03-27,37.05
2015-03-30,39.2
2015-03-31,38.55
2015-04-01,40.8
2015-04-06,42.8
2015-04-07,42.8
2015-04-08,44.4
2015-04-09,44.45
2015-04-10,43.25
2015-04-13,46.35
2015-04-15,46.1
2015-04-16,43.85
2015-04-17,43.85
2015-04-20,43.75
2015-04-21,42.5
2015-04-22,41.5
2015-04-23,42.2
2015-04-24,39.55
2015-04-27,39.7
2015-04-28,42.45
2015-04-29,44.55
2015-04-30,44.85
2015-05-04,47.85
2015-05-05,48.2
2015-05-06,47.35
2015-05-07,46.2
2015-05-08,46.4
2015-05-11,44.6
2015-05-12,42.7
2015-05-13,43.2
2015-05-14,43.5
2015-05-15,42.25
2015-05-18,42.1
2015-05-19,42.35
2015-05-20,43.25
2015-05-21,43.7
2015-05-22,45.15
2015-05-25,43.55
2015-05-26,45.75
2015-05-27,44.6
2015-05-28,44.1
2015-05-29,44.95
2015-06-01,44.4
2015-06-02,44.65
2015-06-03,40.2
2015-06-04,40.25
2015-06-05,41.0
2015-06-08,41.5
2015-06-09,41.0
2015-06-10,41.5
2015-06-11,41.3
2015-06-12,41.3
2015-06-15,41.8
2015-06-16,41.75
2015-06-17,41.3
2015-06-18,40.75
2015-06-19,40.85
2015-06-22,40.65
2015-06-23,42.0
2015-06-24,43.1
2015-06-25,42.95
2015-06-26,43.0
2015-06-29,41.1
2015-06-30,42.1
2015-07-01,46.95
2015-07-02,46.5
2015-07-03,50.0
2015-07-06,59.75
2015-07-07,57.25
2015-07-08,55.8
2015-07-09,57.2
2015-07-10,58.15
2015-07-13,57.95
2015-07-14,58.8
2015-07-15,57.2
2015-07-16,56.0
2015-07-17,55.75
2015-07-20,55.45
2015-07-21,53.05
2015-07-22,53.55
2015-07-23,53.9
2015-07-24,53.85
2015-07-27,52.1
2015-07-28,50.8
2015-07-29,54.05
2015-07-30,53.95
2015-07-31,56.75
2015-08-03,57.2
2015-08-04,55.95
2015-08-05,57.95
2015-08-06,52.2
2015-08-07,49.3
2015-08-10,49.1
2015-08-11,47.85
2015-08-12,46.55
2015-08-13,44.3
2015-08-14,46.0
2015-08-17,45.35
2015-08-18,44.5
2015-08-19,44.7
2015-08-20,42.75
2015-08-21,42.4
2015-08-24,38.1
2015-08-25,39.1
2015-08-26,36.25
2015-08-27,39.8
2015-08-28,39.8
2015-08-31,39.85
2015-09-01,38.7
2015-09-02,39.55
2015-09-03,38.85
2015-09-04,37.8
2015-09-07,37.9
2015-09-08,36.6
2015-09-09,38.0
2015-09-10,37.15
2015-09-11,37.1
2015-09-14,37.1
2015-09-15,36.85
2015-09-16,37.15
2015-09-18,37.85
2015-09-21,37.9
2015-09-22,37.05
2015-09-23,36.8
2015-09-24,37.3
2015-09-28,36.85
2015-09-29,37.0
2015-09-30,38.35
2015-10-01,37.9
2015-10-05,39.0
2015-10-06,40.9
2015-10-07,40.5
2015-10-08,39.3
2015-10-09,39.55
2015-10-12,39.35
2015-10-13,38.7
2015-10-14,39.85
2015-10-15,40.0
2015-10-16,39.85
2015-10-19,39.45
2015-10-20,39.95
2015-10-21,39.75
2015-10-23,39.6
2015-10-26,38.85
2015-10-27,38.5
2015-10-28,37.95
2015-10-29,37.75
2015-10-30,37.4
2015-11-02,38.2
2015-11-03,39.15
2015-11-04,39.5
2015-11-05,39.35
2015-11-06,38.3
2015-11-09,37.7
2015-11-10,37.8
2015-11-11,38.0
2015-11-13,37.25
2015-11-16,38.45
2015-11-17,38.6
2015-11-18,38.3
2015-11-19,40.1
2015-11-20,40.8
2015-11-23,41.9
2015-11-24,42.15
2015-11-26,41.7
2015-11-27,41.45
2015-11-30,44.65
2015-12-01,46.35
2015-12-02,45.95
2015-12-03,46.35
2015-12-04,44.9
2015-12-07,45.0
2015-12-08,43.8
2015-12-09,41.2
2015-12-10,41.5
2015-12-11,41.35
2015-12-14,41.0
2015-12-15,41.2
2015-12-16,41.15
2015-12-17,41.9
2015-12-18,42.9
2015-12-21,44.65
2015-12-22,43.8
2015-12-23,46.3
2015-12-24,49.15
2015-12-28,52.05
2015-12-29,51.3
2015-12-30,52.0
2015-12-31,51.0
