Date,PPAP
2015-01-01,108.05
2015-01-02,110.8
2015-01-05,113.55
2015-01-06,108.6
2015-01-07,106.6
2015-01-08,108.55
2015-01-09,112.05
2015-01-12,115.25
2015-01-13,114.05
2015-01-14,113.3
2015-01-15,109.35
2015-01-16,111.1
2015-01-19,114.85
2015-01-20,113.9
2015-01-21,113.0
2015-01-22,108.95
2015-01-23,107.7
2015-01-27,107.75
2015-01-28,105.15
2015-01-29,105.65
2015-01-30,102.1
2015-02-02,101.65
2015-02-03,101.4
2015-02-04,103.2
2015-02-05,101.7
2015-02-06,99.95
2015-02-09,99.25
2015-02-10,99.5
2015-02-11,99.15
2015-02-12,93.7
2015-02-13,97.35
2015-02-16,94.25
2015-02-18,94.8
2015-02-19,97.2
2015-02-20,96.5
2015-02-23,101.05
2015-02-24,99.85
2015-02-25,97.65
2015-02-26,98.8
2015-02-27,101.8
2015-02-28,107.75
2015-03-02,118.05
2015-03-03,119.1
2015-03-04,113.85
2015-03-05,109.7
2015-03-09,101.2
2015-03-10,100.3
2015-03-11,102.0
2015-03-12,98.6
2015-03-13,97.55
2015-03-16,97.65
2015-03-17,98.45
2015-03-18,98.15
2015-03-19,99.2
2015-03-20,97.85
2015-03-23,95.95
2015-03-24,96.05
2015-03-25,93.8
2015-03-26,90.3
2015-03-27,87.45
2015-03-30,90.85
2015-03-31,88.75
2015-04-01,90.4
2015-04-06,90.55
2015-04-07,90.4
2015-04-08,92.8
2015-04-09,94.0
2015-04-10,100.6
2015-04-13,106.65
2015-04-15,101.4
2015-04-16,100.05
2015-04-17,99.7
2015-04-20,99.25
2015-04-21,101.65
2015-04-22,99.9
2015-04-23,100.1
2015-04-24,96.75
2015-04-27,92.5
2015-04-28,92.55
2015-04-29,92.65
2015-04-30,97.3
2015-05-04,96.1
2015-05-05,99.85
2015-05-06,95.75
2015-05-07,97.45
2015-05-08,96.5
2015-05-11,95.1
2015-05-12,95.1
2015-05-13,96.5
2015-05-14,96.8
2015-05-15,99.0
2015-05-18,98.45
2015-05-19,97.1
2015-05-20,97.5
2015-05-21,98.5
2015-05-22,97.9
2015-05-25,98.4
2015-05-26,98.35
2015-05-27,103.7
2015-05-28,100.6
2015-05-29,99.5
2015-06-01,97.9
2015-06-02,96.0
2015-06-03,93.0
2015-06-04,90.95
2015-06-05,91.0
2015-06-08,91.8
2015-06-09,91.5
2015-06-10,93.15
2015-06-11,92.75
2015-06-12,92.7
2015-06-15,92.0
2015-06-16,93.25
2015-06-17,101.8
2015-06-18,98.7
2015-06-19,97.7
2015-06-22,98.0
2015-06-23,98.0
2015-06-24,100.05
2015-06-25,101.2
2015-06-26,99.2
2015-06-29,99.85
2015-06-30,105.85
2015-07-01,105.8
2015-07-02,104.75
2015-07-03,104.55
2015-07-06,102.25
2015-07-07,103.0
2015-07-08,104.0
2015-07-09,105.75
2015-07-10,108.0
2015-07-13,112.3
2015-07-14,112.0
2015-07-15,110.9
2015-07-16,110.05
2015-07-17,112.35
2015-07-20,109.9
2015-07-21,109.7
2015-07-22,110.2
2015-07-23,111.4
2015-07-24,113.0
2015-07-27,113.65
2015-07-28,114.55
2015-07-29,122.6
2015-07-30,122.95
2015-07-31,121.25
2015-08-03,121.7
2015-08-04,121.85
2015-08-05,123.15
2015-08-06,121.5
2015-08-07,122.4
2015-08-10,107.95
2015-08-11,108.4
2015-08-12,107.75
2015-08-13,106.25
2015-08-14,105.05
2015-08-17,105.15
2015-08-18,107.15
2015-08-19,119.55
2015-08-20,122.5
2015-08-21,119.6
2015-08-24,116.6
2015-08-25,116.4
2015-08-26,114.9
2015-08-27,124.95
2015-08-28,122.55
2015-08-31,119.3
2015-09-01,117.05
2015-09-02,116.75
2015-09-03,117.25
2015-09-04,118.9
2015-09-07,112.1
2015-09-08,112.5
2015-09-09,114.2
2015-09-10,112.1
2015-09-11,113.2
2015-09-14,114.75
2015-09-15,112.05
2015-09-16,112.9
2015-09-18,113.2
2015-09-21,111.85
2015-09-22,113.95
2015-09-23,116.95
2015-09-24,116.4
2015-09-28,114.0
2015-09-29,114.8
2015-09-30,115.75
2015-10-01,116.0
2015-10-05,115.8
2015-10-06,116.6
2015-10-07,119.9
2015-10-08,120.5
2015-10-09,120.55
2015-10-12,121.45
2015-10-13,119.95
2015-10-14,121.2
2015-10-15,120.3
2015-10-16,120.45
2015-10-19,124.55
2015-10-20,124.85
2015-10-21,124.8
2015-10-23,124.9
2015-10-26,123.8
2015-10-27,123.7
2015-10-28,124.0
2015-10-29,123.7
2015-10-30,128.05
2015-11-02,135.75
2015-11-03,135.8
2015-11-04,136.15
2015-11-05,143.4
2015-11-06,144.15
2015-11-09,145.9
2015-11-10,148.35
2015-11-11,152.55
2015-11-13,156.85
2015-11-16,151.0
2015-11-17,147.3
2015-11-18,147.6
2015-11-19,150.1
2015-11-20,165.45
2015-11-23,172.65
2015-11-24,176.9
2015-11-26,180.4
2015-11-27,180.75
2015-11-30,179.85
2015-12-01,173.7
2015-12-02,170.35
2015-12-03,163.45
2015-12-04,161.0
2015-12-07,158.25
2015-12-08,158.7
2015-12-09,155.4
2015-12-10,160.45
2015-12-11,155.7
2015-12-14,157.75
2015-12-15,158.2
2015-12-16,159.9
2015-12-17,161.1
2015-12-18,164.9
2015-12-21,163.35
2015-12-22,162.3
2015-12-23,163.5
2015-12-24,161.6
2015-12-28,168.95
2015-12-29,165.2
2015-12-30,169.1
2015-12-31,165.65
