Date,THIRUSUGAR
2015-01-01,41.9
2015-01-02,47.5
2015-01-05,45.25
2015-01-06,46.2
2015-01-07,46.6
2015-01-08,46.25
2015-01-09,45.15
2015-01-12,46.95
2015-01-13,50.6
2015-01-14,53.65
2015-01-15,45.8
2015-01-16,43.95
2015-01-19,47.3
2015-01-20,44.45
2015-01-21,42.75
2015-01-22,42.05
2015-01-23,41.25
2015-01-27,41.05
2015-01-28,41.0
2015-01-29,40.35
2015-01-30,38.55
2015-02-02,37.55
2015-02-03,38.15
2015-02-04,39.95
2015-02-05,39.65
2015-02-06,38.6
2015-02-09,37.35
2015-02-10,37.05
2015-02-11,38.25
2015-02-12,38.7
2015-02-13,37.65
2015-02-16,38.0
2015-02-18,38.0
2015-02-19,38.5
2015-02-20,38.55
2015-02-23,37.85
2015-02-24,37.15
2015-02-25,36.05
2015-02-26,35.65
2015-02-27,38.0
2015-02-28,37.3
2015-03-02,35.75
2015-03-03,36.3
2015-03-04,36.25
2015-03-05,35.45
2015-03-09,34.4
2015-03-10,33.25
2015-03-11,32.3
2015-03-12,32.85
2015-03-13,32.4
2015-03-16,31.35
2015-03-17,30.65
2015-03-18,28.75
2015-03-19,26.95
2015-03-20,25.95
2015-03-23,27.5
2015-03-24,26.25
2015-03-25,25.25
2015-03-26,26.25
2015-03-27,26.2
2015-03-30,26.9
2015-03-31,25.4
2015-04-01,25.85
2015-04-06,26.7
2015-04-07,26.6
2015-04-08,28.35
2015-04-09,27.85
2015-04-10,28.75
2015-04-13,28.25
2015-04-15,29.0
2015-04-16,28.55
2015-04-17,28.8
2015-04-20,28.7
2015-04-21,29.9
2015-04-22,31.2
2015-04-23,30.4
2015-04-24,28.65
2015-04-27,27.1
2015-04-28,30.35
2015-04-29,29.75
2015-04-30,29.3
2015-05-04,27.95
2015-05-06,28.25
2015-05-07,27.5
2015-05-08,27.65
2015-05-11,27.35
2015-05-12,27.2
2015-05-13,27.7
2015-05-14,27.55
2015-05-15,28.8
2015-05-18,28.5
2015-05-19,29.45
2015-05-20,29.5
2015-05-21,29.75
2015-05-22,29.8
2015-05-25,30.0
2015-05-26,29.85
2015-05-27,29.4
2015-05-28,30.55
2015-05-29,30.95
2015-06-01,30.45
2015-06-02,28.85
2015-06-03,27.65
2015-06-04,29.05
2015-06-05,29.45
2015-06-08,29.0
2015-06-09,27.5
2015-06-10,29.4
2015-06-11,27.65
2015-06-12,27.5
2015-06-15,28.45
2015-06-16,26.25
2015-06-17,26.35
2015-06-18,25.9
2015-06-19,25.25
2015-06-22,26.0
2015-06-23,26.7
2015-06-24,27.8
2015-06-25,27.5
2015-06-26,27.5
2015-06-30,25.55
2015-07-01,27.3
2015-07-02,26.1
2015-07-03,26.15
2015-07-06,27.15
2015-07-07,27.7
2015-07-08,28.4
2015-07-09,29.55
2015-07-10,27.55
2015-07-13,27.3
2015-07-14,27.9
2015-07-15,27.8
2015-07-16,28.3
2015-07-17,27.0
2015-07-20,27.0
2015-07-21,27.0
2015-07-22,26.65
2015-07-23,27.1
2015-07-24,26.65
2015-07-27,27.95
2015-07-28,28.35
2015-07-29,28.8
2015-07-30,27.3
2015-07-31,28.65
2015-08-03,30.1
2015-08-04,29.0
2015-08-05,32.7
2015-08-06,31.3
2015-08-07,32.5
2015-08-10,30.9
2015-08-11,32.55
2015-08-12,30.0
2015-08-13,29.4
2015-08-14,29.0
2015-08-17,29.1
2015-08-18,29.1
2015-08-19,29.8
2015-08-20,29.95
2015-08-21,30.55
2015-08-24,28.0
2015-08-25,28.2
2015-08-26,28.8
2015-08-27,26.45
2015-08-28,26.2
2015-08-31,26.25
2015-09-01,25.95
2015-09-02,25.75
2015-09-03,27.85
2015-09-04,25.15
2015-09-07,27.05
2015-09-08,26.6
2015-09-09,26.1
2015-09-10,26.2
2015-09-11,27.5
2015-09-14,26.45
2015-09-15,25.75
2015-09-16,27.0
2015-09-18,26.0
2015-09-21,25.6
2015-09-22,26.95
2015-09-24,26.25
2015-09-28,24.6
2015-09-29,26.05
2015-09-30,26.35
2015-10-01,25.5
2015-10-05,26.85
2015-10-06,28.45
2015-10-07,30.15
2015-10-08,30.5
2015-10-09,32.85
2015-10-12,31.9
2015-10-13,33.6
2015-10-14,34.35
2015-10-15,35.1
2015-10-16,37.2
2015-10-19,36.85
2015-10-20,37.85
2015-10-21,40.0
2015-10-23,45.35
2015-10-26,43.15
2015-10-27,40.3
2015-10-28,41.05
2015-10-29,40.7
2015-10-30,37.2
2015-11-02,38.25
2015-11-03,38.65
2015-11-04,36.55
2015-11-05,36.2
2015-11-06,35.05
2015-11-09,38.25
2015-11-10,35.8
2015-11-11,35.8
2015-11-13,39.35
2015-11-16,43.25
2015-11-17,47.55
2015-11-18,45.75
2015-11-19,43.5
2015-11-20,41.35
2015-11-23,40.5
2015-11-24,42.5
2015-11-26,41.85
2015-11-27,40.7
2015-11-30,38.75
2015-12-01,39.65
2015-12-02,41.6
2015-12-03,39.55
2015-12-04,40.85
2015-12-07,39.4
2015-12-08,38.85
2015-12-09,36.95
2015-12-10,38.7
2015-12-11,36.95
2015-12-14,38.75
2015-12-15,40.6
2015-12-16,40.9
2015-12-17,41.0
2015-12-18,41.0
2015-12-21,41.65
2015-12-22,40.7
2015-12-23,40.6
2015-12-24,41.0
2015-12-28,40.6
2015-12-29,40.0
2015-12-30,41.8
2015-12-31,42.05
