Date,HANUNG
2015-01-01,18.45
2015-01-02,19.0
2015-01-05,22.8
2015-01-06,25.75
2015-01-07,26.2
2015-01-08,24.4
2015-01-09,23.45
2015-01-12,22.3
2015-01-13,21.25
2015-01-14,23.35
2015-01-15,22.45
2015-01-16,22.95
2015-01-19,22.7
2015-01-20,23.1
2015-01-21,22.75
2015-01-22,22.5
2015-01-23,22.2
2015-01-27,22.25
2015-01-28,21.9
2015-01-29,21.45
2015-01-30,23.5
2015-02-02,22.45
2015-02-03,22.65
2015-02-04,22.55
2015-02-05,22.0
2015-02-06,21.05
2015-02-09,21.0
2015-02-10,20.75
2015-02-11,20.8
2015-02-12,22.2
2015-02-13,21.75
2015-02-16,20.35
2015-02-18,20.95
2015-02-19,20.65
2015-02-20,20.9
2015-02-23,20.95
2015-02-24,20.35
2015-02-25,20.2
2015-02-26,20.0
2015-02-27,20.05
2015-02-28,19.95
2015-03-02,19.45
2015-03-03,19.45
2015-03-04,19.55
2015-03-05,18.8
2015-03-09,18.55
2015-03-10,18.7
2015-03-11,18.8
2015-03-12,18.65
2015-03-13,18.05
2015-03-16,17.95
2015-03-17,17.85
2015-03-18,17.2
2015-03-19,17.1
2015-03-20,16.4
2015-03-23,16.6
2015-03-24,16.55
2015-03-25,15.65
2015-03-26,15.05
2015-03-27,14.15
2015-03-30,16.95
2015-03-31,18.95
2015-04-01,18.85
2015-04-06,18.2
2015-04-07,18.35
2015-04-08,18.4
2015-04-09,18.45
2015-04-10,18.55
2015-04-13,18.75
2015-04-15,22.45
2015-04-16,20.5
2015-04-17,20.6
2015-04-20,19.15
2015-04-21,19.4
2015-04-22,19.45
2015-04-23,18.95
2015-04-24,18.05
2015-04-27,17.35
2015-04-28,20.35
2015-04-29,19.15
2015-04-30,18.75
2015-05-04,19.35
2015-05-05,17.7
2015-05-06,14.2
2015-05-07,12.8
2015-05-08,11.55
2015-05-11,12.25
2015-05-12,12.4
2015-05-13,12.55
2015-05-14,12.3
2015-05-15,12.1
2015-05-18,10.9
2015-05-19,9.85
2015-05-20,9.5
2015-05-21,9.05
2015-05-22,8.6
2015-05-25,8.2
2015-05-26,7.8
2015-05-27,7.45
2015-05-28,7.1
2015-05-29,7.45
2015-06-01,7.8
2015-06-02,8.15
2015-06-03,8.55
2015-06-04,8.95
2015-06-05,9.35
2015-06-08,8.9
2015-06-09,8.5
2015-06-10,8.15
2015-06-11,7.9
2015-06-12,7.95
2015-06-15,8.15
2015-06-16,8.55
2015-06-17,8.5
2015-06-18,8.8
2015-06-19,8.75
2015-06-22,8.7
2015-06-23,8.6
2015-06-24,8.3
2015-06-25,8.2
2015-06-26,8.1
2015-06-29,7.85
2015-06-30,7.55
2015-07-01,7.9
2015-07-02,8.25
2015-07-03,9.05
2015-07-06,9.95
2015-07-07,10.9
2015-07-08,10.4
2015-07-09,10.35
2015-07-10,9.95
2015-07-13,9.5
2015-07-14,9.8
2015-07-15,10.05
2015-07-16,10.05
2015-07-17,9.95
2015-07-20,9.9
2015-07-21,9.65
2015-07-22,9.85
2015-07-23,9.65
2015-07-24,9.5
2015-07-27,9.1
2015-07-28,9.05
2015-07-29,8.95
2015-07-30,9.2
2015-07-31,9.4
2015-08-03,9.8
2015-08-04,9.65
2015-08-05,9.8
2015-08-06,9.4
2015-08-07,9.45
2015-08-10,9.4
2015-08-11,9.2
2015-08-12,9.05
2015-08-13,9.5
2015-08-14,9.15
2015-08-17,9.2
2015-08-18,9.1
2015-08-19,9.05
2015-08-20,8.75
2015-08-21,8.65
2015-08-24,7.9
2015-08-25,7.95
2015-08-26,8.05
2015-08-27,8.2
2015-08-28,8.3
2015-08-31,8.05
2015-09-01,7.95
2015-09-02,7.8
2015-09-03,7.85
2015-09-04,7.25
2015-09-07,6.85
2015-09-08,7.2
2015-09-09,7.55
2015-09-10,7.25
2015-09-11,7.6
2015-09-14,8.55
2015-09-15,8.35
2015-09-16,8.7
2015-09-18,8.45
2015-09-21,8.55
2015-09-22,8.35
2015-09-23,8.3
2015-09-24,8.0
2015-09-28,7.95
2015-09-29,8.0
2015-09-30,7.95
2015-10-01,8.0
2015-10-05,8.2
2015-10-06,8.35
2015-10-07,8.4
2015-10-08,8.05
2015-10-09,8.05
2015-10-12,8.1
2015-10-13,8.25
2015-10-14,8.05
2015-10-15,8.2
2015-10-16,8.25
2015-10-19,8.15
2015-10-20,8.1
2015-10-21,8.1
2015-10-23,8.2
2015-10-26,8.05
2015-10-27,7.9
2015-10-28,7.9
2015-10-29,7.9
2015-10-30,7.75
2015-11-02,7.55
2015-11-03,7.75
2015-11-04,7.7
2015-11-05,7.6
2015-11-06,7.25
2015-11-09,7.05
2015-11-10,6.95
2015-11-11,7.1
2015-11-13,7.1
2015-11-16,7.15
2015-11-17,7.15
2015-11-18,7.35
2015-11-19,7.25
2015-11-20,7.15
2015-11-23,7.1
2015-11-24,7.2
2015-11-26,7.4
2015-11-27,8.85
2015-11-30,10.6
2015-12-01,11.65
2015-12-02,11.0
2015-12-03,10.75
2015-12-04,11.7
2015-12-07,11.25
2015-12-08,10.75
2015-12-09,10.35
2015-12-10,10.2
2015-12-11,9.9
2015-12-14,9.65
2015-12-15,9.8
2015-12-16,9.65
2015-12-17,10.55
2015-12-18,10.15
2015-12-21,10.6
2015-12-22,10.65
2015-12-23,10.55
2015-12-24,10.1
2015-12-28,10.1
2015-12-29,10.2
2015-12-30,10.25
2015-12-31,10.5
