Date,DQE
2015-01-01,27.8
2015-01-02,28.4
2015-01-05,27.85
2015-01-06,25.9
2015-01-07,26.3
2015-01-08,26.0
2015-01-09,26.7
2015-01-12,27.1
2015-01-13,27.7
2015-01-14,26.9
2015-01-15,27.6
2015-01-16,27.75
2015-01-19,27.05
2015-01-20,27.15
2015-01-21,27.2
2015-01-22,27.0
2015-01-23,25.85
2015-01-27,26.35
2015-01-28,26.0
2015-01-29,25.35
2015-01-30,25.05
2015-02-02,24.25
2015-02-03,24.0
2015-02-04,23.95
2015-02-05,23.35
2015-02-06,22.95
2015-02-09,22.7
2015-02-10,23.2
2015-02-11,23.15
2015-02-12,23.7
2015-02-13,23.75
2015-02-16,24.65
2015-02-18,27.05
2015-02-19,26.15
2015-02-20,26.0
2015-02-23,26.1
2015-02-24,25.8
2015-02-25,25.4
2015-02-26,25.9
2015-02-27,25.1
2015-02-28,24.8
2015-03-02,24.55
2015-03-03,24.4
2015-03-04,24.2
2015-03-05,24.45
2015-03-09,23.15
2015-03-10,22.9
2015-03-11,22.85
2015-03-12,22.25
2015-03-13,22.05
2015-03-16,21.1
2015-03-17,20.65
2015-03-18,20.95
2015-03-19,19.95
2015-03-20,19.1
2015-03-23,19.2
2015-03-24,18.55
2015-03-25,18.65
2015-03-26,18.55
2015-03-27,17.95
2015-03-30,21.3
2015-03-31,24.6
2015-04-01,23.1
2015-04-06,25.3
2015-04-07,23.8
2015-04-08,25.85
2015-04-09,26.45
2015-04-10,26.0
2015-04-13,26.65
2015-04-15,25.5
2015-04-16,25.7
2015-04-17,24.45
2015-04-20,24.1
2015-04-21,24.5
2015-04-22,24.5
2015-04-23,24.1
2015-04-24,22.95
2015-04-27,22.55
2015-04-28,22.85
2015-04-29,22.45
2015-04-30,22.7
2015-05-04,23.95
2015-05-05,23.15
2015-05-06,22.75
2015-05-07,21.0
2015-05-08,21.5
2015-05-11,21.8
2015-05-12,21.5
2015-05-13,21.25
2015-05-14,21.3
2015-05-15,21.45
2015-05-18,21.5
2015-05-19,23.8
2015-05-20,25.0
2015-05-21,23.8
2015-05-22,23.6
2015-05-25,23.6
2015-05-26,23.15
2015-05-27,22.8
2015-05-28,19.8
2015-05-29,19.55
2015-06-01,19.8
2015-06-02,19.5
2015-06-03,18.95
2015-06-04,18.6
2015-06-05,18.7
2015-06-08,19.05
2015-06-09,19.65
2015-06-10,19.45
2015-06-11,18.8
2015-06-12,19.5
2015-06-15,19.75
2015-06-16,19.15
2015-06-17,19.15
2015-06-18,19.35
2015-06-19,19.25
2015-06-22,21.15
2015-06-23,20.55
2015-06-24,20.4
2015-06-25,20.5
2015-06-26,19.6
2015-06-29,19.65
2015-06-30,21.35
2015-07-01,22.05
2015-07-02,21.35
2015-07-03,21.1
2015-07-06,20.85
2015-07-07,21.05
2015-07-08,20.05
2015-07-09,19.8
2015-07-10,20.05
2015-07-13,21.05
2015-07-14,21.1
2015-07-15,21.45
2015-07-16,21.85
2015-07-17,21.25
2015-07-20,20.35
2015-07-21,20.4
2015-07-22,21.05
2015-07-23,21.5
2015-07-24,21.05
2015-07-27,20.6
2015-07-28,20.7
2015-07-29,20.35
2015-07-30,20.85
2015-07-31,20.85
2015-08-03,20.95
2015-08-04,20.75
2015-08-05,20.95
2015-08-06,21.65
2015-08-07,20.5
2015-08-10,20.1
2015-08-11,19.85
2015-08-12,19.4
2015-08-13,18.95
2015-08-14,20.35
2015-08-17,20.65
2015-08-18,21.35
2015-08-19,21.45
2015-08-20,20.25
2015-08-21,20.25
2015-08-24,18.7
2015-08-25,17.65
2015-08-26,17.8
2015-08-27,18.9
2015-08-28,18.25
2015-08-31,18.2
2015-09-01,18.2
2015-09-02,17.85
2015-09-03,18.65
2015-09-04,17.7
2015-09-07,16.8
2015-09-08,16.9
2015-09-09,17.35
2015-09-10,17.0
2015-09-11,17.35
2015-09-14,16.95
2015-09-15,16.7
2015-09-16,16.8
2015-09-18,17.5
2015-09-21,18.1
2015-09-22,17.55
2015-09-23,17.65
2015-09-24,17.4
2015-09-28,17.35
2015-09-29,17.25
2015-09-30,17.7
2015-10-01,17.9
2015-10-05,19.75
2015-10-06,19.7
2015-10-07,21.95
2015-10-08,22.5
2015-10-09,22.65
2015-10-12,23.45
2015-10-13,24.15
2015-10-14,24.5
2015-10-15,24.7
2015-10-16,24.7
2015-10-19,24.1
2015-10-20,24.85
2015-10-21,24.4
2015-10-23,24.05
2015-10-26,23.25
2015-10-27,23.0
2015-10-28,22.25
2015-10-29,22.2
2015-10-30,21.45
2015-11-02,21.0
2015-11-03,21.4
2015-11-04,20.95
2015-11-05,21.1
2015-11-06,21.05
2015-11-09,22.95
2015-11-10,23.55
2015-11-11,23.9
2015-11-13,24.1
2015-11-16,24.1
2015-11-17,23.4
2015-11-18,23.2
2015-11-19,23.95
2015-11-20,23.4
2015-11-23,23.5
2015-11-24,23.25
2015-11-26,23.35
2015-11-27,23.35
2015-11-30,23.55
2015-12-01,24.25
2015-12-02,23.8
2015-12-03,24.0
2015-12-04,28.35
2015-12-07,27.55
2015-12-08,25.65
2015-12-09,24.5
2015-12-10,27.25
2015-12-11,26.4
2015-12-14,26.15
2015-12-15,26.55
2015-12-16,25.55
2015-12-17,25.75
2015-12-18,26.05
2015-12-21,27.85
2015-12-22,27.75
2015-12-23,26.6
2015-12-24,26.9
2015-12-28,29.05
2015-12-29,30.9
2015-12-30,34.55
2015-12-31,36.4
